"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 도봉구청",서울특별시 도봉구 도봉산3길 57 바다회갯벌,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6848405000,127.0438287000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 도봉로187길 10 무지개공원 입구,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6859009000,127.0451246000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 도봉로181길 29 해가온 앞,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6841894000,127.0441004000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 도봉로180길 53 극동아파트상가 뿌리부동산 앞 전주,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6825838000,127.0488438000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 도봉로181가길 29 미래마트 앞,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6826010000,127.0452076000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 도봉로173길 7 무수공원 입구,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6804970000,127.0428850000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 도봉로171길 70-6 사거리 앞 전주,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6789450000,127.0396790000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 도봉로164길 5 ABC렌터카 앞 전주,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6760599000,127.0451016000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 도봉로162길 21,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6748072000,127.0461550000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 도봉로169나길 89 한울머리터,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6755400000,127.0436050000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 시루봉로23길 51 삼성빌라 앞,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6729485000,127.0410417000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 도봉로160길 17 갈대밭공원 입구,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6741050000,127.0456380000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 도봉로156길 22 도봉마트,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6726250000,127.0454140000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 시루봉로25길12 오봉초후문 해태어린이공원맞은편,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6718471000,127.0409363000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 마들로 683 휴먼안경점,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6712888000,127.0462974000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 도봉로154길 18 도봉중학교 후문,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6712014000,127.0451922000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 도당로27길 60 고향식당 앞,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6706015000,127.0410093000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 도봉로157길 41,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6735993000,127.0415437000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 도봉로173길 122-6,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6788062000,127.0372332000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 도봉로156길 32 도봉왕족발보쌈 골목,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6729805000,127.0460490000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 도당로19길 64 오마트 맞은편,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6699871000,127.0395637000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 도당로27길 48 명품부동산 앞 전주,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6694550000,127.0410115000,2017-04-30
"서울특별시 도봉구청",서울특별시 도봉구 도당로19길 37 생잇들어린이공원 입구,,생활방범,1,,360도 전방면,30,,02-2091-4273,37.6688564000,127.0393365000,2017-04-30
