,,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
2017,652,서울특별시 강북구 도봉로 34길 66,서울특별시 강북구 송중동 258-300,어린이보호,1,2016-12
2017,656,서울특별시 강북구 노해로33길 60-17,서울특별시 강북구 수유2동 711-6,생활방범,1,2014-06
2017,657,서울특별시 강북구 한천로140가길 11,서울특별시 강북구 수유3동 172-192,생활방범,1,2014-06
2017,658,서울특별시 강북구 삼각산로36길 19,서울특별시 강북구 수유3동 39-53,생활방범,1,2014-06
2017,659,서울특별시 강북구 삼양로123길 22-26,서울특별시 강북구 우이동 291-229,생활방범,1,2014-06
2017,660,서울특별시 강북구 삼양로155길 13,서울특별시 강북구 우이동 61-24,생활방범,1,2014-06
2017,661,서울특별시 강북구 인수봉로78길 10,서울특별시 강북구 인수동 550-11,생활방범,1,2014-06
2017,662,서울특별시 강북구 인수봉로64길 28,서울특별시 강북구 인수동 391-10,생활방범,1,2014-06
2017,663,서울특별시 강북구 덕릉로 19-15,서울특별시 강북구 인수동 451-63,생활방범,1,2014-06
2017,664,서울특별시 강북구 한천로 105길 23,서울특별시 강북구 번3동 244,공원및놀이터,1,2014-07
2017,665,서울특별시 강북구 삼양로130길 10(옆 공원),서울특별시 강북구 수유동 276-10,공원및놀이터,1,2014-07
2017,666,서울특별시 강북구 솔매로22가길 41(맞은편 공원),서울특별시 강북구 삼양동 791-1712,공원및놀이터,1,2014-07
2017,667,서울특별시 강북구 삼양로53길 25-8(맞은편 공원),서울특별시 강북구 삼양동 776-17,공원및놀이터,1,2014-07
2017,668,서울특별시 강북구 오패산로48길 26-2(맞은편 공원),서울특별시 강북구 송중동 258-236,공원및놀이터,1,2014-07
2017,669,서울특별시 강북구 오패산로52아길 34(맞은편),서울특별시 강북구 미아동 258-56,공원및놀이터,1,2014-07
2017,670,서울특별시 강북구 덕릉로30길 30,서울특별시 강북구 미아동 162-1,공원및놀이터,1,2014-07
2017,671,서울특별시 강북구 삼각산로4길 42(맞은편),서울특별시 강북구 인수동 516-44,공원및놀이터,1,2014-07
2017,672,서울특별시 강북구 도봉로67길 18,서울특별시 강북구 수유동 54-5,교통단속,1,2014-07
2017,673,서울특별시 강북구 삼양로53길10-5,서울특별시 강북구 삼양동834-16,생활방범,1,2016-12
2017,674,서울특별시 강북구 삼양로53길10-5,서울특별시 강북구 삼양동834-16,생활방범,1,2016-12
2017,675,서울특별시 강북구 삼양로53길10-5,서울특별시 강북구 삼양동834-16,생활방범,1,2016-12
2017,676,서울특별시 강북구 삼양로53길10-5,서울특별시 강북구 삼양동834-16,생활방범,1,2016-12
2017,677,서울특별시 강북구 삼양로53길9-2,서울특별시 강북구 삼양동776-9,생활방범,1,2016-12
2017,678,서울특별시 강북구 삼양로53길9-2,서울특별시 강북구 삼양동776-9,생활방범,1,2016-12
2017,679,서울특별시 강북구 삼양로53길9-2,서울특별시 강북구 삼양동776-9,생활방범,1,2016-12
2017,680,서울특별시 강북구 삼양로53길9-2,서울특별시 강북구 삼양동776-9,생활방범,1,2016-12
2017,681,서울특별시 강북구 삼양로53길9-2,서울특별시 강북구 삼양동776-9,생활방범,1,2016-12
2017,682,서울특별시 강북구 솔샘로 208,서울특별시 강북구 삼각산동1353-6,교통단속,1,2016-12
2017,683,서울특별시 강북구 솔샘로 208,서울특별시 강북구 삼각산동1353-6,어린이보호,1,2016-12
2017,684,서울특별시 강북구 솔샘로 208,서울특별시 강북구 삼각산동1353-6,어린이보호,1,2016-12
2017,685,서울특별시 강북구 도봉로 34길 66,서울특별시 강북구 송중동 258-300,어린이보호,1,2016-12
2017,686,서울특별시 강북구 도봉로 34길 66,서울특별시 강북구 송중동 258-300,어린이보호,1,2016-12
2017,687,서울특별시 강북구 도봉로 34길 66,서울특별시 강북구 송중동 258-300,어린이보호,1,2016-12
