,,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
2017,0,서울특별시 강서구 개화동로8길 17 (개화동),서울특별시 강서구 개화동 663,시설물관리,8,2014-01
2017,1,서울특별시 마포구 가양대로 117 (상암동),서울특별시 마포구 상암동 1667,시설물관리,4,2014-01
2017,2,서울특별시 양천구 신정로7길 17 (신정동),서울특별시 양천구 신정동 1312,시설물관리,9,2011-01
2017,3,서울특별시 은평구 수색로24길 19 (수색동,서울특별시 은평구 수색동 414-1,시설물관리,4,2014-01
2017,4,서울특별시 송파구 충민로6길 61-23 (장지동,서울특별시 송파구 장지동 862-2,시설물관리,15,2011-01
2017,5,서울특별시 관악구 난곡로 93 (신림동),서울특별시 관악구 신림동 678-2,시설물관리,7,2011-01
2017,6,서울특별시 도봉구 도봉로 961 (도봉동),서울특별시 도봉구 도봉동 341-1,시설물관리,3,2011-01
2017,7,서울특별시 송파구 헌릉로 869 (장지동),서울특별시 송파구 장지동 579,시설물관리,7,2011-01
2017,8,서울특별시 강동구 아리수로 426 (강일동),서울특별시 강동구 강일동 565,시설물관리,9,2013-01
2017,9,서울특별시 서초구 동작대로 350 (반포동),서울특별시 서초구 반포동 1333-1,시설물관리,4,2016-01
2017,10,서울특별시 중랑구 봉화산로 190 (신내동),서울특별시 중랑구 신내동 665,시설물관리,9,2011-01
2017,11,서울특별시 중랑구 신내로 277 (묵동),서울특별시 중랑구 묵동 28,시설물관리,37,2016-01
2017,12,서울특별시 중구 퇴계로34길 16-9 (필동2가),서울특별시 중구 필동2가 84-91,시설물관리,3,2012-01
2017,13,서울특별시 중구 마장로 22  (신당동),서울특별시 중구 신당동 251-7,시설물관리,95,2013-01
2017,14,서울특별시 종로구 종로 157 (훈정동),서울특별시 종로구 훈정동 1-2,시설물관리,54,2011-01
2017,15,서울특별시 종로구 평창문화로 98  (평창동),서울특별시 종로구 평창동 148-7,시설물관리,3,2011-01
2017,16,서울특별시 종로구 새문안로5가길 28  (적선동),서울특별시 종로구 적선동 156,시설물관리,7,2011-01
2017,17,서울특별시 종로구 새문안로3길 8 (신문로1가),서울특별시 종로구 신문로1가 58-36,시설물관리,1,2012-01
2017,18,서울특별시 종로구 세종대로 지하189  (세종로),서울특별시 종로구 세종로 80-1,시설물관리,76,2011-01
2017,19,서울특별시 종로구 종로 38 (서린동),서울특별시 종로구 서린동 63,시설물관리,10,2011-01
2017,20,서울특별시 은평구 진관2로 15-40,서울특별시 은평구 진관동 70-1,시설물관리,99,2011-01
2017,21,서울특별시 용산구 이태원로 274  (한남동),서울특별시 용산구 한남동 728-10,시설물관리,12,2011-01
2017,22,서울특별시 용산구 새창로49길 42  (한강로2가),서울특별시 용산구 한강로2가 12-12,시설물관리,34,2014-01
2017,23,서울특별시 영등포구 영등포로34길 9 (영등포동4가),서울특별시 영등포구 영등포동4가 123,시설물관리,74,2011-01
2017,24,서울특별시 영등포구 양산로19길 8 (당산동3가),서울특별시 영등포구 당산동3가 370,시설물관리,25,2011-01
2017,25,서울특별시 양천구 중앙로 310  (신정동),서울특별시 양천구 신정동 943-25,시설물관리,4,2011-01
2017,26,서울특별시 송파구 송파대로 지하 6 (장지동),서울특별시 송파구 장지동 569-21,시설물관리,14,2011-01
2017,27,서울특별시 송파구 올림픽로 300 (신천동),서울특별시 송파구 신천동 29,시설물관리,39,2016-01
