,,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
2017,201,서울특별시 서초구 서리풀3길 24,서울특별시 서초구 서초1동 1628-62,생활방범,1,2007-04
2017,228,서울특별시 서초구 서초중앙로8길 94,서울특별시 서초구 서초1동 1604-16,생활방범,1,2012-03
2017,232,서울특별시 서초구 사임당로20길 12,서울특별시 서초구 서초1동 1612-6,생활방범,1,2013-03
2017,235,서울특별시 서초구 서초중앙로12길 19,서울특별시 서초구 서초1동 1625-7,생활방범,1,2012-03
2017,239,서울특별시 서초구 서초중앙로20길 34-8,서울특별시 서초구 서초1동 1660-28,생활방범,1,2012-03
2017,248,서울특별시 서초구 사임당로19길 94-3,서울특별시 서초구 서초1동 1643-59,생활방범,1,2014-10
2017,251,서울특별시 서초구 효령로68길 52,서울특별시 서초구 서초1동 1440-6,생활방범,1,2014-10
2017,254,서울특별시 서초구 서초대로64길 22,서울특별시 서초구 서초1동 1637-6,생활방범,1,2014-10
2017,315,서울특별시 서초구 서초대로58길26,서울특별시 서초구 서초1동 1667-2,생활방범,1,2014-05
2017,355,서울특별시 서초구 남부순환로347길 21-16,서울특별시 서초구 서초2동 1364-37,생활방범,1,2012-03
2017,379,서울특별시 서초구 효령로43길 26,서울특별시 서초구 서초3동 1527-1,생활방범,1,2007-03
2017,428,서울특별시 서초구 남부순환로319길 14,서울특별시 서초구 서초3동 1464-10,생활방범,1,2012-03
2017,431,서울특별시 서초구 효령로46길 28,서울특별시 서초구 서초3동 1481-11,생활방범,1,2012-03
2017,435,서울특별시 서초구 반포대로27길 29,서울특별시 서초구 서초3동 1504,생활방범,1,2012-03
2017,439,서울특별시 서초구 반포대로23길 33,서울특별시 서초구 서초3동 1506-39,생활방범,1,2012-03
2017,442,서울특별시 서초구 반포대로28길 63,서울특별시 서초구 서초3동 1556-5,생활방범,1,2012-03
2017,446,서울특별시 서초구 서초대로50길 63,서울특별시 서초구 서초3동 1576-26,생활방범,1,2012-03
2017,449,서울특별시 서초구 남부순환로315길 6,서울특별시 서초구 서초3동 1466-18,생활방범,1,2012-03
2017,452,서울특별시 서초구 반포대로28길 15,서울특별시 서초구 서초3동 1552-7,생활방범,1,2012-03
2017,464,서울특별시 서초구 명달로28길 18,서울특별시 서초구 서초3동 1507-6,생활방범,1,2014-10
2017,530,서울특별시 서초구 서초중앙로24길 16,서울특별시 서초구 서초4동 1692-6,생활방범,1,2007-03
2017,538,서울특별시 서초구 강남대로399,서울특별시 서초구 서초4동 1318-9,생활방범,1,2007-04
2017,566,서울특별시 서초구 서초대로65길 13-18,서울특별시 서초구 서초4동 1686-2,생활방범,1,2012-03
2017,570,서울특별시 서초구 강남대로 415,서울특별시 서초구 서초4동 1306-8,생활방범,1,2012-03
2017,571,서울특별시 서초구 강남대로 415,서울특별시 서초구 서초4동 1306-8,생활방범,1,2012-03
2017,573,서울특별시 서초구 강남대로 419,서울특별시 서초구 서초4동 1306-6,생활방범,1,2012-03
2017,574,서울특별시 서초구 강남대로 419,서울특별시 서초구 서초4동 1306-6,생활방범,1,2012-03
2017,576,서울특별시 서초구 강남대로 423,서울특별시 서초구 서초4동 1306-3,생활방범,1,2012-03
2017,577,서울특별시 서초구 강남대로 423,서울특별시 서초구 서초4동 1306-3,생활방범,1,2012-03
2017,579,서울특별시 서초구 강남대로65길 1,서울특별시 서초구 서초4동 1306-1,생활방범,1,2012-03
2017,580,서울특별시 서초구 강남대로65길 1,서울특별시 서초구 서초4동 1306-1,생활방범,1,2012-03
