기관명,2014년,2015년,2016년,2017년,2018년,2014/2015,2015/2016,2016/2017,2017/2018,2014-2018 평균비율,2019년 예측,2019/2020,2015-2019 평균비율,2020년 예측
강 남 구,"2,885","3,431","4,196","4,773","5,221",18.9254766,22.2967065,13.75119161,9.386130316,16.08987626,6061,16.08887186,15.38072507,6993
강 동 구,883,"1,027","1,221","1,494","1,879",16.30804077,18.88997079,22.35872236,25.76974565,20.83161989,2270,20.80894093,21.95684493,2768
강 북 구,546,691,945,946,"1,265",26.55677656,36.75832127,0.105820106,33.72093023,24.28546204,1572,24.2687747,23.71346158,1945
강 서 구,722,909,"1,099","1,363","1,617",25.90027701,20.90209021,24.02183803,18.63536317,22.36489211,1979,22.38713667,21.48660702,2404
관 악 구,"1,392","2,001","2,620","3,314","3,985",43.75,30.93453273,26.48854962,20.24743512,30.35512937,5195,30.36386449,27.00859549,6598
광 진 구,682,746,767,"1,235","1,581",9.384164223,2.815013405,61.01694915,28.01619433,25.30808028,1981,25.30044276,29.28714991,2561
구 로 구,"1,607","1,875","2,201","2,741","3,227",16.67703796,17.38666667,24.53430259,17.7307552,19.0821906,3843,19.08893709,19.68516539,4600
금 천 구,387,769,905,"1,104","1,634",98.70801034,17.68530559,21.98895028,48.00724638,46.59737815,2395,46.57282742,33.56358242,3199
노 원 구,881,"1,342","1,640","1,750","1,906",52.32690125,22.20566319,6.707317073,8.914285714,22.53854181,2336,22.56033578,15.09690044,2689
도 봉 구,456,515,670,787,858,12.93859649,30.09708738,17.46268657,9.021601017,17.37999286,1007,17.36596737,18.48683558,1193
동대문구,"1,326","1,437","1,670","1,806","2,003",8.371040724,16.21433542,8.143712575,10.90808416,10.90929322,2222,10.9335996,11.54993294,2479
동 작 구,863,993,"1,247","1,525","1,780",15.06373117,25.57905337,22.29350441,16.72131148,19.91440011,2134,19.88764045,21.12037743,2585
마 포 구,832,"1,009","1,368","1,740","1,935",21.27403846,35.57978196,27.19298246,11.20689655,23.81342486,2396,23.82428941,24.45098759,2982
서대문구,"1,126","1,235","1,512","1,927","2,121",9.680284192,22.4291498,27.44708995,10.06746238,17.40599658,2490,17.39745403,19.33528904,2971
서 초 구,"1,625","1,840","2,192","2,439","2,835",13.23076923,19.13043478,11.26824818,16.23616236,14.96640364,3259,14.95590829,15.3976884,3761
성 동 구,993,"1,251","1,452","2,385","2,679",25.98187311,16.06714628,64.25619835,12.32704403,29.65806544,3474,29.67525196,30.58141015,4536
성 북 구,"1,408","1,687","2,075","2,360","3,003",19.81534091,22.99940723,13.73493976,27.24576271,20.94886265,3632,20.94572095,21.23145766,4403
송 파 구,808,974,"1,074","1,190","1,586",20.54455446,10.26694045,10.80074488,33.27731092,18.72238768,1883,18.72635561,18.26783797,2227
양 천 구,"1,287","1,459","1,808","1,945","2,775",13.36441336,23.92049349,7.577433628,42.67352185,21.88396558,3382,21.87387387,24.01133071,4194
영등포구,676,"1,042","1,331","1,702","2,495",54.14201183,27.73512476,27.87377911,46.59224442,39.08579003,3470,39.07815631,35.31982615,4696
용 산 구,"1,739","1,841","1,930","1,990","2,063",5.865439908,4.834329169,3.10880829,3.668341709,4.369229769,2153,4.362578769,3.993514484,2239
은 평 구,"1,890","2,070","2,366","2,595","2,962",9.523809524,14.29951691,9.678782756,14.14258189,11.91117277,3315,11.91762323,12.50962619,3730
종 로 구,746,941,"1,089","1,370","1,471",26.13941019,15.72794899,25.80348944,7.372262774,18.76077785,1747,18.76274643,16.91661191,2043
중     구,384,629,899,"1,216","1,544",63.80208333,42.92527822,35.26140156,26.97368421,42.24061183,2196,42.22797927,36.84708582,3005
중 랑 구,770,872,993,"1,059","1,068",13.24675325,13.87614679,6.64652568,0.849858357,8.654821018,1160,8.61423221,7.496690759,1247
