소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
서울특별시 강북구 인수봉로 62길 8,서울특별시 강북구 인수동 391-334,어린이보호,1,2019-02
서울특별시 강북구 인수봉로 67길 11,서울특별시 강북구 인수동 521-16,생활방범,1,2019-02
서울특별시 강북구 인수봉로 67길 11,서울특별시 강북구 인수동 521-16,생활방범,1,2019-02
서울특별시 강북구 인수봉로 67길 11,서울특별시 강북구 인수동 521-16,생활방범,1,2019-02
서울특별시 강북구 인수봉로 67길 11,서울특별시 강북구 인수동 521-16,생활방범,1,2019-02
서울특별시 강북구 덕릉로 3길 24,서울특별시 강북구 인수동 455-1,생활방범,1,2019-02
서울특별시 강북구 인수봉로 61길 52,서울특별시 강북구 인수동 519-20,생활방범,1,2019-02
서울특별시 강북구 인수봉로 75길 60,서울특별시 강북구 인수동 535-252,생활방범,1,2019-02
서울특별시 강북구 인수봉로 75길 60,서울특별시 강북구 인수동 535-252,생활방범,1,2019-02
서울특별시 강북구 인수봉로 61길 52,서울특별시 강북구 인수동 519-20,생활방범,1,2019-02
서울특별시 강북구 인수봉로 79가길 52,서울특별시 강북구 인수동 535-39,어린이보호,1,2019-02
서울특별시 강북구 인수봉로 79가길 52,서울특별시 강북구 인수동 535-39,어린이보호,1,2019-02
서울특별시 강북구 인수봉로 79가길 52,서울특별시 강북구 인수동 535-39,어린이보호,1,2019-02
서울특별시 강북구 인수봉로 79가길 52,서울특별시 강북구 인수동 535-39,어린이보호,1,2019-02
서울특별시 강북구 인수봉로 79길 41,서울특별시 강북구 인수동 540-16,어린이보호,1,2019-02
서울특별시 강북구 인수봉로 79길 41,서울특별시 강북구 인수동 540-16,어린이보호,1,2019-02
서울특별시 강북구 인수봉로 79길 41,서울특별시 강북구 인수동 540-16,어린이보호,1,2019-02
서울특별시 강북구 인수봉로 79길 41,서울특별시 강북구 인수동 540-16,어린이보호,1,2019-02
서울특별시 강북구 인수봉로 72길 63-3,서울특별시 강북구 인수동 301-19,생활방범,1,2019-02
서울특별시 강북구 인수봉로 72길 63-3,서울특별시 강북구 인수동 301-19,생활방범,1,2019-02
서울특별시 강북구 인수봉로 72길 63-3,서울특별시 강북구 인수동 301-19,생활방범,1,2019-02
서울특별시 강북구 인수봉로 72길 63-3,서울특별시 강북구 인수동 301-19,생활방범,1,2019-02
서울특별시 강북구 삼양로 107길 22-1,서울특별시 강북구 인수동 347-3,어린이보호,1,2019-02
서울특별시 강북구 삼양로 107길 22-1,서울특별시 강북구 인수동 347-3,어린이보호,1,2019-02
서울특별시 강북구 삼양로 107길 22-1,서울특별시 강북구 인수동 347-3,어린이보호,1,2019-02
서울특별시 강북구 삼양로 107길 22-1,서울특별시 강북구 인수동 347-3,어린이보호,1,2019-02
서울특별시 강북구 인수봉로 66길 5-1,서울특별시 강북구 인수동 410-291,생활방범,1,2019-02
서울특별시 강북구 인수봉로 66길 5-1,서울특별시 강북구 인수동 410-291,생활방범,1,2019-02
서울특별시 강북구 인수봉로 66길 5-1,서울특별시 강북구 인수동 410-291,생활방범,1,2019-02
서울특별시 강북구 인수봉로 66길 5-1,서울특별시 강북구 인수동 410-291,생활방범,1,2019-02
서울특별시 강북구 삼양로 140길 5,서울특별시 강북구 우이동 72-109,생활방범,1,2019-02
서울특별시 강북구 삼양로 140길 5,서울특별시 강북구 우이동 72-109,생활방범,1,2019-02
서울특별시 강북구 삼양로 140길 5,서울특별시 강북구 우이동 72-109,생활방범,1,2019-02
서울특별시 강북구 삼양로 654,서울특별시 강북구 우이동 6-8,생활방범,1,2019-02
서울특별시 강북구 삼양로 654,서울특별시 강북구 우이동 6-8,생활방범,1,2019-02
서울특별시 강북구 삼양로 654,서울특별시 강북구 우이동 6-8,생활방범,1,2019-02
서울특별시 강북구 삼양로 654,서울특별시 강북구 우이동 6-8,생활방범,1,2019-02
서울특별시 강북구 삼양로 654,서울특별시 강북구 우이동 6-8,생활방범,1,2019-02
서울특별시 강북구 삼양로 173가길 48,서울특별시 강북구 우이동 154-42,생활방범,1,2019-02
서울특별시 강북구 삼양로 173가길 48,서울특별시 강북구 우이동 154-42,생활방범,1,2019-02
서울특별시 강북구 삼양로 173가길 48,서울특별시 강북구 우이동 154-42,생활방범,1,2019-02
서울특별시 강북구 삼양로 173가길 48,서울특별시 강북구 우이동 154-42,생활방범,1,2019-02
서울특별시 강북구 삼양로 173가길 48,서울특별시 강북구 우이동 154-42,생활방범,1,2019-02
서울특별시 강북구 삼양로 123길 32-18,서울특별시 강북구 우이동 291-179,생활방범,1,2019-02
서울특별시 강북구 삼양로 123길 32-18,서울특별시 강북구 우이동 291-179,생활방범,1,2019-02
서울특별시 강북구 삼양로 123길 32-18,서울특별시 강북구 우이동 291-179,생활방범,1,2019-02
서울특별시 강북구 삼양로 123길 32-18,서울특별시 강북구 우이동 291-179,생활방범,1,2019-02
서울특별시 강북구 삼양로 123길 32-18,서울특별시 강북구 우이동 291-179,생활방범,1,2019-02
서울특별시 강북구 삼양로 155길 47,서울특별시 강북구 우이동 110-1,생활방범,1,2019-02
서울특별시 강북구 삼양로 155길 47,서울특별시 강북구 우이동 110-1,생활방범,1,2019-02
서울특별시 강북구 삼양로 155길 47,서울특별시 강북구 우이동 110-1,생활방범,1,2019-02
서울특별시 강북구 삼양로 163가길 16-4,서울특별시 강북구 우이동 21-72,생활방범,1,2019-02
서울특별시 강북구 삼양로 163가길 16-4,서울특별시 강북구 우이동 21-72,생활방범,1,2019-02
서울특별시 강북구 삼양로 163가길 16-4,서울특별시 강북구 우이동 21-72,생활방범,1,2019-02
서울특별시 강북구 삼양로 163나길 55,서울특별시 강북구 우이동 148-7,생활방범,1,2019-02
