소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
서울특별시 금천구 독산로58가길 68,서울특별시 금천구 독산2동 378-48,다목적,4,2020-07-31
서울특별시 금천구 독산로64길 70,서울특별시 금천구 독산2동 377-5,다목적,4,2020-07-31
서울특별시 금천구 독산로68길 61,서울특별시 금천구 독산2동 945-3,다목적,3,2020-07-31
서울특별시 금천구 독산로58길 42,서울특별시 금천구 독산2동 379-3,다목적,1,2020-07-31
서울특별시 금천구 독산로60길 24,서울특별시 금천구 독산2동 378-273,다목적,4,2020-07-31
서울특별시 금천구 독산로56길 18-4,서울특별시 금천구 독산2동 378-460,다목적,3,2020-07-31
서울특별시 금천구 독산로68길 15,서울특별시 금천구 독산2동 1038-16,다목적,3,2020-07-31
서울특별시 금천구 독산로67길 19,서울특별시 금천구 독산2동 1042-19,다목적,4,2020-07-31
서울특별시 금천구 시흥대로94길 72,서울특별시 금천구 독산2동 1062,다목적,3,2020-07-31
서울특별시 금천구 시흥대로100길 35,서울특별시 금천구 독산2동 1052-13,다목적,3,2020-07-31
서울특별시 금천구 시흥대로84길 31,서울특별시 금천구 독산2동 1069-15,다목적,4,2020-07-31
서울특별시 금천구 시흥대로88길 21,서울특별시 금천구 독산2동 1069,다목적,1,2020-07-31
서울특별시 금천구 독산로50길 141,서울특별시 금천구 시흥4동 3-107,다목적,3,2020-07-31
서울특별시 금천구 독산로40길 78,서울특별시 금천구 시흥4동 796-36,다목적,5,2020-07-31
서울특별시 금천구 독산로44다길 11,서울특별시 금천구 시흥4동 791-21,다목적,1,2020-07-31
,서울특별시 금천구 시흥4동 798-39,다목적,3,2020-07-31
서울특별시 금천구 독산로50다길 29,서울특별시 금천구 시흥4동 3-222,다목적,1,2020-07-31
서울특별시 금천구 독산로32가길 26,서울특별시 금천구 시흥4동 811-6,다목적,1,2020-07-31
서울특별시 금천구 독산로32나길 36,서울특별시 금천구 시흥4동 807-14,다목적,6,2020-07-31
,서울특별시 금천구 시흥4동 817,다목적,4,2020-07-31
서울특별시 금천구 독산로24길 14,서울특별시 금천구 시흥4동 820-10,다목적,5,2020-07-31
서울특별시 금천구 독산로24길 51,서울특별시 금천구 시흥4동 169-29,다목적,1,2020-07-31
서울특별시 금천구 독산로24다길 22,서울특별시 금천구 시흥4동 823,다목적,3,2020-07-31
서울특별시 금천구 독산로20길 18,서울특별시 금천구 시흥5동 834-26,다목적,1,2020-07-31
서울특별시 금천구 독산로22길 49,서울특별시 금천구 시흥5동 824-4,다목적,4,2020-07-31
서울특별시 금천구 금하로21길 20,서울특별시 금천구 시흥5동 832-14,다목적,1,2020-07-31
서울특별시 금천구 탑골로 15-5,서울특별시 금천구 시흥5동 827-19,다목적,3,2020-07-31
서울특별시 금천구 금하로23가길 25,서울특별시 금천구 시흥5동 827-29,다목적,1,2020-07-31
서울특별시 금천구 독산로22가길 6,서울특별시 금천구 시흥5동 203-15,다목적,1,2020-07-31
서울특별시 금천구 은행나무로10길 6,서울특별시 금천구 시흥5동 921-10,다목적,1,2020-07-31
서울특별시 금천구 독산로10길 37,서울특별시 금천구 시흥5동 910-15,다목적,1,2020-07-31
서울특별시 금천구 독산로10길 56,서울특별시 금천구 시흥5동 917-6,다목적,1,2020-07-31
서울특별시 금천구 금하로24길 40,서울특별시 금천구 시흥5동 918-20,다목적,1,2020-07-31
서울특별시 금천구 독산로8길 37,서울특별시 금천구 시흥5동 919-78,다목적,3,2020-07-31
서울특별시 금천구 금하로24길 82,서울특별시 금천구 시흥5동 930,다목적,4,2020-07-31
서울특별시 금천구 벚꽃로56길 30,서울특별시 금천구 가산동 32-19,다목적,5,2020-07-31
서울특별시 금천구 가산로3길 113,서울특별시 금천구 독산1동 335-14,다목적,6,2020-07-31
서울특별시 금천구 범안로14길 18,서울특별시 금천구 독산1동 1006-181,다목적,4,2020-07-31
서울특별시 금천구 독산로80길 35,서울특별시 금천구 독산4동 181-46,다목적,6,2020-07-31
서울특별시 금천구 독산로14길 3,서울특별시 금천구 시흥5동 836,다목적,4,2020-07-31
서울특별시 금천구 독산로70길 84,서울특별시 금천구 독산4동 941,다목적,6,2020-07-31
서울특별시 금천구 시흥대로118길 23,서울특별시 금천구 독산4동 1017-21,다목적,6,2020-07-31
서울특별시 금천구 시흥대로136길 24,서울특별시 금천구 독산3동 161-1,다목적,5,2020-07-31
서울특별시 금천구 시흥대로150길 41,서울특별시 금천구 독산3동 964-26,다목적,4,2020-07-31
서울특별시 금천구 독산로109길 26,서울특별시 금천구 독산3동 952-27,다목적,6,2020-07-31
서울특별시 금천구 문성로1길 7,서울특별시 금천구 독산3동 961-13,다목적,5,2020-07-31
,서울특별시 금천구 시흥4동 3-17,다목적,6,2020-07-31
서울특별시 금천구 시흥대로90길 11,서울특별시 금천구 독산2동 1059-8,다목적,6,2020-07-31
서울특별시 금천구 시흥대로84길 54,서울특별시 금천구 독산2동 1073-28,다목적,4,2020-07-31
서울특별시 금천구 탑골로2길 55,서울특별시 금천구 시흥2동 266-2746,다목적,4,2020-07-31
서울특별시 금천구 금하로 816,서울특별시 금천구 시흥2동 1013,다목적,2,2020-07-31
서울특별시 금천구 시흥대로40다길 28,서울특별시 금천구 시흥5동 933-22,다목적,4,2020-07-31
서울특별시 금천구 독산로4길 18,서울특별시 금천구 시흥5동 935-81,다목적,5,2020-07-31
서울특별시 금천구 독산로32길 11,서울특별시 금천구 시흥4동 813-44,다목적,6,2020-07-31
서울특별시 금천구 시흥대로80길 39,서울특별시 금천구 독산2동 1075-56,다목적,6,2020-07-31
