소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
서울특별시 서초구 사임당로17길113,서울특별시 서초구 서초1동1668-12,생활방범,1,2019-11
서울특별시 서초구 서리풀길15,서울특별시 서초구 서초1동1618-29,생활방범,1,2019-11
서울특별시 서초구 남부순환로347길69,서울특별시 서초구 서초2동1356-1,생활방범,1,2019-11
서울특별시 서초구 효령로74길13,서울특별시 서초구 서초2동1344,생활방범,1,2019-11
서울특별시 서초구 주흥5길8,서울특별시 서초구 반포1동730-23,생활방범,1,2019-11
서울특별시 서초구 동광로11길40,서울특별시 서초구 방배본동778-23,생활방범,1,2019-12
서울특별시 서초구 방배로23길31-24,서울특별시 서초구 방배1동327-3,생활방범,1,2019-12
서울특별시 서초구 청두곶6길23,서울특별시 서초구 방배2동462-11,생활방범,1,2019-12
서울특별시 서초구 서초대로12길20-9,서울특별시 서초구 방배2동947-25,생활방범,1,2019-12
서울특별시 서초구 서초대로6길2,서울특별시 서초구 방배2동949-32,생활방범,1,2019-12
서울특별시 서초구 방배중앙로11길25,서울특별시 서초구 방배2동946-32,생활방범,1,2019-12
서울특별시 서초구 효령로68길49-3,서울특별시 서초구 서초동 1436-6,생활방범,1,2019-11
서울특별시 서초구 효령로68길49-3,서울특별시 서초구 서초동 1436-6,생활방범,1,2019-11
서울특별시 서초구  서초동 1324-1,서울특별시 서초구 서초동 1324-1,생활방범,1,2019-12
서울특별시 서초구 서초3동 1488-4,서울특별시 서초구 서초3동 1488-4,생활방범,1,2019-12
서울특별시 서초구 서초3동 1518-1,서울특별시 서초구 서초3동 1518-1,생활방범,1,2019-12
서울특별시 서초구 서초대로46길19-18,서울특별시 서초구 서초동 1556-4,생활방범,1,2019-11
서울특별시 서초구 서초대로46길19-18,서울특별시 서초구 서초동 1556-4,생활방범,1,2019-11
서울특별시 서초구 서초3동 1500-15,서울특별시 서초구 서초3동 1500-15,생활방범,1,2019-03
서울특별시 서초구 서초3동 1500-15,서울특별시 서초구 서초3동 1500-15,생활방범,1,2019-03
서울특별시 서초구 서초3동 1500-15,서울특별시 서초구 서초3동 1500-15,생활방범,1,2019-03
서울특별시 서초구 서초3동 1500-15,서울특별시 서초구 서초3동 1500-15,생활방범,1,2019-03
서울특별시 서초구 서초3동 1500-8,서울특별시 서초구 서초3동 1500-8,생활방범,1,2019-03
서울특별시 서초구 서초3동 1500-8,서울특별시 서초구 서초3동 1500-8,생활방범,1,2019-03
서울특별시 서초구 서초3동 1500-8,서울특별시 서초구 서초3동 1500-8,생활방범,1,2019-03
서울특별시 서초구 서초3동 1500-8,서울특별시 서초구 서초3동 1500-8,생활방범,1,2019-03
서울특별시 서초구 서초3동 1499-13,서울특별시 서초구 서초3동 1499-13,생활방범,1,2019-03
서울특별시 서초구 서초3동 1499-13,서울특별시 서초구 서초3동 1499-13,생활방범,1,2019-03
서울특별시 서초구 서초3동 1499-13,서울특별시 서초구 서초3동 1499-13,생활방범,1,2019-03
서울특별시 서초구 서초3동 1499-13,서울특별시 서초구 서초3동 1499-13,생활방범,1,2019-03
서울특별시 서초구 서초3동 1498-1,서울특별시 서초구 서초3동 1498-1,생활방범,1,2019-03
서울특별시 서초구 서초3동 1498-1,서울특별시 서초구 서초3동 1498-1,생활방범,1,2019-03
서울특별시 서초구 서초3동 1498-1,서울특별시 서초구 서초3동 1498-1,생활방범,1,2019-03
