소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
,서울특별시 강남구 세곡동 103,생활방범,3,2020-08-27
"서울특별시 강남구 선릉로 7 (개포동,주공아파트)",서울특별시 강남구 개포동 141-1 (구룡마을입구 교차로 지하보도),생활방범,4,2020-08-27
"서울특별시 강남구 언주로 110 (개포동,경남아파트)",서울특별시 강남구 개포동 649 (경남1차A 2동 옆 정문),생활방범,4,2020-08-27
서울특별시 강남구 선릉로 103 (개포동),서울특별시 강남구 개포동 650 (구룡중 담장),생활방범,4,2020-08-27
"서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-1 (개포주공1단지 13동 옆),생활방범,3,2020-08-27
"서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-12 (개포주공1단지 55동 옆),생활방범,4,2020-08-27
"서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-12 (개포중 후문),생활방범,1,2020-08-27
"서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-2 (개포주공1단지 91동 옆),생활방범,1,2020-08-27
"서울특별시 강남구 선릉로 7 (개포동,주공아파트)",서울특별시 강남구 개포동 141 (개포주공1단지 104동 뒤쪽 샛길),생활방범,4,2020-08-27
"서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-1 (개포주공1단지 입구),생활방범,4,2020-08-27
"서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-12 (주공1단지입구 18동옆),생활방범,4,2020-08-27
"서울특별시 강남구 개포로 303 (개포동,현대1차아파트)",서울특별시 강남구 개포동 653 (구룡초교 사거리),생활방범,3,2020-08-27
서울특별시 강남구 선릉로 9 (개포동),서울특별시 강남구 개포동 660-37 (개포중학교 정문),생활방범,4,2020-08-27
"서울특별시 강남구 개포로 303 (개포동,현대1차아파트)",서울특별시 강남구 개포동 653 (개포현대A 104동쪽 출입구),생활방범,3,2020-08-27
서울특별시 강남구 선릉로 29 (개포동),서울특별시 강남구 개포동 660-10,생활방범,4,2020-08-27
"서울특별시 강남구 언주로6길 21 (개포동,명스튜디오)",서울특별시 강남구 개포동 660-21,생활방범,4,2020-08-27
서울특별시 강남구 선릉로 29 (개포동),서울특별시 강남구 개포동 660-10 (개원초 후문 저수조와 개포주공1단지 26동 쪽 사이 ),생활방범,3,2020-08-27
"서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-12 (개포주공1단지 75동 앞길),생활방범,4,2020-08-27
서울특별시 강남구 양재대로 478(개포동),서울특별시 강남구 개포동 570 (구룡마을 8지구 구룡산 2호 공영주차장 내),생활방범,3,2020-08-27
,서울특별시 강남구 개포동 649-1,생활방범,3,2020-08-27
서울특별시 강남구 개포로 307 (개포동),서울특별시 강남구 개포동 651-1 (개포우성 9차A 입구),생활방범,4,2020-08-27
서울특별시 강남구 선릉로 7 (개포동),서울특별시 강남구 개포동 141 (개포주공1단지 112동 앞),생활방범,4,2020-08-27
"서울특별시 강남구 개포로 310 (개포동, 개포주공1차아파트)",서울특별시 강남구 개포동 660-1 (개포1단지 31동~51동 사이),생활방범,4,2020-08-27
서울특별시 강남구 선릉로8길 26 (개포동),서울특별시 강남구 개포동 160-3,생활방범,4,2020-08-27
서울특별시 강남구 선릉로12길 12 (개포동),서울특별시 강남구 개포동 169-3,생활방범,4,2020-08-27
서울특별시 강남구 선릉로18길 15 (개포동),서울특별시 강남구 개포동 170-12,생활방범,4,2020-08-27
서울특별시 강남구 선릉로18길 8 (개포동),서울특별시 강남구 개포동 172-2,생활방범,4,2020-08-27
서울특별시 강남구 개포로 402 (개포동),서울특별시 강남구 개포동 173 (개포고 담장),생활방범,4,2020-08-27
서울특별시 강남구 개포로 401 (개포동),서울특별시 강남구 개포동 174 (개일초 정문),생활방범,4,2020-08-27
서울특별시 강남구 개포로 511 (개포동),서울특별시 강남구 개포동 182 (양전초 뒤 산책로),생활방범,5,2020-08-27
"서울특별시 강남구 삼성로4길 17 (개포동, 주공아파트)",서울특별시 강남구 개포동 187 (개포주공5단지 501동 앞),생활방범,4,2020-08-27
"서울특별시 강남구 삼성로 14 (개포동, 주공아파트)",서울특별시 강남구 개포동 189 (개포주공4단지 401동 앞),생활방범,1,2020-08-27
"서울특별시 강남구 삼성로 11 (개포동, 주공아파트)",서울특별시 강남구 개포동 138 (개포주공3단지 다상가 앞),생활방범,1,2020-08-27
"서울특별시 강남구 삼성로 11 (개포동, 주공아파트)",서울특별시 강남구 개포동 138 (개포주공3단지 후문 입구),생활방범,1,2020-08-27
서울특별시 강남구 개포로82길 13-9 (개포동),서울특별시 강남구 개포동 186-4,생활방범,4,2020-08-27
서울특별시 강남구 선릉로 30 (개포동),서울특별시 강남구 개포동 167-4,생활방범,4,2020-08-27
서울특별시 강남구 선릉로4길 17 (개포동),서울특별시 강남구 개포동 158-7,생활방범,4,2020-08-27
서울특별시 강남구 영동대로3길 9 (개포동),서울특별시 강남구 개포동 189-3 (개포어린이집 앞),생활방범,4,2020-08-27
서울특별시 강남구 영동대로4길 20 (일원동),서울특별시 강남구 일원동 691 (일원초 후문),생활방범,3,2020-08-27
서울특별시 강남구 개포로 513 (개포동),서울특별시 강남구 개포동 183 (양전초교 육교삼거리),생활방범,3,2020-08-27
"서울특별시 강남구 선릉로10길 28 (개포동, 우성파크빌라)",서울특별시 강남구 개포동 161,생활방범,4,2020-08-27
서울특별시 강남구 개포로 지하403 (개포동),서울특별시 강남구 개포동 175-5 (구룡역2~3번출구 사이),생활방범,4,2020-08-27
서울특별시 강남구 개포로82길 9-11 (개포동),서울특별시 강남구 개포동 186-10,생활방범,5,2020-08-27
서울특별시 강남구 영동대로3길 45 (개포동),서울특별시 강남구 개포동 188,생활방범,3,2020-08-27
,서울특별시 강남구 개포동 156-1,생활방범,3,2020-08-27
서울특별시 강남구 개포로 402 (개포동),서울특별시 강남구 개포동 173,생활방범,4,2020-08-27
서울특별시 강남구 영동대로 101 (개포동),서울특별시 강남구 개포동 183-1 (개원중학교-영동6교 인접지),생활방범,4,2020-08-27
"서울특별시 강남구 삼성로 14(개포동, 주공아파트)",서울특별시 강남구 개포동 189 (개포주공4단지 420동 옆 간이 출입문),생활방범,4,2020-08-27
서울특별시 강남구 영동대로4길 7 (일원동),서울특별시 강남구 개포동 613,생활방범,1,2020-08-27
서울특별시 강남구 개포로 516 (개포동),서울특별시 강남구 개포동 185-1,생활방범,4,2020-08-27
서울특별시 강남구 양재대로 478 (개포동),서울특별시 강남구 개포동 154,생활방범,4,2020-08-27
서울특별시 강남구 개포로 409-1(개포동),서울특별시 강남구 개포동 181,생활방범,4,2020-08-27
서울특별시 강남구 개포로 409-1 (개포동),서울특별시 강남구 개포동 180,생활방범,4,2020-08-27
서울특별시 강남구 개포로 509 (개포동),서울특별시 강남구 개포동 182-1,생활방범,3,2020-08-27
서울특별시 강남구 개포로 409-1 (개포동),서울특별시 강남구 개포동 175 (이화경로당 앞),생활방범,4,2020-08-27
서울특별시 강남구 선릉로4길 25 (개포동),서울특별시 강남구 개포동 157-1,생활방범,4,2020-08-27
서울특별시 강남구 개포로 403 (개포동),서울특별시 강남구 개포동 175-4 (구룡역2번출구),생활방범,4,2020-08-27
서울특별시 강남구 선릉로10길 23 (개포동),서울특별시 강남구 개포동 169-8,생활방범,4,2020-08-27
서울특별시 강남구 선릉로4길 30 (개포동),서울특별시 강남구 개포동 139(개포근린공원),생활방범,3,2020-08-27
서울특별시 강남구 선릉로4길 30 (개포동),서울특별시 강남구 개포동 139(개포근린공원),생활방범,3,2020-08-27
서울특별시 강남구 선릉로4길 30 (개포동),서울특별시 강남구 개포동 139(개포근린공원),생활방범,4,2020-08-27
서울특별시 강남구 개포로 265 (개포동),서울특별시 강남구 개포동 655-4,생활방범,4,2020-08-27
,서울특별시 강남구 개포동 1164-33 (지하보도 벽),생활방범,4,2020-08-27
서울특별시 강남구 논현로 16 (개포동),서울특별시 강남구 개포동 1163,생활방범,1,2020-08-27
"서울특별시 강남구 논현로4길 28 (개포동, 더샵그린아파트)",서울특별시 강남구 개포동 1167,생활방범,4,2020-08-27
서울특별시 강남구 논현로8길 46-8 (개포동),서울특별시 강남구 개포동 1185-4 (개포목련공원 코너),생활방범,4,2020-08-27
서울특별시 강남구 논현로8길 11 (개포동),서울특별시 강남구 개포동 1187-11,생활방범,5,2020-08-27
서울특별시 강남구 논현로14길 10 (개포동),서울특별시 강남구 개포동 1224-2,생활방범,4,2020-08-27
서울특별시 강남구 개포로26길 18 (개포동),서울특별시 강남구 개포동 1205,생활방범,5,2020-08-27
서울특별시 강남구 개포로28길 47 (개포동),서울특별시 강남구 개포동 1211-8 (달터공원 담장),생활방범,3,2020-08-27
서울특별시 강남구 개포로24길 21 (개포동),서울특별시 강남구 개포동 1205-9,생활방범,5,2020-08-27
