소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
서울특별시 강동구 강동구 명일로 248 (길동),서울특별시 강동구 길동 94,어린이보호,1,2011-08
서울특별시 강동구 강동구 명일로 262(길동),서울특별시 강동구 길동 82-4,어린이보호,1,2014-12
서울특별시 강동구 강동대로 235 (성내동),서울특별시 강동구 성내동 449-7,생활방범,3,2016-12
서울특별시 강동구 강동대로 305 (둔촌동),서울특별시 강동구 둔촌동 180-2,생활방범,4,2016-12
서울특별시 강동구 강동대로143-22 (성내동),서울특별시 강동구 성내동 459-6,생활방범,3,2017-11
서울특별시 강동구 강동대로199 (성내동),서울특별시 강동구 성내동 448-8,생활방범,2,2017-11
서울특별시 강동구 강동대로199 (성내동),서울특별시 강동구 성내동 448-8,생활방범,1,2017-11
서울특별시 강동구 강동대로199 (성내동),서울특별시 강동구 성내동 448-8,생활방범,1,2017-11
서울특별시 강동구 강동대로51길 57 (성내동),서울특별시 강동구 성내동 435-22,생활방범,2,2017-12
서울특별시 강동구 강동대로51길 57 (성내동),서울특별시 강동구 성내동 435-22,생활방범,1,2017-12
서울특별시 강동구 강동대로53길 21 (성내동),서울특별시 강동구 성내동 445-4,생활방범,1,2016-06
서울특별시 강동구 강동대로53길 68 (성내동),서울특별시 강동구 성내동 438,생활방범,3,2009-10
서울특별시 강동구 강동대로53길 83-14(성내3동),서울특별시 강동구 성내동 431-7,생활방범,1,2015-12
서울특별시 강동구 강동대로55길 72 (성내동),서울특별시 강동구 성내동 439-1,생활방범,1,2009-10
서울특별시 강동구 강동대로55길 83 (성내동),서울특별시 강동구 성내동 430-6,어린이보호,1,2012-11
서울특별시 강동구 강일동 144-8,서울특별시 강동구 강일동 144-8,생활방범,2,2017-12
서울특별시 강동구 강일동 177,서울특별시 강동구 강일동 177,생활방범,1,2006-02
서울특별시 강동구 강일동 406-1,서울특별시 강동구 강일동 406-1,생활방범,1,2006-02
서울특별시 강동구 강일동 445,서울특별시 강동구 강일동 445,생활방범,1,2016-06
서울특별시 강동구 강일동 445,서울특별시 강동구 강일동 445,생활방범,3,2016-12
서울특별시 강동구 강일동 469-6,서울특별시 강동구 강일동 469-6,생활방범,3,2016-12
서울특별시 강동구 강일동 472-1,서울특별시 강동구 강일동 472-1,생활방범,1,2016-06
서울특별시 강동구 강일동 511-1,서울특별시 강동구 강일동 511-1,생활방범,1,2013-09
서울특별시 강동구 강일동 565,서울특별시 강동구 강일동 565,교통단속,1,2020-09-11
서울특별시 강동구 고덕1동 산86-1,서울특별시 강동구 고덕동 산86-1,생활방범,3,2017-11
서울특별시 강동구 고덕2동 229,서울특별시 강동구 고덕동 229,생활방범,2,2013-09
서울특별시 강동구 고덕로 101 (암사동),서울특별시 강동구 암사동 451-12,교통단속,1,2020-09-11
서울특별시 강동구 고덕로 109 (암사동),서울특별시 강동구 암사동 451-18,교통단속,1,2020-09-11
서울특별시 강동구 고덕로 16길 29 (암사동),서울특별시 강동구 암사동 458-77,생활방범,3,2018-01
서울특별시 강동구 고덕로 20나길 29-13 (암사동),서울특별시 강동구 암사동 470-13,생활방범,3,2018-01
서울특별시 강동구 고덕로 227 (고덕동),서울특별시 강동구 고덕동 313,생활방범,1,2015-12
서울특별시 강동구 고덕로 24길 50 (암사동),서울특별시 강동구 암사동 473-3,생활방범,3,2018-01
서울특별시 강동구 고덕로 253 (고덕동),서울특별시 강동구 고덕동 310,생활방범,4,2018-01
서울특별시 강동구 고덕로 254 (명일동),서울특별시 강동구 명일동 46,생활방범,1,2016-06
서울특별시 강동구 고덕로 262 (명일동),서울특별시 강동구 명일동 46-2,교통단속,1,2020-09-11
서울특별시 강동구 고덕로 27길 33-19 (암사동),서울특별시 강동구 암사동 450-29,어린이보호,3,2016-12
서울특별시 강동구 고덕로 285 (고덕동),서울특별시 강동구 고덕동 296,생활방범,8,2014-12
서울특별시 강동구 고덕로 29 앞 (암사동),서울특별시 강동구 암사2동 527,어린이보호,1,2013-09
서울특별시 강동구 고덕로 295-59 (고덕동),서울특별시 강동구 고덕동 298-1,어린이보호,1,2011-08
서울특별시 강동구 고덕로 313 (고덕동),서울특별시 강동구 고덕동 217,생활방범,1,2013-09
서울특별시 강동구 고덕로 33 (암사동),서울특별시 강동구 암사동 506-9,생활방범,1,2009-10
서울특별시 강동구 고덕로 397 (고덕동),서울특별시 강동구 고덕동 210-1,생활방범,4,2017-11
서울특별시 강동구 고덕로 83길 88 (고덕동),서울특별시 강동구 고덕동 176-3,생활방범,3,2018-01
서울특별시 강동구 고덕로 84-7 (암사동),서울특별시 강동구 암사동 457-27,생활방범,1,2020-09-11
서울특별시 강동구 고덕로130 (암사동),서울특별시 강동구 암사동 413,생활방범,1,2017-12
서울특별시 강동구 고덕로130 (암사동),서울특별시 강동구 암사동 413,생활방범,2,2017-12
서울특별시 강동구 고덕로130 (암사동),서울특별시 강동구 암사동 413-4,생활방범,1,2015-12
서울특별시 강동구 고덕로14가길 12-9 (암사동),서울특별시 강동구 암사동 459-49,생활방범,1,2020-09-11
서울특별시 강동구 고덕로14길 29 (암사동),서울특별시 강동구 암사동 470,생활방범,1,2013-09
서울특별시 강동구 고덕로14길 61 (암사동),서울특별시 강동구 암사동 469-2,생활방범,1,2005-06
서울특별시 강동구 고덕로14길8 (암사동),서울특별시 강동구 암사동 460-14,생활방범,1,2017-11
서울특별시 강동구 고덕로14길8 (암사동),서울특별시 강동구 암사동 460-14,생활방범,2,2017-11
서울특별시 강동구 고덕로16길 46 (암사동),서울특별시 강동구 암사동 471-29,생활방범,1,2020-09-11
서울특별시 강동구 고덕로183 (고덕동),서울특별시 강동구 고덕동 317-1,생활방범,1,2017-11
서울특별시 강동구 고덕로183 (고덕동),서울특별시 강동구 고덕동 317-1,생활방범,3,2017-11
서울특별시 강동구 고덕로1길 22 (암사동),서울특별시 강동구 암사동 607-21,생활방범,1,2016-06
서울특별시 강동구 고덕로1길 22-13 (암사동),서울특별시 강동구 암사동 608-8,어린이보호,1,2012-11
서울특별시 강동구 고덕로1길 34 (암사동),서울특별시 강동구 암사동 608-54,생활방범,1,2009-10
서울특별시 강동구 고덕로1길 37 (암사동),서울특별시 강동구 암사동 608-39,생활방범,1,2014-12
서울특별시 강동구 고덕로20가길 14-3 (암사동),서울특별시 강동구 암사동 455-1,생활방범,1,2020-09-11
서울특별시 강동구 고덕로20가길 14-43 (암사동),서울특별시 강동구 암사동 455-19,생활방범,1,2020-09-11
서울특별시 강동구 고덕로20가길 49 (암사동),서울특별시 강동구 암사동 452-13,생활방범,3,2019-02
서울특별시 강동구 고덕로20길 14-6 (암사동),서울특별시 강동구 암사동 458-23,생활방범,1,2020-09-11
서울특별시 강동구 고덕로20길 50 (암사동),서울특별시 강동구 암사동 471-37,생활방범,3,2010-04
서울특별시 강동구 고덕로20나길 24-12 (암사동),서울특별시 강동구 암사동 459-33,생활방범,1,2020-09-11
서울특별시 강동구 고덕로20나길 55 (암사동),서울특별시 강동구 암사동 466-104,어린이보호,1,2013-09
서울특별시 강동구 고덕로20다길 3 (암사동),서울특별시 강동구 암사동 456-38,생활방범,1,2020-09-11
서울특별시 강동구 고덕로20마길28 (암사동),서울특별시 강동구 암사동 470-29,생활방범,3,2017-11
서울특별시 강동구 고덕로20마길28 (암사동),서울특별시 강동구 암사동 470-29,생활방범,1,2017-11
서울특별시 강동구 고덕로24가길 36 (암사동),서울특별시 강동구 암사동 437-1,어린이보호,1,2013-09
서울특별시 강동구 고덕로24길 23 (암사동),서울특별시 강동구 암사동 453-8,생활방범,1,2013-09
서울특별시 강동구 고덕로24길 30 (암사동),서울특별시 강동구 암사동 455-42,생활방범,3,2005-06
서울특별시 강동구 고덕로24나길 10 (암사동),서울특별시 강동구 암사동 474-36,생활방범,1,2017-11
서울특별시 강동구 고덕로24나길 10 (암사동),서울특별시 강동구 암사동 474-36,생활방범,2,2017-11
서울특별시 강동구 고덕로25길 17 (암사동),서울특별시 강동구 암사동 448,생활방범,1,2005-06
서울특별시 강동구 고덕로27길 13 (암사동),서울특별시 강동구 암사동 450-13,생활방범,1,2016-06
