소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산9-14,생활방범,3,2009-01
서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산9-14,생활방범,2,2009-01
서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산9-14,생활방범,3,2009-01
서울특별시 구로구 개봉로3가길 88-9,서울특별시 구로구 개봉동 312-25,생활방범,4,2009-01
서울특별시 구로구 구일로 68,서울특별시 구로구 구로동 685-221,생활방범,3,2010-01
서울특별시 구로구 구일로 62,서울특별시 구로구 구로동 685-219,생활방범,4,2010-01
서울특별시 구로구 구로중앙로27가길 23,서울특별시 구로구 구로동 513-34,생활방범,3,2010-01
서울특별시 구로구 구로중앙로27나길 18,서울특별시 구로구 구로동 511-25,생활방범,3,2010-01
서울특별시 구로구 가마산로26길 34,서울특별시 구로구 구로동 90 - 1,생활방범,5,2010-01
서울특별시 구로구 가마산로27길 69,서울특별시 구로구 구로동 105,생활방범,3,2010-01
서울특별시 구로구 구로동로7나길 32,서울특별시 구로구 가리봉동 10-7,생활방범,3,2010-01
서울특별시 구로구 구로동로7나길 15,서울특별시 구로구 가리봉동 13-21,생활방범,3,2010-01
서울특별시 구로구 고척로 211,서울특별시 구로구 고척동 169-13,생활방범,3,2010-01
서울특별시 구로구 고척로27길 32,서울특별시 구로구 개봉동 119-13,생활방범,3,2010-01
서울특별시 구로구 개봉로16길 31,서울특별시 구로구 개봉동 262-32,생활방범,3,2010-01
서울특별시 구로구 개봉로2길 87-15,서울특별시 구로구 개봉동 276-21,생활방범,3,2010-01
서울특별시 구로구 고척로10길 45,서울특별시 구로구 오류동 13-46,생활방범,3,2010-01
서울특별시 구로구 경인로19길 48-1,서울특별시 구로구 오류동 16-4,생활방범,5,2010-01
서울특별시 구로구 고척로16길 75,서울특별시 구로구 오류동 30-5,생활방범,3,2010-01
서울특별시 구로구 경인로25길 56,서울특별시 구로구 오류동 27-56,생활방범,3,2010-01
서울특별시 구로구 서해안로24길 21-4,서울특별시 구로구 오류동 165-3,생활방범,4,2010-01
서울특별시 구로구 서해안로20길 24,서울특별시 구로구 오류동 187-24,생활방범,5,2010-01
서울특별시 구로구 서해안로24길 22,서울특별시 구로구 오류동 332-59,생활방범,3,2010-01
서울특별시 구로구 부일로 883,서울특별시 구로구 온수동 8-2,생활방범,3,2010-01
서울특별시 구로구 부일로9길 57,서울특별시 구로구 온수동 7-5,생활방범,3,2010-01
서울특별시 구로구 부일로 893,서울특별시 구로구 온수동 산1-2,생활방범,3,2010-01
서울특별시 구로구 고척로21다길 14,서울특별시 구로구 개봉동 7-33,생활방범,3,2010-01
서울특별시 구로구 고척로21길 55,서울특별시 구로구 개봉동 산1-2,생활방범,3,2010-01
서울특별시 구로구 경인로2길 11,서울특별시 구로구 오류동 108-80,생활방범,3,2010-01
서울특별시 구로구 경인로2길 10,서울특별시 구로구 오류동 108-28,생활방범,3,2010-01
서울특별시 구로구 디지털로27길 64,서울특별시 구로구 구로동 252-60,생활방범,3,2010-01
서울특별시 구로구 디지털로27다길 9,서울특별시 구로구 구로동 797-14,생활방범,3,2010-01
서울특별시 구로구 우마3길 44,서울특별시 구로구 가리봉동 131-43,생활방범,3,2010-01
서울특별시 구로구 개봉로15길 58-2,서울특별시 구로구 개봉동 340-8,생활방범,3,2010-01
서울특별시 구로구 개봉로15길 58-2,서울특별시 구로구 개봉동 340-8,생활방범,3,2010-01
서울특별시 구로구 도림로6길 30,서울특별시 구로구 구로동 797-1,생활방범,3,2010-01
서울특별시 구로구 오리로21길 104,서울특별시 구로구 궁동 237-12,생활방범,3,2010-01
서울특별시 구로구 부일로9길 90-16,서울특별시 구로구 궁동 237-1,생활방범,3,2010-01
서울특별시 구로구 구로중앙로28길 12,서울특별시 구로구 구로동 530-24,생활방범,3,2019-09
서울특별시 구로구 구로중앙로28길 24,서울특별시 구로구 구로동 528-1,생활방범,3,2019-09
서울특별시 구로구 구로중앙로28길 54,서울특별시 구로구 구로동 109-1,생활방범,3,2019-09
서울특별시 구로구 구로중앙로28길 66,서울특별시 구로구 구로동 109-4,생활방범,3,2019-09
서울특별시 구로구 구로중앙로28길 24,서울특별시 구로구 구로동 528-1,교통단속,3,2010-01
서울특별시 구로구 구로중앙로28길 54,서울특별시 구로구 구로동 109-2,교통단속,3,2010-01
서울특별시 구로구 새말로 117-6,서울특별시 구로구 구로동 3-55,시설물관리,1,2010-01
서울특별시 구로구 새말로 117-6,서울특별시 구로구 구로동 3-55,시설물관리,1,2010-01
서울특별시 구로구 새말로 117-6,서울특별시 구로구 구로동 3-55,시설물관리,1,2010-01
서울특별시 구로구 새말로 117-6,서울특별시 구로구 구로동 3-55,시설물관리,1,2010-01
서울특별시 구로구 새말로 117-6,서울특별시 구로구 구로동 3-55,시설물관리,1,2010-01
서울특별시 구로구 새말로 117-6,서울특별시 구로구 구로동 3-55,시설물관리,1,2010-01
서울특별시 구로구 개봉로23가길 70,서울특별시 구로구 개봉동 417-7,시설물관리,1,2010-01
서울특별시 구로구 개봉로23가길 70,서울특별시 구로구 개봉동 417-7,시설물관리,1,2010-01
서울특별시 구로구 개봉로23가길 70,서울특별시 구로구 개봉동 417-7,시설물관리,1,2010-01
서울특별시 구로구 개봉로23가길 70,서울특별시 구로구 개봉동 417-7,시설물관리,1,2010-01
서울특별시 구로구 개봉로23가길 70,서울특별시 구로구 개봉동 417-7,시설물관리,1,2010-01
서울특별시 구로구 고척로51길 46,서울특별시 구로구 고척동 166-3,생활방범,2,2004-01
서울특별시 구로구 고척로47길 56-2,서울특별시 구로구 고척동 220-10,생활방범,2,2004-01
서울특별시 구로구 고척로47길 16,서울특별시 구로구 고척동 165-15,생활방범,3,2004-01
서울특별시 구로구 경인로35다길 20-2,서울특별시 구로구 고척동 168-1,생활방범,2,2004-01
서울특별시 구로구 공원로7길 23-30,서울특별시 구로구 고척동 161-38,생활방범,3,2004-01
서울특별시 구로구 공원로7길 41-30,서울특별시 구로구 고척동 271-131,생활방범,2,2004-01
서울특별시 구로구 고척로27길 16-7,서울특별시 구로구 고척동 312,생활방범,3,2004-01
서울특별시 구로구 가마산로 235,서울특별시 구로구 구로동 111-40,생활방범,3,2005-01
서울특별시 구로구 중앙로 64,서울특별시 구로구 구로동 112-39,생활방범,3,2005-01
서울특별시 구로구 구로중앙로 134,서울특별시 구로구 구로동 543-2,생활방범,3,2005-01
서울특별시 구로구 구로중앙로 134,서울특별시 구로구 구로동 112-51,생활방범,1,2005-01
서울특별시 구로구 경인로20나길 30,서울특별시 구로구 구로동 112-2,생활방범,2,2005-07
서울특별시 구로구 구로중앙로 80,서울특별시 구로구 구로동 545-18,생활방범,3,2005-01
서울특별시 구로구 디지털로31길 53,서울특별시 구로구 구로동 546-11,생활방범,1,2005-01
서울특별시 구로구 디지털로31길 53,서울특별시 구로구 구로동 31-11,생활방범,4,2005-01
서울특별시 구로구 경인로53길 71,서울특별시 구로구 구로동 28-22,생활방범,2,2005-01
서울특별시 구로구 경인로53길 71,서울특별시 구로구 구로동 549-69,생활방범,3,2005-01
서울특별시 구로구 구로동로42길 60,서울특별시 구로구 구로동 30-2,생활방범,1,2005-01
서울특별시 구로구 구로동로42길 60,서울특별시 구로구 구로동 1129-65,생활방범,1,2006-01
서울특별시 구로구 고척로27길 16-7,서울특별시 구로구 개봉동 120-5,생활방범,2,2006-01
서울특별시 구로구 고척로 123-16,서울특별시 구로구 개봉동 440-5,생활방범,3,2006-01
서울특별시 구로구 구로동로13길 23,서울특별시 구로구 구로동 466-58,생활방범,3,2006-01
서울특별시 구로구 구로동로13길 23,서울특별시 구로구 구로동 466-33,생활방범,3,2006-01
서울특별시 구로구 구로동로13길 23,서울특별시 구로구 구로동 466-25,생활방범,2,2006-01
서울특별시 구로구 구로동로18길 27,서울특별시 구로구 고척동 52-154,생활방범,3,2006-01
서울특별시 구로구 구로동로18길 27,서울특별시 구로구 개봉동 198-21,생활방범,3,2006-01
