소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
서울특별시 도봉구 삼양로146길 16앞,서울특별시 도봉구 쌍문동 422-76,생활방범,1,2018-09
서울특별시 도봉구 도봉로113길 34,서울특별시 도봉구 쌍문동 120-10,생활방범,1,2018-09
서울특별시 도봉구 도봉로115길 23,서울특별시 도봉구 쌍문동 94-39,생활방범,1,2018-09
서울특별시 도봉구 도봉로109길 46-18,서울특별시 도봉구 쌍문동 123-24,생활방범,1,2011-06
서울특별시 도봉구 도봉로 489,서울특별시 도봉구 쌍문동 88-21,생활방범,1,2011-06
서울특별시 도봉구 방학로6길 26,서울특별시 도봉구 방학동 697-4,생활방범,1,2014-12
서울특별시 도봉구 방학로 130-30,서울특별시 도봉구 방학동 690-16,생활방범,1,2014-12
서울특별시 도봉구 방학로12가길 5-16,서울특별시 도봉구 방학동 306,생활방범,1,2014-12
서울특별시 도봉구 도당로9길 3,서울특별시 도봉구 방학동 665-5,생활방범,1,2014-12
서울특별시 도봉구 도봉로110나길 42,서울특별시 도봉구 창동 657-45,생활방범,1,1905-07
서울특별시 도봉구 덕릉로63가길 50,서울특별시 도봉구 창동 593-21,생활방범,1,2011-06
서울특별시 도봉구 덕릉로59다길 14-6,서울특별시 도봉구 창동 581-29,생활방범,1,2018-09
서울특별시 도봉구 덕릉로60길 135-70,서울특별시 도봉구 창동 474-15,생활방범,1,2011-06
서울특별시 도봉구 우이천로 138,서울특별시 도봉구 창동 518-12,생활방범,1,2011-06
서울특별시 도봉구 우이천로 156,서울특별시 도봉구 창동 525-27,생활방범,1,2011-06
서울특별시 도봉구 도봉로129길 49,서울특별시 도봉구 쌍문2동 69-34,생활방범,1,2014-08
서울특별시 도봉구 도봉로180길 6-23,서울특별시 도봉구 도봉2동 654,생활방범,1,2016-09
서울특별시 도봉구 도봉로164길 26-20,서울특별시 도봉구 도봉2동 625-66,생활방범,1,2016-09
서울특별시 도봉구 노해로 60길 34-7,서울특별시 도봉구 쌍문3동 141-46,생활방범,1,2014-08
서울특별시 도봉구 도봉로118길 37,서울특별시 도봉구 창1동 662-54,생활방범,1,2016-09
서울특별시 도봉구 도봉산3길 79,서울특별시 도봉구 도봉1동 567-4,생활방범,1,2016-09
서울특별시 도봉구 도봉로173가길 18-1,서울특별시 도봉구 도봉1동 422-2,생활방범,1,2016-09
서울특별시 도봉구 도봉로168길 6,서울특별시 도봉구 도봉2동 92-42,생활방범,1,2016-09
서울특별시 도봉구 노해로41길28,서울특별시 도봉구 쌍문1동 306-28,생활방범,1,2014-08
서울특별시 도봉구 삼양로 534-7,서울특별시 도봉구 쌍문동 423-50,생활방범,1,2014-08
서울특별시 도봉구 해등로16길 81,서울특별시 도봉구 창동 266,생활방범,1,2014-08
서울특별시 도봉구 도봉로134길 28,서울특별시 도봉구 창동 731-66,생활방범,1,2014-08
서울특별시 도봉구 도봉로 883-10,서울특별시 도봉구 도봉동 562-9,생활방범,1,2016-09
서울특별시 도봉구 우이천로39가길,서울특별시 도봉구 쌍문동 434-8,생활방범,1,2014-08
서울특별시 도봉구 노해로37길,서울특별시 도봉구 노해로37길,생활방범,1,2014-08
서울특별시 도봉구 우이천로16길 6-4,서울특별시 도봉구 창동 553-37,생활방범,1,2017-08
서울특별시 도봉구 우이천로22길 30,서울특별시 도봉구 창동 645-4,생활방범,1,2018-06
서울특별시 도봉구 덕릉로60길 78,서울특별시 도봉구 창동 456-13,생활방범,1,2017-08
서울특별시 도봉구 노해로 66,서울특별시 도봉구 창동 370,생활방범,1,2018-09
서울특별시 도봉구 도봉로175길 17,서울특별시 도봉구 도봉동 578,생활방범,1,2014-12
서울특별시 도봉구 도봉로167길 55,서울특별시 도봉구 도봉동 산98-11,생활방범,1,2015-02
서울특별시 도봉구 도봉로169나길 56,서울특별시 도봉구 도봉동 597-56,생활방범,1,2015-02
서울특별시 도봉구 마들로766,서울특별시 도봉구 도봉동 629-29,생활방범,1,2015-02
서울특별시 도봉구 마들로699,서울특별시 도봉구 도봉동 624-83,생활방범,1,2017-12
서울특별시 도봉구 도봉산3길 57 바다회갯벌,,생활방범,1,2014-12
서울특별시 도봉구 도봉로187길 10 무지개공원 입구,,생활방범,1,2016-09
서울특별시 도봉구 도봉로181길 29 해가온 앞,,생활방범,1,2014-12
서울특별시 도봉구 도봉로180길 53 극동아파트상가 뿌리부동산 앞 전주,,생활방범,1,2014-12
서울특별시 도봉구 도봉로181가길 29 미래마트 앞,,생활방범,1,2014-12
서울특별시 도봉구 도봉로173길 7 무수공원 입구,,생활방범,1,2014-12
서울특별시 도봉구 도봉로171길 70-6 사거리 앞 전주,,생활방범,1,2012-02
서울특별시 도봉구 도봉로164길 5 ABC렌터카 앞 전주,,생활방범,1,2015-02
서울특별시 도봉구 도봉로162길 21,,생활방범,1,2016-09
서울특별시 도봉구 도봉로169나길 89 한울머리터,,생활방범,1,2016-09
서울특별시 도봉구 시루봉로23길 51 삼성빌라 앞,,생활방범,1,2015-02
서울특별시 도봉구 도봉로160길 17 갈대밭공원 입구,,생활방범,1,2015-02
서울특별시 도봉구 도봉로156길 22 도봉마트,,생활방범,1,2015-02
서울특별시 도봉구 시루봉로25길12 오봉초후문 해태어린이공원맞은편,,생활방범,1,2015-02
서울특별시 도봉구 마들로 683 휴먼안경점,,생활방범,1,2015-02
서울특별시 도봉구 도봉로154길 18 도봉중학교 후문,,생활방범,1,2015-02
서울특별시 도봉구 도당로27길 60 고향식당 앞,,생활방범,1,2015-02
서울특별시 도봉구 도봉로157길 41,,생활방범,1,2015-02
서울특별시 도봉구 도봉로173길 122-6,,생활방범,1,2012-02
서울특별시 도봉구 도봉로156길 32 도봉왕족발보쌈 골목,,생활방범,1,2015-02
서울특별시 도봉구 도당로19길 64 오마트 맞은편,,생활방범,1,2015-02
서울특별시 도봉구 도당로27길 48 명품부동산 앞 전주,,생활방범,1,2015-02
서울특별시 도봉구 도당로19길 37 생잇들어린이공원 입구,,생활방범,1,2015-02
서울특별시 도봉구 도봉로152가길 10 방학2번출구 돼지한마리 앞,,생활방범,1,2015-02
서울특별시 도봉구 시루봉로22길 19 청주슈퍼 앞,,생활방범,1,2012-02
서울특별시 도봉구 도당로13바길 55 마을슈퍼,,생활방범,1,2012-02
서울특별시 도봉구 시루봉로15길 33 샘말어린이공원 입구,,생활방범,1,2012-02
서울특별시 도봉구 시루봉로 208 SK텔레콤 앞 전주,,생활방범,1,2012-02
서울특별시 도봉구 시루봉로17길 23 한일슈퍼 앞 전주,,생활방범,1,2012-02
서울특별시 도봉구 시루봉로15길 83 약수수퍼앞,,생활방범,1,2012-02
서울특별시 도봉구 도당로17길 14 바다문고 앞,,생활방범,1,2012-02
서울특별시 도봉구 도당로29길 9 수정슈퍼,,생활방범,1,2012-02
서울특별시 도봉구 방학로2길 67 해밀인테리어 앞 전주,,생활방범,1,2012-02
서울특별시 도봉구 방학로4길 71 럭키슈퍼 앞,,생활방범,1,2012-02
서울특별시 도봉구 도봉로145길 94 정주슈퍼마켓 앞 전주,,생활방범,1,2012-02
서울특별시 도봉구 방학로 126-14 남경빌라 앞,,생활방범,1,2012-02
서울특별시 도봉구 도당로13나길 108,,생활방범,1,2012-02
서울특별시 도봉구 도봉로146길 40 브라운스톤 아파트상가 옆 굴다리,,생활방범,1,2012-02
서울특별시 도봉구 방학로3길 12-29 주택가,,생활방범,1,2012-02
서울특별시 도봉구 도봉로145나길 23,,생활방범,1,2012-02
서울특별시 도봉구 도당로29길 31 삼성부동산,,생활방범,1,2018-09
서울특별시 도봉구 시루봉로 149-15 산길두부앞,,생활방범,1,2018-09
서울특별시 도봉구 시루봉로 219 GS25편의점,,생활방범,1,2018-09
서울특별시 도봉구 시루봉로 245-26 신신빌라,,생활방범,1,2018-09
서울특별시 도봉구 시루봉로15자길 14 진수암앞,,생활방범,1,2012-02
서울특별시 도봉구 도봉로 145가길 12 대성냉장 앞,,생활방범,1,2016-07
서울특별시 도봉구 방학로3길 30 한국주방 앞,,생활방범,1,2016-07
서울특별시 도봉구 도봉로139길 30 노해공원 입구,,생활방범,1,2016-07
서울특별시 도봉구 도봉로143길 50 수도암 앞,,생활방범,1,1905-07
서울특별시 도봉구 방학로5길 73 제자교회 앞,,생활방범,1,1905-07
서울특별시 도봉구 도봉로129길 54 창경초 후문,,생활방범,1,2014-08
서울특별시 도봉구 도봉로127길 10 경일운수 정문,,생활방범,1,2016-07
서울특별시 도봉구 도봉로123길 53 정의여고 후문,,생활방범,1,2014-08
서울특별시 도봉구 노해로55길 13 민경미용실 앞 전주,,생활방범,1,2014-08
서울특별시 도봉구 해등로36길 4 금강슈퍼,,생활방범,1,2018-06
서울특별시 도봉구 우이천로48길 67 삼익빌라,,생활방범,1,2018-09
서울특별시 도봉구 우이천로48길 17 우이성당 앞,,생활방범,1,2018-09
서울특별시 도봉구 삼양로 574-8 한샘슈퍼,,생활방범,1,2018-09
서울특별시 도봉구 시루봉로1길 76 동익 APT 2동 뒷길,,생활방범,1,2017-08
서울특별시 도봉구 우이천로38길 84 궁전하이츠빌,,생활방범,1,2017-08
서울특별시 도봉구 노해로45길 47 동익효건인테리어 앞,,생활방범,1,1905-07
서울특별시 도봉구 우이천로 446 덕성여대 후문 삼정손세차 옆 전주,,생활방범,1,2014-08
서울특별시 도봉구 도봉로117길 11 신도봉중 담장모퉁이 씨마트앞,,생활방범,1,1905-07
서울특별시 도봉구 도봉로117길 51 크리넥스 종합유통 슈퍼,,생활방범,1,2016-07
서울특별시 도봉구 도봉로 484 쌍문역 1번출구,,생활방범,1,2016-07
서울특별시 도봉구 도봉로 484 쌍문역 2번출구,,생활방범,1,2016-07
서울특별시 도봉구 도봉로113길 16 신신약국앞 전주,,생활방범,1,2016-07
서울특별시 도봉구 노해로48길 47 신안빌라 주변,,생활방범,1,2017-08
서울특별시 도봉구 도봉로109길 62 꾼타락 앞 전주,,생활방범,1,2016-07
서울특별시 도봉구 도봉로117길 88 둥근달 놀이터 앞,,생활방범,1,2018-06
서울특별시 도봉구 노해로48길 13 다산빌라 앞,,생활방범,1,2014-08
서울특별시 도봉구 노해로44길 20 주민센터 팔각정 옆,,생활방범,1,1905-07
서울특별시 도봉구 도봉로103길 11 CU편의점 맞은편앞,,생활방범,1,2014-08
서울특별시 도봉구 우이천로39나길 11-2,,생활방범,1,2016-07
서울특별시 도봉구 우이천로38길 25 동성연립 옆,,생활방범,1,2014-08
서울특별시 도봉구 도봉로113길 54 귀석전기열쇠,,생활방범,1,2014-08
서울특별시 도봉구 우이천로38라길 28 쌍문 중앙교회 앞,,생활방범,1,2014-08
서울특별시 도봉구 도봉로140길 14 한신목재 앞,,생활방범,1,2016-07
서울특별시 도봉구 노해로63다길 80 은성교회 옆 한전주,,생활방범,1,2014-08
서울특별시 도봉구 도봉로126길 16 고은머리 앞,,생활방범,1,2014-08
서울특별시 도봉구 해등로14길 8 삼호맨션,,생활방범,1,2014-08
서울특별시 도봉구 해등로 133-23 오토프라자 앞,,생활방범,1,2014-08
서울특별시 도봉구 노해로 63다길 7-17 창동숯불갈비,,생활방범,1,2014-08
서울특별시 도봉구 마들로11길 77 창동역 2번 출구 오른쪽통로 천장,,생활방범,1,2014-08
서울특별시 도봉구 노해로63나길 17 삼양빌라2동옆,,생활방범,1,2014-08
서울특별시 도봉구 마들로11길 77 창동역 1번출구 계단 오른쪽 옆,,생활방범,1,2014-08
서울특별시 도봉구 마들로11길 77 창동역 2번출구 계단 앞,,생활방범,1,1905-07
서울특별시 도봉구 마들로11가길 12 맞은편(창동역 1번출구 왼쪽 창동문화마당 옆),,생활방범,1,2014-08
"서울특별시 도봉구 노해로65길 14-3 창동이마트 뒷편,종로프라자약국",,생활방범,1,2016-07
서울특별시 도봉구 도봉로120길 16 영광교회 앞,,생활방범,1,2016-07
서울특별시 도봉구 도봉로118길 15 창문어린이집 앞,,생활방범,1,2016-07
서울특별시 도봉구 도봉로110나길 54-5 창동 하이빌,,생활방범,1,2016-07
서울특별시 도봉구 노해로62길 51-10 금성파크빌1동앞,,생활방범,1,2016-07
서울특별시 도봉구 도봉로110바길 29 굿모닝 부동산,,생활방범,1,2016-07
서울특별시 도봉구 도봉로112길 31 헤어뱅크,,생활방범,1,2016-09
서울특별시 도봉구 도봉로104길 104 해바라기 빌라 모퉁이,,생활방범,1,2014-08
서울특별시 도봉구 도봉로106길 59 세븐일레븐 편의점앞,,생활방범,1,2012-12
서울특별시 도봉구 도봉로108길 91 대성수퍼앞,,생활방범,1,2014-08
서울특별시 도봉구 도봉로104길 142 창고개어린이공원 입구 천사슈퍼,,생활방범,1,2014-08
서울특별시 도봉구 덕릉로63가길 18 수현공판장 앞,,생활방범,1,1905-07
서울특별시 도봉구 덕릉로61길 26 성원하이츠,,생활방범,1,1905-07
서울특별시 도봉구 덕릉로59차길 24 대동건축 인테리어앞,,생활방범,1,2014-08
서울특별시 도봉구 덕릉로60나길 16 신창어린이공원 앞,,생활방범,1,2014-08
서울특별시 도봉구 덕릉로60길 9 삼대냉면 앞 전주,,생활방범,1,2014-08
서울특별시 도봉구 덕릉로60아길 14 초안산식당 앞 전주,,생활방범,1,2014-08
서울특별시 도봉구 덕릉로60자길 11 물방울 놀이터 입구,,생활방범,1,2012-12
서울특별시 도봉구 우이천로4다길 32 국제트랜스앞 전주,,생활방범,1,1905-07
서울특별시 도봉구 덕릉로53길 35 유성페인트 앞,,생활방범,1,1905-07
