소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
,서울특별시 용산구 후암동 30-93,생활방범,4,2019-07-31
서울특별시 용산구 한강대로102길 51,서울특별시 용산구 후암동 123-16,생활방범,3,2019-07-31
서울특별시 용산구 두텁바위로1길 86,서울특별시 용산구 후암동 160-1,생활방범,3,2019-07-31
,서울특별시 용산구 후암동 167-2,생활방범,3,2019-07-31
서울특별시 용산구 후암로16길 27,서울특별시 용산구 후암동 244-99,생활방범,3,2019-07-31
,서울특별시 용산구 후암동 283-5,생활방범,3,2019-07-31
,서울특별시 용산구 후암동 302-1,생활방범,3,2019-07-31
서울특별시 용산구 두텁바위로58길 17,서울특별시 용산구 후암동 358-63,생활방범,3,2019-07-31
,서울특별시 용산구 후암동 1-59,생활방범,3,2019-07-31
,서울특별시 용산구 후암동 406-109,생활방범,4,2019-07-31
서울특별시 용산구 두텁바위로40길 2,서울특별시 용산구 후암동 404-61,생활방범,3,2019-07-31
,서울특별시 용산구 후암동 448-29,생활방범,3,2019-07-31
서울특별시 용산구 후암로13가길 25,서울특별시 용산구 후암동 239-1,기타,3,2019-07-31
서울특별시 용산구 후암로13가길 25,서울특별시 용산구 후암동 239-1,기타,3,2019-07-31
,서울특별시 용산구 후암동 25-1,생활방범,3,2019-07-31
,서울특별시 용산구 후암동 336-41,생활방범,4,2019-07-31
,서울특별시 용산구 후암동 55-12,생활방범,3,2019-07-31
,서울특별시 용산구 후암동 410-26,생활방범,3,2019-07-31
,서울특별시 용산구 후암동 142-103,생활방범,3,2019-07-31
서울특별시 용산구 소월로2다길 1,서울특별시 용산구 후암동 448-158,생활방범,3,2019-07-31
,서울특별시 용산구 후암동 116-21,생활방범,4,2019-07-31
서울특별시 용산구 후암로 69-1,서울특별시 용산구 후암동 95-3,생활방범,3,2019-07-31
서울특별시 용산구 후암로13가길 25,서울특별시 용산구 후암동 239-1,어린이보호,4,2019-07-31
,서울특별시 용산구 후암동 238-2,어린이보호,1,2019-07-31
,서울특별시 용산구 후암동 30-171,어린이보호,1,2019-07-31
서울특별시 용산구 두텁바위로60길 21,서울특별시 용산구 후암동 339-22,어린이보호,1,2019-07-31
,서울특별시 용산구 후암동 191-6,어린이보호,3,2019-07-31
서울특별시 용산구 두텁바위로60길 37,서울특별시 용산구 후암동 358-58,어린이보호,1,2019-07-31
,서울특별시 용산구 후암동 368,생활방범,7,2019-07-31
