"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 강남구청",,서울특별시 강남구 세곡동 103,생활방범,3,300,360전방면,30,,02-3423-6772,,,2020-08-27
"서울특별시 강남구청","서울특별시 강남구 선릉로 7 (개포동,주공아파트)",서울특별시 강남구 개포동 141-1 (구룡마을입구 교차로 지하보도),생활방범,4,200,360전방면,30,,02-3423-6772,,,2020-08-27
"서울특별시 강남구청","서울특별시 강남구 언주로 110 (개포동,경남아파트)",서울특별시 강남구 개포동 649 (경남1차A 2동 옆 정문),생활방범,4,200,360전방면,30,,02-3423-6772,37.485410809,127.05470483,2020-08-27
"서울특별시 강남구청",서울특별시 강남구 선릉로 103 (개포동),서울특별시 강남구 개포동 650 (구룡중 담장),생활방범,4,200,360전방면,30,,02-3423-6772,37.486152575,127.05612099,2020-08-27
"서울특별시 강남구청","서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-1 (개포주공1단지 13동 옆),생활방범,3,200,360전방면,30,,02-3423-6772,,,2020-08-27
"서울특별시 강남구청","서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-12 (개포주공1단지 55동 옆),생활방범,4,200,360전방면,30,,02-3423-6772,,,2020-08-27
"서울특별시 강남구청","서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-12 (개포중 후문),생활방범,1,200,360전방면,30,,02-3423-6772,,,2020-08-27
"서울특별시 강남구청","서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-2 (개포주공1단지 91동 옆),생활방범,1,200,360전방면,30,,02-3423-6772,,,2020-08-27
"서울특별시 강남구청","서울특별시 강남구 선릉로 7 (개포동,주공아파트)",서울특별시 강남구 개포동 141 (개포주공1단지 104동 뒤쪽 샛길),생활방범,4,200,360전방면,30,,02-3423-6772,,,2020-08-27
"서울특별시 강남구청","서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-1 (개포주공1단지 입구),생활방범,4,200,360전방면,30,,02-3423-6772,,,2020-08-27
"서울특별시 강남구청","서울특별시 강남구 개포로 310 (개포동,개포주공1차아파트)",서울특별시 강남구 개포동 660-12 (주공1단지입구 18동옆),생활방범,4,200,360전방면,30,,02-3423-6772,,,2020-08-27
"서울특별시 강남구청","서울특별시 강남구 개포로 303 (개포동,현대1차아파트)",서울특별시 강남구 개포동 653 (구룡초교 사거리),생활방범,3,200,360전방면,30,,02-3423-6772,37.483280338,127.05439314,2020-08-27
