"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 광진구청","서울특별시 광진구 광장로3길 22 (광장동, 미도빌라)",서울특별시 광진구 광장동 266,생활방범,1,200,360도 전방향,30,2017-04,02-450-7678,37.548408,127.1030681871,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 아차산로70길 35 (광장동),서울특별시 광진구 광장동 554,생활방범,2,200,360도 전방향,30,2017-04,02-450-7678,37.5407894383,127.1006638200,2020-07-08
"서울특별시 광진구청","서울특별시 광진구 아차산로 540 (광장동, 상록타워포철사원임대아파트)",서울특별시 광진구 광장동 570,생활방범,1,200,360도 전방향,30,2015-12,02-450-7678,37.542268,127.101518,2020-07-08
"서울특별시 광진구청","서울특별시 광진구 아차산로78길 53 (광장동, 동북아 스위트힐아파트)",서울특별시 광진구 광장동 107-1,생활방범,1,200,360도 전방향,30,2017-04,02-450-7678,37.551333,127.109903,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 아차산로 636 (광장동),서울특별시 광진구 광장동 148-6,생활방범,1,200,360도 전방향,30,2017-12,02-450-7678,37.548804,127.108978,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 천호대로 809 (광장동),서울특별시 광진구 광장동 244-18,생활방범,4,200,360도 전방향,30,2013-12,02-450-7678,37.5457206676,127.1037166801,2020-07-08
"서울특별시 광진구청","서울특별시 광진구 아차산로75길 25 (광장동, 코지하우스)",서울특별시 광진구 광장동 248-19,생활방범,3,200,360도 전방향,30,2017-04,02-450-7678,37.546682,127.103426,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 아차산로76길 19 (광장동),서울특별시 광진구 광장동 320-8,생활방범,1,200,360도 전방향,30,2012-12,02-450-7678,37.547348,127.107975,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 아차산로78길 176 (광장동),서울특별시 광진구 광장동 323-7,생활방범,1,200,360도 전방향,30,2008-12,02-450-7678,37.547929,127.108083,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 광장로1다길 60 (광장동),서울특별시 광진구 광장동 370-5,생활방범,1,200,360도 전방향,30,2013-12,02-450-7678,37.550643,127.101513,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 광장로1나길 16 (광장동),서울특별시 광진구 광장동 393-6,생활방범,1,200,360도 전방향,30,2014-12,02-450-7678,37.548655,127.101846,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 광장로 1 (광장동),서울특별시 광진구 광장동 401-17,생활방범,2,200,360도 전방향,30,2015-12,02-450-7678,37.545239,127.097787,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 아차산로66길 66 (광장동),서울특별시 광진구 광장동 458-1,생활방범,1,200,360도 전방향,30,2017-04,02-450-7678,37.546368,127.065737,2020-07-08
"서울특별시 광진구청","서울특별시 광진구 구의로 13-6 (구의동, 영화빌리지)",서울특별시 광진구 구의1동 221-21,생활방범,1,200,360도 전방향,30,2014-12,02-450-7678,37.5393861068,127.0889080112,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 아차산로57길 14 (구의동),서울특별시 광진구 구의1동 221-59,생활방범,1,200,360도 전방향,30,2015-12,02-450-7678,37.539075,127.088348,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 자양로26길 91-14 (구의동),서울특별시 광진구 구의1동 222-6,생활방범,1,200,360도 전방향,30,2013-12,02-450-7678,37.540892,127.0891135966,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 광나루로40길 17 (구의동),서울특별시 광진구 구의1동 226-10,생활방범,4,200,360도 전방향,30,2014-12,02-450-7678,37.557595,127.093109,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 자양로30길 79 (구의동),서울특별시 광진구 구의1동 226-18,생활방범,1,200,360도 전방향,30,2014-12,02-450-7678,37.5430366496,127.089418,2020-07-08
"서울특별시 광진구청","서울특별시 광진구 구의로 65 (구의동, KS홈타운)",서울특별시 광진구 구의1동 226-2,생활방범,1,200,360도 전방향,30,2017-04,02-450-7678,37.543861,127.090377,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 자양로30길 87-10 (구의동),서울특별시 광진구 구의1동 226-20,생활방범,4,200,360도 전방향,30,2013-12,02-450-7678,37.543461,127.089729,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 광나루로38길 27 (구의동),서울특별시 광진구 구의1동 231-34,생활방범,3,200,360도 전방향,30,2014-12,02-450-7678,37.543525,127.088073,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 구의로11길 28 (구의동),서울특별시 광진구 구의1동 231-60,생활방범,1,200,360도 전방향,30,2013-12,02-450-7678,37.5436785258,127.088787,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 자양로30길 43 (구의동),서울특별시 광진구 구의1동 232-39,생활방범,3,200,360도 전방향,30,2014-12,02-450-7678,37.543276,127.087224,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 자양로32길 31 (구의동),서울특별시 광진구 구의1동 233-14,생활방범,1,200,360도 전방향,30,2014-12,02-450-7678,37.544234,127.086571,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 자양로30길 14,서울특별시 광진구 구의1동 236-55,생활방범,3,200,360도 전방향,30,2014-12,02-450-7678,37.543686,127.085697,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 자양로28길 73 (구의동),서울특별시 광진구 구의1동 239-45,생활방범,1,200,360도 전방향,30,2014-12,02-450-7678,37.541692,127.088251,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 자양로22길 89 (구의동),서울특별시 광진구 구의1동 241-9,생활방범,1,200,360도 전방향,30,2014-12,02-450-7678,37.539867,127.0883927200,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 구의로1길 12 (구의동),서울특별시 광진구 구의1동 242-109,생활방범,1,200,360도 전방향,30,2013-12,02-450-7678,37.539007,127.087613,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 구의로1길 26 (구의동),서울특별시 광진구 구의1동 242-63,생활방범,1,200,360도 전방향,30,2012-12,02-450-7678,37.5390776623,127.0868936003,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 아차산로53길 77 (구의동),서울특별시 광진구 구의1동 248-16,생활방범,4,200,360도 전방향,30,2013-12,02-450-7678,37.540675,127.086021,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 자양로26길 45-7,서울특별시 광진구 구의1동 249-33,생활방범,1,200,360도 전방향,30,2017-04,02-450-7678,37.541249,127.0865072050,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 광나루로36길 68 (구의동),서울특별시 광진구 구의1동 250-1,생활방범,4,200,360도 전방향,30,2013-12,02-450-7678,37.542093,127.085867,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 자양로26길 14 (구의동),서울특별시 광진구 구의1동 251-154,생활방범,1,200,360도 전방향,30,2014-12,02-450-7678,37.541775,127.084888,2020-07-08
"서울특별시 광진구청","서울특별시 광진구 아차산로49길 70 (구의동, 대림파크빌)",서울특별시 광진구 구의1동 251-72,생활방범,1,200,360도 전방향,30,2013-12,02-450-7678,37.539968,127.084183,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 아차산로51길 23 (구의동),서울특별시 광진구 구의1동 252-119,생활방범,3,200,360도 전방향,30,2014-12,02-450-7678,37.538127,127.084979,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 아차산로49길 32 (구의동),서울특별시 광진구 구의1동 252-127,생활방범,1,200,360도 전방향,30,2017-04,02-450-7678,37.538358,127.084376,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 아차산로49길 50 (구의동),서울특별시 광진구 구의1동 252-55,생활방범,1,200,360도 전방향,30,2012-12,02-450-7678,37.539075,127.084312,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 자양로23길 86 (구의동),서울특별시 광진구 구의1동 254-97,생활방범,1,200,360도 전방향,30,2017-04,02-450-7678,37.544119,127.084083,2020-07-08
"서울특별시 광진구청","서울특별시 광진구 아차산로55길 23 (구의동, 신일아트빌라)",서울특별시 광진구 구의1동 257-12,생활방범,4,200,360도 전방향,30,2011-12,02-450-7678,37.538428,127.0862546208,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 아차산로53길 53 (구의동),서울특별시 광진구 구의1동 257-15,생활방범,1,200,360도 전방향,30,2017-04,02-450-7678,37.539621,127.085686,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 아차산로53길 29 (구의동),서울특별시 광진구 구의1동 257-22,생활방범,1,200,360도 전방향,30,2014-12,02-450-7678,37.538493,127.085774,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 아차산로53길 38-12 (구의동),서울특별시 광진구 구의1동 257-27,생활방범,1,200,360도 전방향,30,2015-12,02-450-7678,37.539066,127.086142,2020-07-08
"서울특별시 광진구청","서울특별시 광진구 광나루로30가길 9 (구의동, 드림스카이빌)",서울특별시 광진구 구의1동 633-17,생활방범,1,200,360도 전방향,30,2017-04,02-450-7678,37.544149,127.082497,2020-07-08
"서울특별시 광진구청","서울특별시 광진구 자양로44길 141-7 (구의동, 태진빌리지)",서울특별시 광진구 구의2동 35-10,생활방범,1,200,360도 전방향,30,2013-12,02-450-7678,37.551502,127.095589,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 자양로44길 69 (구의동),서울특별시 광진구 구의2동 43-11,생활방범,1,200,360도 전방향,30,2014-12,02-450-7678,37.549677,127.095009,2020-07-08
"서울특별시 광진구청","서울특별시 광진구 자양로45길 13 (구의동, 영덕주택)",서울특별시 광진구 구의2동 52-9,생활방범,3,200,360도 전방향,30,2014-12,02-450-7678,37.551683,127.091378,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 광나루로 517-10 (구의동),서울특별시 광진구 구의2동 67-8,생활방범,4,200,360도 전방향,30,2011-12,02-450-7678,37.545513,127.087302,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 자양로37가길 10 (구의동),서울특별시 광진구 구의2동 80-4,생활방범,1,200,360도 전방향,30,2017-04,02-450-7678,37.547639,127.087255,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 구의동 30-1 이화파크맨션,서울특별시 광진구 구의2동 30-1,생활방범,1,200,360도 전방향,30,2017-04,02-450-7678,37.553555,127.092883,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 영화사로16가길 21 (구의동),서울특별시 광진구 구의2동 23-2,생활방범,4,200,360도 전방향,30,2017-04,02-450-7678,37.5534761194,127.095613,2020-07-08
"서울특별시 광진구청",서울특별시 광진구 자양로53길 10 (구의동),서울특별시 광진구 구의2동 27-4,생활방범,1,200,360도 전방향,30,2014-12,02-450-7678,37.554054,127.093344,2020-07-08
