"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시동작구청",서울특별시 동작구 장승배기로23길 10,,생활방범,3,,,,,02-820-2906,37.5101034617,126.9394527078,2020-03-24
"서울특별시동작구청",서울특별시 동작구 노량진로8길 40,,생활방범,3,,,,,02-820-2906,37.5124234129,126.9374646512,2020-03-24
"서울특별시동작구청",서울특별시 동작구 장승배기로18길 27,,생활방범,3,,,,,02-820-2906,37.5077079281,126.9417166673,2020-03-24
"서울특별시동작구청",서울특별시 동작구 만양로14다길 7,,생활방범,1,,,,,02-820-2906,37.5112812874,126.945437359,2020-03-24
"서울특별시동작구청",서울특별시 동작구 장승배기로22길 44(,,생활방범,1,,,,,02-820-2906,37.5084359977,126.9418337277,2020-03-24
"서울특별시동작구청",서울특별시 동작구 장승배기로19다길 24(노량진2동 302-27),,생활방범,1,,,,,02-820-2906,37.5092195171,126.9376075725,2020-03-24
"서울특별시동작구청",서울특별시 동작구 장승배기로24가길 39(노량진1동 232-52),,생활방범,1,,,,,02-820-2906,37.5112471818,126.9419356043,2020-03-24
"서울특별시동작구청",서울특별시 동작구 노량진로26길 65(노량진1동 485-2),,생활방범,1,,,,,02-820-2906,37.5097790685,126.9556087967,2020-03-24
"서울특별시동작구청",서울특별시 동작구 노량진로18길 20(노량진1동 408-1),,생활방범,3,,,,,02-820-2906,37.5119972506,126.9508298133,2020-03-24
"서울특별시동작구청",서울특별시 동작구 상도로60길 35(상도1동 126-65),,생활방범,3,,,,,02-820-2906,37.4921478264,126.954664857,2020-03-24
"서울특별시동작구청",서울특별시 동작구 상도로67길 20(상도1동 504-13),,생활방범,4,,,,,02-820-2906,37.4944876386,126.9567938944,2020-03-24
"서울특별시동작구청",서울특별시 동작구 상도로41가길 6(상도1동 465),,생활방범,4,,,,,02-820-2906,37.5026446254,126.950365478,2020-03-24
"서울특별시동작구청",서울특별시 동작구 상도로 41길 50(상도1동 440),,생활방범,4,,,,,02-820-2906,37.5024830142,126.9517408001,2020-03-24
"서울특별시동작구청",서울특별시 동작구 상도로47다길 32(상도1동 319-1),,생활방범,4,,,,,02-820-2906,37.5015537752,126.9532296883,2020-03-24
"서울특별시동작구청",서울특별시 동작구 상도로56길 6(상도1동 473-7),,생활방범,4,,,,,02-820-2906,37.4961186437,126.9525726689,2020-03-24
"서울특별시동작구청",서울특별시 동작구 상도로15마길 22(상도2동 356-85),,생활방범,4,,,,,02-820-2906,37.5034761385,126.9336178422,2020-03-24
"서울특별시동작구청",서울특별시 동작구 상도로15아길 18(상도2동 361-52),,생활방범,3,,,,,02-820-2906,37.5043524728,126.9346168365,2020-03-24
"서울특별시동작구청",서울특별시 동작구 상도로26가길 8(상도2동 183-22),,생활방범,3,,,,,02-820-2906,37.50353636,126.9383361097,2020-03-24
"서울특별시동작구청",서울특별시 동작구 만양로1길 18(상도2동 22-43),,생활방범,3,,,,,02-820-2906,37.5065281402,126.9466487208,2020-03-24
"서울특별시동작구청",서울특별시 동작구 대방동2길 38,,생활방범,3,,,,,02-820-2906,37.5029319291,126.9274841043,2020-03-24
"서울특별시동작구청",서울특별시 동작구 국사봉10길 20(상도3동 299-109),,생활방범,3,,,,,02-820-2906,37.4952466996,126.9310830338,2020-03-24
"서울특별시동작구청",서울특별시 동작구 성대로6가길 41(상도3동 256-219),,생활방범,4,,,,,02-820-2906,37.4971149559,126.9334742008,2020-03-24
"서울특별시동작구청",서울특별시 동작구 국사봉5길 1(상도3동 304-6),,생활방범,4,,,,,02-820-2906,37.4977690786,126.9303343467,2020-03-24
"서울특별시동작구청",서울특별시 동작구 성대로21가길 29(상도4동 244-47),,생활방범,3,,,,,02-820-2906,37.4993107367,126.9351459636,2020-03-24
"서울특별시동작구청",서울특별시 동작구 성대로10길 55(상도4동 279-52),,생활방범,4,,,,,02-820-2906,37.4960353896,126.9364560428,2020-03-24
"서울특별시동작구청",서울특별시 동작구 성대로31길 33(상도4동 202-221),,생활방범,4,,,,,02-820-2906,37.5002101094,126.9388409644,2020-03-24
"서울특별시동작구청",서울특별시 동작구 양녕로28길 54(상도4동 211-132),,생활방범,5,,,,,02-820-2906,37.4980586814,126.9466366529,2020-03-24
"서울특별시동작구청",서울특별시 동작구 서달로8가길2(흑석동 93-147),,생활방범,3,,,,,02-820-2906,37.5058096326,126.9618903691,2020-03-24
"서울특별시동작구청",서울특별시 동작구 서달로10길 64(흑석동 84-10),,생활방범,1,,,,,02-820-2906,37.5042097458,126.9628276169,2020-03-24
"서울특별시동작구청",서울특별시 동작구 흑석로3길 38-1(흑석동 200-12),,생활방범,3,,,,,02-820-2906,37.508716081,126.9561387471,2020-03-24
"서울특별시동작구청",서울특별시 동작구 서달로6길 19(흑석동 79-24),,생활방범,3,,,,,02-820-2906,37.5033265015,126.9620137734,2020-03-24
"서울특별시동작구청",서울특별시 동작구 대방동3길 39,,생활방범,4,,,,,02-820-2906,37.5012258489,126.9252736856,2020-03-24
"서울특별시동작구청",서울특별시 동작구 대방동2길 22,,생활방범,2,,,,,02-820-2906,37.5017036525,126.9286252613,2020-03-24
"서울특별시동작구청",서울특별시 동작구 등용로4길 43(대방동 13-4),,생활방범,4,,,,,02-820-2906,37.5073692312,126.9349670797,2020-03-24
"서울특별시동작구청",서울특별시 동작구 여의대방로62길 14(대방동 101-5),,생활방범,4,,,,,02-820-2906,37.5139029865,126.9281793006,2020-03-24
"서울특별시동작구청",서울특별시 동작구 대방동 9길 14(대방동 391-249),,생활방범,3,,,,,02-820-2906,37.5020842622,126.9263178071,2020-03-24
"서울특별시동작구청",서울특별시 동작구 여의대방로24라길 13(대방동 415-47),,생활방범,3,,,,,02-820-2906,37.4985930287,126.922354129,2020-03-24
"서울특별시동작구청",서울특별시 동작구 신대방2나길 1(신대방1동 621-1),,생활방범,3,,,,,02-820-2906,37.4889816989,126.9128930857,2020-03-24
"서울특별시동작구청",서울특별시 동작구 신대방1길 72(신대방1동 696-4),,생활방범,3,,,,,02-820-2906,37.4860045645,126.9078717789,2020-03-24
"서울특별시동작구청",,서울특별시 동작구 신대방1동 631-38,생활방범,3,,,,,02-820-2906,37.488202,126.913845,2020-03-24
"서울특별시동작구청",,서울특별시 동작구 신대방1동 459-6,생활방범,2,,,,,02-820-2906,37.489168,126.915635,2020-03-24
