"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 성동구청",서울특별시 성동구 용답길 133,서울특별시 성동구 용답동 24-37,생활방범,4,200,360도 전방면,30,2015-12,02-2286-5879,37.560776,127.054749,2020-06-08
"서울특별시 성동구청",서울특별시 성동구 용답중앙길 80-1,서울특별시 성동구 용답동 44-6,생활방범,4,200,360도 전방면,30,2015-12,02-2286-5879,37.562740,127.054214,2020-06-08
"서울특별시 성동구청",서울특별시 성동구 용답29길 23,서울특별시 성동구 용답동 58-1,생활방범,4,200,360도 전방면,30,2015-12,02-2286-5879,37.564621,127.053749,2020-06-08
"서울특별시 성동구청",서울특별시 성동구 천호대로 276,서울특별시 성동구 용답동 103-9,생활방범,3,200,360도 전방면,30,2015-12,02-2286-5879,37.567360,127.051735,2020-06-08
"서울특별시 성동구청",서울특별시 성동구 용답15길 1,서울특별시 성동구 용답동 170-8,생활방범,3,200,360도 전방면,30,2015-12,02-2286-5879,37.563576,127.050827,2020-06-08
"서울특별시 성동구청",서울특별시 성동구 용답중앙1길 1,서울특별시 성동구 용답동 114-3,생활방범,4,200,360도 전방면,30,2015-12,02-2286-5879,37.567303,127.049965,2020-06-08
"서울특별시 성동구청",서울특별시 성동구 무학로2나길 28,서울특별시 성동구 도선동 185-28,생활방범,3,200,360도 전방면,30,2015-12,02-2286-5879,37.564186,127.034233,2020-06-08
"서울특별시 성동구청",서울특별시 성동구 무학로4길 21,서울특별시 성동구 도선동 177,생활방범,4,200,360도 전방면,30,2015-12,02-2286-5879,37.564697,127.033028,2020-06-08
"서울특별시 성동구청",서울특별시 성동구 왕십리로26길 1,서울특별시 성동구 도선동 284-2,생활방범,4,200,360도 전방면,30,2015-12,02-2286-5879,37.563595,127.032715,2020-06-08
"서울특별시 성동구청",서울특별시 성동구 왕십리로 318,서울특별시 성동구 도선동 45,생활방범,3,200,360도 전방면,30,2015-12,02-2286-5879,37.562054,127.034554,2020-06-08
"서울특별시 성동구청",서울특별시 성동구 왕십리로21길 3,서울특별시 성동구 행당동 286-14,생활방범,5,200,360도 전방면,30,2015-12,02-2286-5879,37.561855,127.033676,2020-06-08
