"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 영등포구","도영로 18,근처 횡단보도앞 인도",도림동 226-2 쌍용APT 4R,생활방범,1,,360도 전방면,30,2013-12,02-2670-4067,37.5080730599,126.8952841175,2020-05-06
"서울특별시 영등포구",가마산로61길 20-8,가마산로61길 20-8 (신길3동),생활방범,1,,360도 전방면,30,2013-12,02-2670-4067,37.5069057588,126.9047749336,2020-05-06
"서울특별시 영등포구",신길로56길 7,신길동 190-160,생활방범,1,,360도 전방면,30,2013-12,02-2670-4067,37.5123422184,126.9110615139,2020-05-06
"서울특별시 영등포구",도신로54길 12-13,신길동 199-19,생활방범,1,,360도 전방면,30,2013-12,02-2670-4067,37.5099667619,126.9146549064,2020-05-06
"서울특별시 영등포구",영등포로5길 31,양평동2가 33-38,생활방범,1,,360도 전방면,30,2013-12,02-2670-4067,37.5245159254,126.8846718786,2020-05-06
"서울특별시 영등포구","시흥대로 589-8,LG신대림자이APT 202동 주차장출입구앞 부근",대림2동 995-1 BYC앞 (자이 202동 앞),생활방범,1,,360도 전방면,30,2013-12,02-2670-4067,37.4855994642,126.9021701462,2020-05-06
"서울특별시 영등포구",디지털로69나길 10-1,디지털로69나길 12 스타빌 앞(대림1동),생활방범,1,,360도 전방면,30,2013-12,02-2670-4067,37.4935919027,126.9028903206,2020-05-06
"서울특별시 영등포구","도영로 2-5, 대림코오롱APT 104동 부근 APT출입구앞",대림3동 607-1 상가옆,생활방범,1,,360도 전방면,30,2013-12,02-2670-4067,37.5069494517,126.8942345289,2020-05-06
"서울특별시 영등포구","영중로18길 12,영상빌딩앞",영중로18길 12 (영등포동5가),생활방범,1,,360도 전방면,30,2013-12,02-2670-4067,37.5210471037,126.9062957438,2020-05-06
"서울특별시 영등포구","국회대로56길 19,한강성심병원 장례식장 사이골목",영등포동7가 29-51 한강성심병원 장례식장 사이골목,생활방범,1,,360도 전방면,30,2013-12,02-2670-4067,37.5234878558,126.9097991441,2020-05-06
"서울특별시 영등포구",대림로8가길 9,대림로8가길 9 (대림동 988-10),생활방범,1,,360도 전방면,30,2013-12,02-2670-4067,37.4899074965,126.9058193385,2020-05-06
"서울특별시 영등포구","양산로17길 17,사거리앞",당산동3가 555-1,생활방범,1,,360도 전방면,30,2013-12,02-2670-4067,37.5261367843,126.8937467632,2020-05-06
"서울특별시 영등포구",도림로57길 10-2,도림로57길 10-2,생활방범,1,,360도 전방면,30,2013-12,02-2670-4067,37.4974721823,126.9021533573,2020-05-06
"서울특별시 영등포구","영등포로79길 7,혜영빌라앞",신길1동 65-102 혜영빌라 앞,생활방범,1,,360도 전방면,30,2013-12,02-2670-4067,37.5144735028,126.9212844876,2020-05-06
"서울특별시 영등포구",영등포로 399-5,영등포로 399-5 앞,생활방범,1,,360도 전방면,30,2013-12,02-2670-4067,37.5138280755,126.9223365909,2020-05-06
