기간,지역,인구,면적,인구밀도(명/㎢)
2010,합계,"10,575,447",605.25,"17,473"
2010,종로구,"179,362",23.91,"7,502"
2010,중구,"141,200",9.96,"14,177"
2010,용산구,"257,143",21.87,"11,759"
2010,성동구,"316,892",16.85,"18,808"
2010,광진구,"388,775",17.06,"22,786"
2010,동대문구,"379,343",14.2,"26,713"
2010,중랑구,"432,302",18.5,"23,371"
2010,성북구,"497,692",24.56,"20,260"
2010,강북구,"350,007",23.61,"14,823"
2010,도봉구,"370,734",20.7,"17,908"
2010,노원구,"615,425",35.44,"17,367"
2010,은평구,"492,925",29.69,"16,600"
2010,서대문구,"333,871",17.6,"18,965"
2010,마포구,"400,464",23.88,"16,771"
2010,양천구,"505,223",17.4,"29,028"
2010,강서구,"580,506",41.43,"14,013"
2010,구로구,"452,667",20.12,"22,497"
2010,금천구,"264,544",13.0,"20,349"
2010,영등포구,"445,648",24.57,"18,141"
2010,동작구,"413,814",16.35,"25,312"
2010,관악구,"549,736",29.57,"18,592"
2010,서초구,"440,021",47.0,"9,362"
2010,강남구,"577,070",39.51,"14,604"
2010,송파구,"693,144",33.88,"20,460"
2010,강동구,"496,939",24.58,"20,214"
2011,합계,"10,528,774",605.21,"17,397"
2011,종로구,"177,419",23.91,"7,421"
2011,중구,"141,567",9.96,"14,212"
2011,용산구,"259,288",21.87,"11,857"
2011,성동구,"308,767",16.85,"18,325"
2011,광진구,"386,673",17.06,"22,661"
2011,동대문구,"378,534",14.2,"26,653"
2011,중랑구,"428,672",18.5,"23,175"
2011,성북구,"494,422",24.57,"20,125"
2011,강북구,"348,740",23.6,"14,780"
2011,도봉구,"367,949",20.7,"17,774"
2011,노원구,"608,062",35.44,"17,160"
2011,은평구,"498,350",29.69,"16,782"
2011,서대문구,"324,529",17.6,"18,434"
2011,마포구,"398,627",23.84,"16,720"
2011,양천구,"505,605",17.41,"29,049"
2011,강서구,"575,846",41.43,"13,901"
2011,구로구,"458,908",20.12,"22,806"
2011,금천구,"264,256",13.0,"20,326"
2011,영등포구,"439,555",24.57,"17,892"
2011,동작구,"413,658",16.35,"25,296"
2011,관악구,"546,350",29.57,"18,478"
2011,서초구,"439,012",47.0,"9,340"
2011,강남구,"573,003",39.51,"14,501"
2011,송파구,"690,466",33.88,"20,382"
2011,강동구,"500,516",24.59,"20,359"
2012,합계,"10,442,426",605.18,"17,255"
2012,종로구,"173,148",23.91,"7,243"
2012,중구,"140,807",9.96,"14,136"
2012,용산구,"255,294",21.87,"11,674"
2012,성동구,"306,868",16.85,"18,214"
2012,광진구,"384,269",17.06,"22,520"
2012,동대문구,"375,683",14.2,"26,453"
2012,중랑구,"423,655",18.5,"22,904"
2012,성북구,"490,639",24.57,"19,968"
2012,강북구,"346,493",23.6,"14,684"
2012,도봉구,"364,454",20.7,"17,605"
2012,노원구,"600,829",35.44,"16,955"
2012,은평구,"505,902",29.7,"17,035"
2012,서대문구,"324,733",17.61,"18,444"
2012,마포구,"393,576",23.84,"16,511"
2012,양천구,"500,533",17.4,"28,769"
2012,강서구,"573,794",41.43,"13,851"
2012,구로구,"454,478",20.12,"22,589"
2012,금천구,"260,734",13.0,"20,055"
2012,영등포구,"426,876",24.55,"17,386"
2012,동작구,"416,268",16.35,"25,456"
2012,관악구,"540,520",29.57,"18,280"
2012,서초구,"439,998",47.0,"9,361"
2012,강남구,"569,997",39.5,"14,431"
2012,송파구,"680,150",33.88,"20,078"
2012,강동구,"492,728",24.59,"20,042"
2013,합계,"10,388,055",605.2,"17,165"
2013,종로구,"167,867",23.91,"7,022"
2013,중구,"137,990",9.96,"13,854"
2013,용산구,"251,925",21.87,"11,520"
2013,성동구,"306,571",16.85,"18,190"
2013,광진구,"381,439",17.06,"22,356"
2013,동대문구,"376,445",14.21,"26,490"
2013,중랑구,"421,237",18.5,"22,773"
2013,성북구,"485,347",24.58,"19,747"
2013,강북구,"341,921",23.6,"14,490"
2013,도봉구,"360,609",20.7,"17,418"
2013,노원구,"594,027",35.44,"16,763"
2013,은평구,"508,111",29.7,"17,107"
2013,서대문구,"324,067",17.61,"18,405"
2013,마포구,"391,098",23.84,"16,407"
2013,양천구,"496,934",17.4,"28,554"
2013,강서구,"575,236",41.43,"13,885"
2013,구로구,"452,168",20.12,"22,475"
2013,금천구,"258,254",13.02,"19,840"
2013,영등포구,"421,577",24.53,"17,187"
2013,동작구,"421,487",16.35,"25,773"
2013,관악구,"535,128",29.57,"18,097"
2013,서초구,"446,541",47.0,"9,501"
2013,강남구,"569,152",39.5,"14,409"
2013,송파구,"674,955",33.87,"19,925"
2013,강동구,"487,969",24.59,"19,846"
2014,합계,"10,369,593",605.21,"17,134"
2014,종로구,"165,344",23.91,"6,914"
2014,중구,"136,227",9.96,"13,677"
2014,용산구,"249,914",21.87,"11,428"
2014,성동구,"303,891",16.86,"18,028"
2014,광진구,"377,375",17.06,"22,117"
2014,동대문구,"376,319",14.21,"26,481"
2014,중랑구,"423,411",18.5,"22,892"
2014,성북구,"475,961",24.58,"19,366"
2014,강북구,"338,410",23.6,"14,341"
2014,도봉구,"355,712",20.7,"17,183"
2014,노원구,"586,056",35.44,"16,538"
2014,은평구,"503,243",29.7,"16,943"
2014,서대문구,"320,861",17.61,"18,225"
2014,마포구,"395,830",23.84,"16,607"
2014,양천구,"490,708",17.4,"28,196"
2014,강서구,"591,653",41.43,"14,282"
2014,구로구,"457,131",20.12,"22,721"
2014,금천구,"258,030",13.02,"19,818"
2014,영등포구,"421,436",24.53,"17,181"
2014,동작구,"419,261",16.35,"25,637"
2014,관악구,"531,960",29.57,"17,991"
2014,서초구,"454,288",47.0,"9,665"
2014,강남구,"583,446",39.5,"14,770"
2014,송파구,"671,794",33.88,"19,831"
2014,강동구,"481,332",24.59,"19,577"
