기간	구분	일반가구수	가구원수별 가구수	가구원수별 가구수	가구원수별 가구수	가구원수별 가구수	가구원수별 가구수	가구원수별 가구수	가구원수별 가구수	평균가구원수
기간	구분	일반가구수	1인	2인	3인	4인	5인	6인	7인 이상	평균가구원수
2010	합계	3,504,297	854,606	781,527	788,115	807,836	209,061	47,659	15,493	2.7
2010	종로구	57,807	18,156	13,073	11,255	10,832	3,315	849	327	2.5
2010	중구	45,656	13,909	10,957	9,357	8,229	2,426	580	198	2.5
2010	용산구	86,470	25,846	21,376	17,988	15,721	4,280	958	301	2.5
2010	성동구	107,114	27,041	25,050	23,471	23,512	6,070	1,456	514	2.7
2010	광진구	133,468	36,411	30,313	28,304	28,981	7,260	1,653	546	2.6
2010	동대문구	128,042	36,897	28,178	26,703	26,278	7,408	1,924	654	2.6
2010	중랑구	144,951	33,324	33,469	33,753	33,129	8,631	2,034	611	2.7
2010	성북구	162,896	38,652	36,345	37,098	37,417	10,113	2,458	813	2.7
2010	강북구	117,072	26,054	28,303	27,893	25,488	6,934	1,807	593	2.7
2010	도봉구	118,947	21,233	26,510	29,910	31,272	7,719	1,755	548	2.9
2010	노원구	197,168	34,290	42,867	48,337	55,483	12,875	2,613	703	2.9
2010	은평구	154,923	29,795	36,053	37,846	37,281	10,368	2,681	899	2.8
2010	서대문구	112,701	29,943	25,826	23,951	23,946	6,691	1,748	596	2.6
2010	마포구	141,402	41,109	33,534	29,318	27,842	7,323	1,739	537	2.5
2010	양천구	154,239	25,218	30,440	38,023	46,514	11,108	2,210	726	3
2010	강서구	193,629	41,804	43,145	46,633	46,647	11,965	2,576	859	2.8
2010	구로구	142,678	30,156	32,185	34,077	34,362	9,121	2,091	686	2.8
2010	금천구	86,533	23,274	19,298	18,847	18,689	4,889	1,170	366	2.6
2010	영등포구	138,637	34,158	32,312	31,145	30,647	7,984	1,813	578	2.7
2010	동작구	145,744	40,256	33,201	30,934	30,440	8,269	2,002	642	2.6
2010	관악구	217,359	84,423	45,930	38,542	35,910	9,582	2,230	742	2.3
2010	서초구	136,840	29,188	29,678	31,999	34,533	8,787	1,952	703	2.8
2010	강남구	200,965	59,528	42,772	41,331	43,953	10,670	2,012	699	2.6
2010	송파구	219,426	42,222	46,802	52,671	58,910	14,744	3,108	969	2.9
2010	강동구	159,630	31,719	33,910	38,729	41,820	10,529	2,240	683	2.8
2015	합계	3,784,490	1,115,744	930,467	817,440	701,945	169,436	38,547	10,911	2.5
2015	종로구	61,580	22,776	15,314	11,272	8,840	2,535	628	215	2.3
2015	중구	51,205	19,161	13,157	9,392	6,987	1,879	483	146	2.2
2015	용산구	90,313	31,025	23,776	17,826	13,222	3,436	788	240	2.3
2015	성동구	114,719	35,259	28,415	24,622	20,125	4,748	1,220	330	2.4
2015	광진구	147,718	54,210	33,112	28,603	24,511	5,595	1,284	403	2.3
2015	동대문구	146,677	52,884	34,156	28,136	23,382	6,029	1,615	475	2.3
2015	중랑구	157,537	45,138	40,248	34,528	28,363	7,145	1,680	435	2.5
2015	성북구	174,257	52,005	41,763	37,428	32,357	8,118	2,009	577	2.5
2015	강북구	125,666	35,787	33,501	27,585	21,533	5,501	1,332	427	2.5
2015	도봉구	124,981	27,348	33,003	30,482	26,199	6,138	1,401	410	2.7
2015	노원구	204,836	46,129	49,939	49,483	46,752	10,096	1,950	487	2.7
2015	은평구	179,752	43,936	48,337	41,330	34,509	8,975	2,087	578	2.6
2015	서대문구	121,034	40,160	29,851	24,236	20,088	5,073	1,242	384	2.4
2015	마포구	154,981	52,437	38,851	30,747	25,100	6,117	1,357	372	2.4
2015	양천구	163,823	32,832	38,206	41,332	39,905	9,160	1,889	499	2.8
2015	강서구	217,636	56,990	55,553	50,022	42,244	10,129	2,117	581	2.5
2015	구로구	156,528	40,988	39,731	35,289	30,641	7,547	1,840	492	2.6
2015	금천구	93,443	31,219	22,485	19,099	15,649	3,816	904	271	2.4
2015	영등포구	147,745	48,433	36,647	30,391	24,698	5,811	1,369	396	2.4
2015	동작구	161,000	53,954	38,290	32,701	27,457	6,660	1,525	413	2.4
2015	관악구	228,636	100,302	51,894	37,713	29,232	7,290	1,709	496	2.1
2015	서초구	154,031	37,496	37,093	35,934	32,829	8,255	1,828	596	2.6
2015	강남구	211,357	61,897	51,614	45,477	40,514	9,322	1,974	559	2.5
2015	송파구	230,941	53,481	55,654	55,334	51,635	11,717	2,449	671	2.7
2015	강동구	164,094	39,897	39,877	38,478	35,173	8,344	1,867	458	2.6
