기간	구분	총가구	총가구	총가구	총가구	일반가구	일반가구	일반가구	일반가구	집단가구	집단가구	집단가구	집단가구	집단가구	집단가구	집단가구	집단가구	외국인가구	외국인가구	외국인가구	외국인가구
기간	구분	총가구	총가구	총가구	총가구	일반가구	일반가구	일반가구	일반가구	비혈연 6인이상 가구	비혈연 6인이상 가구	비혈연 6인이상 가구	비혈연 6인이상 가구	집단시설가구	집단시설가구	집단시설가구	집단시설가구	외국인가구	외국인가구	외국인가구	외국인가구
기간	구분	가구수	가구원수	가구원수	가구원수	가구수	가구원수	가구원수	가구원수	가구수	가구원수	가구원수	가구원수	가구수	가구원수	가구원수	가구원수	가구수	가구원수	가구원수	가구원수
기간	구분	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자
2015	합계	3,914,820	9,904,312	4,859,535	5,044,777	3,784,490	9,394,807	4,555,632	4,839,175	1,489	16,753	8,471	8,282	772	82,267	36,754	45,513	128,069	262,718	131,533	131,185
2015	종로구	68,429	161,521	79,510	82,011	61,580	140,595	68,165	72,430	72	633	316	317	34	4,128	2,164	1,964	6,743	12,521	6,166	6,355
2015	중구	55,508	128,478	63,218	65,260	51,205	114,967	56,336	58,631	46	487	266	221	18	2,028	603	1,425	4,239	8,290	3,932	4,358
2015	용산구	96,385	227,282	109,980	117,302	90,313	208,603	99,564	109,039	45	485	245	240	23	1,704	472	1,232	6,004	11,410	5,925	5,485
2015	성동구	118,900	295,006	146,332	148,674	114,719	279,939	136,888	143,051	57	684	319	365	18	2,468	1,562	906	4,106	7,282	3,689	3,593
2015	광진구	155,242	368,199	180,647	187,552	147,718	342,909	166,328	176,581	51	575	260	315	33	5,628	2,868	2,760	7,440	13,634	6,433	7,201
2015	동대문구	153,362	364,787	181,189	183,598	146,677	342,429	168,828	173,601	103	1,193	597	596	31	4,229	2,001	2,228	6,551	10,651	4,524	6,127
2015	중랑구	160,043	403,237	199,936	203,301	157,537	391,655	192,236	199,419	37	428	181	247	31	1,371	610	761	2,438	4,118	1,916	2,202
2015	성북구	178,717	456,844	221,861	234,983	174,257	434,061	209,363	224,698	99	1,269	619	650	69	7,762	2,976	4,786	4,292	6,833	3,053	3,780
2015	강북구	127,462	319,992	156,386	163,606	125,666	310,292	150,378	159,914	46	462	239	223	36	1,782	457	1,325	1,714	2,890	1,273	1,617
2015	도봉구	125,952	340,095	166,187	173,908	124,981	331,682	160,673	171,009	33	401	119	282	31	1,928	433	1,495	907	1,440	709	731
2015	노원구	206,092	562,996	274,128	288,868	204,836	547,202	263,417	283,785	62	734	304	430	32	5,180	2,194	2,986	1,162	1,875	958	917
2015	은평구	181,725	478,374	232,709	245,665	179,752	464,236	222,929	241,307	49	464	204	260	35	4,008	2,397	1,611	1,889	3,399	1,636	1,763
2015	서대문구	125,149	308,768	147,956	160,812	121,034	288,543	137,817	150,726	60	772	393	379	44	7,768	3,023	4,745	4,011	6,923	2,807	4,116
2015	마포구	159,636	381,330	182,657	198,673	154,981	364,232	172,865	191,367	72	741	354	387	28	2,650	1,281	1,369	4,555	8,077	3,475	4,602
2015	양천구	166,139	465,512	229,878	235,634	163,823	453,634	221,218	232,416	39	375	185	190	25	807	293	514	2,252	3,987	1,998	1,989
2015	강서구	220,598	570,507	278,270	292,237	217,636	554,709	267,487	287,222	49	440	177	263	41	2,290	874	1,416	2,872	5,431	2,867	2,564
2015	구로구	170,651	444,832	222,985	221,847	156,528	401,233	197,438	203,795	44	639	318	321	28	2,006	972	1,034	14,051	35,104	19,123	15,981
2015	금천구	103,086	250,690	128,036	122,654	93,443	222,566	111,777	110,789	29	460	261	199	31	1,285	447	838	9,583	22,207	11,994	10,213
2015	영등포구	162,570	406,528	203,801	202,727	147,745	351,837	172,795	179,042	80	1,194	750	444	28	2,087	1,301	786	14,717	44,555	23,369	21,186
2015	동작구	166,706	407,894	200,602	207,292	161,000	383,917	186,761	197,156	54	630	321	309	22	5,673	2,788	2,885	5,630	11,837	5,719	6,118
2015	관악구	238,744	519,622	261,967	257,655	228,636	484,478	241,953	242,525	133	1,583	950	633	35	7,008	3,516	3,492	9,940	19,232	9,332	9,900
2015	서초구	156,703	420,804	201,841	218,963	154,031	407,416	193,537	213,879	63	604	265	339	25	2,506	838	1,668	2,584	4,287	2,090	2,197
2015	강남구	214,911	541,688	259,526	282,162	211,357	526,157	248,833	277,324	81	646	389	257	24	1,527	578	949	3,449	5,159	2,685	2,474
2015	송파구	235,101	634,941	309,336	325,605	230,941	615,487	296,204	319,283	45	417	236	181	22	3,097	1,340	1,757	4,093	7,057	3,573	3,484
2015	강동구	167,009	444,385	220,597	223,788	164,094	432,028	211,842	220,186	40	437	203	234	28	1,347	766	581	2,847	4,519	2,287	2,232
2016	합계	3,915,023	9,805,506	4,799,115	5,006,391	3,784,705	9,315,075	4,510,141	4,804,934	1,053	9,226	5,465	3,761	764	87,083	37,908	49,175	128,501	255,736	127,011	128,725
2016	종로구	65,022	154,398	75,620	78,778	60,786	137,889	66,610	71,279	58	495	306	189	52	5,315	2,881	2,434	4,126	7,263	3,238	4,025
2016	중구	55,554	128,160	62,514	65,646	51,503	114,614	55,834	58,780	56	490	304	186	22	2,855	858	1,997	3,973	7,568	3,529	4,039
2016	용산구	96,097	224,993	108,520	116,473	90,164	206,719	98,443	108,276	32	274	116	158	33	2,264	824	1,440	5,868	11,194	5,720	5,474
2016	성동구	120,625	294,744	145,935	148,809	116,401	280,447	137,123	143,324	40	314	198	116	15	2,350	1,377	973	4,169	7,228	3,573	3,655
2016	광진구	153,844	363,979	177,858	186,121	146,196	339,155	163,934	175,221	51	407	262	145	26	5,324	2,612	2,712	7,571	13,854	6,550	7,304
2016	동대문구	152,538	359,935	178,285	181,650	145,179	337,449	166,238	171,211	69	611	373	238	34	4,323	2,069	2,254	7,256	11,743	4,892	6,851
2016	중랑구	159,920	399,317	197,875	201,442	157,571	388,408	190,502	197,906	21	174	122	52	22	1,283	573	710	2,306	3,930	1,870	2,060
2016	성북구	179,278	451,800	218,606	233,194	174,370	428,696	206,326	222,370	86	851	402	449	67	8,136	3,077	5,059	4,755	7,557	3,343	4,214
2016	강북구	127,371	316,212	154,407	161,805	125,580	307,062	148,774	158,288	26	224	148	76	33	1,807	471	1,336	1,732	2,825	1,247	1,578
