기간,지역,인구,면적,인구밀도(명/㎢)
2015,합계,"10,297,138",605.25,"17,013"
2015,종로구,"163,822",23.91,"6,851"
2015,중구,"134,329",9.96,"13,486"
2015,용산구,"247,909",21.87,"11,337"
2015,성동구,"305,065",16.86,"18,093"
2015,광진구,"375,180",17.06,"21,987"
2015,동대문구,"373,824",14.21,"26,301"
2015,중랑구,"418,620",18.5,"22,633"
2015,성북구,"469,560",24.58,"19,104"
2015,강북구,"334,426",23.6,"14,172"
2015,도봉구,"353,241",20.71,"17,056"
2015,노원구,"578,221",35.44,"16,317"
2015,은평구,"502,578",29.7,"16,920"
2015,서대문구,"323,105",17.61,"18,351"
2015,마포구,"398,351",23.84,"16,706"
2015,양천구,"489,010",17.4,"28,098"
2015,강서구,"595,691",41.44,"14,376"
2015,구로구,"454,604",20.12,"22,596"
2015,금천구,"256,167",13.02,"19,675"
2015,영등포구,"417,811",24.53,"17,033"
2015,동작구,"412,774",16.35,"25,240"
2015,관악구,"529,031",29.57,"17,891"
2015,서초구,"451,258",47.0,"9,601"
2015,강남구,"581,760",39.5,"14,728"
2015,송파구,"667,480",33.88,"19,704"
2015,강동구,"463,321",24.59,"18,842"
2016,합계,"10,204,057",605.2,"16,861"
2016,종로구,"161,922",23.91,"6,771"
2016,중구,"134,409",9.96,"13,494"
2016,용산구,"245,102",21.87,"11,209"
2016,성동구,"307,161",16.86,"18,218"
2016,광진구,"372,104",17.06,"21,807"
2016,동대문구,"370,312",14.22,"26,050"
2016,중랑구,"415,677",18.5,"22,474"
2016,성북구,"461,617",24.58,"18,781"
2016,강북구,"330,704",23.6,"14,015"
2016,도봉구,"350,272",20.67,"16,948"
2016,노원구,"571,212",35.44,"16,119"
2016,은평구,"495,937",29.7,"16,696"
2016,서대문구,"325,871",17.61,"18,506"
2016,마포구,"390,887",23.84,"16,394"
2016,양천구,"481,845",17.41,"27,681"
2016,강서구,"602,104",41.44,"14,531"
2016,구로구,"449,600",20.12,"22,347"
2016,금천구,"254,654",13.02,"19,560"
2016,영등포구,"406,779",24.53,"16,583"
2016,동작구,"413,247",16.35,"25,269"
2016,관악구,"525,607",29.57,"17,776"
2016,서초구,"451,477",46.98,"9,610"
2016,강남구,"572,140",39.5,"14,484"
2016,송파구,"664,946",33.88,"19,629"
2016,강동구,"448,471",24.59,"18,238"
2017,합계,"10,124,579",605.24,"16,728"
2017,종로구,"164,257",23.91,"6,869"
2017,중구,"134,593",9.96,"13,514"
2017,용산구,"244,444",21.87,"11,179"
2017,성동구,"312,711",16.86,"18,551"
2017,광진구,"372,298",17.06,"21,819"
2017,동대문구,"366,011",14.22,"25,748"
2017,중랑구,"412,780",18.5,"22,318"
2017,성북구,"455,407",24.57,"18,533"
2017,강북구,"328,002",23.6,"13,898"
2017,도봉구,"346,234",20.67,"16,752"
2017,노원구,"558,075",35.44,"15,748"
2017,은평구,"491,202",29.71,"16,534"
2017,서대문구,"325,028",17.63,"18,440"
2017,마포구,"385,783",23.85,"16,174"
2017,양천구,"475,018",17.41,"27,289"
2017,강서구,"608,255",41.44,"14,679"
2017,구로구,"441,559",20.12,"21,946"
2017,금천구,"253,491",13.02,"19,469"
2017,영등포구,"402,024",24.55,"16,377"
2017,동작구,"408,493",16.35,"24,978"
2017,관악구,"520,929",29.57,"17,617"
2017,서초구,"445,401",46.99,"9,480"
2017,강남구,"561,052",39.5,"14,203"
2017,송파구,"671,173",33.87,"19,813"
2017,강동구,"440,359",24.59,"17,909"
2018,합계,"10,049,607",605.24,"16,604"
2018,종로구,"163,026",23.91,"6,817"
2018,중구,"135,633",9.96,"13,618"
2018,용산구,"245,090",21.87,"11,209"
2018,성동구,"316,463",16.86,"18,771"
2018,광진구,"371,063",17.06,"21,746"
2018,동대문구,"364,338",14.22,"25,630"
2018,중랑구,"408,147",18.5,"22,067"
2018,성북구,"447,687",24.57,"18,218"
2018,강북구,"322,915",23.6,"13,683"
2018,도봉구,"341,649",20.67,"16,531"
2018,노원구,"548,160",35.44,"15,468"
2018,은평구,"487,666",29.71,"16,415"
2018,서대문구,"323,080",17.62,"18,331"
2018,마포구,"386,359",23.85,"16,199"
2018,양천구,"468,145",17.41,"26,894"
2018,강서구,"603,611",41.44,"14,567"
2018,구로구,"438,486",20.12,"21,793"
2018,금천구,"254,021",13.02,"19,510"
2018,영등포구,"403,600",24.55,"16,441"
2018,동작구,"409,385",16.35,"25,032"
2018,관악구,"520,040",29.57,"17,587"
2018,서초구,"438,163",46.98,"9,326"
2018,강남구,"547,453",39.5,"13,859"
2018,송파구,"673,507",33.87,"19,883"
2018,강동구,"431,920",24.59,"17,564"
2019,합계,"10,010,983",605.24,"16,541"
2019,종로구,"161,869",23.91,"6,769"
2019,중구,"136,488",9.96,"13,704"
2019,용산구,"245,185",21.87,"11,213"
2019,성동구,"308,979",16.86,"18,327"
2019,광진구,"366,972",17.06,"21,507"
2019,동대문구,"363,023",14.22,"25,537"
2019,중랑구,"402,024",18.5,"21,736"
2019,성북구,"454,744",24.57,"18,505"
2019,강북구,"317,695",23.6,"13,462"
2019,도봉구,"335,631",20.66,"16,245"
2019,노원구,"537,303",35.44,"15,162"
2019,은평구,"484,546",29.71,"16,308"
2019,서대문구,"323,171",17.63,"18,335"
2019,마포구,"385,925",23.85,"16,180"
2019,양천구,"462,285",17.41,"26,559"
2019,강서구,"598,273",41.44,"14,438"
2019,구로구,"439,371",20.12,"21,837"
2019,금천구,"251,820",13.02,"19,341"
2019,영등포구,"400,986",24.55,"16,334"
2019,동작구,"408,912",16.35,"25,003"
2019,관악구,"517,334",29.57,"17,496"
2019,서초구,"435,107",46.98,"9,261"
2019,강남구,"550,209",39.5,"13,929"
2019,송파구,"682,741",33.87,"20,156"
2019,강동구,"440,390",24.59,"17,909"
