기간,자치구,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소
2012,합계,98,"65,009","1,305,056.0",28,"12,113","147,019.0",38,"20,298","352,023.0",129,"37,326","585,804.0",88,"4,873","48,491.0",166,"7,370","49,231.0",70,"78,064","1,047,576.0",6,"66,585","184,200.0",6,"1,586","19,555.0","252,040"
2012,도시안전실,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,"66,585","184,200.0",-,-,-,"36,132"
2012,동부도로교통사업소,3,"5,076","157,856.0",2,264,"24,639.0",3,"1,690","32,471.0",9,"3,193","58,939.0",-,-,-,-,-,-,1,394,"15,760.0",-,-,-,-,-,-,"3,677"
2012,서부도로교통사업소,23,"16,598","358,359.0",2,457,"6,693.0",5,"5,270","85,349.0",14,"4,476","63,581.0",-,-,-,-,-,-,12,"17,452","266,643.0",-,-,-,-,-,-,"10,372"
2012,남부도로교통사업소,25,"15,318","214,576.0",2,"3,511","26,994.0",7,"3,477","68,050.0",12,"4,331","72,197.0",-,-,-,-,-,-,14,"17,190","293,359.0",-,-,-,-,-,-,"7,018"
2012,북부도로교통사업소,12,"11,056","232,343.0",4,"2,724","20,599.0",10,"6,790","112,213.0",12,"3,625","62,155.0",-,-,-,-,-,-,15,"15,659","236,703.0",-,-,-,4,"1,036","11,305.0","6,535"
2012,성동도로교통사업소,11,"9,701","243,081.0",8,"1,253","9,500.0",3,740,"14,992.0",14,"4,165","55,541.0",-,-,-,-,-,-,1,"1,900","35,431.0",-,-,-,2,550,"8,250.0","4,177"
2012,강서도로교통사업소,12,"4,015","64,086.0",10,"3,904","58,594.0",5,832,"18,920.0",30,"11,241","190,410.0",-,-,-,-,-,-,5,"2,882","31,741.0",-,-,-,-,-,-,"7,335"
2012,종로구,-,-,-,-,-,-,-,-,-,1,209,"1,762.0",4,320,"3,791.0",3,161,968,1,160,775,-,-,-,-,-,-,"8,975"
2012,중구,-,-,-,-,-,-,-,-,-,1,109,858,14,978,"9,363.0",3,85,547,-,-,-,-,-,-,-,-,-,"9,380"
