기간,구분,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소
2015,합계,95,"82,717","1,377,076",34,"14,598","155,353",41,"25,183","440,138",146,"45,033","731,764",86,"4,869","49,122",158,"7,599","50,610",71,"81,110","1,046,386",6,"66,585","184,200",6,"1,593","19,630","260,106"
2015,안전총괄본부,36,"68,600","1,175,997",23,"12,203","119,218",3,"4,728","115,450",26,"9,552","168,167",-,-,-,-,-,-,1,230,"2,070",6,"66,585","184,200",6,"1,593","19,630","37,777"
2015,동부도로사업소,1,71,"1,306",-,-,-,3,"2,872","54,927",13,"6,725","103,880",-,-,-,-,-,-,1,394,"15,760",-,-,-,-,-,-,"7,537"
2015,서부도로사업소,14,"3,581","54,195",2,458,"6,693",5,"6,802","85,349",12,"3,682","51,017",-,-,-,-,-,-,12,"17,452","266,644",-,-,-,-,-,-,"11,236"
2015,남부도로사업소,8,"2,563","35,782",2,91,"2,586",7,"3,477","68,051",11,"3,974","63,551",-,-,-,-,-,-,14,"17,191","293,359",-,-,-,-,-,-,"7,243"
2015,북부도로사업소,9,985,"12,390",-,-,-,8,"4,193","64,295",8,"2,241","42,106",-,-,-,-,-,-,15,"15,659","236,703",-,-,-,-,-,-,"6,304"
2015,성동도로사업소,8,"1,499","24,359",-,-,-,3,740,"14,992",12,"3,325","50,614",-,-,-,-,-,-,1,"4,715","35,431",-,-,-,-,-,-,"4,472"
2015,강서도로사업소,7,"2,171","38,291",7,"1,846","26,856",5,805,"14,500",22,"8,629","165,081",-,-,-,-,-,-,4,"2,882","31,742",-,-,-,-,-,-,"8,905"
2015,종로구,-,-,-,-,-,-,-,-,-,1,209,"1,762",4,320,"3,791",3,162,968,2,160,775,-,-,-,-,-,-,"8,988"
2015,중구,-,-,-,-,-,-,-,-,-,1,109,858,13,921,"8,979",3,85,547,-,-,-,-,-,-,-,-,-,"8,651"
2015,용산구,1,256,"4,096",-,-,-,-,-,-,5,"1,082","29,584",4,117,779,16,590,"3,423",-,-,-,-,-,-,-,-,-,"6,977"
2015,성동구,-,-,-,-,-,-,-,-,-,4,136,"1,204",5,192,"1,881",4,100,782,-,-,-,-,-,-,-,-,-,"5,299"
2015,광진구,-,-,-,-,-,-,-,-,-,1,72,504,3,238,"1,467",-,-,-,-,-,-,-,-,-,-,-,-,"4,981"
2015,동대문구,4,"2,219","22,653",-,-,-,-,-,-,7,"1,919","15,180",2,87,610,7,300,"1,815",2,"1,171","3,606",-,-,-,-,-,-,"7,890"
2015,중랑구,-,-,-,-,-,-,-,-,-,1,300,"3,088",3,209,614,4,109,668,-,-,-,-,-,-,-,-,-,"5,392"
2015,성북구,-,-,-,-,-,-,-,-,-,5,401,"6,841",3,94,"1,303",5,331,"1,480",2,"1,390","19,110",-,-,-,-,-,-,"5,301"
2015,강북구,-,-,-,-,-,-,1,815,"12,225",-,-,-,-,-,-,1,22,108,5,"4,583","35,938",-,-,-,-,-,-,"4,360"
2015,도봉구,-,-,-,-,-,-,-,-,-,1,315,"3,014",-,-,-,-,-,-,1,870,"5,505",-,-,-,-,-,-,"4,400"
2015,노원구,1,122,"2,318",-,-,-,-,-,-,3,512,"4,766",6,222,"3,797",7,638,"3,274",3,"2,264","11,712",-,-,-,-,-,-,"8,745"
2015,은평구,-,-,-,-,-,-,1,340,"3,400",-,-,-,-,-,-,1,22,194,-,-,-,-,-,-,-,-,-,"6,835"
2015,서대문구,2,141,"1,569",-,-,-,-,-,-,-,-,-,2,78,909,8,271,"1,643",2,"1,595","15,417",-,-,-,-,-,-,"5,467"
2015,마포구,1,20,284,-,-,-,-,-,-,1,130,"1,287",2,72,"1,180",2,48,407,1,956,"18,355",-,-,-,-,-,-,"7,428"
2015,양천구,1,150,"1,163",-,-,-,-,-,-,-,-,-,2,69,291,16,"1,106","7,109",-,-,-,-,-,-,-,-,-,"7,209"
2015,강서구,-,-,-,-,-,-,-,-,-,-,-,-,3,244,"2,491",4,306,"1,426",-,-,-,-,-,-,-,-,-,"6,540"
2015,구로구,-,-,-,-,-,-,2,67,"2,546",4,596,"4,543",8,246,"2,728",9,388,"5,731",1,"3,624","3,980",-,-,-,-,-,-,"7,365"
2015,금천구,-,-,-,-,-,-,2,234,"2,808",1,60,240,-,-,-,8,456,"2,426",1,750,"9,000",-,-,-,-,-,-,"4,736"
2015,영등포구,-,-,-,-,-,-,-,-,-,-,-,-,1,27,284,6,274,"1,410",-,-,-,-,-,-,-,-,-,"8,679"
2015,동작구,2,339,"2,673",-,-,-,-,-,-,3,402,"3,825",4,137,"1,585",7,306,"1,828",1,"2,113","6,339",-,-,-,-,-,-,"4,641"
2015,관악구,-,-,-,-,-,-,1,110,"1,595",-,-,-,1,34,595,8,362,"3,821",1,"1,340","24,120",-,-,-,-,-,-,"4,964"
2015,서초구,-,-,-,-,-,-,-,-,-,1,137,824,6,334,"2,944",16,668,"5,088",-,-,-,-,-,-,-,-,-,"11,143"
2015,강남구,-,-,-,-,-,-,-,-,-,-,-,-,7,728,"6,087",10,419,"2,790",-,-,-,-,-,-,-,-,-,"12,184"
2015,송파구,-,-,-,-,-,-,-,-,-,2,484,"9,646",6,466,"6,208",4,210,916,1,"1,771","10,820",-,-,-,-,-,-,"11,225"
2015,강동구,-,-,-,-,-,-,-,-,-,1,41,182,1,34,599,9,426,"2,756",-,-,-,-,-,-,-,-,-,"7,232"
