구분,2015,2016,2017,2018,2019,2016-2015,2017-2016,2018-2017,2019-2018,비율 평균,2020
종로구,"8,988","8,988","8,986","9,220","9,265",0,-0.022251891,2.604050746,0.488069414,0.767467067,9336
중구,"8,651","8,621","8,641","8,694","8,665",-0.346780719,0.231991648,0.613354936,-0.333563377,0.041250622,8668
용산구,"6,977","7,206","7,291","7,248","7,637",3.282212986,1.179572578,-0.589768207,5.366997792,2.309753787,7813
성동구,"5,299","5,712","5,662","5,780","6,050",7.793923382,-0.87535014,2.084069233,4.671280277,3.418480688,6256
광진구,"4,981","4,925","4,852","4,774","4,616",-1.124272234,-1.482233503,-1.607584501,-3.309593632,-1.880920968,4529
동대문구,"7,890","8,019","8,096","8,149","8,211",1.634980989,0.960219479,0.654644269,0.76082955,1.002668571,8293
중랑구,"5,392","5,682","5,698","5,729","5,731",5.378338279,0.281590989,0.544050544,0.034910106,1.55972248,5820
성북구,"5,301","5,288","5,373","5,301","5,584",-0.245236748,1.607413011,-1.340033501,5.338615356,1.340189529,5658
강북구,"4,360","4,440","4,445","4,525","4,339",1.834862385,0.112612613,1.799775028,-4.110497238,-0.090811803,4335
도봉구,"4,400","4,405","4,464","4,471","4,556",0.113636364,1.33938706,0.156810036,1.901140684,0.877743536,4595
노원구,"8,745","9,267","9,308","9,270","9,510",5.969125214,0.442430128,-0.408250967,2.588996764,2.148075285,9714
은평구,"6,835","6,455","6,554","6,428","6,369",-5.559619605,1.53369481,-1.922490082,-0.917859365,-1.716568561,6259
서대문구,"5,467","5,667","5,848","6,075","6,075",3.658313517,3.193929769,3.881668947,0,2.683478058,6238
마포구,"7,428","7,645","7,941","8,177","8,313",2.921378568,3.871811642,2.971917894,1.663201663,2.857077442,8550
양천구,"7,209","7,206","7,198","7,833","7,970",-0.041614648,-0.111018596,8.821894971,1.749010596,2.604568081,8177
강서구,"6,540","6,569","6,691","6,682","8,919",0.443425076,1.857208099,-0.134509042,33.4780006,8.911031183,9713
구로구,"7,365","7,419","7,413","7,490","7,529",0.733197556,-0.080873433,1.03871577,0.520694259,0.552933538,7570
금천구,"4,736","5,354","5,369","5,294","5,496",13.04898649,0.280164363,-1.396908177,3.815640348,3.936970755,5712
영등포구,"8,679","9,157","9,209","9,500","9,278",5.507546952,0.567871574,3.159952221,-2.336842105,1.72463216,9438
동작구,"4,641","5,328","5,483","5,568","5,656",14.80284421,2.909159159,1.550246216,1.58045977,5.21067734,5950
관악구,"4,964","4,897","4,895","4,894","5,304",-1.349717969,-0.040841331,-0.020429009,8.377605231,1.74165423,5396
서초구,"11,143","11,622","11,699","12,691","12,793",4.298662838,0.662536569,8.47935721,0.803719171,3.561068947,13248
강남구,"12,184","13,826","14,193","14,193","13,788",13.47669074,2.65441921,0,-2.853519341,3.319397653,14245
송파구,"11,225","12,054","12,586","13,263","13,520",7.385300668,4.413472706,5.378992531,1.937721481,4.778871847,14166
강동구,"7,232","7,411","7,891","7,982","7,477",2.475110619,6.476858724,1.153212521,-6.326735154,0.944611677,7547
