기간	구분	고가차도	고가차도	고가차도	입체교차로	입체교차로	입체교차로	터널	터널	터널	지하차도	지하차도	지하차도	지하보도	지하보도	지하보도	보도육교	보도육교	보도육교	복개구조물	복개구조물	복개구조물	공동구	공동구	공동구	언더패스	언더패스	언더패스	가로등
기간	구분	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소	연장	면적	개소
2016	합계	96	83,187	1,378,072	40	12,617	140,790	42	24,639	444,567	149	44,901	734,008	84	5,022	50,242	162	7,839	51,827	71	82,106	1,064,719	7	69,442	192,382	6	1,593	19,630	265,304
2016	안전총괄본부	36	68,624	1,172,571	30	10,314	107,025	4	5,208	129,112	28	9,565	168,507	-	-	-	-	-	-	1	230	2,070	7	69,442	192,382	6	1,593	19,630	36,658
2016	동부도로사업소	1	71	1,306	-	-	-	3	2,872	54,927	13	6,725	103,880	-	-	-	-	-	-	1	394	15,760	-	-	-	-	-	-	7,493
2016	서부도로사업소	14	3,763	54,545	2	456	6,663	6	7,297	108,758	12	3,682	51,017	-	-	-	-	-	-	12	17,452	266,644	-	-	-	-	-	-	11,813
2016	남부도로사업소	8	2,563	35,782	2	91	2,586	6	1,958	35,409	10	3,622	61,192	-	-	-	-	-	-	14	17,118	301,741	-	-	-	-	-	-	7,603
2016	북부도로사업소	9	985	12,390	-	-	-	8	4,193	64,295	8	2,241	42,106	-	-	-	-	-	-	15	16,039	239,895	-	-	-	-	-	-	6,284
2016	성동도로사업소	9	1,769	28,431	-	-	-	3	740	14,992	12	3,325	50,614	-	-	-	-	-	-	1	4,715	35,431	-	-	-	-	-	-	4,656
2016	강서도로사업소	7	2,165	38,291	6	1,756	24,516	5	805	14,500	23	8,689	166,401	-	-	-	-	-	-	4	2,904	31,742	-	-	-	-	-	-	7,634
2016	종로구	-	-	-	-	-	-	-	-	-	1	209	1,762	5	580	5,765	3	162	968	2	160	775	-	-	-	-	-	-	8,988
2016	중구	-	-	-	-	-	-	-	-	-	1	109	858	13	921	8,979	3	85	547	-	-	-	-	-	-	-	-	-	8,621
2016	용산구	1	256	4,096	-	-	-	-	-	-	5	1,082	29,584	4	117	779	15	563	3,236	-	-	-	-	-	-	-	-	-	7,206
2016	성동구	-	-	-	-	-	-	-	-	-	4	136	1,204	5	192	1,881	4	100	782	-	-	-	-	-	-	-	-	-	5,712
2016	광진구	-	-	-	-	-	-	-	-	-	1	72	504	3	238	1,467	-	-	-	-	-	-	-	-	-	-	-	-	4,925
2016	동대문구	4	2,219	22,653	-	-	-	-	-	-	7	1,919	15,180	2	87	610	7	300	1,815	2	1,171	3,606	-	-	-	-	-	-	8,019
2016	중랑구	-	-	-	-	-	-	-	-	-	1	300	3,088	3	209	614	5	162	1,166	-	-	-	-	-	-	-	-	-	5,682
2016	성북구	-	-	-	-	-	-	-	-	-	5	401	6,841	3	94	1,303	5	331	1,480	2	1,390	19,110	-	-	-	-	-	-	5,288
2016	강북구	-	-	-	-	-	-	1	815	12,225	-	-	-	-	-	-	1	22	108	5	4,583	35,938	-	-	-	-	-	-	4,440
2016	도봉구	-	-	-	-	-	-	-	-	-	1	315	3,014	-	-	-	-	-	-	1	870	5,505	-	-	-	-	-	-	4,405
2016	노원구	1	122	2,318	-	-	-	-	-	-	3	512	4,766	6	222	3,797	7	638	3,274	3	2,264	11,712	-	-	-	-	-	-	9,267
2016	은평구	-	-	-	-	-	-	1	340	3,400	-	-	-	-	-	-	1	22	194	-	-	-	-	-	-	-	-	-	6,455
2016	서대문구	2	141	1,569	-	-	-	-	-	-	-	-	-	2	78	909	8	271	1,643	2	1,595	15,417	-	-	-	-	-	-	5,667
2016	마포구	1	20	284	-	-	-	-	-	-	1	130	1,287	1	36	590	3	84	761	1	956	18,355	-	-	-	-	-	-	7,645
2016	양천구	1	150	1,163	-	-	-	-	-	-	-	-	-	2	69	291	16	1,106	7,109	-	-	-	-	-	-	-	-	-	7,206
2016	강서구	-	-	-	-	-	-	-	-	-	-	-	-	3	244	2,491	4	306	1,426	-	-	-	-	-	-	-	-	-	6,569
2016	구로구	-	-	-	-	-	-	2	67	2,546	4	596	4,543	6	175	2,464	9	388	5,731	1	3,624	3,980	-	-	-	-	-	-	7,419
2016	금천구	-	-	-	-	-	-	2	234	2,808	1	60	240	-	-	-	8	456	2,426	1	750	9,000	-	-	-	-	-	-	5,354
2016	영등포구	-	-	-	-	-	-	-	-	-	-	-	-	1	27	284	7	379	1,672	-	-	-	-	-	-	-	-	-	9,157
2016	동작구	2	339	2,673	-	-	-	-	-	-	3	402	3,825	4	137	1,585	7	306	1,828	1	2,780	16,500	-	-	-	-	-	-	5,328
2016	관악구	-	-	-	-	-	-	1	110	1,595	-	-	-	1	34	595	8	362	3,821	1	1,340	20,718	-	-	-	-	-	-	4,897
2016	서초구	-	-	-	-	-	-	-	-	-	2	284	3,767	6	334	2,944	17	713	5,268	-	-	-	-	-	-	-	-	-	11,622
2016	강남구	-	-	-	-	-	-	-	-	-	-	-	-	7	728	6,087	10	419	2,790	-	-	-	-	-	-	-	-	-	13,826
2016	송파구	-	-	-	-	-	-	-	-	-	2	484	9,646	6	466	6,208	4	210	916	1	1,771	10,820	-	-	-	-	-	-	12,054
2016	강동구	-	-	-	-	-	-	-	-	-	1	41	182	1	34	599	10	454	2,866	-	-	-	-	-	-	-	-	-	7,411
