등 종류,관리번호,새주소,설치일자,GPS 경도,GPS 위도,데이터기준일자
가로등,한강진길1-000,,2016-07-05,127.006976,37.528902,2020-04-10
가로등,다산로1-001,한남대로40길 85,2016-01-15,127.002693,37.545558,2020-04-10
가로등,백범로1-001,청파로 195,2016-01-18,126.970477,37.536882,2020-04-10
가로등,두텁바윗길1-001,소월로2다길 23,2016-01-18,126.978694,37.553865,2020-04-10
가로등,용호로1-1,이촌로 1,2016-01-18,126.955254,37.531597,2020-04-10
가로등,원효로1-001,원효로 273-1,2016-01-15,126.970355,37.541476,2020-04-10
가로등,장충단로1-001,동호로17길 252-8,2016-01-15,127.005035,37.547769,2020-04-10
가로등,등기소주변길1-001,,2016-01-18,126.968024,37.53729,2020-04-10
가로등,y독서당길1-001,한남대로 48,2016-01-15,127.008116,37.533544,2020-04-10
가로등,후암동길1-001,두텁바위로 4-1,2016-01-18,126.972587,37.545099,2020-04-10
가로등,효창원길1,청파로47길 1,2016-01-15,126.963571,37.545144,2020-04-10
가로등,회나무길1-1,,2016-01-14,126.98744,37.53839,2020-04-10
가로등,이태원로1-001,,2016-01-19,127.001753,37.54167,2020-04-10
가로등,전자상가진입로1-1,,2016-01-14,126.967951,37.529903,2020-04-10
가로등,소월길1-001,한남대로46길 52,2016-01-18,127.002149,37.545067,2020-04-10
가로등,대건로길1-001,이촌로34길 29,2016-01-15,126.959985,37.522719,2020-04-10
가로등,남계천길1-001,한남대로21길 8,2016-01-19,127.00626,37.534572,2020-04-10
가로등,만리재로1-001,만리재로 136,2016-01-18,126.962567,37.551484,2020-04-10
가로등,서빙고로1-1,,2016-01-19,127.002058,37.524785,2020-04-10
가로등,Y새창길1-001,효창원로 105,2016-01-18,126.960296,37.53778,2020-04-10
가로등,대사관길1-001,대사관로 77,2016-01-19,127.006709,37.533268,2020-04-10
가로등,Y한강진길1-001,독서당로3길 3,2016-01-19,127.00712,37.52904,2020-04-10
