도로구분,노선명,주소,구간,차도등,보행등,지하차도등,지하보도등,관리기관명,데이터작성기준일
시도,천호대로,서울특별시 광진구 천호대로,천호대교 북단-군자교 동쪽,278,137,,,서울특별시청,2019-01-01
시도,아차산로,서울특별시 광진구 아차산로,동일로～올림픽대로북단,297,227,,,서울특별시청,2019-01-01
시도,아차산로,서울특별시 광진구 아차산로,올림픽대로북단～구리시계,86,67,,,서울특별시청,2019-01-01
시도,동일로,서울특별시 광진구 동일로,영동대교 북단∼중량구계,176,168,,,서울특별시청,2019-01-01
시도,답십리로,서울특별시 광진구 답십리로,동일로 ∼용마산로,16,,,,서울특별시청,2019-01-01
시도,용마산로,서울특별시 광진구 용마산로,답십리로 ∼천호대로,82,82,,,서울특별시청,2019-01-01
시도,광나루로,서울특별시 광진구 광나루로,올림픽대로 ∼동일로,226,214,,,서울특별시청,2019-01-01
시도,능동로,서울특별시 광진구 능동로,뚝섬유원지역 ∼용마산로,293,240,,,서울특별시청,2019-01-01
시도,자양로,서울특별시 광진구 자양로,잠실대교북단 ∼영화사 삼거리,153,150,,,서울특별시청,2019-01-01
시도,뚝섬로,서울특별시 광진구 뚝섬로,동일로 ∼자양로,123,119,,,서울특별시청,2019-01-01
시도,면목로,서울특별시 광진구 면목로,군자로 ∼답십리로,73,,,,서울특별시청,2019-01-01
시도,강변역로,서울특별시 광진구 강변역로,아차산로 ∼강변북로,77,59,,,서울특별시청,2019-01-01
구도,강변역로4길,서울특별시 광진구 강변역로4길,동서울터미널 외곽,47,21,,,서울특별시 광진구청,2019-01-01
구도,광나루로 56길,서울특별시 광진구 광나루로 56길,테크노마트(강변역로) ∼광남중학교,39,26,,,서울특별시 광진구청,2019-01-01
구도,광장로,서울특별시 광진구 광장로,워커힐로 ∼천호대로(파리바케트),30,2,22,25,서울특별시 광진구청,2019-01-01
구도,구의강변로,서울특별시 광진구 구의강변로,구의빗물펌프장 ∼구의삼성쉐르빌,31,20,,,서울특별시 광진구청,2019-01-01
구도,구의로,서울특별시 광진구 구의로,GS25 ∼광나루로(삼화페인트),23,,,,서울특별시 광진구청,2019-01-01
구도,군자로,서울특별시 광진구 군자로,화양삼거리 ∼천호대로,47,,,,서울특별시 광진구청,2019-01-01
구도,군자로10길,서울특별시 광진구 군자로10길,두산위브파크 ∼천호대로,7,,,,서울특별시 광진구청,2019-01-01
구도,긴고랑로,서울특별시 광진구 긴고랑로,동곡삼거리 ∼중곡사거리,85,76,,,서울특별시 광진구청,2019-01-01
구도,긴고랑로,서울특별시 광진구 긴고랑로,용마산로 ∼긴고랑 끝,43,22,,,서울특별시 광진구청,2019-01-01
구도,대학문화의거리,서울특별시 광진구 능동로19길,능동로19길 ~동일로30길,66,,,,서울특별시 광진구청,2019-01-01
구도,뚝섬로34길,서울특별시 광진구 뚝섬로34길,"이튼타워, 트라팰리스",67,,,,서울특별시 광진구청,2019-01-01
구도,뚝섬로52길,서울특별시 광진구 뚝섬로52길,뚝섬로 ∼자양빗물펌프장,11,,,,서울특별시 광진구청,2019-01-01
구도,자양로13길,서울특별시 광진구 자양로13길,뚝섬로 ∼자양로,36,7,,,서울특별시 광진구청,2019-01-01
구도,뚝섬로64길,서울특별시 광진구 뚝섬로64길,하우스스토리 주변,14,4,,,서울특별시 광진구청,2019-01-01
구도,건대로데오거리,서울특별시 광진구 동일로20길,건대로데오거리,16,,,,서울특별시 광진구청,2019-01-01
구도,아차산로36길,서울특별시 광진구 아차산로36길,스타시티 배후도로,14,12,,,서울특별시 광진구청,2019-01-01
구도,능동로10길,서울특별시 광진구 능동로10길,스타시티 배후도로(광진문화회관),16,,,,서울특별시 광진구청,2019-01-01
구도,아차산로70길,서울특별시 광진구 아차산로70길,아차산로 ∼광남고등학교,36,13,,,서울특별시 광진구청,2019-01-01
구도,아차산로75길,서울특별시 광진구 아차산로75길,아차산로 ∼광장중학교 ,12,,,,서울특별시 광진구청,2019-01-01
구도,아차산로76길,서울특별시 광진구 아차산로76길,아차산로 ∼구천면로,7,,,,서울특별시 광진구청,2019-01-01
구도,아차산로78길,서울특별시 광진구 아차산로78길,아차산로76길 ∼정보도서관,30,,,,서울특별시 광진구청,2019-01-01
구도,영화사로,서울특별시 광진구 영화사로,뚜레주르신성중곡점~아차산생태공원,69,52,,,서울특별시 광진구청,2019-01-01
구도,용마산로23길,서울특별시 광진구 용마산로23길,용마산로 ∼능동로(중곡역1번출구),9,,,,서울특별시 광진구청,2019-01-01
구도,워커힐로,서울특별시 광진구 워커힐로,광나루로 ∼워커힐 후문,100,12,,,서울특별시 광진구청,2019-01-01
구도,자양번영로,서울특별시 광진구 자양번영로,아차산로 ∼강변북로,43,43,,,서울특별시 광진구청,2019-01-01
구도,천호대로140길,서울특별시 광진구 천호대로140길,천호대로-양진초교,10,,,,서울특별시 광진구청,2019-01-01
구도,중곡제방길,서울특별시 광진구 중곡제방길,중량천제방,,60,,,서울특별시 광진구청,2019-01-01
