시군구,도로구분,노선명,구 간,가로등 본수,가로등 등수,비고,데이터기준일자
서울특별시 양천구,시도,가로공원길,강서구 경계 ∼부천시계,88,43,,2015-11-20
서울특별시 양천구,시도,오목로,남부순환로 ~양강중학교,62,74,,2015-11-20
서울특별시 양천구,시도,오목로,양강중학교 ∼목동오거리,59,77,,2015-11-20
서울특별시 양천구,시도,오목로,목동오거리 ∼오목교역,91,103,,2015-11-20
서울특별시 양천구,시도,오목로,오목교역 ~ 오목교,15,15,,2015-11-20
서울특별시 양천구,시도,화곡로,강서구 경계 ∼부천시계,57,57,양원육교(8등/8본),2015-11-20
서울특별시 양천구,시도,중앙로(강서로),고척사거리 ~ 제물포로,157,157,,2015-11-20
서울특별시 양천구,시도,신정로,목동19블럭 ~정랑고개,65,65,,2015-11-20
서울특별시 양천구,시도,신정로,정랑고개 ~남부순환로,30,30,"금옥여고육교(2*2등,1*5등=9등/7본)",2015-11-20
서울특별시 양천구,시도,신정로,남부순환로 ~궁동터널,52,52,,2015-11-20
서울특별시 양천구,시도,모세미길,제물포로 ~안양천길,89,89,,2015-11-20
서울특별시 양천구,시도,안양천길,모새미길 ~ 양화교하부,10,10,,2015-11-20
서울특별시 양천구,시도,안양천길,목동이대병원 ~ 모새미길,53,54,,2015-11-20
서울특별시 양천구,시도,안양천길,구로구계 ~목동이대병원,45,15,,2015-11-20
서울특별시 양천구,시도,안양천길,목동운동장/이대병원 2개소 LED),230,267,,2015-11-20
서울특별시 양천구,시도,목동동로,"신트리공원앞~양천공원(목동동로8길),양천시설관리공단or양천문화회관or양천세무서블록",115,139,,2015-11-20
서울특별시 양천구,시도,목동동로,신정2동주민센타 ~행복한 세상,115,115,,2015-11-20
서울특별시 양천구,시도,목동동로,KT목동지점 ~ 목동이대병원,115,115,,2015-11-20
서울특별시 양천구,시도,목동서로,"신트리공원앞~오목로,천주교양천성당or양천구청or천주교목동성당블록",131,162,,2015-11-20
서울특별시 양천구,시도,목동서로,목동청소년회관 ~삼성트라펠리스,187,193,,2015-11-20
서울특별시 양천구,시도,목동서로,안양천길 ~ 목동청소년회관,106,106,,2015-11-20
서울특별시 양천구,시도,곰달래길,"남부순환로 ~ 월정로, 등촌로 ~ 모새미길",37,37,,2015-11-20
서울특별시 양천구,시도,남부순환로,강서구경계 ∼신월IC,138,146,,2015-11-20
서울특별시 양천구,시도,남부순환로,신월IC ~강월초교사거리,84,93,,2015-11-20
서울특별시 양천구,시도,남부순환로,강월초교사거리~구로구계,84,92,잣절육교(6등/6본),2015-11-20
서울특별시 양천구,시도,등촌로,공항로 ~법원사거리,126,113,,2015-11-20
서울특별시 양천구,시도,등촌로,"법원사거리 ~ 오금교(신정지하보도 NH100W*7등, 삼파장 30W*7등)",98,118,,2015-11-20
서울특별시 양천구,시도,국회대로(제물포로),목동교 ~목동로데오,149,150,"소망,은빛,당모래,신당육교,능골보도육교(5개소*9등,5개소*9본)",2015-11-20
서울특별시 양천구,시도,공항로,등촌로 ~ 양화IC,68,75,,2015-11-20
서울특별시 양천구,시도,유수지길,목동동로~안양천길,18,18,,2015-11-20
서울특별시 양천구,시도,천호지길,출입국사무소~오목교역,50,54,,2015-11-20
서울특별시 양천구,시도,천호지길,오목교역 ~ 신정1유수지,10,10,,2015-11-20
서울특별시 양천구,시도,신정이펜하우스~남부순환로,부천시계~남부순환로,72,82,,2015-11-20
서울특별시 양천구,시도,신정이펜하우스~남부순환로,강월초교~신월지하차도,24,24,,2015-11-20
서울특별시 양천구,시도,신정이펜하우스~남부순환로,신월지하차도~남부순환로,6,6,,2015-11-20
서울특별시 양천구,구도,목동남로(고척동길),등촌로 ~ 강서로,58,58,"오금육교 (2*2등,1*7등)=9본/11등, 갈산육교(17등/17본)",2015-11-20
서울특별시 양천구,구도,목동남로4길(갈산길),오금보도육교 ~ 등촌로,39,39,,2015-11-20
서울특별시 양천구,구도,목동남로4길(갈산길),우성아파트 진입로,11,11,,2015-11-20
서울특별시 양천구,구도,중앙로14길(갈산길),세양청마루아파트 주변,14,14,,2015-11-20
서울특별시 양천구,구도,중앙로14길(갈산길),양천중앙하이츠아파트 주변,7,7,,2015-11-20
서울특별시 양천구,구도,신정중앙길,목동오거리 ~ 제물포로,61,61,,2015-11-20
서울특별시 양천구,구도,지양길,신월지하차도 ~ 국립과학수사연구소,57,58,,2015-11-20
서울특별시 양천구,구도,신월동 걷고싶은 거리,화곡로 ~신월로,74,74,,2015-11-20
서울특별시 양천구,구도,신월동 걷고싶은 거리,월천길(가로공원길~제물포로),72,72,,2015-11-20
서울특별시 양천구,구도,월정로,신월로 ~ 가로공원길,66,66,"신강차도육교(2*7등,1*4등=11본/18등)",2015-11-20
서울특별시 양천구,구도,돌다리길,가로공원길 ~월정로(신월1동 235),56,56,,2015-11-20
서울특별시 양천구,구도,목동로25길,제물포로 ~ 등촌로(로데오거리),27,54,,2015-11-20
서울특별시 양천구,구도,신월로,남부순환로~등촌로,62,62,,2015-11-20
