구분,노선명,공동주택명,계약종별,가로등분전함위치
저압,은평로-01,(녹번동),가로등(을),서울특별시 은평구 은평로 271(녹번동)
저압,은평로-02,(녹번동),가로등(을),서울특별시 은평구 서오릉로 6(녹번동)
저압,불광천변길-02,(응암동),가로등(을),서울특별시 은평구 불광천길 366(응암동)
저압,은평로-03,(응암동),가로등(을),서울특별시 은평구 은평로 145  (응암동)
저압,은평로-08,(응암동),가로등(을),서울특별시 은평구 은평로 98  (응암동)
저압,북한산길-03,,가로등(을),서울특별시 은평구 진관동 123-3
저압,북한산길-02,(진관동),가로등(을),서울특별시 은평구 북한산로 314  (진관동)
저압,연서로-21,(갈현동),가로등(을),서울특별시 은평구 연서로 225(갈현동)
저압,통일로-06,(불광동),가로등(을),서울특별시 은평구 통일로 818  (불광동)
저압,통일로-07,(불광동),가로등(을),서울특별시 은평구 통일로 860  (불광동)
저압,통일로-08,(불광동),가로등(을),서울특별시 은평구 통일로 914  (불광동)
저압,은평로-07,(신사동),가로등(을),서울특별시 은평구 은평로 56  (신사동)
저압,은평로-06,(신사동),가로등(을),서울특별시 은평구 은평로 22  (신사동)
저압,은평로-04,(응암동),가로등(을),서울특별시 은평구 은평로 105  (응암동)
저압,은평로-05,(신사동),가로등(을),서울특별시 은평구 은평로 47  (신사동)
저압,통일로-18,"(갈현동,통일로-18)",가로등(을),"서울특별시 은평구 통일로 869  (갈현동,통일로-18)"
저압,증산로-05,(증산동),가로등(을),서울특별시 은평구 증산로 249 (증산동)
저압,증산로-01,(녹번동),가로등(을),서울특별시 은평구 은평로 195  (녹번동)
저압,증산로-03,(녹번동),가로등(을),서울특별시 은평구 은평로 195  (녹번동)
저압,증산로-04,(녹번동),가로등(을),서울특별시 은평구 은평로 195(녹번동)
저압,은평로-10,(응암동),가로등(을),서울특별시 은평구 은평로 210 (응암동)
저압,진흥로-02,(녹번동),가로등(을),서울특별시 은평구 진흥로 70  (녹번동)
저압,진흥로-14,(역촌동),가로등(을),서울특별시 은평구 진흥로 51 (역촌동)
저압,연서로-01,(역촌동),가로등(을),서울특별시 은평구 진흥로 9(역촌동)
저압,진흥로-15,(역촌동),가로등(을),서울특별시 은평구 진흥로 33-1(역촌동)
저압,진흥로-01,(응암동),가로등(을),서울특별시 은평구 진흥로 52 (응암동)
저압,불광천변길-01,"(응암동,와산교앞)",가로등(을),"서울특별시 은평구 불광천길 326(응암동,와산교앞)"
저압,증산로-10,(신사동),가로등(을),서울특별시 은평구 증산로 383  (신사동)
저압,증산로-08,(증산동),가로등(을),서울특별시 은평구 증산로 195  (증산동)
저압,증산로-07,(증산동),가로등(을),서울특별시 은평구 증산로 245  (증산동)
저압,증산로-06,"(증산동,증산교입구)",가로등(을),"서울특별시 은평구 증산로 209  (증산동,증산교입구)"
저압,증산로-09,(증산동),가로등(을),서울특별시 은평구 증산로 335  (증산동)
저압,응암시장길-01,(응암동),가로등(을),서울특별시 은평구 응암로22길 22  (응암동)
저압,로데오거리-01,"(갈현동,로데오거리)",가로등(을),"서울특별시 은평구 연서로 213  (갈현동,로데오거리)"
저압,갈현동길-05,"(갈현동,갈현동사무소앞)",가로등(을),"서울특별시 은평구 갈현로 305  (갈현동,갈현동사무소앞)"
저압,갈현동길-04,"(갈현동,갈현동사무소앞)",가로등(을),"서울특별시 은평구 갈현로 300  (갈현동,갈현동사무소앞)"
