노선명,구 간,노폭(m),설치년도,조도(lx),경간(m),형태,선로배전방식,등주타입,본수,광원
난계로,청계천 황학교~왕십리길,20,2008,20,25,C,3선로,R10-S25R,24,LED100(W)
난계로,도로교통안전회관~풍림APT,25,2006,22,30,B,4선로,E09-15Q,22,LED100(W)
난계로,도로교통안전회관~풍림APT,25,2006,22,30,B,4선로,E08-15Q,2,LED100W
난계로,도로교통안전회관~풍림APT,25,2006,22,30,B,4선로,SR05Y,4,CDM250(W)
난계로,삼성(래미안)신축공사 7개소등기구만교정,25,2011,22,30,B,4선로,E09-15Q,7,LED100(W)
남대문대로,청계천광교~한국은행,35,2007,22,25,B,3선로,SE12-28Q,15,LED120(W)
남대문대로,청계천광교~한국은행,35,2006,22,25,B,4선로,SR10-25RY,2,LED120(W)
남대문대로,청계천광교~한국은행,35,2008,22,25,B,4선로,R10-25R,30,LED125(W)
남대문대로,청계천광교~한국은행,35,2008,22,25,B,4선로,R10-25RY,4,LED120(W)
남대문대로,한국은행~숭례문,35,2002,22,25,A,4선로,SE12-25Q,30,LED100(W)
남대문대로,한국은행~숭례문,35,2002,22,25,A,4선로,SE12-25QY,5,LED100(W)
남대문대로,한국은행~숭례문,35,2002,22,25,B,4선로,SE13-18RY ⑷,3,LED100(W)
다산로,청계천 다산교~신당역 ,35,2001,22,30,B,4선로,SE10-20R,35,LED90(W)
다산로,청계천 다산교~신당역 ,35,2001,22,30,B,4선로,E10-20RY ,1,LED90(W)
다산로,청계천 다산교~신당역 ,35,2001,22,30,B,4선로,E12-28RY,1,LED90(W)
다산로,청계천 다산교~신당역 ,35,2001,22,30,B,4선로,E12-28RY,2,LED120(W)
다산로,신당역~약수역,30,2015,22,28,B,3선로,SE10-25R,88,LED90(W)
다산로,신당역~약수역,30,2015,22,28,B,3선로,SE10-25R,1,LED120(W)
다산로,신당역~약수역,30,2015,22,28,B,3선로,E12-28RY,3,LED120(W)
다산로,약수역~버티고개역,30,2015,22,27,B,3선로,SE10-20R,66,LED90(W)
다산로,약수역~버티고개역,30,2001,22,27,B,4선로,E12-28RY,2,LED120(W)
동호로,장충체육관 ~ 동호터널입구,40,2005,22,28,B,4선로,SR12-28R,65,LED100(W)
동호로,장충체육관 ~ 동호터널입구,40,2005,22,28,B,4선로,SR12-28RY,18,LED100(W)
동호로,장충체육관 ~ 동호터널입구,40,2005,22,28,B,4선로,SR12-28R ⑶,2,LED100(W)
동호로,장충체육관 ~ 동호터널입구,40,2005,22,30,B,4선로,SR12-18QY ⑷,1,CDM250(W)
동호로,을지로5가~장충단공원,30,2007,22,30,B,4선로,SR12-28SR,48,LED100(W)
동호로,을지로5가~장충단공원,30,1997,15,30,B,3선로,SR4.0RY,48,LED100(W)
동호로,을지로5가~장충단공원,30,2001,22,30,B,4선로,SR11-25QY,2,LED100(W)
동호로,을지로5가~장충단공원,30,2006,22,30,B,4선로,SR07-1.5RY,5,CDM250(W)
동호로,청계천5가~을지로5가(서측),30,2001,22,30,B,4선로,SR10-25Q,22,LED100(W)
동호로,청계5가~을지로5가 (동측),30,2016,22,30,B,4선로,SR10-25Q,,LED100(W)
동호로,청계5가~을지로5가 (동측),30,2016,22,30,B,4선로,SR11-25QY,5,LED100(W)
마른내로,백병원~광희5거리,20,2005,22,30,B,4선로,SC09-20R,94,LED100(W)
마른내로,백병원~광희5거리,20,2005,22,30,B,4선로,SC09-20RY,19,LED100(W)
마른내로,백병원~광희5거리,20,2005,22,30,B,4선로,SC09-20RY ⑷,1,LED100(W)
마장로,동대문역사문화공원~황학동R,25,2001,22,27,B,4선로,SR09-25,10,LED90(W)
마장로,동대문역사문화공원~황학동R,25,2001,22,27,B,4선로,SR11-25,14,LED90(W)
마장로,동대문역사문화공원~황학동R,25,2001,22,27,B,4선로,SR11-25Y ⑷,1,LED75(W)
마장로,동대문역사문화공원~황학동R,25,2005,22,27,B,4선로,SC09-20R,22,LED75(W)
마장로,동대문역사문화공원~황학동R,25,2005,22,27,B,4선로,SC09-20RY,5,LED75(W)
마장로,동대문역사문화공원~황학동R,25,2013,22,27,B,4선로,R10-2.5R,16,LED75(W)
마장로,동대문역사문화공원~황학동R,25,2013,22,27,B,4선로,R11-2.5R(통),2,LED75(W)
마장로,동대문역사문화공원~황학동R,25,2013,22,27,B,4선로,R11-2.5RY(통),2,LED75(W)
만리재로,서부역~만리동고개,28,2007,22,30,B,4선로,R10-20SR,46,LED100(W)
무교로,청계광장 ~ 시청옆,20,2005,15,25,B,4선로,AR08-20R,19,LED75(W)
무교로,청계광장 ~ 시청옆,20,2005,15,25,B,4선로,AR08-20RY,1,LED75(W)
무교로,(세종대로22길),20,2008,20,20,C,5선로,R08-2.5R,8,MH200(W)
삼일대로,삼일교~세종호텔,40,2007,22,30,B,4선로,SC12-25R,6,MH350(W)
