기간	대분류	분류	경제적 여건	교육 환경	교통 여건	자녀육아 및 양육	거주안정성/주변치안	재테크 수단	공원 및 녹지여건	편익/위락시설	해당 지역의 이미지	기타
2017	서울시	서울시	50.4	6.6	20.6	3.6	4.7	3.9	3.1	4.8	2.3	0
2017	성별	남자	48.8	7.5	20.7	4.1	4.4	4.3	3.1	4.8	2.3	-
2017	성별	여자	54.6	4.2	20.4	2.2	5.4	2.6	3.3	5	2.3	0
2017	연령별	20대 이하	53.8	4	24	3.5	5.3	3.7	0.9	4	0.8	-
2017	연령별	30대	47.1	9.3	21.9	6.8	3.1	3.3	2	4.1	2.2	-
2017	연령별	40대	46.7	12.7	19.3	6.2	4.4	3.6	1.7	3.4	2	-
2017	연령별	50대	49.2	5.4	21.8	2.3	4.8	5	4.1	4.9	2.5	-
2017	연령별	60대 이상	54.6	2.8	18.9	0.9	5.6	3.7	4.5	6.3	2.8	0
2017	학력별	중졸 이하	62.8	2.4	15.3	0.7	5.4	2	3.7	5.4	2.3	-
2017	학력별	고졸 이하	51.5	4.6	20.2	2.5	5.2	3.9	3.8	5.6	2.6	0
2017	학력별	대졸 이하	46	8.9	22.5	5.1	4.3	4.3	2.5	4.3	2.2	-
2017	학력별	대학원 이상	47.7	12	21.2	3.6	1.7	6.6	3	2.7	1.6	-
2017	주택형태	단독주택	52.5	5.6	20.6	2.6	4	3.7	3.3	5.5	2	-
2017	주택형태	아파트	46.7	7.9	21.1	4.2	5.3	4.2	3.4	4.3	2.8	0
2017	주택형태	다세대주택	52.8	5.2	19.7	3.1	5.4	4	2.4	5.4	1.9	-
2017	주택형태	연립/기타	55.3	6.3	19.5	4.4	3.6	3	2.3	3.9	1.6	-
2017	입주형태	자가	45.4	6.7	21.5	3	5.6	4.9	4.1	5.8	2.9	0
2017	입주형태	전세	49	9.4	20.5	5.3	4	3.1	2.6	4	2.1	-
2017	입주형태	월세/기타	58.2	4.2	19.5	2.9	4.1	3.1	2.2	4.2	1.6	-
2017	가구원수	1인	57.5	3	20.2	1.2	4.7	3	2.7	5.4	2.2	0
2017	가구원수	2인	51.1	4.6	20.6	2.6	5.2	4.2	3.8	5.5	2.3	-
2017	가구원수	3인	46.8	9.3	21.7	5	4.4	3.9	2.5	4.1	2.4	-
2017	가구원수	4인	43.6	11.3	19.9	6.4	4.3	4.6	3.7	3.9	2.4	-
2017	가구원수	5인 이상	44.1	9.8	20.8	6.4	4.9	4.9	2.7	4.1	2.3	-
2017	소득	100 만원 미만	69.6	2.5	15.2	0.2	4.4	0.7	2.5	3.7	1.2	-
2017	소득	100-200만 미만	62.1	2.2	16.9	1	5.5	1.7	3.5	5.1	2	-
2017	소득	200-300만 미만	51.9	4.3	22.3	2	5.3	3.3	3	5.7	2.1	0
2017	소득	300-400만 미만	49.6	7.1	21.8	4.8	3.7	3.3	2.4	5.2	2.1	-
2017	소득	400-500만 미만	47.9	8.2	21.7	5.4	4	4.3	2.5	4	2	-
2017	소득	500만원 이상	40.1	10.3	21.2	4.8	5.1	6.5	4.1	4.5	3.3	-
2017	지역대분류	도심권	52.2	5.8	18.2	2.3	3.1	7.4	3.2	4.7	3.2	-
2017	지역대분류	동북권	50.9	6.3	20.1	3.7	5	3.5	3.5	4.6	2.4	-
2017	지역대분류	서북권	55.2	5.7	16.3	3.7	4.4	4.1	2.6	4.9	3.2	-
2017	지역대분류	서남권	49.2	5.9	23.2	3.7	4.3	3.1	3.1	5.7	1.7	-
