년,관서,주소,구,죄종,발생검거,건수
2000,중부,서울시 중구 수표로 27,중구,살인,발생,1.0
2000,중부,서울시 중구 수표로 27,중구,살인,검거,1.0
2000,중부,서울시 중구 수표로 27,중구,강도,발생,17.0
2000,중부,서울시 중구 수표로 27,중구,강도,검거,15.0
2000,중부,서울시 중구 수표로 27,중구,강간,발생,14.0
2000,중부,서울시 중구 수표로 27,중구,강간,검거,14.0
2000,중부,서울시 중구 수표로 27,중구,절도,발생,601.0
2000,중부,서울시 중구 수표로 27,중구,절도,검거,569.0
2000,중부,서울시 중구 수표로 27,중구,폭력,발생,1783.0
2000,중부,서울시 중구 수표로 27,중구,폭력,검거,1762.0
2000,종로,서울시 종로구 율곡로 46,종로구,살인,발생,4.0
2000,종로,서울시 종로구 율곡로 46,종로구,살인,검거,4.0
2000,종로,서울시 종로구 율곡로 46,종로구,강도,발생,24.0
2000,종로,서울시 종로구 율곡로 46,종로구,강도,검거,36.0
2000,종로,서울시 종로구 율곡로 46,종로구,강간,발생,18.0
2000,종로,서울시 종로구 율곡로 46,종로구,강간,검거,18.0
2000,종로,서울시 종로구 율곡로 46,종로구,절도,발생,644.0
2000,종로,서울시 종로구 율곡로 46,종로구,절도,검거,385.0
2000,종로,서울시 종로구 율곡로 46,종로구,폭력,발생,1886.0
2000,종로,서울시 종로구 율곡로 46,종로구,폭력,검거,1830.0
2000,남대문,서울시 중구 한강대로 410,중구,살인,발생,3.0
2000,남대문,서울시 중구 한강대로 410,중구,살인,검거,3.0
2000,남대문,서울시 중구 한강대로 410,중구,강도,발생,13.0
2000,남대문,서울시 중구 한강대로 410,중구,강도,검거,7.0
2000,남대문,서울시 중구 한강대로 410,중구,강간,발생,26.0
2000,남대문,서울시 중구 한강대로 410,중구,강간,검거,23.0
2000,남대문,서울시 중구 한강대로 410,중구,절도,발생,451.0
2000,남대문,서울시 중구 한강대로 410,중구,절도,검거,273.0
2000,남대문,서울시 중구 한강대로 410,중구,폭력,발생,1139.0
2000,남대문,서울시 중구 한강대로 410,중구,폭력,검거,1132.0
2000,서대문,서울 서대문구 통일로 113,서대문구,살인,발생,3.0
2000,서대문,서울 서대문구 통일로 113,서대문구,살인,검거,2.0
2000,서대문,서울 서대문구 통일로 113,서대문구,강도,발생,33.0
2000,서대문,서울 서대문구 통일로 113,서대문구,강도,검거,28.0
2000,서대문,서울 서대문구 통일로 113,서대문구,강간,발생,54.0
2000,서대문,서울 서대문구 통일로 113,서대문구,강간,검거,44.0
2000,서대문,서울 서대문구 통일로 113,서대문구,절도,발생,747.0
2000,서대문,서울 서대문구 통일로 113,서대문구,절도,검거,312.0
2000,서대문,서울 서대문구 통일로 113,서대문구,폭력,발생,2391.0
2000,서대문,서울 서대문구 통일로 113,서대문구,폭력,검거,2300.0
2000,혜화,서울시 종로구 창경궁로 112-16,종로구,살인,발생,3.0
2000,혜화,서울시 종로구 창경궁로 112-16,종로구,살인,검거,3.0
2000,혜화,서울시 종로구 창경궁로 112-16,종로구,강도,발생,30.0
2000,혜화,서울시 종로구 창경궁로 112-16,종로구,강도,검거,24.0
2000,혜화,서울시 종로구 창경궁로 112-16,종로구,강간,발생,40.0
2000,혜화,서울시 종로구 창경궁로 112-16,종로구,강간,검거,41.0
2000,혜화,서울시 종로구 창경궁로 112-16,종로구,절도,발생,1239.0
2000,혜화,서울시 종로구 창경궁로 112-16,종로구,절도,검거,429.0
2000,혜화,서울시 종로구 창경궁로 112-16,종로구,폭력,발생,2631.0
2000,혜화,서울시 종로구 창경궁로 112-16,종로구,폭력,검거,2444.0
2000,용산,서울시 용산구 원효로89길 24,용산구,살인,발생,5.0
2000,용산,서울시 용산구 원효로89길 24,용산구,살인,검거,4.0
2000,용산,서울시 용산구 원효로89길 24,용산구,강도,발생,52.0
2000,용산,서울시 용산구 원효로89길 24,용산구,강도,검거,36.0
2000,용산,서울시 용산구 원효로89길 24,용산구,강간,발생,41.0
2000,용산,서울시 용산구 원효로89길 24,용산구,강간,검거,39.0
2000,용산,서울시 용산구 원효로89길 24,용산구,절도,발생,1090.0
2000,용산,서울시 용산구 원효로89길 24,용산구,절도,검거,388.0
2000,용산,서울시 용산구 원효로89길 24,용산구,폭력,발생,2667.0
2000,용산,서울시 용산구 원효로89길 24,용산구,폭력,검거,2462.0
2000,성북,서울 성북구 보문로 170,성북구,살인,발생,3.0
2000,성북,서울 성북구 보문로 170,성북구,살인,검거,3.0
2000,성북,서울 성북구 보문로 170,성북구,강도,발생,27.0
2000,성북,서울 성북구 보문로 170,성북구,강도,검거,24.0
2000,성북,서울 성북구 보문로 170,성북구,강간,발생,38.0
2000,성북,서울 성북구 보문로 170,성북구,강간,검거,32.0
2000,성북,서울 성북구 보문로 170,성북구,절도,발생,629.0
2000,성북,서울 성북구 보문로 170,성북구,절도,검거,265.0
2000,성북,서울 성북구 보문로 170,성북구,폭력,발생,1877.0
2000,성북,서울 성북구 보문로 170,성북구,폭력,검거,1800.0
2000,동대문,서울시 동대문구 약령시로21길 29,동대문구,살인,발생,5.0
2000,동대문,서울시 동대문구 약령시로21길 29,동대문구,살인,검거,6.0
2000,동대문,서울시 동대문구 약령시로21길 29,동대문구,강도,발생,69.0
2000,동대문,서울시 동대문구 약령시로21길 29,동대문구,강도,검거,59.0
2000,동대문,서울시 동대문구 약령시로21길 29,동대문구,강간,발생,72.0
2000,동대문,서울시 동대문구 약령시로21길 29,동대문구,강간,검거,65.0
2000,동대문,서울시 동대문구 약령시로21길 29,동대문구,절도,발생,849.0
2000,동대문,서울시 동대문구 약령시로21길 29,동대문구,절도,검거,529.0
2000,동대문,서울시 동대문구 약령시로21길 29,동대문구,폭력,발생,4284.0
2000,동대문,서울시 동대문구 약령시로21길 29,동대문구,폭력,검거,4206.0
2000,마포,서울시 마포구 마포대로 183,마포구,살인,발생,3.0
2000,마포,서울시 마포구 마포대로 183,마포구,살인,검거,5.0
2000,마포,서울시 마포구 마포대로 183,마포구,강도,발생,59.0
2000,마포,서울시 마포구 마포대로 183,마포구,강도,검거,35.0
2000,마포,서울시 마포구 마포대로 183,마포구,강간,발생,71.0
2000,마포,서울시 마포구 마포대로 183,마포구,강간,검거,57.0
2000,마포,서울시 마포구 마포대로 183,마포구,절도,발생,1295.0
2000,마포,서울시 마포구 마포대로 183,마포구,절도,검거,416.0
2000,마포,서울시 마포구 마포대로 183,마포구,폭력,발생,3931.0
2000,마포,서울시 마포구 마포대로 183,마포구,폭력,검거,3678.0
2000,영등포,서울시 영등포구 국회대로 608,영등포구,살인,발생,6.0
