년,관서,주소,구,살인,강도,강간·추행,절도,폭력
2010,중부,서울시 중구 수표로 27,중구,0,4,6.0,125.0,107.0
2010,종로,서울시 종로구 율곡로 46,종로구,0,1,1.0,53.0,28.0
2010,남대문,서울시 중구 한강대로 410,중구,0,0,1.0,19.0,23.0
2010,서대문,서울 서대문구 통일로 113,서대문구,0,5,12.0,154.0,139.0
2010,혜화,서울시 종로구 창경궁로 112-16,종로구,0,6,5.0,124.0,40.0
2010,용산,서울시 용산구 원효로89길 24,용산구,0,5,2.0,148.0,63.0
2010,성북,서울 성북구 보문로 170,성북구,0,5,14.0,162.0,108.0
2010,동대문,서울시 동대문구 약령시로21길 29,동대문구,1,27,21.0,356.0,262.0
2010,마포,서울시 마포구 마포대로 183,마포구,5,0,18.0,304.0,160.0
2010,영등포,서울시 영등포구 국회대로 608,영등포구,0,4,20.0,313.0,177.0
2010,성동,서울시 성동구 왕십리광장로 9,성동구,1,1,4.0,240.0,140.0
2010,동작,서울시 동작구 노량진로 148,동작구,0,4,3.0,213.0,112.0
2010,광진,서울시 광진구 자양로 167,광진구,0,2,12.0,472.0,271.0
2010,서부,서울시 은평구 진흥로 58,은평구,0,1,14.0,238.0,101.0
2010,강북,서울시 강북구 오패산로 406,강북구,0,14,22.0,297.0,256.0
2010,금천,서울시 금천구 시흥대로73길 50,금천구,0,4,51.0,328.0,119.0
2010,중랑,서울시 중랑구 신내역로3길 40-10,중랑구,0,16,26.0,346.0,316.0
2010,강남,서울시 강남구 테헤란로 114길 11,강남구,1,0,0.0,49.0,45.0
2010,관악,서울시 관악구 관악로5길 33,관악구,0,17,35.0,255.0,279.0
2010,강서,서울시 양천구 화곡로 73,양천구,1,37,35.0,446.0,276.0
2010,강동,서울시 강동구 성내로 57,강동구,0,13,12.0,221.0,232.0
2010,종암,서울시 성북구 종암로 135,성북구,0,3,10.0,135.0,86.0
2010,구로,서울시 구로구 가마산로 235,구로구,1,5,46.0,501.0,195.0
2010,서초,서울시 서초구 반포대로 179,서초구,0,0,5.0,143.0,93.0
2010,양천,서울시 양천구 목동동로 99,양천구,0,1,14.0,290.0,173.0
2010,송파,서울시 송파구 중대로 221,송파구,0,7,23.0,304.0,273.0
2010,노원,서울시 노원구 노원로 283,노원구,0,6,35.0,484.0,340.0
2010,방배,서울시 서초구 동작대로 204,서초구,0,0,14.0,33.0,28.0
2010,은평,서울시 은평구 연서로 365,은평구,0,8,3.0,135.0,125.0
2010,도봉,서울시 도봉구 노해로 403,도봉구,0,13,19.0,198.0,165.0
2010,수서,서울시 강남구 개포로 617,강남구,0,4,11.0,102.0,101.0
2011,중부,서울시 중구 수표로 27,중구,0,0,1.0,67.0,87.0
2011,종로,서울시 종로구 율곡로 46,종로구,0,4,0.0,78.0,34.0
2011,남대문,서울시 중구 한강대로 410,중구,0,0,2.0,65.0,13.0
2011,서대문,서울 서대문구 통일로 113,서대문구,0,8,10.0,169.0,133.0
2011,혜화,서울시 종로구 창경궁로 112-16,종로구,0,6,5.0,85.0,56.0
2011,용산,서울시 용산구 원효로89길 24,용산구,0,12,10.0,190.0,88.0
2011,성북,서울 성북구 보문로 170,성북구,0,2,3.0,99.0,87.0
2011,동대문,서울시 동대문구 약령시로21길 29,동대문구,0,20,15.0,331.0,151.0
2011,마포,서울시 마포구 마포대로 183,마포구,0,4,26.0,173.0,195.0
2011,영등포,서울시 영등포구 국회대로 608,영등포구,0,2,6.0,231.0,200.0
2011,성동,서울시 성동구 왕십리광장로 9,성동구,0,16,3.0,108.0,128.0
2011,동작,서울시 동작구 노량진로 148,동작구,0,0,6.0,146.0,165.0
2011,광진,서울시 광진구 자양로 167,광진구,1,9,22.0,289.0,170.0
2011,서부,서울시 은평구 진흥로 58,은평구,0,0,12.0,162.0,111.0
2011,강북,서울시 강북구 오패산로 406,강북구,0,15,16.0,256.0,236.0
2011,금천,서울시 금천구 시흥대로73길 50,금천구,0,3,11.0,150.0,178.0
2011,중랑,서울시 중랑구 신내역로3길 40-10,중랑구,0,27,35.0,295.0,370.0
2011,강남,서울시 강남구 테헤란로 114길 11,강남구,0,1,0.0,87.0,86.0
2011,관악,서울시 관악구 관악로5길 33,관악구,0,9,12.0,200.0,273.0
2011,강서,서울시 양천구 화곡로 73,양천구,0,27,17.0,309.0,312.0
2011,강동,서울시 강동구 성내로 57,강동구,0,8,14.0,255.0,193.0
2011,종암,서울시 성북구 종암로 135,성북구,0,6,7.0,141.0,75.0
2011,구로,서울시 구로구 가마산로 235,구로구,0,14,15.0,286.0,207.0
2011,서초,서울시 서초구 반포대로 179,서초구,0,6,4.0,97.0,45.0
2011,양천,서울시 양천구 목동동로 99,양천구,0,11,18.0,254.0,213.0
2011,송파,서울시 송파구 중대로 221,송파구,0,34,7.0,227.0,331.0
2011,노원,서울시 노원구 노원로 283,노원구,0,0,11.0,379.0,293.0
2011,방배,서울시 서초구 동작대로 204,서초구,0,4,0.0,48.0,25.0
2011,은평,서울시 은평구 연서로 365,은평구,0,3,4.0,229.0,168.0
2011,도봉,서울시 도봉구 노해로 403,도봉구,0,4,13.0,114.0,160.0
2011,수서,서울시 강남구 개포로 617,강남구,0,5,16.0,108.0,95.0
2012,중부,서울시 중구 수표로 27,중구,0,8,4.0,142.0,159.0
2012,종로,서울시 종로구 율곡로 46,종로구,0,4,4.0,64.0,29.0
2012,남대문,서울시 중구 한강대로 410,중구,0,0,0.0,53.0,16.0
2012,서대문,서울 서대문구 통일로 113,서대문구,3,12,11.0,263.0,255.0
2012,혜화,서울시 종로구 창경궁로 112-16,종로구,0,4,2.0,103.0,70.0
2012,용산,서울시 용산구 원효로89길 24,용산구,0,24,7.0,162.0,144.0
2012,성북,서울 성북구 보문로 170,성북구,0,0,13.0,159.0,130.0
2012,동대문,서울시 동대문구 약령시로21길 29,동대문구,2,9,7.0,244.0,286.0
2012,마포,서울시 마포구 마포대로 183,마포구,0,9,15.0,237.0,215.0
2012,영등포,서울시 영등포구 국회대로 608,영등포구,0,0,14.0,198.0,269.0
2012,성동,서울시 성동구 왕십리광장로 9,성동구,0,21,4.0,226.0,132.0
2012,동작,서울시 동작구 노량진로 148,동작구,0,1,12.0,151.0,182.0
2012,광진,서울시 광진구 자양로 167,광진구,0,2,7.0,446.0,301.0
2012,서부,서울시 은평구 진흥로 58,은평구,0,3,11.0,184.0,153.0
2012,강북,서울시 강북구 오패산로 406,강북구,0,14,21.0,307.0,362.0
2012,금천,서울시 금천구 시흥대로73길 50,금천구,0,7,12.0,372.0,254.0
2012,중랑,서울시 중랑구 신내역로3길 40-10,중랑구,1,22,9.0,353.0,346.0
2012,강남,서울시 강남구 테헤란로 114길 11,강남구,0,1,0.0,84.0,66.0
2012,관악,서울시 관악구 관악로5길 33,관악구,0,18,23.0,261.0,260.0
2012,강서,서울시 양천구 화곡로 73,양천구,5,38,24.0,507.0,285.0
2012,강동,서울시 강동구 성내로 57,강동구,0,0,20.0,287.0,201.0
2012,종암,서울시 성북구 종암로 135,성북구,0,1,4.0,177.0,115.0
2012,구로,서울시 구로구 가마산로 235,구로구,2,3,15.0,274.0,307.0
2012,서초,서울시 서초구 반포대로 179,서초구,0,1,13.0,131.0,95.0
2012,양천,서울시 양천구 목동동로 99,양천구,0,1,9.0,347.0,275.0
2012,송파,서울시 송파구 중대로 221,송파구,0,5,36.0,360.0,284.0
2012,노원,서울시 노원구 노원로 283,노원구,0,3,23.0,352.0,322.0
2012,방배,서울시 서초구 동작대로 204,서초구,0,2,5.0,60.0,37.0
2012,은평,서울시 은평구 연서로 365,은평구,0,0,14.0,227.0,214.0
2012,도봉,서울시 도봉구 노해로 403,도봉구,0,4,22.0,250.0,257.0
2012,수서,서울시 강남구 개포로 617,강남구,0,0,21.0,134.0,142.0
2013,중부,서울시 중구 수표로 27,중구,0,5,3.0,136.0,64.0
2013,종로,서울시 종로구 율곡로 46,종로구,0,6,4.0,61.0,24.0
2013,남대문,서울시 중구 한강대로 410,중구,0,0,1.0,61.0,8.0
2013,서대문,서울 서대문구 통일로 113,서대문구,2,7,11.0,252.0,151.0
2013,혜화,서울시 종로구 창경궁로 112-16,종로구,0,1,1.0,100.0,44.0
2013,용산,서울시 용산구 원효로89길 24,용산구,0,7,5.0,113.0,71.0
2013,성북,서울 성북구 보문로 170,성북구,0,5,8.0,91.0,106.0
2013,동대문,서울시 동대문구 약령시로21길 29,동대문구,0,1,8.0,184.0,153.0
2013,마포,서울시 마포구 마포대로 183,마포구,0,13,5.0,180.0,136.0
2013,영등포,서울시 영등포구 국회대로 608,영등포구,0,5,18.0,240.0,162.0
2013,성동,서울시 성동구 왕십리광장로 9,성동구,0,0,10.0,226.0,106.0
2013,동작,서울시 동작구 노량진로 148,동작구,0,0,5.0,271.0,131.0
2013,광진,서울시 광진구 자양로 167,광진구,0,0,15.0,300.0,226.0
2013,서부,서울시 은평구 진흥로 58,은평구,0,5,17.0,127.0,54.0
2013,강북,서울시 강북구 오패산로 406,강북구,0,0,20.0,209.0,205.0
2013,금천,서울시 금천구 시흥대로73길 50,금천구,0,1,8.0,250.0,128.0
2013,중랑,서울시 중랑구 신내역로3길 40-10,중랑구,1,18,13.0,345.0,230.0
2013,강남,서울시 강남구 테헤란로 114길 11,강남구,0,2,3.0,82.0,76.0
2013,관악,서울시 관악구 관악로5길 33,관악구,0,12,10.0,285.0,202.0
2013,강서,서울시 양천구 화곡로 73,양천구,5,9,28.0,382.0,238.0
2013,강동,서울시 강동구 성내로 57,강동구,0,2,6.0,216.0,160.0
2013,종암,서울시 성북구 종암로 135,성북구,0,1,7.0,147.0,57.0
2013,구로,서울시 구로구 가마산로 235,구로구,1,4,9.0,302.0,205.0
2013,서초,서울시 서초구 반포대로 179,서초구,0,0,4.0,141.0,60.0
2013,양천,서울시 양천구 목동동로 99,양천구,0,3,12.0,309.0,181.0
2013,송파,서울시 송파구 중대로 221,송파구,0,3,7.0,303.0,166.0
2013,노원,서울시 노원구 노원로 283,노원구,0,6,19.0,413.0,279.0
2013,방배,서울시 서초구 동작대로 204,서초구,0,2,1.0,97.0,22.0
2013,은평,서울시 은평구 연서로 365,은평구,0,6,5.0,222.0,136.0
2013,도봉,서울시 도봉구 노해로 403,도봉구,0,7,17.0,293.0,137.0
2013,수서,서울시 강남구 개포로 617,강남구,0,0,6.0,104.0,81.0
2014,중부,서울시 중구 수표로 27,중구,0,2,4.0,68.0,61.0
2014,종로,서울시 종로구 율곡로 46,종로구,0,0,2.0,20.0,22.0
2014,남대문,서울시 중구 한강대로 410,중구,0,4,0.0,66.0,15.0
2014,서대문,서울 서대문구 통일로 113,서대문구,0,0,10.0,157.0,127.0
2014,혜화,서울시 종로구 창경궁로 112-16,종로구,0,3,0.0,46.0,44.0
2014,용산,서울시 용산구 원효로89길 24,용산구,0,6,4.0,122.0,69.0
2014,성북,서울 성북구 보문로 170,성북구,0,0,5.0,107.0,93.0
2014,동대문,서울시 동대문구 약령시로21길 29,동대문구,0,2,3.0,116.0,111.0
2014,마포,서울시 마포구 마포대로 183,마포구,0,7,14.0,123.0,122.0
2014,영등포,서울시 영등포구 국회대로 608,영등포구,0,0,12.0,158.0,170.0
2014,성동,서울시 성동구 왕십리광장로 9,성동구,0,0,4.0,107.0,90.0
2014,동작,서울시 동작구 노량진로 148,동작구,0,3,3.0,126.0,133.0
2014,광진,서울시 광진구 자양로 167,광진구,0,0,19.0,189.0,222.0
2014,서부,서울시 은평구 진흥로 58,은평구,0,9,6.0,122.0,67.0
2014,강북,서울시 강북구 오패산로 406,강북구,0,9,12.0,206.0,231.0
2014,금천,서울시 금천구 시흥대로73길 50,금천구,2,0,17.0,86.0,156.0
2014,중랑,서울시 중랑구 신내역로3길 40-10,중랑구,2,0,8.0,209.0,182.0
2014,강남,서울시 강남구 테헤란로 114길 11,강남구,0,0,7.0,80.0,59.0
2014,관악,서울시 관악구 관악로5길 33,관악구,0,2,21.0,220.0,220.0
2014,강서,서울시 양천구 화곡로 73,양천구,1,6,17.0,245.0,245.0
2014,강동,서울시 강동구 성내로 57,강동구,0,9,4.0,204.0,168.0
2014,종암,서울시 성북구 종암로 135,성북구,0,6,3.0,131.0,72.0
2014,구로,서울시 구로구 가마산로 235,구로구,0,0,8.0,132.0,180.0
2014,서초,서울시 서초구 반포대로 179,서초구,0,4,8.0,62.0,39.0
2014,양천,서울시 양천구 목동동로 99,양천구,0,0,11.0,227.0,202.0
2014,송파,서울시 송파구 중대로 221,송파구,0,1,18.0,237.0,170.0
2014,노원,서울시 노원구 노원로 283,노원구,0,6,13.0,322.0,283.0
2014,방배,서울시 서초구 동작대로 204,서초구,0,0,2.0,57.0,16.0
2014,은평,서울시 은평구 연서로 365,은평구,0,1,9.0,158.0,69.0
2014,도봉,서울시 도봉구 노해로 403,도봉구,0,0,6.0,230.0,84.0
2014,수서,서울시 강남구 개포로 617,강남구,0,3,11.0,85.0,68.0
