년,관서,주소,구,죄종,발생검거,건수
2015,중부,서울시 중구 수표로 27,중구,살인,발생,2.0
2015,중부,서울시 중구 수표로 27,중구,살인,검거,2.0
2015,중부,서울시 중구 수표로 27,중구,강도,발생,3.0
2015,중부,서울시 중구 수표로 27,중구,강도,검거,2.0
2015,중부,서울시 중구 수표로 27,중구,강간,발생,105.0
2015,중부,서울시 중구 수표로 27,중구,강간,검거,65.0
2015,중부,서울시 중구 수표로 27,중구,절도,발생,1395.0
2015,중부,서울시 중구 수표로 27,중구,절도,검거,477.0
2015,중부,서울시 중구 수표로 27,중구,폭력,발생,1355.0
2015,중부,서울시 중구 수표로 27,중구,폭력,검거,1170.0
2015,종로,서울시 종로구 율곡로 46,종로구,살인,발생,3.0
2015,종로,서울시 종로구 율곡로 46,종로구,살인,검거,3.0
2015,종로,서울시 종로구 율곡로 46,종로구,강도,발생,6.0
2015,종로,서울시 종로구 율곡로 46,종로구,강도,검거,5.0
2015,종로,서울시 종로구 율곡로 46,종로구,강간,발생,115.0
2015,종로,서울시 종로구 율곡로 46,종로구,강간,검거,98.0
2015,종로,서울시 종로구 율곡로 46,종로구,절도,발생,1070.0
2015,종로,서울시 종로구 율곡로 46,종로구,절도,검거,413.0
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,발생,1278.0
2015,종로,서울시 종로구 율곡로 46,종로구,폭력,검거,1070.0
2015,남대문,서울시 중구 한강대로 410,중구,살인,발생,1.0
2015,남대문,서울시 중구 한강대로 410,중구,살인,검거,0.0
2015,남대문,서울시 중구 한강대로 410,중구,강도,발생,6.0
2015,남대문,서울시 중구 한강대로 410,중구,강도,검거,4.0
2015,남대문,서울시 중구 한강대로 410,중구,강간,발생,65.0
2015,남대문,서울시 중구 한강대로 410,중구,강간,검거,46.0
2015,남대문,서울시 중구 한강대로 410,중구,절도,발생,1153.0
2015,남대문,서울시 중구 한강대로 410,중구,절도,검거,382.0
2015,남대문,서울시 중구 한강대로 410,중구,폭력,발생,869.0
2015,남대문,서울시 중구 한강대로 410,중구,폭력,검거,794.0
2015,서대문,서울 서대문구 통일로 113,서대문구,살인,발생,2.0
2015,서대문,서울 서대문구 통일로 113,서대문구,살인,검거,2.0
2015,서대문,서울 서대문구 통일로 113,서대문구,강도,발생,5.0
2015,서대문,서울 서대문구 통일로 113,서대문구,강도,검거,4.0
2015,서대문,서울 서대문구 통일로 113,서대문구,강간,발생,154.0
2015,서대문,서울 서대문구 통일로 113,서대문구,강간,검거,124.0
2015,서대문,서울 서대문구 통일로 113,서대문구,절도,발생,1812.0
2015,서대문,서울 서대문구 통일로 113,서대문구,절도,검거,738.0
2015,서대문,서울 서대문구 통일로 113,서대문구,폭력,발생,2056.0
2015,서대문,서울 서대문구 통일로 113,서대문구,폭력,검거,1711.0
2015,혜화,서울시 종로구 창경궁로 112-16,종로구,살인,발생,3.0
2015,혜화,서울시 종로구 창경궁로 112-16,종로구,살인,검거,2.0
2015,혜화,서울시 종로구 창경궁로 112-16,종로구,강도,발생,5.0
2015,혜화,서울시 종로구 창경궁로 112-16,종로구,강도,검거,4.0
2015,혜화,서울시 종로구 창경궁로 112-16,종로구,강간,발생,96.0
2015,혜화,서울시 종로구 창경궁로 112-16,종로구,강간,검거,63.0
2015,혜화,서울시 종로구 창경궁로 112-16,종로구,절도,발생,1114.0
