년,관서,주소,구,살인,강도,강간·추행,절도,폭력
2015,중부,서울시 중구 수표로 27,중구,0,5,0.0,78.0,42.0
2015,종로,서울시 종로구 율곡로 46,종로구,0,1,0.0,17.0,30.0
2015,남대문,서울시 중구 한강대로 410,중구,0,0,0.0,30.0,4.0
2015,서대문,서울 서대문구 통일로 113,서대문구,0,0,7.0,134.0,125.0
2015,혜화,서울시 종로구 창경궁로 112-16,종로구,0,0,2.0,34.0,31.0
2015,용산,서울시 용산구 원효로89길 24,용산구,0,15,8.0,65.0,81.0
2015,성북,서울 성북구 보문로 170,성북구,0,0,2.0,45.0,93.0
2015,동대문,서울시 동대문구 약령시로21길 29,동대문구,0,1,8.0,180.0,113.0
2015,마포,서울시 마포구 마포대로 183,마포구,0,5,9.0,131.0,100.0
2015,영등포,서울시 영등포구 국회대로 608,영등포구,0,5,6.0,167.0,158.0
2015,성동,서울시 성동구 왕십리광장로 9,성동구,0,3,3.0,74.0,81.0
2015,동작,서울시 동작구 노량진로 148,동작구,0,0,5.0,155.0,87.0
2015,광진,서울시 광진구 자양로 167,광진구,0,6,7.0,153.0,186.0
2015,서부,서울시 은평구 진흥로 58,은평구,0,1,8.0,96.0,84.0
2015,강북,서울시 강북구 오패산로 406,강북구,0,2,5.0,146.0,209.0
2015,금천,서울시 금천구 시흥대로73길 50,금천구,3,0,7.0,173.0,90.0
2015,중랑,서울시 중랑구 신내역로3길 40-10,중랑구,0,1,24.0,195.0,150.0
2015,강남,서울시 강남구 테헤란로 114길 11,강남구,0,0,2.0,80.0,47.0
2015,관악,서울시 관악구 관악로5길 33,관악구,0,6,16.0,163.0,166.0
2015,강서,서울시 양천구 화곡로 73,양천구,0,15,16.0,303.0,274.0
2015,강동,서울시 강동구 성내로 57,강동구,0,5,11.0,167.0,211.0
2015,종암,서울시 성북구 종암로 135,성북구,1,2,2.0,88.0,59.0
2015,구로,서울시 구로구 가마산로 235,구로구,0,0,9.0,279.0,172.0
2015,서초,서울시 서초구 반포대로 179,서초구,0,0,6.0,67.0,40.0
2015,양천,서울시 양천구 목동동로 99,양천구,0,1,7.0,223.0,209.0
2015,송파,서울시 송파구 중대로 221,송파구,0,5,12.0,234.0,133.0
2015,노원,서울시 노원구 노원로 283,노원구,1,0,11.0,278.0,315.0
2015,방배,서울시 서초구 동작대로 204,서초구,0,0,3.0,43.0,44.0
2015,은평,서울시 은평구 연서로 365,은평구,0,0,7.0,98.0,98.0
2015,도봉,서울시 도봉구 노해로 403,도봉구,0,11,13.0,142.0,113.0
2015,수서,서울시 강남구 개포로 617,강남구,0,2,3.0,123.0,85.0
2016,중부,서울시 중구 수표로 27,중구,0,0,1.0,44.0,42.0
2016,종로,서울시 종로구 율곡로 46,종로구,0,3,4.0,34.0,57.0
2016,남대문,서울시 중구 한강대로 410,중구,0,0,0.0,43.0,4.0
2016,서대문,서울 서대문구 통일로 113,서대문구,0,4,5.0,142.0,103.0
2016,혜화,서울시 종로구 창경궁로 112-16,종로구,0,2,2.0,38.0,29.0
2016,용산,서울시 용산구 원효로89길 24,용산구,0,4,4.0,56.0,70.0
2016,성북,서울 성북구 보문로 170,성북구,0,1,5.0,69.0,99.0
2016,동대문,서울시 동대문구 약령시로21길 29,동대문구,1,1,5.0,126.0,76.0
2016,마포,서울시 마포구 마포대로 183,마포구,0,0,13.0,156.0,164.0
2016,영등포,서울시 영등포구 국회대로 608,영등포구,0,0,6.0,119.0,118.0
2016,성동,서울시 성동구 왕십리광장로 9,성동구,0,0,11.0,105.0,73.0
2016,동작,서울시 동작구 노량진로 148,동작구,1,3,6.0,107.0,65.0
2016,광진,서울시 광진구 자양로 167,광진구,0,0,29.0,155.0,153.0
2016,서부,서울시 은평구 진흥로 58,은평구,0,0,4.0,120.0,131.0
2016,강북,서울시 강북구 오패산로 406,강북구,0,0,9.0,166.0,210.0
2016,금천,서울시 금천구 시흥대로73길 50,금천구,0,0,7.0,146.0,66.0
2016,중랑,서울시 중랑구 신내역로3길 40-10,중랑구,1,0,9.0,179.0,193.0
2016,강남,서울시 강남구 테헤란로 114길 11,강남구,0,0,9.0,67.0,37.0
2016,관악,서울시 관악구 관악로5길 33,관악구,0,2,14.0,170.0,209.0
2016,강서,서울시 양천구 화곡로 73,양천구,0,3,9.0,273.0,240.0
2016,강동,서울시 강동구 성내로 57,강동구,0,3,6.0,193.0,158.0
2016,종암,서울시 성북구 종암로 135,성북구,0,5,6.0,59.0,40.0
2016,구로,서울시 구로구 가마산로 235,구로구,0,1,3.0,157.0,194.0
2016,서초,서울시 서초구 반포대로 179,서초구,0,1,7.0,39.0,66.0
2016,양천,서울시 양천구 목동동로 99,양천구,0,0,8.0,169.0,144.0
2016,송파,서울시 송파구 중대로 221,송파구,0,6,8.0,196.0,165.0
2016,노원,서울시 노원구 노원로 283,노원구,0,6,14.0,227.0,337.0
2016,방배,서울시 서초구 동작대로 204,서초구,0,0,0.0,32.0,9.0
2016,은평,서울시 은평구 연서로 365,은평구,0,0,8.0,99.0,121.0
2016,도봉,서울시 도봉구 노해로 403,도봉구,0,6,21.0,126.0,107.0
2016,수서,서울시 강남구 개포로 617,강남구,0,6,10.0,73.0,139.0
2017,중부,서울시 중구 수표로 27,중구,-,-,4.0,12.0,19.0
2017,종로,서울시 종로구 율곡로 46,종로구,-,-,5.0,19.0,21.0
2017,남대문,서울시 중구 한강대로 410,중구,-,-,2.0,24.0,11.0
2017,서대문,서울 서대문구 통일로 113,서대문구,-,-,3.0,98.0,97.0
2017,혜화,서울시 종로구 창경궁로 112-16,종로구,-,-,1.0,20.0,38.0
2017,용산,서울시 용산구 원효로89길 24,용산구,-,-,8.0,59.0,89.0
2017,성북,서울 성북구 보문로 170,성북구,-,-,9.0,77.0,114.0
2017,동대문,서울시 동대문구 약령시로21길 29,동대문구,1 ,-,8.0,117.0,131.0
2017,마포,서울시 마포구 마포대로 183,마포구,-,-,19.0,169.0,122.0
2017,영등포,서울시 영등포구 국회대로 608,영등포구,-,-,6.0,139.0,103.0
2017,성동,서울시 성동구 왕십리광장로 9,성동구,-,-,5.0,87.0,85.0
2017,동작,서울시 동작구 노량진로 148,동작구,-,1 ,9.0,138.0,142.0
2017,광진,서울시 광진구 자양로 167,광진구,-,-,9.0,144.0,174.0
2017,서부,서울시 은평구 진흥로 58,은평구,-,-,12.0,52.0,90.0
2017,강북,서울시 강북구 오패산로 406,강북구,-,-,6.0,116.0,189.0
2017,금천,서울시 금천구 시흥대로73길 50,금천구,-,1 ,10.0,133.0,132.0
2017,중랑,서울시 중랑구 신내역로3길 40-10,중랑구,-,-,9.0,138.0,203.0
2017,강남,서울시 강남구 테헤란로 114길 11,강남구,-,1 ,5.0,53.0,29.0
2017,관악,서울시 관악구 관악로5길 33,관악구,-,-,8.0,163.0,245.0
2017,강서,서울시 양천구 화곡로 73,양천구,-,-,14.0,284.0,203.0
2017,강동,서울시 강동구 성내로 57,강동구,-,3 ,7.0,107.0,137.0
2017,종암,서울시 성북구 종암로 135,성북구,-,-,2.0,74.0,46.0
2017,구로,서울시 구로구 가마산로 235,구로구,-,4 ,5.0,131.0,190.0
2017,서초,서울시 서초구 반포대로 179,서초구,-,-,6.0,53.0,54.0
2017,양천,서울시 양천구 목동동로 99,양천구,-,-,15.0,124.0,228.0
2017,송파,서울시 송파구 중대로 221,송파구,-,-,12.0,194.0,179.0
2017,노원,서울시 노원구 노원로 283,노원구,-,-,6.0,172.0,346.0
2017,방배,서울시 서초구 동작대로 204,서초구,-,-,5.0,24.0,35.0
2017,은평,서울시 은평구 연서로 365,은평구,-,-,4.0,116.0,120.0
2017,도봉,서울시 도봉구 노해로 403,도봉구,-,-,16.0,106.0,98.0
2017,수서,서울시 강남구 개포로 617,강남구,-,1 ,6.0,88.0,127.0
2018,중부,서울시 중구 수표로 27,중구,0,1,1.0,41.0,19.0
2018,종로,서울시 종로구 율곡로 46,종로구,0,0,3.0,17.0,13.0
2018,남대문,서울시 중구 한강대로 410,중구,0,0,0.0,16.0,7.0
2018,서대문,서울 서대문구 통일로 113,서대문구,0,7,10.0,105.0,123.0
2018,혜화,서울시 종로구 창경궁로 112-16,종로구,0,0,5.0,47.0,20.0
2018,용산,서울시 용산구 원효로89길 24,용산구,0,0,3.0,50.0,39.0
2018,성북,서울 성북구 보문로 170,성북구,0,0,9.0,74.0,113.0
2018,동대문,서울시 동대문구 약령시로21길 29,동대문구,0,0,6.0,103.0,98.0
2018,마포,서울시 마포구 마포대로 183,마포구,0,0,16.0,167.0,156.0
2018,영등포,서울시 영등포구 국회대로 608,영등포구,0,2,10.0,113.0,142.0
2018,성동,서울시 성동구 왕십리광장로 9,성동구,0,1,11.0,83.0,60.0
2018,동작,서울시 동작구 노량진로 148,동작구,0,6,17.0,88.0,141.0
2018,광진,서울시 광진구 자양로 167,광진구,0,0,8.0,155.0,154.0
2018,서부,서울시 은평구 진흥로 58,은평구,0,0,2.0,119.0,84.0
2018,강북,서울시 강북구 오패산로 406,강북구,3,1,5.0,84.0,130.0
2018,금천,서울시 금천구 시흥대로73길 50,금천구,0,0,5.0,79.0,95.0
2018,중랑,서울시 중랑구 신내역로3길 40-10,중랑구,0,0,12.0,92.0,146.0
2018,강남,서울시 강남구 테헤란로 114길 11,강남구,0,0,6.0,48.0,34.0
2018,관악,서울시 관악구 관악로5길 33,관악구,0,2,13.0,140.0,195.0
2018,강서,서울시 양천구 화곡로 73,양천구,0,4,11.0,137.0,181.0
2018,강동,서울시 강동구 성내로 57,강동구,0,0,9.0,155.0,194.0
2018,종암,서울시 성북구 종암로 135,성북구,0,0,2.0,54.0,36.0
2018,구로,서울시 구로구 가마산로 235,구로구,0,6,10.0,112.0,176.0
2018,서초,서울시 서초구 반포대로 179,서초구,0,1,14.0,70.0,76.0
2018,양천,서울시 양천구 목동동로 99,양천구,0,0,15.0,115.0,145.0
2018,송파,서울시 송파구 중대로 221,송파구,0,1,15.0,173.0,166.0
2018,노원,서울시 노원구 노원로 283,노원구,0,0,13.0,146.0,203.0
2018,방배,서울시 서초구 동작대로 204,서초구,0,0,2.0,19.0,16.0
2018,은평,서울시 은평구 연서로 365,은평구,0,0,12.0,201.0,155.0
2018,도봉,서울시 도봉구 노해로 403,도봉구,0,0,4.0,81.0,105.0
2018,수서,서울시 강남구 개포로 617,강남구,0,0,14.0,44.0,87.0
