상세영업상태코드,상세영업상태명,폐업일자,지번주소,사업장명,최종수정일자,데이터갱신일자,공연장형태구분명,최초등록시점
03,폐업,20090414,서울특별시 종로구 명륜4가 113-1번지 ,씨네유극장 4관,20090414134958,2018-08-31 23:59:59.0,영화관,20030212
03,폐업,20090414,서울특별시 종로구 명륜4가 113-1번지 ,씨네유극장 3관,20090414134921,2018-08-31 23:59:59.0,영화관,20030212
03,폐업,20110516,서울특별시 종로구 신문로2가 1-153번지 2층 ,독립영화전용관 시네마루,20110516090539,2018-08-31 23:59:59.0,영화관,20100415
03,폐업,20090414,서울특별시 종로구 명륜4가 113-1번지 ,씨네유극장 2관,20090414134932,2018-08-31 23:59:59.0,영화관,20030212
03,폐업,20090414,서울특별시 종로구 명륜4가 113-1번지 ,씨네유극장 1관,20090414134947,2018-08-31 23:59:59.0,영화관,20030212
03,폐업,20140403,서울특별시 종로구 관수동 59-7번지 4층 5중?상층 ,서울극장 1관,20140403190559,2018-08-31 23:59:59.0,영화관,20030212
03,폐업,20090414,서울특별시 종로구 명륜4가 113-1번지 ,씨네유극장 5관,20090414135009,2018-08-31 23:59:59.0,영화관,20030212
03,폐업,20090408,서울특별시 은평구 불광동 31-2번지 ,객석시네마,20090408132446,2018-08-31 23:59:59.0,영화관,20000107
03,폐업,20100714,서울특별시 종로구 묘동 56번지 단성사 7층 ,아산엠인터내셔널 단성사 5관,20100721133735,2018-08-31 23:59:59.0,영화관,20050126
03,폐업,20100406,서울특별시 종로구 묘동 56번지 단성사 5층 ,아산엠인터내셔널 단성사 4관,20100406104723,2018-08-31 23:59:59.0,영화관,20050126
03,폐업,20100406,서울특별시 종로구 묘동 56번지 단성사 5층 ,아산엠인터내셔널 단성사 3관,20100406104705,2018-08-31 23:59:59.0,영화관,20050126
03,폐업,20100406,서울특별시 종로구 묘동 56번지 단성사 5층 ,아산엠인터내셔널 단성사 2관,20100406104642,2018-08-31 23:59:59.0,영화관,20050126
03,폐업,20100406,서울특별시 종로구 묘동 56번지 단성사 3층 ,아산엠인터내셔널 단성사 1관,20100406104619,2018-08-31 23:59:59.0,영화관,20050126
03,폐업,20130809,서울특별시 종로구 명륜3가 109-4번지 지하1층 ,3D상상극장,20130809165332,2018-08-31 23:59:59.0,영화관,20110523
03,폐업,20120529,서울특별시 종로구 신문로2가 1-153번지 가든플레이스 2층 ,미로스페이스,20120608144456,2018-08-31 23:59:59.0,영화관,20110323
