상세영업상태코드,상세영업상태명,폐업일자,지번주소,사업장명,최종수정일자,데이터갱신일자,공연장형태구분명,최초등록시점
13,영업중,0,서울특별시 종로구 관수동 59-7번지 5층 ,서울극장 5관,20180104094949,2018-08-31 23:59:59.0,영화관,20030212
13,영업중,0,서울특별시 종로구 관수동 59-7번지 지하1층 ,서울극장 3관,20180104094911,2018-08-31 23:59:59.0,영화관,20030212
13,영업중,0,서울특별시 종로구 관수동 59-7번지 2층 3중?상층 ,서울극장 2관,20180104094746,2018-08-31 23:59:59.0,영화관,20030212
13,영업중,0,서울특별시 종로구 관수동 59-7번지 3층 ,서울아트시네마,20150423180214,2018-08-31 23:59:59.0,영화관,20030802
13,영업중,0,서울특별시 종로구 관수동 59-7번지 5층 ,서울극장 10관,20180104095240,2018-08-31 23:59:59.0,영화관,20030802
13,영업중,0,서울특별시 종로구 예지동 222번지 4층 ,바다극장,20090513171046,2018-08-31 23:59:59.0,영화관,19720220
13,영업중,0,서울특별시 종로구 돈의동 137번지 지하4층 ,CGV피카디리1958 8관,20190423144506,2019-04-25 02:40:00.0,영화관,20041112
13,영업중,0,서울특별시 종로구 돈의동 137번지 지하4층 ,CGV피카디리1958 6관,20190423144440,2019-04-25 02:40:00.0,영화관,20041112
13,영업중,0,서울특별시 종로구 돈의동 137번지 지하4층 ,CGV피카디리1958 5관,20190423144427,2019-04-25 02:40:00.0,영화관,20041112
13,영업중,0,서울특별시 종로구 돈의동 137번지 지하4층 ,CGV피카디리1958 4관,20190423144416,2019-04-25 02:40:00.0,영화관,20041112
13,영업중,0,서울특별시 종로구 돈의동 137번지 지하4층 ,CGV피카디리1958 7관,20190423144453,2019-04-25 02:40:00.0,영화관,20041112
13,영업중,0,서울특별시 종로구 돈의동 137번지 지하2층 ,CGV피카디리1958 3관,20190423144402,2019-04-25 02:40:00.0,영화관,20041112
13,영업중,0,서울특별시 종로구 돈의동 137번지 지하2층 ,CGV피카디리1958 2관,20190423175921,2019-04-25 02:40:00.0,영화관,20041112
13,영업중,0,서울특별시 종로구 돈의동 137번지 지하2층 ,CGV피카디리1958 1관,20190422144345,2019-04-24 02:40:00.0,영화관,20041112
13,영업중,0,서울특별시 종로구 명륜2가 41-9번지 4층 ,CGV 대학로 8관,20190722152613,2019-07-24 02:40:00.0,영화관,20040630
