시군명,사업장명,인허가일자,영업상태명,폐업일자,다중이용업소여부,총시설규모(㎡),위생업종명,위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
고양시,자성당쫄면,20180116,영업,,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 현대백화점킨텍스점 지하1층 일부호 (대화동)",경기도 고양시 일산서구 대화동 2602번지 현대백화점킨텍스점 지하1층 일부 ,10391,37.6679645,126.7513867
고양시,소우조우,20050704,영업,,N,,,백화점,"경기도 고양시 일산동구 중앙로 1283, 지하2층 일부호 (장항동, 롯데백화점일산점 판매동)",경기도 고양시 일산동구 장항동 784번지 외2필지(롯데백화점일산점 지하2층일부) ,10401,37.6606005,126.7719358
고양시,아우어인절미 현대일산킨텍스점,20190410,영업,,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 레이킨스몰 현대백화점 지하1층일부호 (대화동)",경기도 고양시 일산서구 대화동 2602번지 레이킨스몰 현대백화점 지하1층일부 ,10391,37.6679645069,126.7513867788
고양시,멤마이 현대킨텍스점,20190416,영업,,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 레이킨스몰 현대백화점 지하1층일부호 (대화동)",경기도 고양시 일산서구 대화동 2602번지 레이킨스몰 현대백화점 지하1층일부호 ,10391,37.6679645069,126.7513867788
고양시,유토,20190603,영업,,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 레이킨스몰 현대백화점 지하1층일부호 (대화동)",경기도 고양시 일산서구 대화동 2602번지 레이킨스몰 현대백화점 지하1층일부 ,10391,37.6679645069,126.7513867788
고양시,비쳉향푸드주식회사 현대킨텍스점,20190524,영업,,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 현대백화점킨텍스점 지하1층 일부호 (대화동)",경기도 고양시 일산서구 대화동 2602번지 ,10391,37.6679645069,126.7513867788
고양시,만나서방가워(한시적영업),20200515,영업,,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 현대백화점킨텍스점 지하1층 식품관 일부 (대화동)",경기도 고양시 일산서구 대화동 2602번지 현대백화점킨텍스점 지하1층 식품관 일부 ,10391,37.6679786706,126.7516242854
고양시,앤티앤스,20170317,영업,,N,,,백화점,"경기도 고양시 일산동구 중앙로 1283, 지하2층 일부호 (장항동, 롯데백화점 일산점 판매동)",경기도 고양시 일산동구 장항동 784번지 외 1필지 롯데백확점 일산점 판매동 지하2층 일부호 ,10401,37.6606005,126.7719358
고양시,후레쉬푸드(주)카르파쵸,20040601,영업,,N,,,백화점,"경기도 고양시 일산동구 중앙로 1283, 지하2층 일부호 (장항동, 롯데백화점일산점 판매동)",경기도 고양시 일산동구 장항동 784번지 외2필지 롯데백화점일산점 지하2층 일부 ,10401,37.6606005,126.7719358
고양시,원더쿠키,20180712,영업,,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 레이킨스몰 현대백화점 지하1층일부호 (대화동)",경기도 고양시 일산서구 대화동 2602번지 레이킨스몰 현대백화점 지하1층일부 ,10391,37.6679645,126.7513867
고양시,밥스테이크 현대백화점 킨텍스점,20180108,영업,,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 레이킨스몰 현대백화점  지하1(일부)층 (대화동)",경기도 고양시 일산서구 대화동 2602번지 레이킨스몰 현대백화점 지하1층일부 ,10391,37.6679645,126.7513867
고양시,북촌손만두 그랜드백화점일산점,20170825,영업,,N,,,백화점,"경기도 고양시 일산서구 중앙로 1436, 지하2(일부)층 (주엽동, 그랜드백화점)","경기도 고양시 일산서구 주엽동 22번지 그랜드백화점, 지하2층일부",10387,37.6709039,126.7611019
고양시,백미당 현대 킨텍스점,20160802,영업,,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 지하1층 일부호 (대화동, 현대백화점)",경기도 고양시 일산서구 대화동 2602번지 현대백화점 지하1층 일부호,10391,37.6679645,126.7513867
고양시,(주)교동씨엠,20180117,영업,,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 레이킨스몰(현대백화점킨텍스점) 지하1층 일부호 (대화동)",경기도 고양시 일산서구 대화동 2602번지 레이킨스몰(현대백화점킨텍스점) 지하1층 일부 ,10391,37.6679645,126.7513867
고양시,김순례닭강정,20180113,영업,,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 현대백화점킨텍스점 지하1층 일부호 (대화동)",경기도 고양시 일산서구 대화동 2602번지 현대백화점킨텍스점 지하1층 일부 ,10391,37.6679645,126.7513867
고양시,기야마,20180112,영업,,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 현대백화점킨텍스점 지하1층 일부호 (대화동)",경기도 고양시 일산서구 대화동 2602번지 현대백화점킨텍스점 지하1층 일부 ,10391,37.6679645,126.7513867
고양시,탭플레이(일산그랜드백화점),20170822,영업,,N,,,백화점,"경기도 고양시 일산서구 중앙로 1436, 지하2층 일부호 (주엽동, 그랜드백화점)",경기도 고양시 일산서구 주엽동 22번지 그랜드백화점 지하2층 일부,10387,37.6709039,126.7611019
고양시,시바라쿠가츠동,20050630,영업,,N,,,백화점,"경기도 고양시 일산동구 중앙로 1283, 지하2층 일부호 (장항동, 롯데백화점일산점 판매동)",경기도 고양시 일산동구 장항동 784번지 외2필지(롯데백화점일산점지하2층일부) ,10401,37.6606005,126.7719358
고양시,익선동창화당,20180807,영업,,N,,,백화점,"경기도 고양시 일산동구 중앙로 1283, 롯데백화점일산점 판매동 지하2층 일부호 (장항동)",경기도 고양시 일산동구 장항동 784번지 롯데백화점일산점 ,10401,37.6606005896,126.7719358490
고양시,카모메앤(kamomeN) 현대백화점 킨텍스점,20181213,영업,,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 레이킨스몰 현대백화점 지하1층일부호 (대화동)",경기도 고양시 일산서구 대화동 2602번지 레이킨스몰 현대백화점 지하1층일부 ,10391,37.6679786706,126.7516242854
고양시,(주)현대그린푸드현대백화점킨텍스,20180404,영업,,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 레이킨스몰(현대백화점) 지하1층 일부호 (대화동)",경기도 고양시 일산서구 대화동 2602번지 레이킨스몰(현대백화점) 지하1층 일부 ,10391,37.6679645,126.7513867
고양시,예당떡방,20180113,영업,,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 현대백화점킨텍스점 지하1층 일부호 (대화동)",경기도 고양시 일산서구 대화동 2602번지 현대백화점킨텍스점 지하1층 일부 ,10391,37.6679645,126.7513867
고양시,만두제일가,20180112,영업,,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 현대백화점킨텍스점 지하1층 일부호 (대화동)",경기도 고양시 일산서구 대화동 2602번지 현대백화점킨텍스점 지하1층 일부 ,10391,37.6679645,126.7513867
고양시,남도분식,20180113,영업,,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 현대백화점킨텍스점 지하1층 일부호 (대화동)",경기도 고양시 일산서구 대화동 2602번지 현대백화점킨텍스점 지하1층 일부 ,10391,37.6679645,126.7513867
고양시,투썸플레이스 일산그랜드백화점점,20171117,영업,,Y,,,백화점,"경기도 고양시 일산서구 중앙로 1436, 지하3층 일부호 (주엽동, 그랜드백화점)",경기도 고양시 일산서구 주엽동 22번지 그랜드백화점일산점 지하3층 일부,10387,37.6709039,126.7611019
고양시,델리커리 일산그랜드백화점점,20170920,영업,,N,,,백화점,"경기도 고양시 일산서구 중앙로 1436, 지하2층 일부호 (주엽동, 그랜드백화점)",경기도 고양시 일산서구 주엽동 22번지 그랜드백화점,10387,37.6709039,126.7611019
고양시,에그드랍 현대백화점 킨텍스점,20180316,폐업,20200206,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 레이킨스몰 현대백화점 지하1층일부호 (대화동)",경기도 고양시 일산서구 대화동 2602번지 레이킨스몰 현대백화점 지하1층일부 ,10391,37.6679645069,126.7513867788
고양시,효승,20050610,폐업,20050803,N,,,백화점,"경기도 고양시 일산동구 중앙로1275번길 64 2층 일부 (장항동,홈플러스)",경기도 고양시 일산동구 장항동 755번지 (한국까르푸 2층일부),10401,37.6589637,126.7688243
고양시,소문난 맛집,20130816,폐업,20130909,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 지하1층 일부호 (대화동, 레이킨스몰 백화점)",경기도 고양시 일산서구 대화동 2602번지 레이킨스몰 백화점 지하1층 일부,10391,37.6679645,126.7513867
고양시,마루가메제면 일산점,20130805,폐업,20180312,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 지하1층 일부호 (대화동, 레이킨스몰 백화점)",경기도 고양시 일산서구 대화동 2602번지 레이킨스몰 백화점 지하1층일부,10391,37.6679645,126.7513867
고양시,공차 현대백화점 킨텍스점,20180214,폐업,20180330,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 레이킨스몰 현대백화점 지하1층일부호 (대화동)",경기도 고양시 일산서구 대화동 2602번지,10391,37.6679645,126.7513867
고양시,썬더볼드피커(일산현대백화점점),20150109,폐업,20190716,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 지하1층 일부호 (대화동, 레이킨스몰 백화점)",경기도 고양시 일산서구 대화동 2602번지 레이킨스몰 백화점 지하1층일부 ,10391,37.6679645,126.7513867
고양시,해피핀치(후레쉬푸드(주)),20151123,폐업,20170317,N,,,백화점,"경기도 고양시 일산동구 중앙로 1283, 지하2층 일부호 (장항동, 롯데백화점일산점판매동)",경기도 고양시 일산동구 장항동 784번지 외 1필지 롯데백화점일산점판매동 지하2층 일부호,10401,37.6606005,126.7719358
고양시,토리고,20050704,폐업,20060605,N,,,백화점,경기도 고양시 일산동구 중앙로 1283 외2필지 (롯데백화점일산점 지하2층일부) (장항동),경기도 고양시 일산동구 장항동 784번지 외2필지(롯데백화점일산점 지하2층일부),10401,37.6606005,126.7719358
고양시,파주 닭국수,20160804,폐업,20180131,N,,,백화점,"경기도 고양시 일산서구 호수로 817, 지하1층 일부호 (대화동, 현대백화점)",경기도 고양시 일산서구 대화동 2602번지 현대백화점 지하1층 일부호,10391,37.6679645,126.7513867
고양시,(주)헬로파파,20080515,폐업,20090922,N,,,백화점,경기도 고양시 일산동구 중앙로 1283 외2필지 롯데백화점일산점 판매동 지하2층(일부) (장항동),경기도 고양시 일산동구 장항동 784번지 외2필지 롯데백화점일산점 판매동 지하2층(일부),10401,37.6606005,126.7719358
