시군명,사업장명,인허가일자,영업상태명,폐업일자,다중이용업소여부,총시설규모(㎡),위생업종명,위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
가평군,롯데리아청평D/T점,20141219,영업,,Y,,,패스트푸드,"경기도 가평군 청평면 톳골길 3, C동 1,2층","경기도 가평군 청평면 청평리 312-9번지 외 5필지, C동 1,2층 ",12451,37.7399916185,127.4209745906
가평군,투빅버거청평점,20160420,영업,,N,,,패스트푸드,경기도 가평군 청평면 청평중앙로 53,경기도 가평군 청평면 청평리 465-29번지,12452,37.7381839,127.4200568
가평군,커피앤닭강정,20160518,영업,,N,,,패스트푸드,,경기도 가평군 가평읍 달전리 117-6번지,12422,37.8062921,127.5248511
가평군,가평역맞이방나루김밥,20170118,영업,,N,,,패스트푸드,"경기도 가평군 가평읍 문화로 13-42, 가평역사동 1층",경기도 가평군 가평읍 달전리 567번지 외 15필지(가평역사 1층) ,12423,37.8141819,127.5109723
가평군,베스킨라빈스(가평점),20111111,영업,,N,,,패스트푸드,경기도 가평군 가평읍 가화로 124,경기도 가평군 가평읍 읍내리 471-3번지 외1필지,12419,37.8306760,127.5135275
가평군,이삭,20160108,영업,,N,,,패스트푸드,"경기도 가평군 가평읍 가화로 97-1, 1층",경기도 가평군 가평읍 읍내리 476-11번지 외 1필지(1층),12418,37.8284030,127.5141366
가평군,효정분식,20191217,영업,,N,,,패스트푸드,"경기도 가평군 설악면 미사리로 278-64, 청심청소년수련원 1층",경기도 가평군 설악면 송산리 595번지 청심청소년수련원 ,12461,37.6816092112,127.5209948977
가평군,롯데리아 설악점,20181231,영업,,N,,,패스트푸드,"경기도 가평군 설악면 신천중앙로 98, 1층",경기도 가평군 설악면 신천리 409-4번지 ,12465,37.6771163,127.4929195
가평군,롯데리아 가평(현리점),20150306,영업,,N,,,패스트푸드,경기도 가평군 조종면 현창로38번길 2-1,경기도 가평군 조종면 현리 409-11번지,12437,37.8183196,127.3487644
가평군,세븐일레븐 가평역점,20190524,영업,,N,,,패스트푸드,"경기도 가평군 가평읍 문화로 1, 1층",경기도 가평군 가평읍 달전리 429-10번지 1층 ,12423,37.8147355,127.5142127
가평군,세븐일레븐 청평터미널점,20090629,영업,,N,,,패스트푸드,경기도 가평군 청평면 청평중앙로 52 (외 2필지),경기도 가평군 청평면 청평리 432-10번지 외 2필지 ,12452,37.7377690,127.4202019
가평군,이거야?,20200508,영업,,N,,,패스트푸드,"경기도 가평군 청평면 경춘로 135-26, 1층","경기도 가평군 청평면 대성리 383-60번지 ,1층 ",12457,37.6878858730,127.3798886206
