공원명,개원일,공원주소,X좌표(GRS80TM),Y좌표(GRS80TM),X좌표(WGS84),Y좌표(WGS84)
남산도시자연공원,1968.9.10,서울특별시 중구 삼일대로 231(예장동),198364.107,450395.554,126.9903773,37.5501402
길동생태공원,1999.5.20,서울특별시 강동구 천호대로 1291(길동생태공원) ,213554.12,448852.675,127.1547791,37.5403935
서울대공원,1984.5.1,경기도 과천시 대공원광장로 102,200994.267,437163.981,127.01984650000001,37.4264494
서울숲,2005.6.18,서울특별시 성동구 뚝섬로 273 (성수동1가) ,203695.432,449290.726,127.0417982,37.5430717
월드컵공원,2002.5.1,서울특별시 마포구 하늘공원로 84(월드컵공원),190658.07,451598.831,126.87890700000001,37.571805
광화문시민열린마당,1999.1.1,서울특별시 종로구 세종로 76-2,198054.17899999997,452832.049,126.9780227,37.575044899999995
진관근린공원(구파발폭포),1997.10.1,서울특별시 은평구 진관동 393,192864.424,459694.74600000004,126.9192155,37.6370244
중마루근린공원,1997.11.25 ,서울특별시 영등포구 영등포동2가 222,192162.09,446711.963,126.9112668,37.519832
응봉공원,2003.2.21 ,서울특별시 성동구 금호동1가 산1-72,201884.862,450829.348,127.0217653,37.5572281
매화근린공원,1998.6.18 ,서울특별시 강서구 등촌동 630-14,187712.085,450892.604,126.86115,37.5575833
성수근린공원,1998.5.28 ,서울특별시 성동구 성수2가 3동 302-25,204637.837,449470.206,127.05240230000001,37.5448144
샛마을근린공원,1999.5.31,서울특별시 강동구 명일1동 288,212935.15600000002,450185.001,127.1471618,37.5504807
여의도근린공원,1999.1.24 ,서울특별시 영등포구 여의공원로 68 (여의도동),193224.42,447495.851,126.922377,37.526129
간데메근린공원,,서울특별시 동대문구 서울시립대로2길 59(간데메공원),204339.82,452584.376,127.04886440000001,37.57324379999999
훈련원근린공원,1997.6.30,서울특별시 중구 을지로 227,200301.27399999998,451995.862,127.0038188,37.5675245
영등포근린공원,1998.7.8,서울특별시 영등포구 신길로 275,192126.06,446207.76700000005,126.91066200000002,37.515423
보라매근린공원,1986.5.5,서울특별시 동작구 여의대방로20길 33(보라매공원),192880.78399999999,443935.417,126.91828899999999,37.492333
어린이대공원,1973.5.5 ,서울특별시 광진구 능동로 216(어린이대공원),207108.865,449977.62,127.0809212,37.5498987
천호근린공원,1998.6.20 ,서울특별시 강동구 올림픽로 702(천호공원),211094.883,449373.595,127.1263451,37.5444741
용산가족공원,1992.11.5 ,서울특별시 용산구 서빙고로 185,198680.6,446756.9,126.98333500000001,37.522226
독립근린공원,1992.8.15,서울특별시 서대문구 통일로251(독립공원),196318.22,452589.144,126.956771,37.5738289
낙산근린공원,2002.6.12,서울특별시 종로구 낙산길 41 (우) 03085,200631.301,453432.55600000004,127.00758700000002,37.580477
