도서관명,구명,주소,위도,경도
BIBLIOTECA,강남구,서울특별시 강남구 도산대로 25길 15-4 1층,37.5207695,127.0245651
LH강남3단지작은도서관,강남구,서울특별시 강남구 자곡로3길 22 ,37.46997231,127.0910208
休+밤토리SH작은도서관,강남구,서울특별시 강남구 밤고개로26길 50(율현동 강남한신휴플러스6단지),37.47054284,127.1137731
강남구립못골도서관,강남구,서울특별시 강남구 자곡로 116,37.47153836,127.096582
강남역삼푸른솔도서관,강남구,서울특별시 강남구 테헤란로8길 36. 4층,37.4964968,127.0320274
강남한신휴플러스8단지작은도서관,강남구,서울특별시 강남구 밤고개로27길 20(율현동 강남한신휴플러스8단지) ,37.46971323,127.1130164
강남한양수자인작은씨앗도서관,강남구,서울특별시 강남구 자곡로 260 ,37.47586067,127.1134903
개포4동작은도서관,강남구,서울특별시 강남구 개포로38길 12 개포4동주민센터 ,37.47882622,127.0516625
국립어린이청소년도서관,강남구,서울특별시 강남구 테헤란로7길 21,37.50090187,127.0296764
꿈꾸는작은도서관,강남구,서울특별시 강남구 자곡로3길 21 ,37.47176041,127.0881053
꿈밭작은도서관,강남구,서울특별시 강남구 자곡로 204-19 2층,37.47375667,127.104168
남서울중앙교회작은도서관,강남구,서울특별시 강남구 삼성로 40(개포동) 1층,37.48894236,127.0666071
논현도서관,강남구,서울특별시 강남구 학동로43길 17(논현동) 논현2동주민센터 6층,37.51727791,127.0371879
논현정보도서관,강남구,서울특별시 강남구 학동로 167  3층,37.51386197,127.0293199
다움영어도서관,강남구,서울특별시 강남구 개포로 124길 7(일원동),37.49411388,127.0828722
대치1동작은도서관,강남구,서울특별시 강남구 남부순환로 391길 19 대치1문화센터 지하1층 ,37.49324594,127.0567758
대치도서관,강남구,서울특별시 강남구 삼성로 212 은마아파트 복지상가 2층 215호,37.49879449,127.066997
데시앙숲속작은도서관,강남구,서울특별시 강남구 광평로 34길 55 ,37.48070634,127.0896793
도곡2동작은도서관,강남구,서울특별시 강남구 남부순환로378길 34-9 도곡2동주민센터 ,37.48372309,127.0464069
도곡정보문화도서관,강남구,서울특별시 강남구 도곡로18길 57,37.4883101,127.0388803
드림작은도서관,강남구,서울특별시 강남구 언주로121길 5(논현동) 1층,37.51146572,127.0353539
래미안포레작은도서관,강남구,서울특별시 강남구 밤고개로 21길 25 ,37.47504703,127.1076438
루디아영어어린이도서관,강남구,서울특별시 강남구 헌릉로 569 802호(세곡동) 강남리더스빌딩 802호,37.46575726,127.1012262
맛있는 도서관,강남구,서울특별시 강남구 남부순환로365길 22 B 101호,37.486838,127.0372526
못골한옥어린이도서관,강남구,서울특별시 강남구 영동대로 65길 24 대치2동주민센터3층,37.50230515,127.0641886
브리즈힐도서관,강남구,서울특별시 강남구 자곡로 3길 45,37.47222456,127.0906848
사피엔스 작은도서관,강남구,서울특별시 강남구 삼성로 720 청담동천주교회,37.5203668,127.0478323
산마루 작은도서관,강남구,서울특별시 강남구 영동대로 118길 39 ,37.5178203,127.0590694
삼성도서관,강남구,서울특별시 강남구 봉은사로 616 삼성1동주민센터 동관 4층 ,37.51435272,127.0626058
삼성서울병원의학정보센터,강남구,서울특별시 강남구 일원로 81 삼성서울병원 별관 지하 3층,37.49034493,127.0895905
서울특별시교육청강남도서관,강남구,서울특별시 강남구 선릉로116길 45,37.51368143,127.0468374
서울특별시교육청개포도서관,강남구,서울특별시 강남구 선릉로4길 30,37.48308019,127.063867
세곡도서관,강남구,서울특별시 강남구 밤고개로 286 세곡동주민센터 ,37.4690517,127.1069139
세곡리엔파크1단지아파트 SH도서관,강남구,서울특별시 강남구 헌릉로 590길 100 관리동2층(세곡동) ,37.4640671,127.0984192
세곡리엔파크5단지도서관,강남구,서울특별시 강남구 헌릉로590길 63 ,37.4600486,127.0993931
수서동작은도서관,강남구,서울특별시 강남구 광평로 301-4 수서동주민센터 ,37.48890342,127.1049909
신사동작은도서관,강남구,서울특별시 강남구 압구정로 128 신사동주민센터 ,37.52397487,127.0227972
아름다운도서관,강남구,서울특별시 강남구 논현로68길 5,37.49470924,127.0404834
압구정동작은도서관,강남구,서울특별시 강남구 압구정로33길 48 압구정동주민센터,37.53061779,127.0306528
역삼2동작은도서관,강남구,서울특별시 강남구 언주로 314 강남프라자 2층,37.49588839,127.046474
역삼도서관,강남구,서울특별시 강남구 역삼로7길 16,37.49537399,127.0332844
열린도서관,강남구,서울특별시 강남구 일원로 115 삼성생명빌딩 B동 203호,37.4839558,127.0845367
이편한세상도서관,강남구,서울특별시 강남구 헌릉로 571길 20 ,37.46574983,127.1030362
일원1동작은도서관,강남구,서울특별시 강남구 양재대로55길 14 일원1동 주민센터,37.49184926,127.0880233
일원본동작은도서관,강남구,서울특별시 강남구 광평로 126 일원본동주민센터 ,37.48337783,127.0864821
정다운도서관,강남구,서울특별시 강남구 학동로67길 11 3층정다운도서관,37.51909941,127.0464411
즐거운도서관,강남구,서울특별시 강남구 도곡로77길 23,37.49973075,127.0578497
청담도서관,강남구,서울특별시 강남구 압구정로79길 26 청담주민센터 7층,37.52509298,127.0492914
통계청나라셈도서관,강남구,서울특별시 강남구 언주로 721(논현동) 서울세관 별관 4층,37.51814355,127.0349803
페미니즘 도서관 두잉,강남구,서울특별시 강남구 삼성로 654 B1,37.5185487,127.0485138
푸르지오책사랑,강남구,서울특별시 강남구 자곡로 21 ,37.4662566,127.0923733
피치서가,강남구,서울특별시 강남구 논현로 168길 39 2층,37.5232559,127.0293329
하상시각장애인도서관,강남구,서울특별시 강남구 개포로 613 하상장애인복지회관,37.4924322,127.0728459
하음작은도서관,강남구,서울특별시 강남구 개포로25길 5 B1,37.4792226,127.045865
한국고등교육재단정보자료실,강남구,서울특별시 강남구 테헤란로 211 한국고등교육재단 지하3층,37.50188824,127.0392423
한국관세무역개발원자료실,강남구,서울특별시 강남구 언주로 735 관우빌딩 6층,37.52079171,127.0337358
한국무역협회정보자료실,강남구,서울특별시 강남구 영동대로 511 무역센터 트레이드타워 603호,37.51035608,127.0610231
한국문학번역원번역전문도서관,강남구,서울특별시 강남구 영동대로112길 32,37.51522231,127.0628405
한국지식재산연구원지식재산전문도서관,강남구,서울특별시 강남구 테헤란로 131 한국지식재산센터 3층,37.50008222,127.0329376
행복한도서관,강남구,서울특별시 강남구 영동대로65길 24(대치2문화센터 3층),37.50230515,127.0641886
힐즈도서관,강남구,서울특별시 강남구 자곡로 101,37.4724452,127.0958153
가람슬기작은도서관,강동구,서울특별시 강동구 강동대로53길 76 (성내동) 성내3동주민센터 1층,37.52604274,127.1328841
강동구립강일도서관,강동구,서울특별시 강동구 아리수로 93길 9-14,37.56504077,127.1739073
강동구립성내도서관,강동구,서울특별시 강동구 성안로 106-1,37.53283244,127.1333354
강동구립암사도서관,강동구,서울특별시 고덕로 20길 42 (암사동 471-37),37.55283455,127.1333221
강동구립천호도서관,강동구,서울특별시 강동구 성안로 31마길 1(천호3동 제2공영주차장 지상 2층),37.54052333,127.1340816
강동구립해공도서관,강동구,서울특별시 강동구 올림픽로 702,37.54394314,127.1255359
강동성심병원의학도서실,강동구,서울특별시 강동구 성안로 150 강동성심병원 제2별관 교육연구관 5층,37.53615563,127.135336
