기간	자치구	개소	좌석수	자료수	자료수	자료수	도서관 방문자수	자료실 이용자수	연간대출 책수	직원수	직원수	직원수	예산
기간	자치구	개소	좌석수	도서	비도서	연속간행물(종)	도서관 방문자수	자료실 이용자수	연간대출 책수	계	남자	여자	예산
2007	합계	66	34,659	6,305,094	278,542	20,932	35,173,528	23,464,086	7,452,706	1,332	441	891	60,010
2007	종로구	4	4,311	881,791	26,997	2,353	2,789,902	2,050,208	694,782	152	48	104	8,152
2007	중구	1	50	42,000	365	192	10,000	8,800	125	3	2	1	165
2007	용산구	2	2,627	689,689	20,716	2,043	1,717,116	1,394,481	303,787	99	28	71	5,232
2007	성동구	3	1,139	187,147	11,523	473	1,901,760	1,147,303	317,501	38	12	26	2,299
2007	광진구	1	1,295	107,633	8,216	356	1,355,739	1,355,739	283,243	29	16	13	877
2007	동대문구	2	1,018	270,422	10,679	789	984,100	326,276	191,877	68	22	46	1,949
2007	중랑구	2	1,282	145,316	15,817	289	1,963,255	1,456,909	193,820	42	9	33	1,676
2007	성북구	2	815	161,373	10,325	444	2,199,311	1,283,696	387,233	34	14	20	1,785
2007	강북구	3	1,181	205,385	15,642	402	880,701	497,435	914,113	54	17	37	2,407
2007	도봉구	2	1,356	265,812	16,835	912	1,304,461	1,061,997	658,798	55	19	36	2,569
2007	노원구	4	2,280	281,238	9,592	956	2,454,942	1,859,255	528,338	75	29	46	3,729
2007	은평구	1	986	138,152	9,800	623	761,506	640,404	159,598	44	19	25	1,802
2007	서대문구	2	1,244	225,120	7,883	749	1,146,848	734,224	210,678	46	16	30	2,326
2007	마포구	2	1,169	301,830	32,560	1,359	2,055,041	1,154,231	260,552	74	33	41	4,072
2007	양천구	2	1,734	241,647	9,615	547	1,861,954	1,134,594	202,347	54	19	35	1,273
2007	강서구	2	1,152	226,487	5,290	977	714,276	442,178	195,836	55	16	39	955
2007	구로구	5	1,932	327,598	13,379	1,302	1,658,325	965,049	298,790	79	24	55	3,240
2007	금천구	2	822	113,846	8,579	276	665,145	488,293	175,406	34	16	18	1,865
2007	영등포구	2	783	176,321	4,262	626	849,602	591,627	192,306	45	16	29	2,771
2007	동작구	1	498	108,806	4,569	628	787,570	632,360	139,285	24	9	15	1,107
2007	관악구	3	755	147,193	5,142	241	1,037,379	402,663	192,442	21	4	17	2,405
2007	서초구	2	405	41,863	957	16	77,442	47,000	1,300	7	-	7	273
2007	강남구	10	1,622	407,515	13,302	1,612	1,693,240	1,032,826	297,988	79	14	65	2,289
2007	송파구	2	2,126	196,850	6,014	883	2,406,747	1,536,802	336,337	69	19	50	974
2007	강동구	4	2,077	414,060	10,483	1,884	1,897,166	1,219,736	316,224	52	20	32	3,817
2008	합계	78	39,035	6,798,045	297,253	22,549	43,850,941	28,498,983	14,660,772	1,468	505	963	65,531
2008	종로구	4	4,242	950,276	27,700	2,572	3,258,767	1,919,224	1,002,241	158	49	109	8,862
2008	중구	2	150	52,536	747	234	-	20,548	31,456	17	9	8	-
2008	용산구	2	2,639	680,674	22,107	2,001	1,588,698	1,343,543	529,895	105	29	76	5,310
2008	성동구	4	1,265	238,850	12,895	465	2,181,933	1,440,511	627,720	38	7	31	2,445
2008	광진구	3	1,652	141,071	8,663	529	1,413,394	1,411,167	718,299	47	20	27	916
2008	동대문구	2	1,018	271,135	16,336	713	1,735,463	1,367,821	479,411	65	19	46	3,194
2008	중랑구	2	1,260	165,753	15,429	305	2,023,399	1,592,541	531,409	42	10	32	1,834
2008	성북구	2	1,382	193,374	12,572	592	1,695,134	1,382,816	479,937	44	15	29	1,736
2008	강북구	3	1,130	176,780	15,310	464	4,786,785	794,844	712,372	52	17	35	2,097
2008	도봉구	3	1,427	287,600	18,709	984	1,819,216	1,340,047	1,217,863	64	26	38	2,982
2008	노원구	4	2,582	330,012	11,149	1,047	2,332,539	2,042,877	1,199,976	84	33	51	5,021
2008	은평구	2	1,497	163,005	11,201	688	850,228	875,944	246,297	59	28	31	1,915
2008	서대문구	2	1,244	238,020	9,622	860	1,283,414	777,844	492,516	41	15	26	2,576
2008	마포구	3	2,661	329,863	18,248	1,230	2,572,703	1,276,535	621,655	64	25	39	4,133
2008	양천구	2	1,608	240,643	10,548	581	1,739,116	1,430,053	560,023	65	24	41	986
2008	강서구	4	1,457	252,584	6,597	1,060	1,139,471	732,587	591,806	70	20	50	1,250
2008	구로구	5	2,134	345,502	14,385	1,270	2,071,942	983,999	675,881	73	28	45	3,863
2008	금천구	3	889	139,685	12,336	317	931,002	820,305	289,990	48	21	27	1,521
2008	영등포구	3	1,063	229,497	7,209	700	1,294,815	793,221	340,674	56	16	40	2,416
2008	동작구	2	628	127,562	5,191	679	1,053,264	829,389	504,669	37	11	26	1,509
2008	관악구	3	755	167,027	5,858	486	1,014,000	686,861	484,027	41	17	24	2,106
2008	서초구	1	34	-	-	15	59,600	59,600	-	4	-	4	157
2008	강남구	10	1,766	425,926	15,199	1,739	2,339,425	1,350,460	791,464	81	19	62	2,898
2008	송파구	2	2,102	200,621	6,371	1,113	1,857,293	1,333,539	662,365	39	16	23	1,022
2008	강동구	5	2,450	450,049	12,871	1,905	2,809,340	1,892,707	868,826	74	31	43	4,780
2009	합계	94	40,720	7,571,258	364,257	23,212	49,231,515	33,553,500	18,713,089	2,236	610	1,626	75,761
2009	종로구	4	4,242	961,755	26,340	2,616	3,693,055	2,290,095	1,077,945	211	53	158	9,069
