"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자"
"3150000","PHMA319713150037041300001","19710721","","01","영업/정상","13","영업중","","","","","02-2656-3865","","157712","서울특별시 강서구 공항동 1370번지","서울특별시 강서구 하늘길 260 (공항동 대한항공 부속의원)","07505","㈜대한항공부속의원","20190411234313","U","2019-04-13 02:40:00.0","","183340.570262895    ","449522.978960208    ","부속의원","27","0","0","2685","122 101","내과 가정의학과","","","","0","0","","","0",""
"3150000","PHMA319913150037041300001","19910530","","01","영업/정상","13","영업중","","","","","02-2669-3802","","157270","서울특별시 강서구 오쇠동 47번지 9호 교육훈련동 4층","서울특별시 강서구 오정로 443-100 4층 (오쇠동 교육훈련동)","07505","아시아나항공㈜ 부속의원","20190709133534","U","2019-07-11 02:40:00.0","","182286.078276094    ","449207.30255154     ","부속의원","12","0","0","1214.78","122","가정의학과","","","","0","0","","","0",""
"3150000","PHMA320133150037021300001","20130121","","01","영업/정상","13","영업중","","","","","0200000000","","","서울특별시 강서구 외발산동 산 63번지 1호","서울특별시 강서구 남부순환로 277 (외발산동)","07641","육군제5602부대","20160128163457","I","2018-08-31 23:59:59.0","","184391.854585747    ","448816.090227859    ","군부대시설","1","0","0","0","101 104 105","정형외과 외과 내과","","","","0","0","","","0",""
"3160000","PHMA320053160034021300650","20050930","","01","영업/정상","13","영업중","","","","","02-2105-0391(702)","","152130","서울특별시 구로구 천왕동 272번지","서울특별시 구로구 금오로 865 (천왕동)","08367","서울남부구치소부속의원","20190426164644","U","2019-04-28 02:40:00.0","","185530.717402739    ","441675.376027035    ","부속의원","3","0","0","208","101 104","외과 내과","","","","0","0","","","0",""
"3160000","PHMA320053160034021300651","20050930","","01","영업/정상","13","영업중","","","","","02-2083-0375","","152130","서울특별시 구로구 천왕동 272번지","서울특별시 구로구 금오로 867 (천왕동)","08367","서울남부교도소부속의원","20190619102557","U","2019-06-21 02:40:00.0","","185530.717402739    ","441675.376027035    ","부속의원","4","0","1","978","104","외과","","","","0","0","","","0",""
"3180000","PHMA319003180034041300002","19000101","","03","폐업","03","폐업","","","","","02-2076-4047","","","서울특별시 영등포구 영등포동   618-496","","","롯데역사(주)부속의원","20081218184432","I","2018-08-31 23:59:59.0","","","","부속의원","0","0","0","0","101","내과","","","","0","0","","","0",""
"3180000","PHMA319003180034041300003","19000101","","03","폐업","03","폐업","","","","","02-2076-4047","","","서울특별시 영등포구 문래동6가   8-0","","","제일화재부속의원","20081218184432","I","2018-08-31 23:59:59.0","","","","부속의원","0","0","0","0","101","내과","","","","0","0","","","0",""
"3180000","PHMA319003180034041300004","19000101","","03","폐업","03","폐업","20031006","","","","02-2076-4047","","","서울특별시 영등포구 여의도동 알리안츠타워6층  45-21","","","알리안츠제일생명보험(주)부속의원","20150424100957","I","2018-08-31 23:59:59.0","","","","부속의원","1","0","0","0","101","내과","","","","0","0","","","0",""
"3180000","PHMA319773180034041300001","19770328","","03","폐업","03","폐업","20150424","","","","02-2076-4047","","","서울특별시 영등포구 당산동6가   121-150","","","대한결핵협회결핵연구원부설복십자의원","20150424100509","I","2018-08-31 23:59:59.0","","","","부속의원","1","0","0","0","101","내과","","","","0","0","","","0",""
"3180000","PHMA319973180034041300001","19971008","","03","폐업","03","폐업","20121022","","","","02-2076-4047","","","서울특별시 영등포구 영등포동2가   94-267","","","근로복지공단","20121022153919","I","2018-08-31 23:59:59.0","","","","부속의원","1","0","0","0","101","내과","","","","0","0","","","0",""
"3180000","PHMA320173180034041300001","20170316","","01","영업/정상","13","영업중","","","","","02-2133-7493","","","서울특별시 영등포구 영등포동2가 94번지 31호 1층","서울특별시 영등포구 버드나루로 24 1층 (영등포동2가 보현의집)","07254","영등포보현의집 부속의원","20200211100856","U","2020-02-13 02:40:00.0","","192208.24514318     ","446551.561824407    ","부속의원","2","0","0","71.7","122 101","내과 가정의학과","","","","0","0","","","0",""
