"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총인원","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3130000","3130000-105-2020-00008","20200714","","01","영업/정상","01","영업","","","","","02 69490277","","121808","서울특별시 마포구 대흥동 17-5 신촌그랑자이","서울특별시 마포구 대흥로 175 관리동 1층 (대흥동 신촌그랑자이)","04105","신촌그랑어린이집","20200714090759","I","2019-12-06 23:06:00.0","어린이집","195107.082374564","450307.167672902","","","","","","","","","","","","","","","","","","",""
"3110000","3110000-105-2020-00025","20200714","","01","영업/정상","01","영업","","","","","","","122927","서울특별시 은평구 응암동 626-53 백련산파크자이","서울특별시 은평구 백련산로 67 (응암동 백련산파크자이)","03468","구립한빛어린이집","20200714140123","I","2019-12-06 23:06:00.0","어린이집","193105.780886028","454376.582834133","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-105-2017-00010","20170303","","01","영업/정상","01","영업","","","","","0263641721","990.00","157210","서울특별시 강서구 마곡동 798-0 홈앤쇼핑사옥 (지상 11층)","서울특별시 강서구 공항대로 150 11층 (마곡동 발산 1동 홈앤쇼핑사옥)","07807","직원식당","20200714161059","U","2019-12-06 23:06:00.0","기숙사","184382","450838","","","","","","","","","","","","","","","","","","",""
"3160000","3160000-105-2013-00002","20130227","","03","폐업","02","폐업","20200714","","","","02   8620450","7.00","152838","서울특별시 구로구 구로동 43-4 다솜아파트 110호 111호","서울특별시 구로구 새말로16길 70 (구로동 다솜아파트 110호 111호)","08296","다솜어린이집","20200714173443","U","2019-12-06 23:06:00.0","어린이집","190376.367823375","444488.622931376","","","","","","","","","","","","","","","","","","",""
"3190000","3190000-105-2005-00071","20050824","","03","폐업","02","폐업","20200714","","","","","32.00","156879","서울특별시 동작구 사당동 190-171","서울특별시 동작구 사당로2다길 95 (사당동)","07029","송림유치원","20200714154745","U","2019-12-06 23:06:00.0","어린이집","196698.873997367","442984.868727502","","","","","","","","","","","","","","","","","","",""
"3150000","3150000-105-2005-00017","20050707","","01","영업/정상","01","영업","","","","","0226610090","48.00","157280","서울특별시 강서구 내발산동 746-0 사무엘어린이집","서울특별시 강서구 수명로2길 96 (내발산동 사무엘어린이집)","07636","사무엘어린이집","20200714132844","U","2019-12-06 23:06:00.0","어린이집","184726.263125093","449886.41158297","","","","","","","","","","","","","","","","","","",""
"3180000","3180000-105-2020-00014","20200715","","01","영업/정상","01","영업","","","","","","42.34","150811","서울특별시 영등포구 대림동 603-26 코스모메디칼","서울특별시 영등포구 도신로 41 코스모메디칼 6층 (대림동)","07376","새롬한방병원","20200715170829","I","2019-12-06 23:07:00.0","병원","190859.233603098","444779.094253558","","","","","","","","","","","","","","","","","","",""
"3160000","3160000-105-2013-00012","20130726","","03","폐업","02","폐업","20200715","","","","02  63439123","21.56","152050","서울특별시 구로구 구로동 1258 중앙유통단지 업무B동 1호","서울특별시 구로구 경인로53길 15 (구로동 중앙유통단지 업무B동 1호)","08217","하람어린이집","20200715162303","U","2019-12-06 23:07:00.0","어린이집","188840.515865617","444306.771104527","","","","","","","","","","","","","","","","","","",""
"3180000","3180000-105-2013-00040","20130726","","01","영업/정상","01","영업","","","","","02  63439123","23.00","150835","서울특별시 영등포구 문래동3가 55-18 영시티","서울특별시 영등포구 문래로28길 25 영시티 S타워 3층 (문래동3가)","07298","하람어린이집","20200715162639","I","2019-12-06 23:07:00.0","어린이집","191071.738273908","445989.402943141","","","","","","","","","","","","","","","","","","",""
"3110000","3110000-105-2020-00026","20200716","","01","영업/정상","01","영업","","","","","","44.00","122905","서울특별시 은평구 응암동 36 녹번역e편한세상캐슬아파트","서울특별시 은평구 은평로 220 (응암동 녹번역e편한세상캐슬아파트)","03472","구립응암행복어린이집","20200716165040","I","2019-12-06 23:08:00.0","어린이집","193981.438661003","455167.007998035","","","","","","","","","","","","","","","","","","",""
"3100000","3100000-105-2020-00014","20200716","","01","영업/정상","01","영업","","","","","","9.11","139773","서울특별시 노원구 공릉동 81 태강아파트","서울특별시 노원구 공릉로34길 62 관리사무소동 23층 (공릉동 태강아파트)","01820","미광어린이집","20200716175728","I","2019-12-06 23:08:00.0","어린이집","207274.300313358","457909.125969428","","","","","","","","","","","","","","","","","","",""
"3070000","3070000-105-2017-00008","20170517","","01","영업/정상","01","영업","","","","","029263704",".00","136084","서울특별시 성북구 보문동4가 4","서울특별시 성북구 보문로 98 (보문동4가)","02852","동선유치원","20200716171509","U","2019-12-06 23:08:00.0","학교","201726.730528322","453532.769377598","","","","","","","","","","","","","","","","","","",""
