인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
20200714,영업,,서울특별시 마포구 대흥동 17-5 신촌그랑자이,서울특별시 마포구 대흥로 175 관리동 1층 (대흥동 신촌그랑자이),신촌그랑어린이집,어린이집
20200714,영업,,서울특별시 은평구 응암동 626-53 백련산파크자이,서울특별시 은평구 백련산로 67 (응암동 백련산파크자이),구립한빛어린이집,어린이집
20170303,영업,,서울특별시 강서구 마곡동 798-0 홈앤쇼핑사옥 (지상 11층),서울특별시 강서구 공항대로 150 11층 (마곡동 발산 1동 홈앤쇼핑사옥),직원식당,기숙사
20130227,폐업,20200714,서울특별시 구로구 구로동 43-4 다솜아파트 110호 111호,서울특별시 구로구 새말로16길 70 (구로동 다솜아파트 110호 111호),다솜어린이집,어린이집
20050824,폐업,20200714,서울특별시 동작구 사당동 190-171,서울특별시 동작구 사당로2다길 95 (사당동),송림유치원,어린이집
20050707,영업,,서울특별시 강서구 내발산동 746-0 사무엘어린이집,서울특별시 강서구 수명로2길 96 (내발산동 사무엘어린이집),사무엘어린이집,어린이집
20200715,영업,,서울특별시 영등포구 대림동 603-26 코스모메디칼,서울특별시 영등포구 도신로 41 코스모메디칼 6층 (대림동),새롬한방병원,병원
20130726,폐업,20200715,서울특별시 구로구 구로동 1258 중앙유통단지 업무B동 1호,서울특별시 구로구 경인로53길 15 (구로동 중앙유통단지 업무B동 1호),하람어린이집,어린이집
20130726,영업,,서울특별시 영등포구 문래동3가 55-18 영시티,서울특별시 영등포구 문래로28길 25 영시티 S타워 3층 (문래동3가),하람어린이집,어린이집
20200716,영업,,서울특별시 은평구 응암동 36 녹번역e편한세상캐슬아파트,서울특별시 은평구 은평로 220 (응암동 녹번역e편한세상캐슬아파트),구립응암행복어린이집,어린이집
20200716,영업,,서울특별시 노원구 공릉동 81 태강아파트,서울특별시 노원구 공릉로34길 62 관리사무소동 23층 (공릉동 태강아파트),미광어린이집,어린이집
20170517,영업,,서울특별시 성북구 보문동4가 4,서울특별시 성북구 보문로 98 (보문동4가),동선유치원,학교
20050329,폐업,20200716,서울특별시 노원구 공릉동 81 태강아파트관리동,서울특별시 노원구 공릉로34길 62 2층 (공릉동 태강아파트관리동),미광어린이집,어린이집
20050415,영업,,서울특별시 강동구 천호동 302-10,서울특별시 강동구 구천면로39길 26 (천호동),오송유치원,어린이집
20050415,영업,,서울특별시 강동구 천호동 397-413,서울특별시 강동구 구천면로 236-1 (천호동),(재)천주교서울대교구유지재단 천호유치원,어린이집
20050201,영업,,서울특별시 강동구 천호동 340-39,서울특별시 강동구 구천면로17길 22 (천호동),구립빗살어린이집,어린이집
20180308,영업,,서울특별시 마포구 서교동 354-5번지 RYSE,서울특별시 마포구 양화로 130 서교호텔 지하2층 (서교동),(주)아주호텔서교,기타 집단급식소
20171208,영업,,서울특별시 강서구 마곡동 748번지 마곡13단지힐스테이트마스터 (지상 1층),서울특별시 강서구 마곡중앙1로 71 공항동 1층 (마곡동 마곡13단지힐스테이트마스터),마곡13하나어린이집,어린이집
20200714,영업,,서울특별시 동대문구 답십리동 36-32,서울특별시 동대문구 답십리로48길 56 (답십리동),라온유치원,어린이집
20160527,영업,,서울특별시 강서구 내발산동 740-1 (발산1동),서울특별시 강서구 수명로1길 133 (내발산동 발산1동),하나린어린이집,어린이집
20100219,영업,,서울특별시 종로구 구기동 139-11,서울특별시 종로구 비봉길 48 (구기동),전주시(전주풍남학사),학교
20090424,폐업,20200721,서울특별시 동작구 동작동 102-60,서울특별시 동작구 동작대로41길 7 (동작동),하랑숲 유치원,어린이집
20080901,영업,,서울특별시 강서구 개화동 388-1 외 202필지 (지하1층),서울특별시 강서구 개화동로8길 38 지하 1층 (개화동 2동 개화역),서울시메트로구호선 주식회사,산업체
20200722,영업,,서울특별시 은평구 역촌동 66-11 역촌2동구립어린이집,서울특별시 은평구 연서로3길 14-5 역촌2동구립어린이집 (역촌동),구립역촌2어린이집,어린이집
20200722,영업,,서울특별시 중구 황학동 1457 황학동어린이집,서울특별시 중구 난계로15길 23 황학동어린이집 (황학동),황학어린이집,어린이집
20200110,영업,,서울특별시 강동구 고덕동 212 고덕그라시움아파트,서울특별시 강동구 고덕로 333 113동 1층 (고덕동 고덕그라시움아파트),구립그라시움 은빛어린이집,어린이집
20191203,영업,,서울특별시 강동구 고덕동 212 고덕그라시움아파트,서울특별시 강동구 고덕로 333 140동 1층 (고덕동 고덕그라시움아파트),구립그라시움별빛어린이집,어린이집
20191128,영업,,서울특별시 강동구 고덕동 212 고덕그라시움아파트,서울특별시 강동구 고덕로 333 119동 1층 (고덕동 고덕그라시움아파트),구립그라시움물빛어린이집,어린이집
20180822,영업,,서울특별시 강동구 암사동 478-53 루하마어린이집,서울특별시 강동구 구천면로53가길 1 루하마어린이집 3층 (암사동),루하마어린이집,어린이집
20180305,영업,,서울특별시 강동구 상일동 134 고덕숲아이파크,서울특별시 강동구 고덕로80길 134 1층 (상일동 고덕숲아이파크),구립고덕숲어린이집,어린이집
20150327,영업,,서울특별시 강동구 암사동 450-24,서울특별시 강동구 고덕로27길 33-19 1층 (암사동),구립동심어린이집,어린이집
20050707,영업,,서울특별시 강동구 고덕동 501-1,서울특별시 강동구 동남로81길 16 (고덕동),세정어린이집,어린이집
20050128,영업,,서울특별시 강동구 고덕동 258-7,서울특별시 강동구 동남로82길 83 (고덕동),구립고덕2동어린이집,어린이집
20040604,폐업,20200722,서울특별시 은평구 역촌동 66-11,서울특별시 은평구 연서로3길 14-5 (역촌동),구립역촌2동어린이집,어린이집
20110110,영업,,서울특별시 동작구 사당동 147-29번지,서울특별시 동작구 사당로 300 (사당동),(주)이마트 이수점,산업체
20050630,폐업,20200602,서울특별시 관악구 봉천동 1712번지,서울특별시 관악구 성현로 80 (봉천동),소슬어린이집,어린이집
20050630,폐업,20200602,서울특별시 관악구 봉천동 1712번지,서울특별시 관악구 성현로 80 (봉천동),새소슬유치원,어린이집
20200717,영업,,서울특별시 강서구 마곡동 800-5 (지상 4층),서울특별시 강서구 공항대로 228 4층 (마곡동),무척바른한방병원,병원
20130529,영업,,서울특별시 노원구 상계동 771-1번지,서울특별시 노원구 덕릉로70가길 45 (상계동),성모자애드림힐,사회복지시설
20050704,영업,,서울특별시 구로구 가리봉동 771-1번지 파니파니어린이집,서울특별시 구로구 구로동로7길 27 (가리봉동),예뜰어린이집,어린이집
19891229,영업,,서울특별시 종로구 신영동 178번지,서울특별시 종로구 세검정로7가길 15-1 A동 지4층 (신영동),사회복지법인 선덕원,사회복지시설
20150617,폐업,20200603,서울특별시 강서구 화곡동 50-76번지 지상4층,서울특별시 강서구 초록마을로11길 28 4층 (화곡동 본동),화곡본어린이집,어린이집
20090211,폐업,20200603,서울특별시 마포구 성산동 446번지 성산시영아파트,서울특별시 마포구 월드컵북로 233-1 (성산동 성산시영아파트),서울유치원,어린이집
20050630,영업,,서울특별시 송파구 삼전동 172번지 삼전종합사회복지관,서울특별시 송파구 백제고분로32길 35 1층 (삼전동),삼전어린이집,어린이집
20050627,폐업,20200603,서울특별시 노원구 공릉동 77번지,서울특별시 노원구 공릉로42길 49 (공릉동),공릉2동어린이집(구립),어린이집
20200519,영업,,서울특별시 강서구 화곡동 453-16번지,서울특별시 강서구 곰달래로31다길 25 (화곡동),구립 신태양어린이집,어린이집
20200407,영업,,서울특별시 관악구 봉천동 1717-2번지 은비유치원,서울특별시 관악구 청림5길 22 은비유치원 (봉천동),서울청림유치원,어린이집
20170516,폐업,20200605,서울특별시 강남구 역삼동 627-8번지,서울특별시 강남구 테헤란로25길 53 (역삼동),이베이코리아 베이트리 어린이집,어린이집
20130403,폐업,20200605,서울특별시 노원구 월계동 556번지,서울특별시 노원구 초안산로1길 51 (월계동 월계주공아파트 1단지 내),월계종합사회복지관,사회복지시설
19970919,폐업,20200605,서울특별시 중구 다동 39-0번지,서울특별시 중구 청계천로 24 (다동),(주)한국씨티은행,산업체
20150409,폐업,20200608,서울특별시 강남구 삼성동 143-44번지,서울특별시 강남구 테헤란로 431 15층 (삼성동 라이언타워),(주)지이엔터테인먼트,산업체
20101223,폐업,20200608,서울특별시 강남구 대치동 994-12번지 안순빌딩,서울특별시 강남구 영동대로 213 (대치동안순빌딩),이와스 대치스쿨,산업체
20100706,영업,,서울특별시 서대문구 홍제동 82번지 한양@단지내 (지상1층),서울특별시 서대문구 통일로25길 30 (홍제동 한양@단지내 (지상1층)),한양제일유치원,어린이집
20050701,폐업,20200608,서울특별시 성북구 장위동 68-935번지,서울특별시 성북구 장월로 54 (장위동),앙코아어린이집,어린이집
20000411,폐업,20200608,서울특별시 서대문구 북아현동 190-1번지,서울특별시 서대문구 북아현로11가길 7 (북아현동),추계예술대학교,학교
20191216,영업,,서울특별시 종로구 신문로1가 57번지 KC Tower(케이씨타워) ,서울특별시 종로구 새문안로 75 KC Tower(케이씨타워) 지하1층 (신문로1가),김장 법률사무소,산업체
20191209,영업,,서울특별시 종로구 누상동 54번지 누상어린이집 ,서울특별시 종로구 옥인길 23-4 누상어린이집 (누상동),구립 연동 누상어린이집,어린이집
20191115,영업,,서울특별시 종로구 수송동 46-1번지 을유문화사 ,서울특별시 종로구 우정국로 51-4 을유문화사 (수송동),선재어린이집,어린이집
20090428,영업,,서울특별시 종로구 원남동 187번지 세중타워 12층 ,서울특별시 종로구 창경궁로 143 세중타워 12층 (원남동),(주)세중정보기술,산업체
20191004,영업,,서울특별시 종로구 팔판동 5-12번지 삼청 어린이집 ,서울특별시 종로구 삼청로7길 26 삼청 어린이집 (팔판동),구립삼청어린이집,어린이집
20191125,영업,,서울특별시 종로구 운니동 98-5번지 삼환빌딩 ,서울특별시 종로구 율곡로 88 삼환빌딩 (운니동),삼환빌딩,산업체
20191119,영업,,서울특별시 종로구 동숭동 25-1번지 일석 기념관 ,서울특별시 종로구 동숭3길 40 일석 기념관 (동숭동),서울대학교병원 어린이집,어린이집
20191106,영업,,서울특별시 종로구 평창동 398-5번지 ,서울특별시 종로구 평창17길 26 (평창동),인자인케어센터,사회복지시설
20191007,영업,,서울특별시 종로구 혜화동 161-4번지 혜화유치원 ,서울특별시 종로구 창경궁로 296 혜화유치원 (혜화동),혜화유치원,어린이집
20190909,영업,,서울특별시 종로구 사직동 262-57번지 수도사랑의학교 ,서울특별시 종로구 사직로7길 17 수도사랑의학교 (사직동),수도사랑의학교,학교
