인허가일자,상세영업상태명,폐업일자,주소,사업장명,업태구분명
20200714,영업,29991231,서울특별시 마포구 대흥동 17-5 신촌그랑자이,신촌그랑어린이집,어린이집
20200714,영업,29991231,서울특별시 은평구 응암동 626-53 백련산파크자이,구립한빛어린이집,어린이집
20170303,영업,29991231,서울특별시 강서구 마곡동 798-0 홈앤쇼핑사옥 (지상 11층),직원식당,기숙사
20130227,폐업,20200714,서울특별시 구로구 구로동 43-4 다솜아파트 110호 111호,다솜어린이집,어린이집
20050824,폐업,20200714,서울특별시 동작구 사당동 190-171,송림유치원,어린이집
20050707,영업,29991231,서울특별시 강서구 내발산동 746-0 사무엘어린이집,사무엘어린이집,어린이집
20200715,영업,29991231,서울특별시 영등포구 대림동 603-26 코스모메디칼,새롬한방병원,병원
20130726,폐업,20200715,서울특별시 구로구 구로동 1258 중앙유통단지 업무B동 1호,하람어린이집,어린이집
20130726,영업,29991231,서울특별시 영등포구 문래동3가 55-18 영시티,하람어린이집,어린이집
20200716,영업,29991231,서울특별시 은평구 응암동 36 녹번역e편한세상캐슬아파트,구립응암행복어린이집,어린이집
20200716,영업,29991231,서울특별시 노원구 공릉동 81 태강아파트,미광어린이집,어린이집
20170517,영업,29991231,서울특별시 성북구 보문동4가 4,동선유치원,학교
20050329,폐업,20200716,서울특별시 노원구 공릉동 81 태강아파트관리동,미광어린이집,어린이집
20050415,영업,29991231,서울특별시 강동구 천호동 302-10,오송유치원,어린이집
20050415,영업,29991231,서울특별시 강동구 천호동 397-413,(재)천주교서울대교구유지재단 천호유치원,어린이집
20050201,영업,29991231,서울특별시 강동구 천호동 340-39,구립빗살어린이집,어린이집
20180308,영업,29991231,서울특별시 마포구 서교동 354-5번지 RYSE,(주)아주호텔서교,기타 집단급식소
20171208,영업,29991231,서울특별시 강서구 마곡동 748번지 마곡13단지힐스테이트마스터 (지상 1층),마곡13하나어린이집,어린이집
20200714,영업,29991231,서울특별시 동대문구 답십리동 36-32,라온유치원,어린이집
