인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
20200713,영업,0,서울특별시 영등포구 당산동6가 217-1,서울특별시 영등포구 양평로 20 1층 (당산동6가),팔공티(당산역점),기타 휴게음식점
20200713,폐업,20200904,서울특별시 양천구 목동 962 목동트라팰리스,서울특별시 양천구 오목로 299 목동트라팰리스 지하2층 (목동),뺑블랑,기타 휴게음식점
20200714,영업,0,서울특별시 강남구 압구정동 429 현대백화점본점,서울특별시 강남구 압구정로 165 현대백화점본점 지하1층 (압구정동),영준목장,기타 휴게음식점
20200714,영업,0,서울특별시 마포구 노고산동 57-1 그랜드플라자,서울특별시 마포구 신촌로 94 그랜드플라자 지하2층 (노고산동),부산빨간어묵포차 신촌점,기타 휴게음식점
20200714,영업,0,서울특별시 양천구 목동 917-6 중소기업유통센터(행복한백화점) 지하1층,서울특별시 양천구 목동동로 309 중소기업유통센터(행복한백화점) 지하1층 (목동),송사부수제쌀고로케 목동킴스클럽점,기타 휴게음식점
20200714,영업,0,서울특별시 종로구 신문로2가 89-27 피어선빌딩,서울특별시 종로구 새문안로 42 피어선빌딩 1층 109호 (신문로2가),카나나,기타 휴게음식점
20200714,영업,0,서울특별시 영등포구 영등포동4가 442 타임스퀘어,서울특별시 영등포구 영중로 15 B1층 (영등포동4가),아띠몽,기타 휴게음식점
20200714,영업,0,서울특별시 성동구 용답동 80-2,서울특별시 성동구 용답중앙13길 11 1층 (용답동),씨유용답리치점,기타 휴게음식점
20200714,영업,0,서울특별시 동대문구 장안동 324-1 웰빙프라자,서울특별시 동대문구 답십리로69길 55 웰빙프라자 3층 제301호 (장안동),봉봉키즈 장안점,기타 휴게음식점
20200713,영업,0,서울특별시 강남구 논현동 233-2,서울특별시 강남구 논현로114길 18 1층 (논현동),헬로키토,기타 휴게음식점
20200625,영업,0,서울특별시 동대문구 장안동 146-20,서울특별시 동대문구 한천로 126 1층 (장안동),카카오프렌즈 동대문,기타 휴게음식점
20200609,영업,0,서울특별시 종로구 인사동 34-16,서울특별시 종로구 인사동길 20-20 12층 (인사동),#인사동가는길,기타 휴게음식점
20200402,영업,0,서울특별시 양천구 목동 911 목동신시가지아파트6단지 1층 110-8호,서울특별시 양천구 목동동로 430 상가동 1층 110-8호 (목동 목동신시가지아파트6단지),엄마손김밥,기타 휴게음식점
20190716,폐업,20200714,서울특별시 종로구 와룡동 171-1 아세아빌딩,서울특별시 종로구 돈화문로 67 아세아빌딩 제1호 (와룡동),그림 나왔습니다,기타 휴게음식점
20171115,영업,0,서울특별시 마포구 서교동 355-15 무광빌딩 2층 201호,서울특별시 마포구 양화로16길 15 2층 201호 (서교동),아이쩡피씨방,기타 휴게음식점
20151012,영업,0,서울특별시 광진구 중곡동 569-4 1층,서울특별시 광진구 면목로17길 24 1층 (중곡동),면곡당,기타 휴게음식점
20200715,영업,0,서울특별시 동대문구 제기동 847-7,서울특별시 동대문구 경동시장로9가길 2 1층 (제기동),커피하우스,기타 휴게음식점
20200715,영업,0,서울특별시 강남구 논현동 211-12,서울특별시 강남구 언주로125길 8 1층 104호 (논현동),공든 샌드위치,기타 휴게음식점
20200715,영업,0,서울특별시 강남구 역삼동 711-6,서울특별시 강남구 언주로 408 지상1층 112호 (역삼동),디저트팜,기타 휴게음식점
20200715,영업,0,서울특별시 영등포구 신길동 347-219,서울특별시 영등포구 가마산로 423 1층 (신길동),신풍김밥,기타 휴게음식점
20200715,영업,0,서울특별시 마포구 동교동 179-38,서울특별시 마포구 신촌로4길 11 A동 1층 (동교동),로덴드론,기타 휴게음식점
20200715,영업,0,서울특별시 마포구 공덕동 254-5 신용보증기금빌딩,서울특별시 마포구 마포대로 122 신용보증기금빌딩 1층 (공덕동),라운지엑스 마포,기타 휴게음식점
20200715,영업,0,서울특별시 서초구 서초동 1303-10 서초한일유앤아이주상복합 지하1층 B102호,서울특별시 서초구 사평대로56길 7 지하1층 B102호 (서초동 서초한일유앤아이주상복합),샐러디 신논현역점,기타 휴게음식점
20200715,영업,0,서울특별시 종로구 와룡동 171-1 아세아빌딩,서울특별시 종로구 돈화문로 67 아세아빌딩 1층 1호 (와룡동),지단분식 본점,기타 휴게음식점
20200715,영업,0,서울특별시 마포구 상암동 1740 월드컵파크 프라자,서울특별시 마포구 월드컵북로 502 월드컵파크 프라자 1층 107호 (상암동),카페게이트 상암하늘초점,기타 휴게음식점
20200715,영업,0,서울특별시 성동구 행당동 192 왕십리역,서울특별시 성동구 왕십리로 지하 300 왕십리역 지하4층 540-402호 (행당동),어묵스토리,기타 휴게음식점
20190306,폐업,20200715,서울특별시 마포구 용강동 494-127 리버빌,서울특별시 마포구 대흥로6길 7 1층 (용강동 리버빌),쿄로쿄로(kyorokyoro),기타 휴게음식점
20180718,폐업,20200715,서울특별시 성북구 삼선동4가 295,서울특별시 성북구 삼선교로 69 1층 (삼선동4가),CU(씨유)삼선동4가점,기타 휴게음식점
20200716,영업,0,서울특별시 강서구 등촌동 717 그레이스힐 B209호,서울특별시 강서구 양천로 470 그레이스힐 지하2층 B-209호 (등촌동),24시무인카페RO,기타 휴게음식점
20200716,영업,0,서울특별시 강서구 화곡동 1032-27 세종빌딩 지하2층,서울특별시 강서구 강서로 205 세종빌딩 지하2층 (화곡동),피씨태그 PC-TAG,기타 휴게음식점
20200716,영업,0,서울특별시 동대문구 장안동 418-7,서울특별시 동대문구 한천로2길 81 1층 (장안동),더리터 장한평점,기타 휴게음식점
20200716,영업,0,서울특별시 송파구 잠실동 210-43,서울특별시 송파구 삼전로13길 36 1층 (잠실동),씨유 잠실 풍경점,기타 휴게음식점
20200716,영업,0,서울특별시 마포구 서교동 358-58 태윤빌딩,서울특별시 마포구 와우산로21길 36-3 태윤빌딩 2~4층 (서교동),투썸플레이스 홍대예술의거리점,기타 휴게음식점
20191112,영업,0,서울특별시 강서구 화곡동 98-102 삼성위브빌(지상 1층) 102호,서울특별시 강서구 까치산로4길 38 1층 102호 (화곡동 삼성위브빌),신사동떡볶이,기타 휴게음식점
20110225,폐업,20200716,서울특별시 용산구 동자동 10-5 (지상1층),서울특별시 용산구 후암로57길 9 (동자동(지상1층)),우리김밥,기타 휴게음식점
20200113,영업,0,서울특별시 강동구 둔촌동 430번지,서울특별시 강동구 양재대로102길 39 (둔촌동),월디커피로스터스,기타 휴게음식점
20191113,폐업,20200602,서울특별시 송파구 방이동 62-8번지 석정빌딩,서울특별시 송파구 오금로13길 9 지하1층 11호 (방이동),The철판,기타 휴게음식점
20190228,폐업,20200602,서울특별시 강남구 청담동 120-10번지,서울특별시 강남구 압구정로79길 16 지상1층 (청담동),명제마트,기타 휴게음식점
20180615,영업,0,서울특별시 동대문구 이문동 329-1번지 민족통일MJ캠퍼스외대,서울특별시 동대문구 이문로 93 지하1층 (이문동 민족통일MJ캠퍼스외대),스페셜알파피씨방,기타 휴게음식점
20200717,영업,0,서울특별시 송파구 석촌동 156-6,서울특별시 송파구 석촌호수로18길 11 1층 (석촌동),감연,기타 휴게음식점
20200717,영업,0,서울특별시 송파구 신천동 29 롯데월드타워앤드롯데월드몰,서울특별시 송파구 올림픽로 300 롯데월드몰 5층 (신천동),원조 공주떡집,기타 휴게음식점
20170125,영업,0,서울특별시 서초구 서초동 1366-9번지 신분당선 양재역 지하1층 12호,서울특별시 서초구 남부순환로 지하 2585 지하1층 12호 (서초동 신분당선 양재역),주식회사 로봇에프앤비 로봇김밥 신분당선 양재역점,기타 휴게음식점
20200717,영업,0,서울특별시 마포구 공덕동 254-5 신용보증기금빌딩,서울특별시 마포구 마포대로 122 신용보증기금빌딩 19층 (공덕동),라운지엑스 마포,기타 휴게음식점
20200710,폐업,20200716,서울특별시 송파구 잠실동 40-1 롯데월드,서울특별시 송파구 올림픽로 240 롯데백화점 잠실점 B1층 (잠실동),주식회사 오타르,기타 휴게음식점
20200710,폐업,20200717,서울특별시 서대문구 창천동 30-33 현대백화점신촌점 지하1층,서울특별시 서대문구 신촌로 83 현대백화점신촌점 지하1층 (창천동),제주은갈치유통,기타 휴게음식점
20200417,영업,0,서울특별시 강남구 압구정동 429 현대백화점본점,서울특별시 강남구 압구정로 165 현대백화점본점 지하1층 (압구정동),퍼펙트아이스,기타 휴게음식점
20191014,영업,0,서울특별시 영등포구 당산동2가 125,서울특별시 영등포구 선유동1로 16-20 1층 (당산동2가),돌우물,기타 휴게음식점
20160329,영업,0,서울특별시 광진구 구의동 251-32번지 1층,서울특별시 광진구 자양로 142 1층 (구의동),카페플리츠미,기타 휴게음식점
20150511,영업,0,,서울특별시 동작구 상도로 293 1층 (상도1동),선 김밥,기타 휴게음식점
20200720,영업,0,서울특별시 노원구 상계동 709 인산빌딩,서울특별시 노원구 노해로 455 인산빌딩 지하1층 8호 (상계동),파스타입니다,기타 휴게음식점
20200720,영업,0,서울특별시 마포구 공덕동 439 공덕역,서울특별시 마포구 백범로 지하 200 6호선 공덕역 지하1층 626-132호 (공덕동),어묵나라,기타 휴게음식점
20200717,영업,0,서울특별시 서대문구 창천동 18-5,서울특별시 서대문구 명물길 6 3층 301호 (창천동),랭스터디카페 신촌점,기타 휴게음식점
20110304,폐업,20200602,서울특별시 서대문구 홍제동 469번지,서울특별시 서대문구 통일로 397 (홍제동),굿모닝 점보 홍제점,기타 휴게음식점
20191004,영업,0,서울특별시 송파구 송파동 58-1 잠실대우레이크월드,서울특별시 송파구 석촌호수로 298 101호 (송파동 잠실대우레이크월드),주식회사 써브웨이석촌호수점,기타 휴게음식점
20160901,폐업,20200720,서울특별시 은평구 대조동 205-18 지하1층1층,서울특별시 은평구 통일로73길 26 지하11층 (대조동),Fibonacci(피보나치),기타 휴게음식점
