인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
20200713,영업,0,서울특별시 중랑구 면목동 156-23,서울특별시 중랑구 동일로92길 49 1층 (면목동),씨유 중랑센트럴아이파크점,편의점
20200713,영업,0,서울특별시 송파구 오금동 42-5,서울특별시 송파구 마천로 70-16 1층 102호103호 (오금동),씨유 현대행운점,편의점
20200713,영업,0,서울특별시 관악구 신림동 608-30,서울특별시 관악구 난우길 20 지하1층 (신림동),애견용품할인매장,편의점
20200713,영업,0,서울특별시 강서구 등촌동 518-24 (지상 1층),서울특별시 강서구 등촌로39마길 24 1층 (등촌동),미니스톱 등촌우리점,편의점
20170724,영업,0,서울특별시 금천구 가산동 345-33 에이스하이엔드타워7차 104호,서울특별시 금천구 가산디지털2로 67 104호 (가산동 에이스하이엔드타워7차),규젤(GUZEL),편의점
20140508,폐업,20200713,서울특별시 동대문구 전농동 38-104 1층,서울특별시 동대문구 전농로16길 54 1층 (전농동),윤언니네 카페,편의점
20200714,영업,0,서울특별시 중랑구 면목동 1515 성원아파트,서울특별시 중랑구 용마산로 276 성원아파트 상가동 1층 101호 (면목동),씨유 중랑용마점,편의점
20190620,폐업,20200714,서울특별시 강남구 역삼동 670-9,서울특별시 강남구 테헤란로27길 30 지상1층 (역삼동),어반소스카페,편의점
20160624,폐업,20200714,서울특별시 마포구 성산동 242-5 지1층일부,서울특별시 마포구 성미산로 52 (성산동 지1층일부),워크룸케이브,편의점
20200715,영업,0,서울특별시 영등포구 영등포동7가 68-3,서울특별시 영등포구 국회대로46길 5 1층 (영등포동7가),씨유영등포자매점,편의점
20200716,영업,0,서울특별시 강남구 역삼동 658-22,서울특별시 강남구 논현로106길 31 1층 (역삼동),씨유 역삼황제펭귄점,편의점
20200716,영업,0,서울특별시 동대문구 장안동 418-7,서울특별시 동대문구 한천로2길 81 1층 (장안동),더리터 장한평점,편의점
20200409,영업,0,서울특별시 은평구 진관동 194-4,서울특별시 은평구 연서로50길 7 1층 (진관동),소성,편의점
