인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,시,구,동,번지
19880902,영업,0,서울특별시 강남구 대치동 937-0번지 그랜드백화   22호,서울특별시 강남구 도곡로 401 22호 (대치동그랜드백화),제일,백화점,서울특별시,강남구,도곡로,401
19880907,영업,0,서울특별시 강남구 삼성동 159-1번지 한무쇼핑    1호,서울특별시 강남구 영동대로 511 1호 (삼성동한무쇼핑),무역센타현대백화점,백화점,서울특별시,강남구,영동대로,511
19881112,폐업,20170828,서울특별시 송파구 잠실동 40-1번지 롯데백화점 지하1층 ,서울특별시 송파구 올림픽로 240 지하1층 (잠실동 롯데백화점),시마스시,백화점,서울특별시,송파구,올림픽로,240
19890805,영업,0,서울특별시 중구 흥인동 1-0번지 ,,이따리아노,백화점,,,,
19931112,영업,0,서울특별시 동작구 사당동 127-27번지 동성빌딩 ,서울특별시 동작구 동작대로27길 59-16 동성빌딩 1층 (사당동),방배김밥,백화점,서울특별시,동작구,동작대로27길,59-16
19931118,영업,0,서울특별시 강남구 논현동 119-0번지 지하1층 ,서울특별시 강남구 학동로 343 (논현동지하1층),청냉면,백화점,서울특별시,강남구,학동로,343
19931206,영업,0,서울특별시 서대문구 창천동 30-33번지 ,서울특별시 서대문구 신촌로 83 (창천동),카도르그레이스,백화점,서울특별시,서대문구,신촌로,83
19970811,영업,0,서울특별시 강남구 압구정동 494-0번지 ,서울특별시 강남구 압구정로 343 (압구정동),콜롬보,백화점,서울특별시,강남구,압구정로,343
19980421,영업,0,서울특별시 용산구 한강로2가 15-19번지 농협용산백화점내 ,서울특별시 용산구 청파로 122 (한강로2가농협용산백화점내),(주)장군식품,백화점,서울특별시,용산구,청파로,122
19981010,영업,0,서울특별시 동대문구 청량리동 774-0번지 현대코아지하1층21호 (청량시장3길 3) ,서울특별시 동대문구 왕산로37길 27 (청량리동현대코아지하1층21호 (청량시장3길 3)),즉석어묵,백화점,서울특별시,동대문구,왕산로37길,27
19981207,영업,0,서울특별시 노원구 하계동 284번지 ,서울특별시 노원구 공릉로 351 (하계동 한신코아백화점 지하1층),압구정김밥,백화점,서울특별시,노원구,공릉로,351
19981220,영업,0,서울특별시 강남구 압구정동 429-0번지 ,서울특별시 강남구 압구정로 165 (압구정동),현대백화점,백화점,서울특별시,강남구,압구정로,165
20000530,영업,0,서울특별시 영등포구 영등포동4가 434-5번지 ,서울특별시 영등포구 영중로 9 (영등포동4가),(주)딤섬,백화점,서울특별시,영등포구,영중로,9
20000714,폐업,20200518,서울특별시 노원구 상계동 713-0번지 롯데미도파백화점 지하1층 ,서울특별시 노원구 동일로 1414 (상계동롯데미도파백화점 지하1층),(주)파파이스미도파상계,백화점,서울특별시,노원구,동일로,1414
20001004,영업,0,서울특별시 서초구 반포동 19-3번지 신세계백화점 지하1층 ,서울특별시 서초구 신반포로 176 (반포동신세계백화점 지하1층),오후엔 분식,백화점,서울특별시,서초구,신반포로,176
20010825,영업,0,서울특별시 성북구 길음동 20-1번지 외11필지 현대백화점 ,서울특별시 성북구 동소문로 315 (길음동외11필지 현대백화점),(주)현대백화점 미아점,백화점,서울특별시,성북구,동소문로,315
20020711,폐업,20180905,서울특별시 노원구 중계동 509번지 2001아울렛 지하1층 ,서울특별시 노원구 동일로204가길 지하 46 1층 (중계동 2001아울렛),국대떡볶이,백화점,서울특별시,노원구,동일로204가길,지하
20020829,영업,0,서울특별시 양천구 목동 916번지 현대백화점 지하2층 ,서울특별시 양천구 목동동로 257 (목동현대백화점 지하2층),더키친,백화점,서울특별시,양천구,목동동로,257
20030527,폐업,20200624,서울특별시 노원구 중계동 506-1,서울특별시 노원구 섬밭로 258 (중계동),다모우동,백화점,서울특별시,노원구,섬밭로,258
20040119,폐업,20170818,서울특별시 영등포구 영등포동 618-496번지 롯데쇼핑지하1층 ,서울특별시 영등포구 경인로 862 (영등포동롯데쇼핑지하1층),참어묵,백화점,서울특별시,영등포구,경인로,862
20040212,영업,0,서울특별시 성동구 성수동2가 333-16번지 ,서울특별시 성동구 뚝섬로 379 (성수동2가 이마트 성수점 내),(주)이마트성수점,백화점,서울특별시,성동구,뚝섬로,379
20040227,영업,0,서울특별시 강동구 명일동 46-4번지 4층 ,서울특별시 강동구 고덕로 276 (명일동4층),배스킨라빈스명일점,백화점,서울특별시,강동구,고덕로,276
20040317,폐업,20170221,서울특별시 노원구 중계동 509-2번지 지하2층(동일로 204가길 12) ,서울특별시 노원구 동일로204가길 12 (중계동지하2층(동일로 204가길 12)),씨엘블루,백화점,서울특별시,노원구,동일로204가길,12
20040329,영업,0,서울특별시 강남구 삼성동 159-7번지 지하1층 ,서울특별시 강남구 테헤란로 517 (삼성동지하1층),경주빵(주)삼오물산,백화점,서울특별시,강남구,테헤란로,517
20040823,폐업,20171030,서울특별시 강동구 천호동 455-8번지 현대백화점 지하1층 ,서울특별시 강동구 천호대로 1005 (천호동현대백화점 지하1층),아사,백화점,서울특별시,강동구,천호대로,1005
20040917,영업,0,서울특별시 노원구 월계동 333-1번지 ,서울특별시 노원구 마들로3길 15 (월계동),이마트월계점,백화점,서울특별시,노원구,마들로3길,15
20050401,영업,0,서울특별시 중구 남대문로2가 130번지 롯데백화점 애비뉴엘(지상3층) ,서울특별시 중구 남대문로 73 (남대문로2가롯데백화점 애비뉴엘(지상3층)),보보라보,백화점,서울특별시,중구,남대문로,73
20050801,영업,0,서울특별시 중구 충무로1가 52-5번지 신세계백화점 본점 지하1층 ,서울특별시 중구 소공로 63 (충무로1가 신세계백화점 본점 지하1층),가라망,백화점,서울특별시,중구,소공로,63
20050805,영업,0,서울특별시 중구 충무로1가 54번지 신세계백화점 신관 지하1층 ,서울특별시 중구 퇴계로 77 (충무로1가 신세계백화점 신관 지하1층),베키아 에누보 본점,백화점,서울특별시,중구,퇴계로,77
20051230,영업,0,서울특별시 노원구 중계동 517번지 롯데마트 ,서울특별시 노원구 노원로 330 (중계동 롯데마트),델리카가,백화점,서울특별시,노원구,노원로,330
20070724,폐업,20181203,서울특별시 강남구 도곡동 467-17번지 타워팰리스2차 지하1층 ,서울특별시 강남구 언주로30길 57 (도곡동타워팰리스2차 지하1층),문상화 회초밥,백화점,서울특별시,강남구,언주로30길,57
20071030,영업,0,서울특별시 구로구 구로동 3-25번지 이마트신도림점 지하2층 ,서울특별시 구로구 새말로 97 지하2층 (구로동 신도림테크노마트),이마트신도림점 초밥코너,백화점,서울특별시,구로구,새말로,97
20071126,영업,0,서울특별시 구로구 신도림동 337번지 신도림푸르지오1차 지하1층 ,서울특별시 구로구 경인로 661 (신도림동신도림푸르지오1차 지하1층),오감,백화점,서울특별시,구로구,경인로,661
20081028,폐업,20190729,서울특별시 광진구 자양동 227-342번지 ,서울특별시 광진구 능동로 92 지층 (자양동),제이앤에스식품,백화점,서울특별시,광진구,능동로,92
20090226,영업,0,서울특별시 강남구 압구정동 515-0번지 지하1층 ,서울특별시 강남구 압구정로 407 (압구정동지하1층),세영아이테크,백화점,서울특별시,강남구,압구정로,407
20090324,영업,0,서울특별시 서초구 잠원동 70-2번지 뉴코아아울렛강남점 신관 지하1층 ,서울특별시 서초구 잠원로 51 (잠원동 뉴코아아울렛강남점 신관 지하1층),얌차,백화점,서울특별시,서초구,잠원로,51
20090402,영업,0,서울특별시 강동구 명일동 312-99번지 지에스수퍼 ,서울특별시 강동구 양재대로 1630 (명일동지에스수퍼),용이수산,백화점,서울특별시,강동구,양재대로,1630
20090421,폐업,20191031,서울특별시 도봉구 창동 1-10번지 하나로클럽지하1층수산팀 ,서울특별시 도봉구 마들로11길 20 (창동하나로클럽지하1층수산팀),동원산업,백화점,서울특별시,도봉구,마들로11길,20
20090525,영업,0,서울특별시 도봉구 창동 135-26번지 (지하1층) ,서울특별시 도봉구 노해로65길 4 (창동(지하1층)),(주)한국축지,백화점,서울특별시,도봉구,노해로65길,4
20090703,폐업,20190515,서울특별시 양천구 목동 919-7번지 지하2층홈플러스목동점 (목동서로 170) ,서울특별시 양천구 목동서로 170 (목동홈플러스목동점(목동서로 170)),라비에제,백화점,서울특별시,양천구,목동서로,170
20090728,폐업,20170407,서울특별시 양천구 목동 962번지 트라팰리스이마트목동점지하1층(오목로 66) ,서울특별시 양천구 오목로 299 (목동트라팰리스이마트목동점지하1층(오목로 66)),(주)동학식품,백화점,서울특별시,양천구,오목로,299
20090805,영업,0,서울특별시 강남구 압구정동 456-0번지 지하1층 ,서울특별시 강남구 압구정로 201 (압구정동지하1층),아띠오레,백화점,서울특별시,강남구,압구정로,201
20090908,폐업,20170531,서울특별시 영등포구 영등포동4가 442-1번지 신세계백화점 내 지하 1층 ,서울특별시 영등포구 영중로 15 (영등포동4가신세계백화점 내 지하 1층),더메나주리영등포점,백화점,서울특별시,영등포구,영중로,15
20100409,영업,0,서울특별시 동작구 사당동 136-1번지 지하1층 ,서울특별시 동작구 동작대로 115 (사당동지하1층),크레페리아,백화점,서울특별시,동작구,동작대로,115
20110323,영업,0,서울특별시 송파구 문정동 516번지 가든파이브 영관7층 F7075호,서울특별시 송파구 충민로 66 F7075호 (문정동 가든파이브 영관7층),뽀쪼 송파7층점,백화점,서울특별시,송파구,충민로,66
20110621,폐업,20170427,서울특별시 영등포구 여의도동 47번지 이마트내 지하1층 ,서울특별시 영등포구 여의동로3길 10 (여의도동이마트내 지하1층),밀크앤허니여의도점,백화점,서울특별시,영등포구,여의동로3길,10
20111128,영업,0,서울특별시 강북구 미아동 70-6번지 ,서울특별시 강북구 도봉로 62 (미아동 롯데백화점 지하2층),쉐프밀(chef meal),백화점,서울특별시,강북구,도봉로,62
20120425,영업,0,서울특별시 영등포구 문래동3가 55-3번지 지하1층 ,서울특별시 영등포구 당산로 42 지하1층 (문래동3가),날아라닭강정,백화점,서울특별시,영등포구,당산로,42
20120702,폐업,20190904,서울특별시 구로구 구로동 573번지 AK플라자 지하1층 ,서울특별시 구로구 구로중앙로 152 지하1층 (구로동 AK플라자),에이케이에스앤디(주)마이키친 구로점,백화점,서울특별시,구로구,구로중앙로,152
20130130,폐업,20170920,서울특별시 강남구 청담동 4-1번지 ,서울특별시 강남구 도산대로 442 지하1층 (청담동),(주)유기농산,백화점,서울특별시,강남구,도산대로,442
20140904,영업,0,서울특별시 중랑구 신내동 645번지 지상1층 ,서울특별시 중랑구 신내로 201 1층 (신내동),쥬모쥬스샵 신내점,백화점,서울특별시,중랑구,신내로,201
20140923,영업,0,서울특별시 중구 봉래동2가 122번지 롯데마트 서울역점 2층 ,서울특별시 중구 청파로 426 (봉래동2가 롯데마트 서울역점 2층),바르다 김선생 서울역점,백화점,서울특별시,중구,청파로,426
20141202,폐업,20170228,서울특별시 성동구 행당동 155-1번지 ,서울특별시 성동구 왕십리로 241 상가동 지1층 (행당동 서울숲더샵 주상복합건물),공차 한양대점,백화점,서울특별시,성동구,왕십리로,241
20141208,영업,0,서울특별시 용산구 한강로3가 40-999번지 용산아이파크몰 서관 7층 5-2호,서울특별시 용산구 한강대로23길 55 7층 5-2호 (한강로3가 용산아이파크몰 서관),설빙용산아이파크몰점,백화점,서울특별시,용산구,한강대로23길,55
20150313,폐업,20190220,서울특별시 영등포구 영등포동4가 435-5번지 신세계백화점영등포점 지하1층 ,서울특별시 영등포구 영신로24길 15-2 (영등포동4가 신세계백화점영등포점 지하1층),짬뽕의신화,백화점,서울특별시,영등포구,영신로24길,15-2
20150331,폐업,20171219,서울특별시 성동구 행당동 168-200번지 ,서울특별시 성동구 왕십리광장로 17 지상3층 (행당동 왕십리민자역사),슈퍼 오아시스,백화점,서울특별시,성동구,왕십리광장로,17
20150914,폐업,20180813,서울특별시 구로구 신도림동 692번지 ,서울특별시 구로구 경인로 662 지하2층 (신도림동 현대백화점 디큐브시티점),(주)환공어묵베이커리,백화점,서울특별시,구로구,경인로,662
20151117,폐업,20181114,서울특별시 강남구 삼성동 159번지 코엑스 3층 D hall ,서울특별시 강남구 영동대로 513 지상3층 D hall호 (삼성동 코엑스),아리랑 핫도그,백화점,서울특별시,강남구,영동대로,513
20151126,폐업,20180305,서울특별시 동대문구 전농동 591-53번지 ,서울특별시 동대문구 왕산로 214 지하2층 (전농동 롯데백화점 청량리점),파파밸리 피자,백화점,서울특별시,동대문구,왕산로,214
20151228,폐업,20190925,서울특별시 금천구 가산동 60-19번지 SJ테크노빌 3층 ,서울특별시 금천구 벚꽃로 278 지상3층 (가산동 SJ테크노빌),앤티앤스,백화점,서울특별시,금천구,벚꽃로,278
20151229,폐업,20171110,서울특별시 양천구 목동 404-13번지 목동센트럴푸르지오 지하1층 ,서울특별시 양천구 오목로 354 지하1층 (목동 목동센트럴푸르지오),(주)환공어묵베이커리,백화점,서울특별시,양천구,오목로,354
20160222,폐업,20181130,서울특별시 강동구 천호동 42번지 ,서울특별시 강동구 양재대로 1571 지하2층 (천호동 홈플러스),더맛있는족발 강동점,백화점,서울특별시,강동구,양재대로,1571
20160302,영업,0,서울특별시 양천구 목동 917-6번지 행복한세상백화점 지하1층 ,서울특별시 양천구 목동동로 309 (목동 행복한세상백화점 지하1층),온새미(주),백화점,서울특별시,양천구,목동동로,309
20160303,영업,0,서울특별시 중구 을지로6가 17-2번지 1층 ,서울특별시 중구 장충단로13길 20 1층 (을지로6가),명인명촌,백화점,서울특별시,중구,장충단로13길,20
20160715,영업,0,서울특별시 관악구 봉천동 729-22번지 ,서울특별시 관악구 봉천로 209 동 지하2층 (봉천동),빈디,백화점,서울특별시,관악구,봉천로,209
20161110,폐업,20200515,서울특별시 강남구 도곡동 467-7번지 ,서울특별시 강남구 언주로30길 21 (도곡동 아카데미스위트 롯데프리미엄푸드마켓 내),유한회사 셰프찬 롯데슈퍼도곡점,백화점,서울특별시,강남구,언주로30길,21
20161129,폐업,20200818,서울특별시 노원구 상계동 624,서울특별시 노원구 동일로227길 26 1층 (상계동),브라운돈까스마들역점,백화점,서울특별시,노원구,동일로227길,26
20161215,폐업,20170413,서울특별시 서대문구 대현동 56-2번지 1층 1~2호 메르체쇼핑몰 ,서울특별시 서대문구 이화여대길 59 1층 1~2호 (대현동 메르체쇼핑몰),대만락 카스테라,백화점,서울특별시,서대문구,이화여대길,59
20170424,폐업,20181227,서울특별시 서초구 양재동 215번지 이마트 양재점 지하1층 ,서울특별시 서초구 매헌로 16 지하1층 (양재동 이마트 양재점),농촌사랑 주식회사 이마트양재점,백화점,서울특별시,서초구,매헌로,16
20170523,영업,0,서울특별시 마포구 노고산동 49-31번지 ,서울특별시 마포구 신촌로 66 (노고산동 1층일부),(주)두리물산,백화점,서울특별시,마포구,신촌로,66
20170724,영업,0,서울특별시 서초구 서초동 1498-5번지 롯데마트 서초점 지하2층 ,서울특별시 서초구 서초대로38길 12 지하2층 (서초동 롯데마트 서초점 ),(주)동해식품(집밥예찬),백화점,서울특별시,서초구,서초대로38길,12
20170802,영업,0,서울특별시 강서구 방화동 886-0번지 외 6필지 김포공항 롯데백화점 (지상 3층) ,서울특별시 강서구 하늘길 38 3층 (방화동 2동 김포공항 롯데백화점),아이푸드(얌이밀),백화점,서울특별시,강서구,하늘길,38
20171102,폐업,20190402,서울특별시 금천구 가산동 60-8번지 현대시티아울렛 가산점 지상6층 ,서울특별시 금천구 디지털로10길 9 지상6층 (가산동),안젤로,백화점,서울특별시,금천구,디지털로10길,9
20171127,영업,0,서울특별시 강서구 등촌동 689번지 엔씨백화점 (지하 1층) ,서울특별시 강서구 강서로56길 17 지하1층 (등촌동 3동 엔씨백화점),부르스터스,백화점,서울특별시,강서구,강서로56길,17
20171128,영업,0,서울특별시 강서구 가양동 18-24번지 홈플러스가양점 (지하 2층) ,서울특별시 강서구 양천로 431 지하2층 (가양동 2동 홈플러스가양점),아딸 홈플러스가양점,백화점,서울특별시,강서구,양천로,431
20180405,폐업,20180430,서울특별시 강서구 등촌동 639-11번지 홈플러스강서점앤본사사옥 (지상 1층) ,서울특별시 강서구 화곡로 398 홈플러스강서점앤본사사옥 1층 (등촌동),호디박스,백화점,서울특별시,강서구,화곡로,398
20180622,영업,0,서울특별시 성동구 하왕십리동 1070번지 센트라스 ,서울특별시 성동구 왕십리로 410 F동 1층 105호 (하왕십리동 센트라스),CU센트라스 중앙점,백화점,서울특별시,성동구,왕십리로,410
20181022,영업,0,서울특별시 강동구 천호동 454-1 이마트,서울특별시 강동구 천호대로 1017 이마트 1층 (천호동),앤티앤스,백화점,서울특별시,강동구,천호대로,1017
20181121,폐업,20190617,서울특별시 동작구 신대방동 395-62번지 삼성보라매옴니타워 ,서울특별시 동작구 보라매로5길 23 지하1층 B107B108호 (신대방동 삼성보라매옴니타워),세븐일레븐 동작옴니타워점,백화점,서울특별시,동작구,보라매로5길,23
20181219,영업,0,서울특별시 금천구 시흥동 992-47번지 삼성홈플러스 XDY2호,서울특별시 금천구 시흥대로 201 삼성홈플러스 지하1층 XDY2호 (시흥동),마이고기 홈플러스시흥점,백화점,서울특별시,금천구,시흥대로,201
20190220,영업,0,서울특별시 성북구 하월곡동 230번지 동일하이빌뉴시티 ,서울특별시 성북구 종암로 167 지하2층 (하월곡동 동일하이빌뉴시티),부산빨간 어묵포차,백화점,서울특별시,성북구,종암로,167
20190422,영업,0,서울특별시 영등포구 영등포동8가 62-1번지 롯데마트 ,서울특별시 영등포구 영중로 125 롯데마트 2층 (영등포동8가),홍대쌀국수빅마켓점,백화점,서울특별시,영등포구,영중로,125
20190521,영업,0,서울특별시 광진구 자양동 227-7번지 더샵스타시티 ,서울특별시 광진구 아차산로 262 지하1층 (자양동 더샵스타시티),마녀족발이마트자양점,백화점,서울특별시,광진구,아차산로,262
20200114,폐업,20200220,서울특별시 송파구 신천동 29번지 롯데월드타워앤드롯데월드몰 ,서울특별시 송파구 올림픽로 300 롯데월드몰 지하1층 (신천동),교토마블,백화점,서울특별시,송파구,올림픽로,300
20200416,영업,0,서울특별시 영등포구 당산동2가 161-11번지 ,서울특별시 영등포구 양산로 90-5 1층 (당산동2가),이십사케이커피(24k coffee),백화점,서울특별시,영등포구,양산로,90-5
20200702,폐업,20200801,서울특별시 중구 황학동 2545 롯데캐슬베네치아,서울특별시 중구 청계천로 400 지하2층 (황학동 롯데캐슬베네치아),(주)에그탐탐,백화점,서울특별시,중구,청계천로,400
