인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
20200713,영업,0,서울특별시 강북구 수유동 413-25,서울특별시 강북구 삼양로87길 46 1층 (수유동),탑브릭스,일반조리판매
20200603,폐업,20200713,서울특별시 강동구 천호동 572 현대백화점,서울특별시 강동구 천호대로 1005 현대백화점 지2층 (천호동),제주은갈치유통,일반조리판매
20200129,폐업,20200713,서울특별시 강서구 염창동 309 e편한세상 101동 4호,서울특별시 강서구 공항대로 583 101동 4호 (염창동 e편한세상),더(The)김밥,일반조리판매
20150410,폐업,20200713,,서울특별시 마포구 망원로8길 30 (망원동 1층일부),맛있는집,일반조리판매
20200714,영업,0,서울특별시 은평구 신사동 8-18 지하,서울특별시 은평구 갈현로 14 지하층 (신사동),데스티니 PC방,일반조리판매
20181008,폐업,20200715,서울특별시 강동구 천호동 395-6,서울특별시 강동구 구천면로34길 19 1층 102호 (천호동),감탄어묵,일반조리판매
20061218,폐업,20200715,서울특별시 마포구 성산동 515,서울특별시 마포구 월드컵로 240 (성산동 홈플러스내 1층),먹거리장터,일반조리판매
20200716,영업,0,서울특별시 영등포구 대림동 1050-13 상도빌딩,서울특별시 영등포구 도림로 129 상도빌딩 지하1층 (대림동),태양성PC방,일반조리판매
20191118,영업,0,서울특별시 관악구 봉천동 1661-4,서울특별시 관악구 남부순환로 1904 1층 102호 (봉천동),써브웨이(낙성대역점),일반조리판매
20141203,영업,0,서울특별시 광진구 중곡동 93-46 의안회관 1층,서울특별시 광진구 용마산로 8 의안회관 1층 (중곡동),삼촌김밥,일반조리판매
20191202,영업,0,서울특별시 도봉구 방학동 665-17번지 1층,서울특별시 도봉구 방학로 172 1층 (방학동),이삭토스트방학점,일반조리판매
20130627,영업,0,서울특별시 중구 흥인동 3-4 우일타운 지하동 106호,서울특별시 중구 다산로 274 지하층 106호 (흥인동 우일타운 ),천향마라탕 동대문점,일반조리판매
20171204,폐업,20200602,서울특별시 동작구 사당동 1030-20번지,서울특별시 동작구 동작대로 43 지하1층 (사당동),헌터PC 사당점,일반조리판매
20200717,영업,0,서울특별시 서초구 서초동 1426-1 지하1층,서울특별시 서초구 서초중앙로 4 지하1층 (서초동),건강마트,일반조리판매
20200717,영업,0,서울특별시 관악구 봉천동 13-28,서울특별시 관악구 청림길 12 1층 (봉천동),장나라,일반조리판매
20191106,폐업,20200717,서울특별시 관악구 신림동 341-38,서울특별시 관악구 광신길 214 1층 (신림동),달려라분식집,일반조리판매
20191206,폐업,20200720,서울특별시 관악구 신림동 241-118,서울특별시 관악구 대학길 31 가동 1층 (신림동),자미당 신림1호,일반조리판매
20191004,폐업,20200720,서울특별시 강북구 수유동 10-30,서울특별시 강북구 노해로11길 5 1층 103호 (수유동),봉주르 꽈배기,일반조리판매
19981016,폐업,20200921,서울특별시 서대문구 북가좌동 279-9,서울특별시 서대문구 증가로 230 (북가좌동),도미노피자,일반조리판매
20200507,영업,0,서울특별시 서초구 서초동 1695-20번지 1층 105호,서울특별시 서초구 서초중앙로24길 5 1층 105호 (서초동),티플,일반조리판매
20200514,영업,0,서울특별시 마포구 염리동 148-27,서울특별시 마포구 백범로 129 1층 (염리동),빵쌀롱,일반조리판매
20071210,폐업,20200721,서울특별시 강남구 역삼동 614-2 지하1층,서울특별시 강남구 강남대로110길 51 (역삼동지하1층),모리아,일반조리판매
20200722,영업,0,서울특별시 은평구 응암동 427-106,서울특별시 은평구 응암로22길 5 (응암동),황금찹쌀꽈배기,일반조리판매
20100211,영업,0,서울특별시 서초구 서초동 1658-23번지 1층 101호,서울특별시 서초구 서초중앙로20길 29 1층 101호 (서초동),찹스틱,일반조리판매
20080213,영업,0,서울특별시 관악구 신림동 산 56-1번지,서울특별시 관악구 관악로 1 1층 (신림동 서울대농업생명과학대학),(주)에스피씨삼립벨에삐서울대점,일반조리판매
20200306,폐업,20200722,서울특별시 광진구 중곡동 77-33 광성빌딩,서울특별시 광진구 긴고랑로 130 광성빌딩 지하1층 (중곡동),건강한자신감,일반조리판매
20180906,폐업,20200722,서울특별시 금천구 가산동 60-8 현대시티아울렛 가산점,서울특별시 금천구 디지털로10길 9 현대시티아울렛 가산점 2층 (가산동),카페미미미 현대시티아울렛가산점,일반조리판매
20200501,폐업,20200604,서울특별시 강남구 대치동 937번지 롯데백화점,서울특별시 강남구 도곡로 401 롯데백화점 지하1층 (대치동),도제,일반조리판매
20190705,폐업,20200604,서울특별시 서대문구 창천동 30-33번지 현대백화점신촌점,서울특별시 서대문구 신촌로 83 현대백화점신촌점 지하1층 (창천동),오남당,일반조리판매
20180305,폐업,20200604,서울특별시 강동구 천호동 454-32번지,서울특별시 강동구 올림픽로70길 50-14 1층 (천호동),천호 우동,일반조리판매
20170323,폐업,20200604,서울특별시 서대문구 연희동 1-116번지 지하1층 서울시립서대문도서관,서울특별시 서대문구 모래내로 412 지하1층 (연희동 서울시립서대문도서관),서대문도서관점,일반조리판매
20011126,폐업,20200604,서울특별시 중구 신당동 100-3번지 4층,서울특별시 중구 퇴계로 406 4층 (신당동),미니스톱 신당역점,일반조리판매
20140509,폐업,20200612,서울특별시 금천구 독산동 165-6번지,서울특별시 금천구 독산로85길 21 지하1층 (독산동),캥거루,일반조리판매
20190920,영업,0,서울특별시 은평구 역촌동 85-41번지 리더스파크 1층 101호,서울특별시 은평구 연서로 1 1층 101호 (역촌동 리더스파크),동산만두,일반조리판매
20190708,폐업,20200608,서울특별시 은평구 대조동 240번지 NC백화점 9층 B-017호,서울특별시 은평구 불광로 20 NC백화점 9층 B-017호 (대조동),Avenchus AND COFFEE(어벤츄스 앤드 커피),일반조리판매
20190704,폐업,20200608,서울특별시 은평구 진관동 63번지 롯데몰 은평점 4층,서울특별시 은평구 통일로 1050 롯데몰 은평점 4층 (진관동),알리바바버거,일반조리판매
20180329,폐업,20200608,서울특별시 광진구 중곡동 193-52번지,서울특별시 광진구 면목로 132-1 1층 (중곡동),총각네떡볶이,일반조리판매
20171201,폐업,20200608,서울특별시 마포구 합정동 376-27번지 1층,서울특별시 마포구 토정로 13-1 1층 (합정동),GS25마포당인점,일반조리판매
20161102,영업,0,서울특별시 중구 순화동 217번지 덕수궁롯데캐슬 지하1층 B103호,서울특별시 중구 서소문로9길 28 (순화동 덕수궁롯데캐슬 지하1층 B103호),샐러디,일반조리판매
20141106,폐업,20200608,서울특별시 노원구 월계동 466번지 지하1층,서울특별시 노원구 광운로 21 (월계동),스쿨푸드야,일반조리판매
20090611,영업,0,서울특별시 서초구 양재동 4-12번지 1층 103호,서울특별시 서초구 바우뫼로41길 8 1층 (양재동),맛있는 가게,일반조리판매
19990619,폐업,20200608,서울특별시 영등포구 대림동 878-8번지 1층,서울특별시 영등포구 디지털로 408 1층 (대림동),피자에땅신대방점,일반조리판매
20070615,영업,0,서울특별시 종로구 봉익동 118-2번지 (지상1층) ,서울특별시 종로구 돈화문로6나길 36 (봉익동(지상1층)),더밥,일반조리판매
19940831,영업,0,서울특별시 종로구 봉익동 153번지 ,서울특별시 종로구 돈화문로6가길 8 (봉익동),티파니휴게실,일반조리판매
20150223,영업,0,서울특별시 종로구 도렴동 60번지 지하1층 40호,서울특별시 종로구 새문안로5길 37 지1층 40호 (도렴동),데일리 수프 앤 브레드,일반조리판매
20141229,폐업,20200605,서울특별시 관악구 봉천동 927-3번지,서울특별시 관악구 남부순환로 1738 (봉천동),고봉민김밥인 관악봉천역1번출구점,일반조리판매
20070907,영업,0,서울특별시 강남구 대치동 990-0번지 지상1층 102호,서울특별시 강남구 도곡로 516 지상1층 102호 (대치동),본죽 대치은마점,일반조리판매
20030103,영업,0,서울특별시 종로구 창신동 79-2번지 ,서울특별시 종로구 지봉로 55-2 (창신동),분식나라,일반조리판매
20070719,영업,0,서울특별시 종로구 명륜2가 216-3번지 ,서울특별시 종로구 성균관로 15-1 (명륜2가),신전떡볶이 대학로점,일반조리판매
20030411,영업,0,서울특별시 종로구 도렴동 95-1번지 ,서울특별시 종로구 사직로8길 60 (도렴동),(주)풀무원 푸드앤컬쳐,일반조리판매
