인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
20200717,영업,0,서울특별시 강남구 대치동 602 선경3차아파트,서울특별시 강남구 남부순환로395길 10 (대치동 선경3차아파트),추억의 떡볶이,제과제빵
20170214,영업,0,서울특별시 서초구 서초동 1366-9번지 양재역 지하1층 9호,서울특별시 서초구 남부순환로 지하 2585 지하1층 9호 (서초동 양재역),스테프핫도그 양재역점,제과제빵
20120315,영업,0,서울특별시 중구 서소문동 37 1층,서울특별시 중구 덕수궁길 15 1층 (서소문동),뜨락,제과제빵
20200720,영업,0,서울특별시 성북구 길음동 20-1 현대백화점미아점지하1층,서울특별시 성북구 동소문로 315 현대백화점미아점 지하1층 (길음동),닭재이 김재환,제과제빵
20170824,영업,0,서울특별시 서초구 방배동 528-13 1층,서울특별시 서초구 청두곶2길 3 1층 (방배동),미니스톱 뉴서초방배점,제과제빵
20160901,폐업,20200720,서울특별시 은평구 대조동 205-18 지하1층1층,서울특별시 은평구 통일로73길 26 지하11층 (대조동),Fibonacci(피보나치),제과제빵
20200722,영업,0,서울특별시 송파구 잠실동 213-43,서울특별시 송파구 삼전로13길 54-1 102호 (잠실동),카페르뽀,제과제빵
20200722,영업,0,서울특별시 성동구 성수동2가 301-7,서울특별시 성동구 연무장3길 17 1층 (성수동2가),망원동티라미수 성수점,제과제빵
20060216,폐업,20200604,서울특별시 서초구 서초동 1337-22번지 대우디오빌 1층 104호,서울특별시 서초구 강남대로 321 (서초동대우디오빌 1층 104호),명인만두,제과제빵
19701001,영업,0,서울특별시 서대문구 미근동 177 (지하1층),서울특별시 서대문구 통일로 107-15 (미근동(지하1층)),명,제과제빵
20190822,영업,0,서울특별시 종로구 종로1가 24번지 르메이에르종로타운1 ,서울특별시 종로구 종로 19 르메이에르종로타운1 B130-2호 (종로1가),카페제르마이어,제과제빵
20190920,영업,0,서울특별시 종로구 익선동 57번지 메트로빌딩 ,서울특별시 종로구 삼일대로32길 54 메트로빌딩 1층 (익선동),이마트24종로익선동점,제과제빵
19900329,영업,0,서울특별시 종로구 평창동 73-2번지 ,,동화킴스,제과제빵
20191007,영업,0,서울특별시 종로구 청진동 128번지 Tower 8 ,서울특별시 종로구 종로5길 7 Tower 8 1층 114호 (청진동),알리바바 종각점,제과제빵
20191114,영업,0,서울특별시 종로구 소격동 150번지 ,서울특별시 종로구 율곡로3길 73-1 1층 (소격동),지에스(GS25)소격동점,제과제빵
20191004,영업,0,서울특별시 종로구 관훈동 155-2번지 ,서울특별시 종로구 인사동길 49 1층 3호 (관훈동),서울브레드 안녕인사동점,제과제빵
20191018,영업,0,서울특별시 종로구 관훈동 155-2,서울특별시 종로구 인사동길 49 4층 1호 (관훈동),애즈라이크 캐쥬얼,제과제빵
20100712,영업,0,서울특별시 종로구 부암동 261-6번지 ,서울특별시 종로구 창의문로 144 (부암동),느닷,제과제빵
20070308,영업,0,서울특별시 종로구 창신동 243번지 ,서울특별시 종로구 지봉로 43 (창신동),파리바게뜨-동묘역점,제과제빵
20190726,영업,0,서울특별시 종로구 와룡동 23번지 ,서울특별시 종로구 율곡로8길 9 1층 (와룡동),알리케이크,제과제빵
20190308,영업,0,서울특별시 종로구 종로1가 24번지 르메이에르종로타운1 ,서울특별시 종로구 종로 19 르메이에르종로타운1 지하1층 비130-1호 (종로1가),르베르디(Le Belle D),제과제빵
20190121,영업,0,서울특별시 종로구 명륜2가 222번지 ,서울특별시 종로구 성균관로 13 1층 (명륜2가),이마트24 R종로성대점,제과제빵
20190115,폐업,20200904,서울특별시 종로구 명륜2가 230,서울특별시 종로구 성균관로 1 1층 (명륜2가),GS25 성대입구점,제과제빵
20090311,영업,0,서울특별시 종로구 견지동 110번지 종로1가대성스카이렉스 111호 ,서울특별시 종로구 삼봉로 95 (견지동종로1가대성스카이렉스 111호),뉴욕 앤 핫도그,제과제빵
20190328,영업,0,서울특별시 종로구 통의동 47번지 ,서울특별시 종로구 자하문로2길 3 1층 (통의동),서촌다방,제과제빵
20140924,영업,0,서울특별시 종로구 청진동 19번지 지상1~3층 ,서울특별시 종로구 종로5길 30 지상1~3층 (청진동),스타벅스 종로수송점,제과제빵
20090112,영업,0,서울특별시 종로구 청진동 92번지 지하1층 비167 ,서울특별시 종로구 종로 33 지하1층 B167호 (청진동 그랑서울),밀(MEAL),제과제빵
20090316,영업,0,서울특별시 종로구 명륜2가 22-2번지 지하1층 ,서울특별시 종로구 창경궁로34길 18-5 (명륜2가지하1층),대학로불가마,제과제빵
20111124,영업,0,서울특별시 종로구 관수동 20번지 국일관1층97호 ,서울특별시 종로구 수표로 96 1층 97호 (관수동 국일관),cafe orange(까페오렌지),제과제빵
20110726,영업,0,서울특별시 종로구 연건동 196-11번지 1층 ,,훼미리마트(이화사거리점),제과제빵
20130913,영업,0,서울특별시 종로구 내수동 95번지 102동 103호,서울특별시 종로구 사직로8길 20 102동 지1층 103호 (내수동),비트윈 앤 밸런스드(Between and Balanced),제과제빵
20140124,영업,0,서울특별시 종로구 이화동 22-3번지 지상1층 ,서울특별시 종로구 율곡로17길 4 지상1층 (이화동),만타,제과제빵
20101102,영업,0,서울특별시 종로구 종로1가 24번지 르메이에르 종로타운 B109-1호 ,서울특별시 종로구 종로 19 (종로1가르메이에르 종로타운 B109-1호),카페부오노,제과제빵
20130513,영업,0,서울특별시 종로구 사직동 284-1번지 1층 ,서울특별시 종로구 인왕산로1길 21 1층 (사직동),좋은 날,제과제빵
20181211,영업,0,서울특별시 종로구 종로5가 398-2번지 ,서울특별시 종로구 동호로 401 2층 (종로5가),할리스 종로5가점,제과제빵
20141211,영업,0,서울특별시 종로구 누상동 55-3번지 ,서울특별시 종로구 옥인길 19 1층 101호 (누상동),날라리 고로케,제과제빵
20140904,영업,0,서울특별시 종로구 원남동 17번지 ,서울특별시 종로구 창경궁로22길 15 1층 (원남동),카페(cafe)711,제과제빵
20141124,영업,0,서울특별시 종로구 옥인동 157-3번지 ,서울특별시 종로구 옥인길 30-3 1층 (옥인동),토리베이커리 카페,제과제빵
20150327,영업,0,서울특별시 종로구 옥인동 16번지 ,서울특별시 종로구 자하문로 71 1층 (옥인동),올림,제과제빵
20121221,영업,0,서울특별시 종로구 신문로1가 33번지 ,서울특별시 종로구 새문안로 85 1~3층 (신문로1가),투썸플레이스광화문,제과제빵
20150518,영업,0,서울특별시 종로구 와룡동 168-1번지 ,서울특별시 종로구 돈화문로 69 1층 (와룡동),한일에스티(주)다옴,제과제빵
20110406,영업,0,서울특별시 종로구 종로3가 103-2번지 (지상1층) ,서울특별시 종로구 수표로 98 (종로3가(지상1층)),종로 명인 단팥빵,제과제빵
20131119,영업,0,서울특별시 종로구 세종로 202-1번지 1~3 ,서울특별시 종로구 세종대로 159 1~3층 (세종로),고디바,제과제빵
20160411,영업,0,서울특별시 종로구 동숭동 128-16번지 1층 ,서울특별시 종로구 동숭길 64 1층 (동숭동),쥬씨 동숭동점,제과제빵
20150625,영업,0,서울특별시 종로구 공평동 130-1번지 2층 ,서울특별시 종로구 종로7길 47 2층 (공평동),보성 전통찻집,제과제빵
20080624,영업,0,서울특별시 종로구 견지동 110번지 종로1가 대성스카이렉스 지상1층 104호 ,서울특별시 종로구 삼봉로 95 (견지동종로1가 대성스카이렉스 지상1층 104호),미니스톱(종각중앙점),제과제빵
20171221,영업,0,서울특별시 종로구 명륜3가 1-3번지 ,서울특별시 종로구 명륜길 21 1층 (명륜3가),cu성대킹고점,제과제빵
20150821,영업,0,서울특별시 종로구 관철동 43-8번지 ,서울특별시 종로구 청계천로 61 1층 (관철동),한국미니스톱청계센터점,제과제빵
20170921,영업,0,서울특별시 종로구 청운동 108-21번지 ,서울특별시 종로구 자하문로 100-1 1층 (청운동),GS25 청운중앙,제과제빵
20170424,영업,0,서울특별시 종로구 신교동 66번지 ,서울특별시 종로구 자하문로 89 1층 (신교동),행복한베이커리&카페 종로점,제과제빵
20170525,영업,0,서울특별시 종로구 누상동 53-1번지 103호,서울특별시 종로구 옥인길 23-6 103호 (누상동),무드벨벳(mood velaet),제과제빵
20180306,영업,0,서울특별시 종로구 신문로2가 92번지 LG광화문빌딩 ,서울특별시 종로구 새문안로 58 LG광화문빌딩 지하1층 B105호 (신문로2가),투썸플레이스 LG광화문빌딩점,제과제빵
20170901,영업,0,서울특별시 종로구 부암동 245-1번지 3층 ,서울특별시 종로구 백석동길 12-1 3층 (부암동),성곽마을 삼층까페,제과제빵
20180913,영업,0,서울특별시 종로구 운니동 98-5번지 삼환빌딩 ,서울특별시 종로구 율곡로 88 삼환빌딩 1층 (운니동),디초콜릿커피앤드 창덕궁점,제과제빵
20180927,영업,0,서울특별시 종로구 청진동 246번지 D타워 ,서울특별시 종로구 종로3길 17 D타워 1층 112113호 (청진동),고디바 디타워,제과제빵
20170817,영업,0,서울특별시 종로구 화동 61번지 ,서울특별시 종로구 삼청로 68 1층 (화동),스무디킹 삼청동점,제과제빵
20051216,영업,0,서울특별시 종로구 동숭동 195-6번지 ,서울특별시 종로구 이화장길 94 (동숭동),에쯔,제과제빵
20020226,영업,0,서울특별시 종로구 세종로 185-2번지 ,서울특별시 종로구 세종대로 167 (세종로),스타벅스광화문R점,제과제빵
20170928,영업,0,서울특별시 종로구 견지동 110-43번지 ,서울특별시 종로구 우정국로 43 1층 (견지동),예담 겔러리카페,제과제빵
20060704,영업,0,서울특별시 종로구 숭인동 76번지 롯데캐슬 107호 1층 ,서울특별시 종로구 종로 347 (숭인동롯데캐슬 107호 1층),던킨도너츠,제과제빵
20160111,영업,0,서울특별시 종로구 혜화동 111-3번지 1층 ,서울특별시 종로구 혜화로 1 1층 (혜화동),포스트카페,제과제빵
20160907,영업,0,서울특별시 종로구 누하동 1-25번지 ,서울특별시 종로구 자하문로7길 66 1층 (누하동),(주)착한커피공장,제과제빵
20161019,영업,0,서울특별시 종로구 명륜3가 1-30번지 102호,서울특별시 종로구 명륜4길 8 1층 102호 (명륜3가),지에스25 성대양현,제과제빵
20050511,영업,0,서울특별시 종로구 인사동 263번지 지상1층 ,서울특별시 종로구 종로9길 8 (인사동지상1층),CAFE NOA (카페노아),제과제빵
20140415,영업,0,서울특별시 종로구 숭인동 397번지 ,서울특별시 종로구 보문로9길 3 1층 (숭인동),#무궁화,제과제빵
20120315,영업,0,서울특별시 종로구 옥인동 104번지 ,서울특별시 종로구 옥인길 8 1층 (옥인동),Slow bread EVER,제과제빵
19970324,영업,0,서울특별시 종로구 관훈동 196-5번지 지상2층 ,서울특별시 종로구 인사동길 33-1 (관훈동지상2층),옛찻집,제과제빵
19960618,영업,0,서울특별시 종로구 적선동 102-1번지 ,서울특별시 종로구 자하문로2길 4 (적선동),베스킨라빈스31,제과제빵
20200427,영업,0,서울특별시 종로구 익선동 152번지 ,서울특별시 종로구 돈화문로11나길 25 1층 (익선동),라미스콘 앤 지민스통,제과제빵
20070327,폐업,20190524,서울특별시 종로구 내수동 72번지 경희궁의아침3단지 153154155158159160호 (지상1층) ,서울특별시 종로구 사직로8길 34 (내수동경희궁의아침3단지 153154155158159160호 (지상1층)),파티세리 비,제과제빵
20140716,폐업,20170116,서울특별시 종로구 종로2가 84-2번지 지상1~4층 ,서울특별시 종로구 종로 72-2 지상1~4층 (종로2가),마노핀 종로점,제과제빵
20141203,폐업,20170522,서울특별시 종로구 봉익동 118-1번지 ,서울특별시 종로구 돈화문로6나길 28-5 1층 5호 (봉익동),빈.티.지(Bean.T.G),제과제빵
20121205,폐업,20180702,서울특별시 종로구 평동 108-1번지 ,서울특별시 종로구 새문안로 29 (평동),카페 쎄리오 강북삼성병원점,제과제빵
20110216,폐업,20180806,서울특별시 종로구 평창동 442-5번지 (1층) ,,프린켑스,제과제빵
20180202,폐업,20200224,서울특별시 종로구 혜화동 27-1번지 한양도성 혜화동 전시안내센터 ,서울특별시 종로구 창경궁로35길 63 한양도성 혜화동 전시안내센터 (혜화동),더불 여,제과제빵
20140415,폐업,20180315,서울특별시 종로구 가회동 74번지 ,서울특별시 종로구 북촌로 47 1층 (가회동),북촌 취향,제과제빵
20170629,폐업,20171110,서울특별시 종로구 명륜1가 72-3번지 ,서울특별시 종로구 성균관로 48-2 (명륜1가),세븐일레븐 명륜 성대점,제과제빵
19810314,영업,0,서울특별시 중구 충무로3가 33-1번지 ,서울특별시 중구 충무로 20-1 (충무로3가),초원다방,제과제빵
19710315,영업,0,서울특별시 중구 을지로3가 296-4번지 ,서울특별시 중구 충무로5길 2 (을지로3가),원커피숍,제과제빵
19780928,영업,0,서울특별시 중구 신당동 310-0번지 ,,고려당분점,제과제빵
20020514,영업,0,서울특별시 중구 명동2가 25-31번지 (1층) ,서울특별시 중구 명동10길 31-1 (명동2가(1층)),뉴질랜드내츄럴 명동2호점,제과제빵
20011219,영업,0,서울특별시 중구 태평로2가 150번지 지하1층 ,서울특별시 중구 세종대로 55 (태평로2가지하1층),천수나라,제과제빵
19820319,영업,0,서울특별시 중구 을지로3가 296-2번지 ,,하루방,제과제빵
20030806,영업,0,서울특별시 중구 명동1가 28-2번지 (지상1층) ,서울특별시 중구 명동길 49 (명동1가(지상1층)),75도,제과제빵
20191028,영업,0,서울특별시 중구 소공동 1번지 롯데백화점 본점 ,서울특별시 중구 남대문로 81 롯데백화점 본점 지하1층 (소공동),해야,제과제빵
19680927,영업,0,서울특별시 중구 신당동 106-0번지 ,,오댈로,제과제빵
19750410,영업,0,서울특별시 중구 신당동 65-6번지 ,,청자당,제과제빵
20030501,영업,0,서울특별시 중구 충무로1가 52-5번지 (신세계본점지하1층) ,서울특별시 중구 소공로 63 (충무로1가(신세계본점지하1층)),아미산,제과제빵
20080828,영업,0,서울특별시 중구 남산동2가 25-8번지 (지상2층) ,서울특별시 중구 퇴계로20길 57 (남산동2가(지상2층)),남산커피집,제과제빵
20060407,영업,0,서울특별시 중구 충무로2가 65-9번지 외7필지(지하1층11호) ,서울특별시 중구 퇴계로 123 (충무로2가외7필지(지하1층11호)),명동역KFC,제과제빵
20010920,영업,0,서울특별시 중구 초동 75-3번지 지상1층 ,서울특별시 중구 마른내로 40 (초동지상1층),한평커피,제과제빵
20010521,영업,0,서울특별시 중구 충무로1가 24-23번지 7층3호 ,서울특별시 중구 명동8나길 15 (충무로1가7층3호),캐츠,제과제빵
20010904,영업,0,서울특별시 중구 을지로6가 18-12번지 외1필지 두산타워(지하1층) ,서울특별시 중구 장충단로 275 (을지로6가외1필지 두산타워(지하1층)),카페라비,제과제빵
