인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
20200713,영업,0,서울특별시 성북구 길음동 1280-6 대우상가,서울특별시 성북구 길음로 103 대우상가 상가동 1층 105106호 (길음동),씨유 길음푸르지오점,편의점
20200713,영업,0,서울특별시 중랑구 면목동 156-23,서울특별시 중랑구 동일로92길 49 1층 (면목동),씨유 중랑센트럴아이파크점,편의점
20200713,영업,0,서울특별시 송파구 오금동 42-5,서울특별시 송파구 마천로 70-16 1층 102호103호 (오금동),씨유 현대행운점,편의점
20200713,영업,0,서울특별시 강서구 등촌동 518-24 (지상 1층),서울특별시 강서구 등촌로39마길 24 1층 (등촌동),미니스톱 등촌우리점,편의점
20200709,영업,0,서울특별시 영등포구 당산동 32-2,,미니스톱한강양화2점,편의점
20190415,영업,0,서울특별시 강남구 일원동 644-7,서울특별시 강남구 양재대로53길 10 1층 101호 (일원동),숨다,편의점
20170118,폐업,20200713,서울특별시 노원구 공릉동 653-22,서울특별시 노원구 화랑로 467 1층 (공릉동),청운보이차,편의점
20200714,영업,0,서울특별시 중랑구 면목동 1515 성원아파트,서울특별시 중랑구 용마산로 276 성원아파트 상가동 1층 101호 (면목동),씨유 중랑용마점,편의점
20200713,영업,0,서울특별시 강남구 논현동 233-2,서울특별시 강남구 논현로114길 18 1층 (논현동),헬로키토,편의점
20200609,영업,0,서울특별시 종로구 인사동 34-16,서울특별시 종로구 인사동길 20-20 12층 (인사동),#인사동가는길,편의점
20150729,영업,0,서울특별시 구로구 오류동 217-1 라동-1호 편의점내,서울특별시 구로구 오리로9길 6 (오류동 라동-1호 편의점내),씨유 천왕역점,편의점
20200715,영업,0,서울특별시 동대문구 제기동 847-7,서울특별시 동대문구 경동시장로9가길 2 1층 (제기동),커피하우스,편의점
20200715,영업,0,서울특별시 광진구 중곡동 56-2,서울특별시 광진구 용마산로 67 1층 (중곡동),세븐일레븐중곡사거리점,편의점
20060808,폐업,20200715,서울특별시 중구 순화동 1-94 외24필지(지상1층),,(주)커피빈코리아순화점,편의점
20200716,영업,0,서울특별시 강남구 역삼동 658-22,서울특별시 강남구 논현로106길 31 1층 (역삼동),씨유 역삼황제펭귄점,편의점
20200716,영업,0,서울특별시 서초구 방배동 918-7 1층,서울특별시 서초구 방배중앙로 8 1층 (방배동),업셋 upset,편의점
20200716,영업,0,서울특별시 영등포구 대림동 1050-13 상도빌딩,서울특별시 영등포구 도림로 129 상도빌딩 지하1층 (대림동),태양성PC방,편의점
20200409,영업,0,서울특별시 은평구 진관동 194-4,서울특별시 은평구 연서로50길 7 1층 (진관동),소성,편의점
20130220,영업,0,서울특별시 강남구 신사동 594-14 지상1층,서울특별시 강남구 도산대로37길 19 지상1층 (신사동),투썸플레이스,편의점
20050610,영업,0,서울특별시 은평구 응암동 603-60 24(지상1층),서울특별시 은평구 응암로 164 (응암동24(지상1층)),cafe le reve(카페 르 레브),편의점
20200717,영업,0,서울특별시 노원구 상계동 683,서울특별시 노원구 한글비석로 477 백운유치원 1층 (상계동),씨유 노원 보람점,편의점
20190617,폐업,20200602,서울특별시 성동구 성수동1가 656-548번지,서울특별시 성동구 아차산로1길 12 1층 (성수동1가),때가이르매 성수,편의점
20190228,폐업,20200602,서울특별시 강남구 청담동 120-10번지,서울특별시 강남구 압구정로79길 16 지상1층 (청담동),명제마트,편의점
20181207,폐업,20200602,서울특별시 광진구 중곡동 622-5번지 102호,서울특별시 광진구 면목로 67-4 1층 102호 (중곡동),달콤,편의점
20170627,폐업,20200717,서울특별시 마포구 상암동 1605 누리꿈스퀘어 지하1층 B1109호,서울특별시 마포구 월드컵북로 396 지하1층 B1109호 (상암동 누리꿈스퀘어),나나언니,편의점
20151224,폐업,20200717,서울특별시 강서구 화곡동 1051-27 (지상 1층),서울특별시 강서구 강서로 179 1층 (화곡동 3동),롯데쇼핑(주) 롯데마켓999,편의점
20140822,폐업,20200717,서울특별시 중랑구 면목동 183-24 지상1층,서울특별시 중랑구 봉우재로 41 1층 (면목동),GS25동부시장점,편의점
20140416,영업,0,서울특별시 은평구 불광동 8-275 1층,서울특별시 은평구 불광로 98 (불광동 1층),빈트리,편의점
20180615,영업,0,서울특별시 동대문구 이문동 329-1번지 민족통일MJ캠퍼스외대,서울특별시 동대문구 이문로 93 지하1층 (이문동 민족통일MJ캠퍼스외대),스페셜알파피씨방,편의점
20200717,영업,0,서울특별시 서초구 서초동 1426-1 지하1층,서울특별시 서초구 서초중앙로 4 지하1층 (서초동),건강마트,편의점
20200717,영업,0,서울특별시 중랑구 면목동 172-84,서울특별시 중랑구 동일로91길 20 1층 (면목동),지에스(GS) 25 면목라온점,편의점
20170619,영업,0,서울특별시 송파구 방이동 131-19번지,서울특별시 송파구 가락로36길 15 1층 (방이동),원팩토리 커피 방이점,편의점
20170912,폐업,20200717,서울특별시 영등포구 여의도동 17 더?아일랜드파크 101동 117호,서울특별시 영등포구 의사당대로 38 (여의도동 더?아일랜드파크 101동 117호),GS25여의파크점,편의점
20160601,영업,0,서울특별시 서초구 양재동 220번지 하나빌딩 1층,서울특별시 서초구 매헌로1길 26 1층 (양재동 하나빌딩),세븐일레븐 양재LG전자점,편의점
20150511,영업,0,,서울특별시 동작구 상도로 293 1층 (상도1동),선 김밥,편의점
20200720,영업,0,서울특별시 중랑구 신내동 262-1 RB123 RB124호,서울특별시 중랑구 신내역로3길 40-36 (신내동),씨유 중랑데시앙플렉스점,편의점
20200720,영업,0,서울특별시 광진구 자양동 469,서울특별시 광진구 자양번영로3길 54 1층 105106호 (자양동),지에스25광진현대점,편의점
20200720,영업,0,서울특별시 구로구 항동 216-1 우남퍼스트빌더센트럴,서울특별시 구로구 항동로 8 615동 1층 106호 (항동 우남퍼스트빌더센트럴),씨유 항동6단지점,편의점
20200720,영업,0,서울특별시 서대문구 홍제동 454,서울특별시 서대문구 세검정로 140 지하1층 B06호 (홍제동),이마트24 홍제행복,편의점
20140822,영업,0,서울특별시 서초구 서초동 1426-13번지 22호 1층,서울특별시 서초구 남부순환로 2451 1층 (서초동),GS25 서초연일점,편의점
20200720,영업,0,서울특별시 중랑구 면목동 183-24 1층,서울특별시 중랑구 봉우재로 41 1층 (면목동),GS25 동부시장,편의점
20200720,영업,0,서울특별시 서초구 우면동 784 엘에이치서초3단지,서울특별시 서초구 양재대로2길 34 상가동 1층 102103호 (우면동 엘에이치서초3단지),씨유 우면LH점,편의점
20200720,영업,0,서울특별시 성동구 성수동1가 7-13,서울특별시 성동구 왕십리로14길 23 1층 (성수동1가),온더,편의점
20170908,영업,0,서울특별시 서대문구 북아현동 1-532 지하1층,서울특별시 서대문구 북아현로 100 지하1층 (북아현동),단코,편의점
20101021,영업,0,서울특별시 동대문구 전농동 38-4,서울특별시 동대문구 사가정로 147 (전농동),포트 캔 커피,편의점
20200721,영업,0,서울특별시 영등포구 신길동 465-19 중앙빌딩,서울특별시 영등포구 영등포로84길 34 중앙빌딩 1층 105호 (신길동),씨유신길센터점,편의점
20200721,영업,0,서울특별시 중랑구 면목동 372-19,서울특별시 중랑구 면목로 249 1~2층 (면목동),투썸플레이스 용마산역점,편의점
20200721,영업,0,서울특별시 강동구 천호동 315-1 월봉빌딩,서울특별시 강동구 올림픽로 738 월봉빌딩 1층 (천호동),이마트24알 천호벚꽃길점,편의점
20200721,영업,0,서울특별시 관악구 봉천동 968-44,서울특별시 관악구 봉천로 275 1층 (봉천동),씨유보라매우리점,편의점
20200721,영업,0,서울특별시 강남구 대치동 899-28,서울특별시 강남구 역삼로63길 15 1층 102호 (대치동),필아웃,편의점
20200721,영업,0,서울특별시 은평구 구산동 6-17 지에스25 구산예일,서울특별시 은평구 서오릉로11길 14 자에스25 구산예일 (구산동),지에스25 구산예일,편의점
20200629,영업,0,서울특별시 양천구 신정동 313-1 서울남부지방검찰청 1층,서울특별시 양천구 신월로 390 서울남부지방검찰청 1층 (신정동),서울남부범죄피해자지원센터부설(희망카페나무),편의점
20191211,폐업,20200721,서울특별시 강남구 논현동 192-3 프라임아파트,서울특별시 강남구 논현로113길 5 103 일부호 (논현동 프라임아파트),자매떡볶이 논현점,편의점
20180921,폐업,20200717,서울특별시 마포구 동교동 188-24 이끼,서울특별시 마포구 와우산로32길 31-6 이끼 1층 (동교동),칼마토커피라운지(calmato coffee lounge),편의점
20141028,폐업,20200721,서울특별시 성북구 석관동 127-76,서울특별시 성북구 한천로78길 49 (석관동),씨유성북석관점,편의점
20110406,폐업,20200721,서울특별시 구로구 개봉동 353-14 성원빌딩 104,서울특별시 구로구 경인로 324 (개봉동성원빌딩 104),커피아이(coffee eye),편의점
20200722,영업,0,서울특별시 강서구 화곡동 878-10 (지상 1층),서울특별시 강서구 강서로8길 47 1층 (화곡동),씨유화곡행운점,편의점
20200722,영업,0,서울특별시 서대문구 연희동 106-3,서울특별시 서대문구 증가로 49 1층 (연희동),씨유 연희센트럴점,편의점
20200722,영업,0,서울특별시 강북구 수유동 180-41 블룸,서울특별시 강북구 도봉로95길 55 블룸 (수유동),루아,편의점
20200722,영업,0,서울특별시 은평구 녹번동 83-54 원기빌딩,서울특별시 은평구 은평로21길 63 원기빌딩 1층 (녹번동),GS25 은평문화점,편의점
20070417,영업,0,서울특별시 서초구 양재동 82번지 1층,서울특별시 서초구 바우뫼로 184 (양재동1층),GS25 양재삼익점,편의점
20030115,영업,0,서울특별시 서초구 서초동 1665-9번지 1층,서울특별시 서초구 서초중앙로18길 43 1층 (서초동),세븐일레븐(서초21호점),편의점
20200722,영업,0,서울특별시 중구 소공동 1 롯데호텔,서울특별시 중구 을지로 30 롯데호텔 지하2층 (소공동),롯데호텔본점,편의점
20200306,폐업,20200722,서울특별시 광진구 중곡동 77-33 광성빌딩,서울특별시 광진구 긴고랑로 130 광성빌딩 지하1층 (중곡동),건강한자신감,편의점
20190628,영업,0,서울특별시 종로구 동숭동 1-117 아르코예술창작센터,서울특별시 종로구 대학로 112 1층 (동숭동),잇스프레스 마로니에 공원점,편의점
20200528,폐업,20200603,서울특별시 중구 충무로1가 52-5번지 신세계백화점,서울특별시 중구 소공로 63 신세계백화점 지하2층 (충무로1가),시노베,편의점
20200221,폐업,20200604,서울특별시 송파구 문정동 622번지 송파한화오벨리스크,서울특별시 송파구 충민로 5 123호 (문정동 송파한화오벨리스크),(주)비지에프리테일 CU송파한화2호점,편의점
20190603,영업,0,서울특별시 종로구 명륜4가 12-3번지,서울특별시 종로구 대명길 17 1층 (명륜4가),쩐주단 대학로점,편의점
20161006,영업,0,서울특별시 성북구 안암동5가 126-83번지,서울특별시 성북구 고려대로 76 (안암동5가),씨유 고대호랑이점,편의점
20160509,영업,0,서울특별시 서초구 서초동 1572-4번지 1층,서울특별시 서초구 서초대로 274 1층 (서초동),스타벅스 서초법원점,편의점
20160127,영업,0,서울특별시 서초구 서초동 1571-18번지 1층101호,서울특별시 서초구 서초대로50길 24 1층 101호 (서초동 청화빌딩),세븐일레븐 교대역점,편의점
20131210,영업,0,서울특별시 서초구 잠원동 29-1번지 지하 1층(102호),서울특별시 서초구 강남대로95길 19-4 지하 1층 (잠원동),GS25 잠원주흥점,편의점
20100916,영업,0,서울특별시 서초구 잠원동 22-20번지,서울특별시 서초구 강남대로97길 16 (잠원동),세븐일레븐(잠원중앙점),편의점
20040203,영업,0,서울특별시 서초구 서초동 1578-1번지 지상 1층,서울특별시 서초구 반포대로24길 96 지상 1층 (서초동),세븐일레븐(서초13호점),편의점
19990415,폐업,20200604,서울특별시 서대문구 창천동 18-53번지,서울특별시 서대문구 신촌로 101 (창천동),버거킹신촌점,편의점
20190130,영업,0,서울특별시 서초구 반포동 107-18번지 1층,서울특별시 서초구 사평대로20길 12 1층 (반포동),GS25 서래제일점,편의점
20180830,영업,0,서울특별시 송파구 문정동 634번지 가든파이브라이프,서울특별시 송파구 충민로 66 가든파이브라이프 지하1층 FB-1030호 (문정동),이삭 가든파이브점,편의점
20171201,폐업,20200608,서울특별시 마포구 합정동 376-27번지 1층,서울특별시 마포구 토정로 13-1 1층 (합정동),GS25마포당인점,편의점
20161207,폐업,20200608,서울특별시 서초구 방배동 1948번지 1층,서울특별시 서초구 서초대로1길 37 1층 (방배동),GS25 방배서문점,편의점
20160816,폐업,20200608,서울특별시 노원구 상계동 65-5번지 불암빌딩 1층,서울특별시 노원구 상계로 320 1층 (상계동 불암빌딩),세븐일레븐 당고개제일점,편의점
20160608,폐업,20200608,서울특별시 중랑구 면목동 14-45번지,서울특별시 중랑구 용마산로94길 14 1층 (면목동),세븐일레븐 면목서일점,편의점
20160322,폐업,20200608,서울특별시 구로구 고척동 63-6번지 고척스카이돔 C-7호,서울특별시 구로구 경인로 430 C-7호 (고척동 고척스카이돔),공차 고척스카이돔,편의점
20090611,영업,0,서울특별시 서초구 양재동 4-12번지 1층 103호,서울특별시 서초구 바우뫼로41길 8 1층 (양재동),맛있는 가게,편의점
19931101,영업,0,서울특별시 종로구 무악동 47-9번지 ,서울특별시 종로구 통일로 228-1 (무악동),LG25독립문점,편의점
20200520,영업,0,서울특별시 노원구 월계동 333-1번지 월계이마트 2층,서울특별시 노원구 마들로3길 15 월계이마트 2층 (월계동),아이로21 월계점,편의점
20200424,영업,0,서울특별시 영등포구 문래동6가 57번지,서울특별시 영등포구 선유로9길 30 롯데캐슬상가 1층 103104105호 (문래동6가),세븐일레븐롯데뉴스테이문래점,편의점
20191001,폐업,20200605,서울특별시 중구 신당동 247-2번지 1층,서울특별시 중구 퇴계로 388-1 1층 (신당동),명랑시대쌀핫도그신당역점,편의점
20161025,영업,0,서울특별시 서초구 양재동 250-6번지 1층102호,서울특별시 서초구 언남길 35 1층 102호 (양재동),세븐일레븐 양재근린공원점,편의점
20160930,영업,0,서울특별시 서초구 양재동 242-8번지 1층,서울특별시 서초구 강남대로18길 11 1층 (양재동),미니스톱 양재그린점,편의점
20160527,영업,0,서울특별시 동작구 사당동 249-84번지,서울특별시 동작구 사당로 200 지상1층 (사당동),롯데리아남성역점,편의점
20140922,영업,0,서울특별시 서초구 양재동 138-4번지 101호,서울특별시 서초구 바우뫼로 101 101호 (양재동),이마트24 양재우성점,편의점
20030115,영업,0,서울특별시 서초구 양재동 249-4번지 1층,서울특별시 서초구 마방로 12 1층 (양재동),세븐일레븐(양재7호점),편의점
20180625,영업,0,서울특별시 종로구 혜화동 179-4번지 ,서울특별시 종로구 동숭길 148 (혜화동),커피스미스 대학로 서경대점,편의점
19970724,영업,0,서울특별시 종로구 종로2가 56-23번지 ,서울특별시 종로구 종로 94 (종로2가),버거킹 종로점,편의점
19951113,영업,0,서울특별시 종로구 평창동 343-1번지 ,서울특별시 종로구 평창11길 17 (평창동),세븐일레븐 평창점,편의점
19950605,영업,0,서울특별시 종로구 낙원동 178-0번지 ,서울특별시 종로구 수표로 110 (낙원동),세븐일레븐탑골공원점,편의점
