인허가일자,영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
20010214,영업/정상,0,서울특별시 종로구 신문로1가 166-2번지 ,0,일식동경,일식
19871226,영업/정상,0,서울특별시 종로구 도렴동 110-1번지 ,0,불새,경양식
19980122,영업/정상,0,서울특별시 종로구 삼청동 95-2번지 ,0,라끌레,경양식
19890519,영업/정상,0,서울특별시 종로구 내수동 119-0번지 ,0,신정,한식
19960302,영업/정상,0,서울특별시 종로구 교남동 786-0번지 지상1층 ,0,고기잔치,한식
19831209,영업/정상,0,서울특별시 종로구 신문로1가 230-0번지 ,0,만나니,분식
19841224,영업/정상,0,서울특별시 종로구 신문로1가 81-2번지 ,0,쥴란분식,경양식
19840509,영업/정상,0,서울특별시 종로구 도렴동 60-1번지 ,0,보라분식,분식
19850809,영업/정상,0,서울특별시 종로구 인사동 266-0번지 ,0,한우공방,한식
19991018,영업/정상,0,서울특별시 종로구 숭인동 141-1번지 ,0,다슬기해장국,한식
19910729,영업/정상,0,서울특별시 종로구 인사동 79-1번지 ,0,마당쓸고 돈줍고,경양식
20020124,영업/정상,0,서울특별시 종로구 평동 26-10번지 지상1층 ,서울특별시 종로구 송월길 47-8 (평동지상1층),목란,분식
19901226,영업/정상,0,서울특별시 종로구 홍파동 187-0번지 ,서울특별시 종로구 통일로 184-20 (홍파동),전주집,한식
19991213,영업/정상,0,서울특별시 종로구 청진동 181-6번지 ,0,쭈꾸미엄나무닭한마리,한식
19860322,영업/정상,0,서울특별시 종로구 명륜4가 149-0번지 ,0,박석고개,경양식
19860327,영업/정상,0,서울특별시 종로구 명륜3가 127-1번지 ,0,치어스,경양식
20080930,영업/정상,0,서울특별시 종로구 명륜4가 103-2번지 (지상1층) ,0,고멘 대학로점,한식
20000401,영업/정상,0,서울특별시 종로구 공평동 34-0번지 ,0,돼지네김밥,분식
20071112,영업/정상,0,서울특별시 종로구 무악동 45-48번지 ,0,다보식당,한식
20120413,영업/정상,0,서울특별시 종로구 내자동 3번지 ,0,아시안 쿠진,한식
20000928,영업/정상,0,서울특별시 종로구 청진동 234-4번지 ,0,영덕대게집,한식
20000329,영업/정상,0,서울특별시 종로구 교북동 60-1번지 ,서울특별시 종로구 통일로 192 (교북동),독립문,한식
20000615,영업/정상,0,서울특별시 종로구 신문로2가 92-1번지 ,0,본전가,한식
20051122,영업/정상,0,서울특별시 종로구 교북동 10-37번지 지상1층 ,서울특별시 종로구 통일로 210-1 (교북동지상1층),엄마네왕숯불갈비,한식
20000330,영업/정상,0,서울특별시 종로구 종로6가 239-15번지 ,0,해장국,분식
19991125,영업/정상,0,서울특별시 종로구 인사동 265-0번지 ,0,종각한우별관,한식
19991004,영업/정상,0,서울특별시 종로구 숭인동 232-21번지 ,0,고향아바이순대,한식
19991004,영업/정상,0,서울특별시 종로구 관철동 43-3번지 ,0,수리수리 마수리,경양식
20001102,영업/정상,0,서울특별시 종로구 가회동 270-0번지 ,0,이천식당,한식
20010307,영업/정상,0,서울특별시 종로구 무악동 45-0번지 현대상가내 B04호 ,0,호야반점,중국식
19991130,영업/정상,0,서울특별시 종로구 신문로1가 166-2번지 ,0,명가세꼬시,분식
20061120,영업/정상,0,서울특별시 종로구 신문로2가 1-400번지 지상1층 ,0,통영활어센터,한식
20001017,영업/정상,0,서울특별시 종로구 교남동 61-1번지 ,서울특별시 종로구 통일로 168-7 (교남동),명숯불갈비,한식
20001017,영업/정상,0,서울특별시 종로구 평동 9-9번지 ,서울특별시 종로구 경교장1길 18 (평동),옛고을,한식
19991104,영업/정상,0,서울특별시 종로구 공평동 44-0번지 ,서울특별시 종로구 우정국로 30-26 (공평동),옛날손칼국수,한식
20041007,영업/정상,0,서울특별시 종로구 사간동 109번지 지상1층 ,0,두가헌,경양식
20180305,영업/정상,0,서울특별시 종로구 교남동 62-1번지 경희궁자이 3144호,0,따블론(tablon),경양식
20000703,영업/정상,0,서울특별시 종로구 관훈동 24-0번지 ,0,동큐,분식
19991110,영업/정상,0,서울특별시 종로구 무악동 47-5번지 ,서울특별시 종로구 통일로 228 (무악동),김밥천국,한식
19891101,영업/정상,0,서울특별시 종로구 청진동 149-0번지 ,0,세원제주도생구이,한식
19860603,영업/정상,0,서울특별시 종로구 청진동 160-2번지 ,0,한성,한식
20000808,영업/정상,0,서울특별시 종로구 인사동 265번지 ,0,한우공방,한식
20030123,영업/정상,0,서울특별시 종로구 명륜2가 34 35번지 지1층 ,0,정성본 샤브,경양식
20170228,영업/정상,0,서울특별시 종로구 교남동 62-1번지 경희궁자이팰리스에비뉴상가 3141호,0,스시(海)해,일식
20180712,영업/정상,0,서울특별시 종로구 교북동 12-1번지 경희궁자이 4단지 ,서울특별시 종로구 송월길 155 111호 (교북동 경희궁자이 4단지),죽이야기 경희궁자이점,한식
20000412,영업/정상,0,서울특별시 종로구 공평동 19-0번지 ,서울특별시 종로구 우정국로 30-1 (공평동),대복집,한식
20080307,영업/정상,0,서울특별시 종로구 홍파동 182-2번지 지상1층 ,서울특별시 종로구 통일로 166-164 (홍파동지상1층),대월,한식
20060612,영업/정상,0,서울특별시 종로구 관철동 43-10번지 2층 ,0,카니발피자 종각점,한식
20051227,영업/정상,0,서울특별시 종로구 교북동 12-21번지 2층 ,서울특별시 종로구 통일로 204 (교북동2층),선우정,경양식
20071204,영업/정상,0,서울특별시 종로구 창신동 703-20번지 ,0,좋아좋아분식,분식
19991001,영업/정상,0,서울특별시 종로구 당주동 25-2번지 ,0,버드나무집,한식
