인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
19900329,영업,0,서울특별시 종로구 평창동 73-2번지 ,0,동화킴스,제과제빵
20160322,영업,0,서울특별시 종로구 교남동 62-1번지 팰리스에비뉴 4블럭 4124호,0,라빵베이킹,제과제빵
19780928,영업,0,서울특별시 중구 신당동 310-0번지 ,0,고려당분점,제과제빵
19880329,영업,0,서울특별시 중구 흥인동 0-0번지 ,0,주)프라자제과롯데,제과제빵
19880607,영업,0,서울특별시 중구 소공동 1-42번지 ,0,윈첼도우넛하우스,제과제빵
19970124,영업,0,서울특별시 중구 명동2가 54-0번지 ,0,(주)마인에스에이명동점,제과제빵
20000324,영업,0,서울특별시 중구 을지로6가 185-0번지 밀리오레9층 ,0,베스킨라빈스밀리오레동대문점,제과제빵
19950417,영업,0,서울특별시 중구 충무로5가 79-2번지 ,서울특별시 중구 서애로 7 (충무로5가),베스킨라빈스,제과제빵
19861014,영업,0,서울특별시 중구 신당동 541-0번지 ,0,아메리카나대우쎈타,제과제빵
19861110,영업,0,서울특별시 중구 서소문동 201-4번지 ,0,하나스넥,제과제빵
20190709,폐업,20200409,서울특별시 중구 저동1가 48번지 대신파이낸스센터(Daishin Finance Center) ,서울특별시 중구 삼일대로 343 대신파이낸스센터(Daishin Finance Center) 지하1층 (저동1가),브알라 대신파이낸스점,제과제빵
20170717,영업,0,서울특별시 용산구 한강로2가 342번지 ,서울특별시 용산구 한강대로 95 지하1층 111호 (한강로2가),(주)국제흥업개발던킨도너츠용산센트럴점,제과제빵
20091007,영업,0,서울특별시 은평구 수색동 76-14번지 (지상2층) ,0,베스킨라빈스(Baskinrabbins),제과제빵
19990614,영업,0,서울특별시 영등포구 양평동3가 75-1번지 거성파스텔(아)상가 107동 ,0,앙뜨레피자,제과제빵
20140814,영업,0,서울특별시 영등포구 당산동6가 22번지 지하철 9호선 당산역 지하 ,서울특별시 영등포구 양평로 지하 40 (당산동6가 지하철 9호선 당산역 지하),미인단팥빵,제과제빵
19810205,영업,0,서울특별시 영등포구 영등포동 618-95번지 ,0,효자당,제과제빵
19821117,영업,0,서울특별시 영등포구 당산동2가 65-40번지 ,0,쉐라톤제과,제과제빵
20120716,영업,0,0,서울특별시 관악구 남부순환로 1614 (신림동 2호선 신림역사내),(주)보성커머스 몰빵 신림역점,제과제빵
20010806,영업,0,서울특별시 강남구 대치동 산 626번지 청실상가  111호 ,0,떼르드글라스,제과제빵
19981220,영업,0,서울특별시 강남구 수서동 11-0번지 목연상가 17호호,0,코니아이랜드,제과제빵
19950118,영업,0,서울특별시 강남구 삼성동 8-3번지 지상1층 ,0,베스킨라빈스,제과제빵
19860325,영업,0,서울특별시 강남구 압구정동 369-0번지 ,0,베이크샵팔,제과제빵
19970318,영업,0,서울특별시 은평구 갈현동 274-51,0,.,제과제빵
