인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,경도,위도,상태
20171017,영업,0,0,서울특별시 종로구 평창문화로 87 1층 (평창동),GS25 평창파크팰리스점,편의점,126.9707953,37.60725407,정좌표
20160216,영업,0,0,서울특별시 동대문구 장한로 47 (장안동),씨유장안플러스점,편의점,127.0669106,37.56537169,정좌표
20101221,영업,0,서울특별시 마포구 상암동 0번지 디지털미디어센터역 B1대합실 지에스25 ,서울특별시 마포구 상암동 월드컵북로 366,지에스25에스상암디엠씨역,편의점,126.8921147,37.57769532,정좌표
20150410,영업,0,0,서울특별시 동작구 동작대로35길 18 1층 (사당동),GS사당이화점,편의점,126.9813901,37.49111949,정좌표
20151126,영업,0,0,서울특별시 동작구 보라매로5길 51 지상1층 103호 (신대방동),지에스(GS)25보라매타워점,편의점,126.9270647,37.49464971,인근좌표
20160421,영업,0,0,서울특별시 동작구 동작대로 지하 3 (사당동),세븐일레븐 사당메트로점,편의점,126.9815953,37.47686304,정좌표
20140805,영업,0,0,서울특별시 동작구 상도로60길 15 1층 (상도동),CU(씨유) 숭실대 원룸점,편의점,126.9542598,37.49381618,정좌표
20140806,영업,0,0,서울특별시 동작구 양녕로28길 4 1층 (상도동),(주) 비지에프리테일 상도약수점,편의점,126.9443367,37.49905872,정좌표
20140807,영업,0,0,서울특별시 동작구 양녕로26길 52 (상도동),GS25 상도골드점,편의점,126.9436889,37.49621297,정좌표
20151223,영업,0,0,서울특별시 동작구 상도로15길 120 지상1층 (상도동),씨유장승배기점,편의점,126.9373439,37.50459031,정좌표
20150724,영업,0,0,서울특별시 동작구 상도로30길 39 (상도동),씨유상도두산점,편의점,126.942298,37.50479633,정좌표
20120209,폐업,20200423,0,서울특별시 강남구 테헤란로81길 10 지상1층 (삼성동),365플러스 삼성동점,편의점,127.0572907,37.5079513,정좌표
20150727,영업,0,0,서울특별시 송파구 올림픽로 240 B1층 (신천동 롯데월드롯데백화점 잠실점),세븐일레븐 롯데월드광장점,편의점,127.0953685,37.51096772,정좌표
