No,인허가일자,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명
4,20171017,영업,0,0,서울특별시 종로구 평창문화로 87 1층 (평창동),GS25 평창파크팰리스점,편의점
36,20160216,영업,0,0,서울특별시 동대문구 장한로 47 (장안동),씨유장안플러스점,편의점
56,20101221,영업,0,서울특별시 마포구 상암동 0번지 디지털미디어센터역 B1대합실 지에스25 ,서울특별시 마포구 상암동 월드컵북로 366,지에스25에스상암디엠씨역,편의점
67,20150410,영업,0,0,서울특별시 동작구 동작대로35길 18 1층 (사당동),GS사당이화점,편의점
68,20151126,영업,0,0,서울특별시 동작구 보라매로5길 51 지상1층 103호 (신대방동),지에스(GS)25보라매타워점,편의점
69,20160421,영업,0,0,서울특별시 동작구 동작대로 지하 3 (사당동),세븐일레븐 사당메트로점,편의점
70,20140805,영업,0,0,서울특별시 동작구 상도로60길 15 1층 (상도동),CU(씨유) 숭실대 원룸점,편의점
71,20140806,영업,0,0,서울특별시 동작구 양녕로28길 4 1층 (상도동),(주) 비지에프리테일 상도약수점,편의점
72,20140807,영업,0,0,서울특별시 동작구 양녕로26길 52 (상도동),GS25 상도골드점,편의점
74,20151223,영업,0,0,서울특별시 동작구 상도로15길 120 지상1층 (상도동),씨유장승배기점,편의점
76,20150724,영업,0,0,서울특별시 동작구 상도로30길 39 (상도동),씨유상도두산점,편의점
87,20120209,폐업,20200423,0,서울특별시 강남구 테헤란로81길 10 지상1층 (삼성동),365플러스 삼성동점,편의점
92,20150727,영업,0,0,서울특별시 송파구 올림픽로 240 B1층 (신천동 롯데월드롯데백화점 잠실점),세븐일레븐 롯데월드광장점,편의점
