,학교명,설립일자,소재지지번주소,소재지도로명주소,위도,경도
0,서울휘경초등학교,1959-10-10,서울특별시 동대문구 휘경동 302-2,서울특별시 동대문구 망우로6길 48,37.585735799999995,127.0582128
1,서울동답초등학교,1984-05-23,서울특별시 동대문구 답십리동 2-24,서울특별시 동대문구 답십리로60길 12,37.571503,127.06403359999999
2,서울답십리초등학교,1962-11-29,서울특별시 동대문구 답십리동 274,서울특별시 동대문구 전농로3길 23,37.5688043,127.05542859999998
3,서울신답초등학교,1972-05-09,서울특별시 동대문구 답십리동 463-13,서울특별시 동대문구 천호대로 177,37.572705400000004,127.0429615
4,서울용두초등학교,1948-11-01,서울특별시 동대문구 용두동 237-1,서울특별시 동대문구 천호대로13길 43,37.57641470000001,127.02838729999999
5,서울이문초등학교,1967-09-06,서울특별시 동대문구 이문동 358-34,서울특별시 동대문구 신이문로 16,37.6018948,127.0648841
6,서울군자초등학교,1973-11-22,서울특별시 동대문구 장안동 239-2,서울특별시 동대문구 한천로6길 21,37.5641238,127.0605231
7,서울장평초등학교,1980-04-04,서울특별시 동대문구 장안동 323,서울특별시 동대문구 답십리로69길 27,37.573994799999994,127.07389340000002
8,서울안평초등학교,1990-10-10,서울특별시 동대문구 장안동 353-1,서울특별시 동대문구 장한로14길 61,37.5659698,127.0720337
9,서울배봉초등학교,1971-10-08,서울특별시 동대문구 전농동 3-111,서울특별시 동대문구 사가정로 193,37.5800825,127.0668713
10,서울전동초등학교,1969-05-20,서울특별시 동대문구 전농동 45-41,서울특별시 동대문구 전농로16길 61,37.5790838,127.06080690000002
11,서울전곡초등학교,1961-04-06,서울특별시 동대문구 전농동 188,서울특별시 동대문구 전농로 172,37.5807044,127.05601259999999
12,서울전농초등학교,1942-04-08,서울특별시 동대문구 전농동 298,서울특별시 동대문구 사가정로 66,37.57472979999999,127.0543327
13,서울홍파초등학교,1960-07-05,서울특별시 동대문구 제기동 678,서울특별시 동대문구 고산자로 518,37.5862225,127.0395183
14,서울종암초등학교,1922-07-08,서울특별시 동대문구 제기동 1157,서울특별시 동대문구 무학로44길 25,37.5823063,127.0318584
15,서울홍릉초등학교,1967-11-30,서울특별시 동대문구 청량리동 206-44,서울특별시 동대문구 회기로 90,37.5906874,127.0477047
16,서울청량초등학교,1937-04-05,서울특별시 동대문구 회기동 1-1,서울특별시 동대문구 회기로25길 31,37.5923092,127.055908
17,서울휘봉초등학교,2006-03-01,서울특별시 동대문구 휘경동 49-27,서울특별시 동대문구 장안벚꽃로 309,37.585677600000004,127.07004189999999
18,경희초등학교,1961-05-18,서울특별시 동대문구 회기동 산4-50,서울특별시 동대문구 경희대로 26,37.5939495,127.0548902
19,서울삼육초등학교,1913-10-01,서울특별시 동대문구 회기동 102-48,서울특별시 동대문구 회기로10길 63,37.5887703,127.04717360000001
20,은석초등학교,1963-04-16,서울특별시 동대문구 장안동 328,서울특별시 동대문구 장안벚꽃로 205,37.5785598,127.07576350000001
21,서울면목초등학교,1944-11-12,서울특별시 중랑구 면목동 221,서울특별시 중랑구 면목로 434,37.5906972,127.08728870000002
22,서울면남초등학교,1983-10-19,서울특별시 중랑구 면목동 583-15,서울특별시 중랑구 면목로30나길 38,37.577261299999996,127.087667
23,서울동원초등학교,1991-05-04,서울특별시 중랑구 망우동 216,서울특별시 중랑구 송림길 114,37.6045765,127.10449140000001
24,서울면북초등학교,1983-09-05,서울특별시 중랑구 망우동 119,서울특별시 중랑구 용마공원로5길 32,37.594417799999995,127.10354869999999
25,서울망우초등학교,1977-03-01,서울특별시 중랑구 망우동 153-1,서울특별시 중랑구 망우로72길 49,37.598738700000006,127.10384009999999
26,서울면일초등학교,1983-04-21,서울특별시 중랑구 망우동 438-2,서울특별시 중랑구 용마산로100길 13,37.5920424,127.0997953
27,서울면중초등학교,1976-06-05,서울특별시 중랑구 면목동 491-1,서울특별시 중랑구 용마산로70길 43,37.582440500000004,127.09654909999999
28,서울중곡초등학교,1967-09-05,서울특별시 중랑구 면목동 380,서울특별시 중랑구 면목로23길 20,37.574892999999996,127.0834395
29,서울면동초등학교,1978-09-01,서울특별시 중랑구 면목동 551,서울특별시 중랑구 면목로57길 32,37.5853531,127.08659409999999
30,서울중목초등학교,1997-11-04,서울특별시 중랑구 면목동 180-5,서울특별시 중랑구 동일로 665,37.5900865,127.0793361
31,서울중랑초등학교,1972-05-08,서울특별시 중랑구 면목동 192-1,서울특별시 중랑구 봉우재로6길 26,37.5896638,127.07550309999999
32,서울원묵초등학교,1995-11-10,서울특별시 중랑구 묵동 11,서울특별시 중랑구 숙선옹주로 109,37.6177489,127.0868129
33,서울묵현초등학교,2004-10-29,서울특별시 중랑구 묵동 242-55,서울특별시 중랑구 동일로157길 75,37.6090795,127.0736243
34,서울신묵초등학교,1984-12-05,서울특별시 중랑구 묵동 246-12,서울특별시 중랑구 동일로149길 46,37.6065229,127.0758372
35,서울상봉초등학교,1983-10-25,서울특별시 중랑구 상봉동 312-1,서울특별시 중랑구 동일로126가길 11,37.5979802,127.0831709
36,서울신현초등학교,1996-03-01,서울특별시 중랑구 신내동 663,서울특별시 중랑구 봉화산로 188,37.6058147,127.09358519999999
37,서울신내초등학교,1994-01-05,서울특별시 중랑구 신내동 444,서울특별시 중랑구 용마산로125나길 22,37.6049335,127.10012959999999
38,서울중화초등학교,1946-11-07,서울특별시 중랑구 신내동 531,서울특별시 중랑구 신내로7가길 22,37.6029203,127.094066
39,서울봉화초등학교,1996-09-19,서울특별시 중랑구 신내동 655,서울특별시 중랑구 신내로15길 110,37.6135749,127.09240770000001
40,서울묵동초등학교,1972-12-23,서울특별시 중랑구 중화동 277-1,서울특별시 중랑구 동일로138길 27,37.603359000000005,127.08082590000001
41,서울중흥초등학교,1999-10-02,서울특별시 중랑구 중화동 119,서울특별시 중랑구 봉화산로 82,37.601673600000005,127.08414429999999
42,금성초등학교,1965-06-26,서울특별시 중랑구 신내동 651,서울특별시 중랑구 신내로21길 55,37.615314,127.0898591
43,서울은빛초등학교,2011-05-09,서울특별시 은평구 진관동 41-25,서울특별시 은평구 진관3로 73-17,37.6426599,126.9190817
44,서울신도초등학교,1928-12-01,서울특별시 은평구 진관동 108,서울특별시 은평구 진관1로 77-23,37.6329639,126.92919779999998
45,서울은진초등학교,2009-04-30,서울특별시 은평구 진관동 104,서울특별시 은평구 진관1로 21-20,37.633030100000006,126.92099540000001
46,서울진관초등학교,2008-09-01,서울특별시 은평구 진관동 8,서울특별시 은평구 진관4로 78-16,37.6454343,126.92921240000001
47,서울북한산초등학교,1967-03-25,서울특별시 은평구 진관동 산3,서울특별시 은평구 대서문길 42-3,37.653633299999996,126.95046459999999
48,서울갈현초등학교,1967-03-13,서울특별시 은평구 갈현동 451-15,서울특별시 은평구 연서로29길 31,37.6197804,126.9166825
49,서울구현초등학교,2009-04-27,서울특별시 은평구 구산동 164,서울특별시 은평구 갈현로15길 51,37.609151399999995,126.9058084
50,서울구산초등학교,1977-11-29,서울특별시 은평구 구산동 152-3,서울특별시 은평구 서오릉로15길 16,37.612751,126.9093783
51,서울은평초등학교,1931-04-01,서울특별시 은평구 녹번동 40-3,서울특별시 은평구 은평로 239,37.602305,126.93403290000002
52,서울녹번초등학교,1982-09-24,서울특별시 은평구 녹번동 174,서울특별시 은평구 녹번로1길 1,37.604585,126.9257457
53,서울수리초등학교,2011-03-01,서울특별시 은평구 불광동 639,서울특별시 은평구 불광로14길 10-10,37.620306799999994,126.9341783
54,서울대조초등학교,1967-11-24,서울특별시 은평구 대조동 212-1,서울특별시 은평구 연서로18길 17,37.6135799,126.9193035
55,서울연신초등학교,1976-03-18,서울특별시 은평구 불광동 73-1,서울특별시 은평구 연서로 347,37.6260586,126.92774979999999
56,서울불광초등학교,1962-04-18,서울특별시 은평구 불광동 272-2,서울특별시 은평구 불광로 51,37.6134285,126.93072040000001
57,서울연천초등학교,1985-05-06,서울특별시 은평구 불광동 346-153,서울특별시 은평구 연서로34길 22,37.6213496,126.9299202
58,서울연광초등학교,2004-03-01,서울특별시 은평구 불광동 400-6,서울특별시 은평구 연서로35길 37,37.6236488,126.9239098
59,서울수색초등학교,1935-04-01,서울특별시 은평구 수색동 129,서울특별시 은평구 수색로16길 21,37.5851732,126.89601119999999
60,서울신사초등학교,1980-10-24,서울특별시 은평구 신사동 98-32,서울특별시 은평구 가좌로 275-2,37.5928019,126.9119841
61,서울서신초등학교,2005-03-01,서울특별시 은평구 신사동 194,서울특별시 은평구 은평터널로 150,37.592293299999994,126.9073831
62,서울상신초등학교,1982-11-11,서울특별시 은평구 신사동 238-2,서울특별시 은평구 가좌로 361,37.5975529,126.90460449999999
63,서울역촌초등학교,1972-03-16,서울특별시 은평구 역촌동 82-1,서울특별시 은평구 은평로3길 25,37.6015857,126.9139261
64,서울은명초등학교,2008-10-26,서울특별시 은평구 응암동 114-12,서울특별시 은평구 은평로4길 21-9,37.5976968,126.9182744
65,서울연은초등학교,1983-09-26,서울특별시 은평구 응암동 759-3,서울특별시 은평구 백련산로2길 35,37.5905111,126.9251778
66,서울응암초등학교,1962-11-12,서울특별시 은평구 응암동 340,서울특별시 은평구 가좌로6길 20,37.5887537,126.92161750000001
67,서울증산초등학교,1976-11-26,서울특별시 은평구 증산동 212,서울특별시 은평구 증산서길 61,37.5825637,126.904275
68,서울대은초등학교,1982-10-08,서울특별시 은평구 대조동 82-5,서울특별시 은평구 통일로69길 12-15,37.612365999999994,126.92586940000001
69,충암초등학교,1966-11-09,서울특별시 은평구 응암동 746-17,서울특별시 은평구 가좌로5길 5,37.5846417,126.9218074
70,선일초등학교,1965-09-27,서울특별시 은평구 갈현동 240-1,서울특별시 은평구 갈현로29길 27,37.6197164,126.9127997
71,예일초등학교,1965-09-26,서울특별시 은평구 구산동 8-3,서울특별시 은평구 연서로 117,37.6096421,126.9160959
72,은혜초등학교,1966-03-10,서울특별시 은평구 불광동 331-27,서울특별시 은평구 통일로78가길 20,37.6177328,126.92739990000001
73,서울미동초등학교,1896-05-01,서울특별시 서대문구 미근동 36-1,서울특별시 서대문구 충정로 52,37.56334879999999,126.96585060000001
74,서울금화초등학교,1924-04-01,서울특별시 서대문구 천연동 13-1,서울특별시 서대문구 통일로 165,37.56882589999999,126.96294040000001
75,서울홍은초등학교,1974-03-06,서울특별시 서대문구 홍제동 286-5,서울특별시 서대문구 세검정로 105,37.597541,126.9494600266
76,서울홍제초등학교,1947-01-10,서울특별시 서대문구 홍은동 48-112,서울특별시 서대문구 홍은중앙로 13,37.5935064,126.9454227
77,서울북성초등학교,1941-11-01,서울특별시 서대문구 북아현동 215,서울특별시 서대문구 북아현로1나길 22,37.5596318,126.95183529999998
78,서울연가초등학교,1973-09-07,서울특별시 서대문구 남가좌동 364-6,서울특별시 서대문구 증가로12가길 49-50,37.5795643,126.91732959999999
79,서울대신초등학교,1965-03-10,서울특별시 서대문구 대현동 67-1,서울특별시 서대문구 이화여대2길 27,37.557702,126.9480383
80,서울북가좌초등학교,1969-03-24,서울특별시 서대문구 북가좌동 376-17,서울특별시 서대문구 거북골로19길 20,37.5772218,126.90777759999999
81,서울연희초등학교,1968-12-07,서울특별시 서대문구 연희동 88-1,서울특별시 서대문구 연희로 136,37.569047600000005,126.93414380000002
82,서울창서초등학교,1961-11-01,서울특별시 서대문구 창천동 53-38,서울특별시 서대문구 연세로5나길 30-3,37.558141600000006,126.93347879999999
83,서울홍연초등학교,1975-07-03,서울특별시 서대문구 홍은동 305,서울특별시 서대문구 백련사길 55,37.5819985,126.9309307
84,서울안산초등학교,1937-11-30,서울특별시 서대문구 홍제동 44,서울특별시 서대문구 통일로 321,37.5791691,126.95221210000001
85,서울인왕초등학교,1962-11-12,서울특별시 서대문구 홍제동 241-113,서울특별시 서대문구 세무서길 33-9,37.59023010000001,126.94480459999998
86,서울고은초등학교,1971-12-03,서울특별시 서대문구 홍제동 320-12,서울특별시 서대문구 모래내로 441,37.5850003,126.94397520000001
87,경기초등학교,1964-12-03,서울특별시 서대문구 충정로2가 70-2,서울특별시 서대문구 경기대로9길 10,37.5651102,126.9628608
88,이화여자대학교사범대학부속초등학교,1955-04-08,서울특별시 서대문구 대신동 20,서울특별시 서대문구 성산로 512-39,37.5611486,126.9427504
89,추계초등학교,1964-07-20,서울특별시 서대문구 북아현동 190-1,서울특별시 서대문구 북아현로11가길 7,37.5631498,126.95320929999998
90,명지초등학교,1967-03-15,서울특별시 서대문구 홍은동 산26-127,서울특별시 서대문구 명지2길 32-20,37.5836295,126.9282301
91,서울공덕초등학교,1944-04-11,서울특별시 마포구 공덕동 256-4,서울특별시 마포구 만리재옛길 13,37.5458044,126.9548225
92,서울창천초등학교,1940-04-01,서울특별시 마포구 노고산동 33-1,서울특별시 마포구 백범로1길 56,37.5549192,126.9392942
93,서울용강초등학교,1916-04-26,서울특별시 마포구 대흥동 51,서울특별시 마포구 백범로17길 9,37.5491011,126.9440428
94,서울마포초등학교,1911-06-12,서울특별시 마포구 도화동 347-5,서울특별시 마포구 도화2길 64,37.5386016,126.94981659999999
95,서울동교초등학교,1975-04-18,서울특별시 마포구 망원동 426-5,서울특별시 마포구 월드컵로25길 86,37.5586246,126.9023997
96,서울망원초등학교,1984-10-26,서울특별시 마포구 망원동 467-1,서울특별시 마포구 방울내로5길 28,37.5608901,126.9007624
97,서울서강초등학교,1937-04-01,서울특별시 마포구 상수동 1-1,서울특별시 마포구 독막로 113,37.5486953,126.92685120000002
98,서울하늘초등학교,2011-03-01,서울특별시 마포구 상암동 1737,서울특별시 마포구 월드컵북로 502-14,37.5858076,126.88086159999999
99,서울서교초등학교,1962-07-12,서울특별시 마포구 서교동 341,서울특별시 마포구 와우산로23길 20-27,37.554888899999995,126.9243781
100,서울성원초등학교,1986-10-21,서울특별시 마포구 성산동 175-1,서울특별시 마포구 월드컵로36길 34,37.5669825,126.90508729999999
101,서울성서초등학교,1984-05-23,서울특별시 마포구 성산동 31-1,서울특별시 마포구 성미산로7길 24,37.560595500000005,126.9109264
102,서울중동초등학교,1977-12-02,서울특별시 마포구 성산동 94-1,서울특별시 마포구 월드컵북로 152,37.5664093,126.91177520000001
103,서울신석초등학교,1964-03-10,서울특별시 마포구 신수동 429-2,서울특별시 마포구 대흥로 33,37.54453529999999,126.9377818
104,서울아현초등학교,1932-04-02,서울특별시 마포구 아현동 267-2,서울특별시 마포구 굴레방로 6,37.555831299999994,126.95624240000001
105,서울소의초등학교,1945-11-01,서울특별시 마포구 아현동 386-1,서울특별시 마포구 마포대로24길 42,37.5527802,126.96065779999999
106,서울한서초등학교,1945-11-01,서울특별시 마포구 염리동 24-140,서울특별시 마포구 대흥로24바길 27,37.55364829999999,126.9497794
107,서울염리초등학교,1983-11-22,서울특별시 마포구 염리동 173-4,서울특별시 마포구 토정로37길 37,37.5427085,126.9459983
108,서울신북초등학교,1982-11-01,서울특별시 마포구 중동 42,서울특별시 마포구 월드컵북로38길 26,37.571104,126.9053628
109,서울성산초등학교,1969-03-24,서울특별시 마포구 합정동 427-2,서울특별시 마포구 양화로3길 94,37.55342720000001,126.9109486
110,서울상지초등학교,2007-06-05,서울특별시 마포구 상암동 1676,서울특별시 마포구 월드컵로42길 30,37.5797506,126.8820758
111,서울상암초등학교,1972-07-10,서울특별시 마포구 상암동 1635,서울특별시 마포구 월드컵북로 353,37.576336600000005,126.8923219
112,홍익대학교사범대학부속초등학교,1966-03-12,서울특별시 마포구 성산동 산11-31,서울특별시 마포구 성미산로 51,37.559645700000004,126.91320929999999
113,서울천왕초등학교,2011-09-01,서울특별시 구로구 천왕동 273-2,서울특별시 구로구 천왕로1길 11,37.4816096,126.83671609999999
114,서울영일초등학교,1967-11-29,서울특별시 구로구 가리봉동 17,서울특별시 구로구 남부순환로105길 218,37.4856446,126.8838114
115,서울미래초등학교,2002-03-01,서울특별시 구로구 구로동 3-13,서울특별시 구로구 새말로 73,37.5051068,126.88801370000002
116,서울고원초등학교,2004-03-01,서울특별시 구로구 고척동 66-26,서울특별시 구로구 경인로46길 13,37.4976125,126.8657986
117,서울고산초등학교,1991-10-29,서울특별시 구로구 고척동 76-10,서울특별시 구로구 중앙로 6,37.49897360000001,126.8647738
118,서울개웅초등학교,1998-10-25,서울특별시 구로구 개봉동 273-18,서울특별시 구로구 개봉로11길 98,37.488572600000005,126.8499801
119,서울개명초등학교,1984-05-04,서울특별시 구로구 개봉동 314-165,서울특별시 구로구 개봉로1다길 16-9,37.4830381,126.85098159999998
120,서울온수초등학교,1984-09-19,서울특별시 구로구 온수동 9-34,서울특별시 구로구 부일로 893,37.4940033,126.82596909999998
121,서울매봉초등학교,1985-10-28,서울특별시 구로구 개봉동 3,서울특별시 구로구 고척로21길 55,37.5049168,126.844365
122,서울개봉초등학교,1971-09-01,서울특별시 구로구 개봉동 266,서울특별시 구로구 개봉로16길 30-11,37.4895231,126.8579748
