No,메인 키,기관 코드,유형1,유형2,대표 기관명,전체 기관명,최하위 기관명,대표 전화번호,새 우편번호,지번 주소,도로명 주소,행정 시,행정 구,행정 동,경도,위도,상태
1,BE_LiST31-0307,3070048,지자체,8읍면동_동,서울특별시,서울특별시 성북구 돈암2동주민센터,돈암2동주민센터,02-2241-5160,02825,,서울특별시 성북구 흥천사길 7 (돈암동),서울특별시,성북구,돈암2동,127.010536367878,37.5980122344971,정좌표
2,BE_LiST31-0308,3070143,지자체,8읍면동_동,서울특별시,서울특별시 성북구 동선동주민센터,동선동주민센터,02-2241-5080,02840,,서울특별시 성북구 동소문로26길 27 (동선동),서울특별시,성북구,동선동,127.020409285575,37.5939809454157,정좌표
3,BE_LiST31-0309,3070050,지자체,8읍면동_동,서울특별시,서울특별시 성북구 보문동주민센터,보문동주민센터,02-2241-5240,02859,,서울특별시 성북구 보문동7가 108-1 (보문동),서울특별시,성북구,보문동,127.022829270021,37.5803832888902,정좌표
4,BE_LiST31-0310,3070142,지자체,8읍면동_동,서울특별시,서울특별시 성북구 삼선동주민센터,삼선동주민센터,02-2241-5040,02847,,서울특별시 성북구 보문로 190 (삼선동),서울특별시,성북구,삼선동,127.014641255314,37.5908443043778,정좌표
5,BE_LiST31-0485,3010033,지자체,보건_보건소,서울특별시,서울특별시 중구 보건소,보건소,02-3396-5555,04611,,서울특별시 중구 다산로 39길 16 (무학동),서울특별시,중구,신당동,127.015096152088,37.5645877895091,정좌표
6,BE_LiST31-0486,3200213,지자체,보건_보건지소,서울특별시,서울특별시 관악구 보건소 보건지소,보건지소,02-879-7407,08720,,서울특별시 관악구 관악로 279-7,서울특별시,관악구,낙성대동,126.957540115887,37.4886710161662,인근좌표
7,BE_LiST31-0487,3040171,지자체,보건_보건지소,서울특별시,서울특별시 광진구 보건소 보건지소,보건지소,02-450-1424,04922,,서울특별시 광진구 긴고랑로 110 (중곡동),서울특별시,광진구,중곡2동,127.087091568985,37.5593384226032,정좌표
8,BE_LiST31-0488,3100206,지자체,보건_보건지소,서울특별시,서울특별시 노원구 보건소 공릉보건지소,공릉보건지소,02-2116-4974,01818,,서울특별시 노원구 공릉로 166-1 (공릉동),서울특별시,노원구,공릉2동,127.080002678668,37.6247883871629,정좌표
9,BE_LiST31-0489,3100209,지자체,보건_보건지소,서울특별시,서울특별시 노원구 보건소 상계보건지소,상계보건지소,02-2116-4987,01696,,서울특별시 노원구 상계로 118 (상계동),서울특별시,노원구,상계2동,127.067862728861,37.6574811653852,정좌표
10,BE_LiST31-0490,3100205,지자체,보건_보건지소,서울특별시,서울특별시 노원구 보건소 월계보건지소,월계보건지소,02-2116-4583,01905,,서울특별시 노원구 월계로 378 (월계동),서울특별시,노원구,월계3동,127.061591769685,37.6314510954508,정좌표
11,BE_LiST31-0491,3090147,지자체,보건_보건지소,서울특별시,서울특별시 도봉구 보건소 보건지소,보건지소,02-2091-5451,01466,,서울특별시 도봉구 덕릉로59길73-3 (창동),서울특별시,도봉구,창4동,127.035648110726,37.6414062720864,정좌표
12,BE_LiST31-0492,3120173,지자체,보건_보건지소,서울특별시,서울특별시 서대문구 보건소 가좌보건지소,가좌보건지소,02-3140-8357,03709,,서울특별시 서대문구 수색로100-55 (북가좌동),서울특별시,서대문구,천연동,126.910136522518,37.5743684063236,정좌표
13,BE_LiST31-0493,3210172,지자체,보건_보건지소,서울특별시,서울특별시 서초구 보건소 방배보건지소,방배보건지소,02-2155-8151,06572,,서울특별시 서초구 방배로 173,서울특별시,서초구,방배4동,126.992242692527,37.4890078752149,정좌표
14,BE_LiST31-0494,3070195,지자체,보건_보건지소,서울특별시,서울특별시 성북구 보건소 보건지소,보건지소,02-2241-6210,02830,,서울특별시 성북구 아리랑로 3길 8 (동소문동 6가),서울특별시,성북구,동선동,127.015752539505,37.5936059006387,정좌표
15,BE_LiST31-0495,3230182,지자체,보건_보건지소,서울특별시,서울특별시 송파구 보건소 보건지소,보건지소,02-2147-4843,05771,,서울특별시 송파구 양산로 5 (거여동),서울특별시,송파구,거여1동,127.142670423802,37.4897692715583,정좌표
16,BE_LiST31-0496,3110190,지자체,보건_보건지소,서울특별시,서울특별시 은평구 보건소 보건지소,보건지소,02-351-8652,03347,,서울특별시 은평구 연서로34길 11 (불광동),서울특별시,은평구,불광2동,126.927690641198,37.621561100965,정좌표
