기간	자치구	행정동	전체세대수	1인세대	2인세대	3인세대	4인세대	5인세대	6인세대	7인세대	8인세대	9인세대	10인세대 이상
2019.01	합계	합계	4,271,551	1,686,720	894,740	768,459	703,027	167,541	37,532	9,418	2,679	838	597
2019.01	종로구	소계	73,691	35,993	13,968	10,913	9,295	2,610	623	194	56	22	17
2019.01	종로구	사직동	4,570	2,198	885	697	559	164	33	22	8	1	3
2019.01	종로구	삼청동	1,411	751	250	181	144	58	20	6	1	-	-
2019.01	종로구	부암동	4,305	1,623	950	733	724	190	54	19	7	2	3
2019.01	종로구	평창동	7,542	2,413	1,670	1,467	1,422	436	90	26	9	7	2
2019.01	종로구	무악동	3,011	701	662	671	758	173	35	6	2	-	3
2019.01	종로구	교남동	4,579	1,595	1,125	883	756	162	36	13	7	2	-
2019.01	종로구	가회동	2,060	920	435	338	261	73	23	8	1	-	1
2019.01	종로구	종로1.2.3.4가동	5,266	4,151	525	298	216	55	13	6	2	-	-
2019.01	종로구	종로5·6가동	3,128	2,044	487	316	196	66	12	4	1	2	-
2019.01	종로구	이화동	4,509	2,682	787	513	383	114	16	13	-	1	-
2019.01	종로구	창신1동	2,985	1,751	564	348	221	79	17	5	-	-	-
2019.01	종로구	창신2동	4,179	1,940	862	666	506	154	40	8	2	1	-
2019.01	종로구	창신3동	2,884	863	674	641	482	185	34	2	3	-	-
2019.01	종로구	숭인1동	3,001	1,358	645	481	366	109	30	10	2	-	-
2019.01	종로구	숭인2동	5,728	3,703	906	564	423	96	27	7	2	-	-
2019.01	종로구	청운효자동	5,408	1,945	1,121	1,017	980	241	75	20	4	5	-
2019.01	종로구	혜화동	9,125	5,355	1,420	1,099	898	255	68	19	5	1	5
2019.01	중구	소계	61,612	29,916	12,777	9,251	7,251	1,777	461	114	31	13	21
2019.01	중구	소공동	1,074	605	190	148	104	17	8	-	-	-	2
2019.01	중구	회현동	3,282	2,232	445	298	222	64	12	7	2	-	-
2019.01	중구	명동	1,392	917	205	143	90	24	7	2	1	-	3
2019.01	중구	필동	2,286	1,413	402	238	168	48	10	5	1	-	1
2019.01	중구	장충동	2,661	1,615	474	252	225	71	18	2	1	1	2
2019.01	중구	광희동	2,922	1,852	514	279	202	48	20	5	1	-	1
2019.01	중구	을지로동	1,278	1,014	145	69	35	10	2	3	-	-	-
2019.01	중구	신당5동	4,507	2,122	933	703	557	134	40	14	3	1	-
2019.01	중구	황학동	6,563	3,487	1,368	888	623	150	40	6	-	1	-
2019.01	중구	중림동	5,816	2,441	1,265	1,051	823	169	48	13	5	1	-
2019.01	중구	신당동	4,437	2,689	820	469	342	85	24	5	2	1	-
2019.01	중구	다산동	6,943	3,080	1,616	1,089	893	200	46	11	4	1	3
2019.01	중구	약수동	7,782	2,785	1,980	1,551	1,096	281	66	15	4	-	4
2019.01	중구	청구동	6,452	2,456	1,513	1,192	980	241	51	7	4	5	3
2019.01	중구	동화동	4,217	1,208	907	881	891	235	69	19	3	2	2
2019.01	용산구	소계	109,146	50,988	22,314	16,998	13,969	3,635	897	219	78	26	22
2019.01	용산구	후암동	8,537	3,951	1,705	1,407	1,085	288	76	12	5	4	4
2019.01	용산구	용산2가동	5,507	2,786	1,220	784	537	141	30	8	1	-	-
2019.01	용산구	남영동	5,432	4,179	588	327	246	72	11	5	2	-	2
2019.01	용산구	원효로2동	6,044	2,018	1,299	1,201	1,132	285	71	23	9	2	4
2019.01	용산구	효창동	3,739	1,316	851	674	644	186	50	13	3	1	1
2019.01	용산구	용문동	5,377	1,893	1,282	1,034	871	231	50	9	4	2	1
2019.01	용산구	이촌1동	10,249	2,243	2,195	2,596	2,459	556	150	32	13	4	1
2019.01	용산구	이촌2동	3,865	1,298	1,033	782	564	141	30	7	10	-	-
2019.01	용산구	이태원1동	3,851	2,214	729	448	316	100	34	9	1	-	-
2019.01	용산구	이태원2동	4,944	2,643	1,000	667	459	129	37	6	3	-	-
2019.01	용산구	서빙고동	5,289	1,694	1,098	971	1,099	340	67	17	2	-	1
2019.01	용산구	보광동	7,742	4,005	1,671	1,058	757	197	38	11	4	1	-
2019.01	용산구	청파동	10,601	5,996	1,978	1,223	1,019	280	78	17	6	1	3
2019.01	용산구	원효로1동	7,417	3,393	1,611	1,186	938	223	47	10	4	4	1
2019.01	용산구	한강로동	9,553	5,345	1,790	1,241	892	200	61	17	4	2	1
2019.01	용산구	한남동	10,999	6,014	2,264	1,399	951	266	67	23	7	5	3
2019.01	성동구	소계	137,183	55,037	29,675	25,076	21,077	4,751	1,138	303	93	20	13
2019.01	성동구	왕십리2동	7,712	2,958	1,669	1,471	1,217	279	93	15	4	3	3
2019.01	성동구	마장동	10,708	4,588	2,284	1,761	1,560	386	81	29	12	5	2
2019.01	성동구	사근동	7,091	4,863	937	595	521	131	26	15	2	1	-
2019.01	성동구	행당1동	7,335	3,019	1,528	1,360	1,108	245	49	18	7	-	1
2019.01	성동구	행당2동	9,500	2,354	2,282	2,212	2,089	419	106	27	8	2	1
2019.01	성동구	응봉동	6,209	1,643	1,380	1,400	1,366	325	70	17	7	-	1
2019.01	성동구	금호1가동	6,634	2,040	1,685	1,412	1,160	251	69	15	2	-	-
2019.01	성동구	금호4가동	6,542	2,195	1,602	1,433	1,019	230	44	13	5	-	1
2019.01	성동구	성수1가1동	7,649	3,069	1,656	1,336	1,241	269	60	11	5	1	1
2019.01	성동구	성수1가2동	7,187	3,228	1,494	1,185	990	227	47	10	4	1	1
2019.01	성동구	성수2가1동	8,616	4,153	1,767	1,300	1,088	238	54	12	4	-	-
2019.01	성동구	성수2가3동	5,699	2,875	1,062	830	692	171	54	13	1	1	-
2019.01	성동구	송정동	5,574	2,724	1,146	833	661	165	34	9	1	1	-
2019.01	성동구	용답동	7,681	4,290	1,450	916	791	179	42	11	-	1	1
2019.01	성동구	왕십리도선동	11,712	4,323	2,455	2,320	2,041	428	107	29	9	-	-
2019.01	성동구	금호2.3가동	10,380	3,584	2,531	2,134	1,639	365	85	26	14	1	1
