기간	자치구	시	구	동	직속기관(시)	사업소(시)
2015	합계	1	25	424	31	47
2015	종로구	-	1	17	2	1
2015	중구	1	1	15	3	6
2015	용산구	-	1	16	1	-
2015	성동구	-	1	17	1	6
2015	광진구	-	1	15	-	2
2015	동대문구	-	1	14	2	-
2015	중랑구	-	1	16	1	-
2015	성북구	-	1	20	1	-
2015	강북구	-	1	13	1	2
2015	도봉구	-	1	14	1	-
2015	노원구	-	1	19	1	1
2015	은평구	-	1	16	1	2
2015	서대문구	-	1	14	1	2
2015	마포구	-	1	16	1	2
2015	양천구	-	1	18	1	1
2015	강서구	-	1	20	1	1
2015	구로구	-	1	15	1	-
2015	금천구	-	1	10	-	-
2015	영등포구	-	1	18	1	2
2015	동작구	-	1	15	1	3
2015	관악구	-	1	21	1	-
2015	서초구	-	1	18	4	3
2015	강남구	-	1	22	1	3
2015	송파구	-	1	27	1	3
2015	강동구	-	1	18	1	2
2015	기타	-	-	-	1	5
2016	합계	1	25	424	31	47
2016	종로구	-	1	17	2	1
2016	중구	1	1	15	3	5
2016	용산구	-	1	16	1	-
2016	성동구	-	1	17	1	6
2016	광진구	-	1	15	-	2
2016	동대문구	-	1	14	2	-
2016	중랑구	-	1	16	1	-
2016	성북구	-	1	20	1	-
2016	강북구	-	1	13	1	2
2016	도봉구	-	1	14	1	-
2016	노원구	-	1	19	1	1
2016	은평구	-	1	16	1	2
2016	서대문구	-	1	14	1	2
2016	마포구	-	1	16	1	3
2016	양천구	-	1	18	1	1
2016	강서구	-	1	20	1	1
2016	구로구	-	1	15	1	-
2016	금천구	-	1	10	-	-
2016	영등포구	-	1	18	1	2
2016	동작구	-	1	15	1	3
2016	관악구	-	1	21	1	-
2016	서초구	-	1	18	4	3
2016	강남구	-	1	22	1	3
2016	송파구	-	1	27	1	3
2016	강동구	-	1	18	1	2
2016	기타	-	-	-	1	5
2017	합계	1	25	424	32	48
2017	종로구	-	1	17	2	1
2017	중구	1	1	15	3	5
2017	용산구	-	1	16	1	-
2017	성동구	-	1	17	1	6
2017	광진구	-	1	15	1	2
2017	동대문구	-	1	14	2	-
2017	중랑구	-	1	16	1	-
2017	성북구	-	1	20	1	-
2017	강북구	-	1	13	1	2
2017	도봉구	-	1	14	1	-
2017	노원구	-	1	19	1	1
2017	은평구	-	1	16	1	2
2017	서대문구	-	1	14	1	3
2017	마포구	-	1	16	1	3
2017	양천구	-	1	18	1	1
2017	강서구	-	1	20	1	1
2017	구로구	-	1	15	1	-
2017	금천구	-	1	10	-	-
2017	영등포구	-	1	18	1	2
2017	동작구	-	1	15	1	3
2017	관악구	-	1	21	1	-
2017	서초구	-	1	18	4	3
2017	강남구	-	1	22	1	3
2017	송파구	-	1	27	1	3
2017	강동구	-	1	18	1	2
2017	기타	-	-	-	1	5
2018	합계	1	25	424	32	50
2018	종로구	-	1	17	2	1
2018	중구	1	1	15	3	6
2018	용산구	-	1	16	1	-
2018	성동구	-	1	17	1	6
2018	광진구	-	1	15	1	2
2018	동대문구	-	1	14	2	-
2018	중랑구	-	1	16	1	-
2018	성북구	-	1	20	1	-
2018	강북구	-	1	13	1	2
2018	도봉구	-	1	14	1	-
2018	노원구	-	1	19	1	1
2018	은평구	-	1	16	1	3
2018	서대문구	-	1	14	1	2
2018	마포구	-	1	16	1	3
2018	양천구	-	1	18	1	1
2018	강서구	-	1	20	1	2
2018	구로구	-	1	15	1	-
2018	금천구	-	1	10	-	-
2018	영등포구	-	1	18	1	2
2018	동작구	-	1	15	1	3
2018	관악구	-	1	21	1	-
2018	서초구	-	1	18	4	3
2018	강남구	-	1	22	1	3
2018	송파구	-	1	27	1	3
2018	강동구	-	1	18	1	2
2018	기타	-	-	-	1	5
