기관명,2015년,2016년,2017년,2018년,2019년
강 남 구,3431 ,4196 ,4773 ,5221 ,6061
강 동 구,1027 ,1221 ,1494 ,1879 ,2270
강 북 구,691 ,945 ,946 ,1265 ,1572
강 서 구,909 ,1099 ,1363 ,1617 ,1979
관 악 구,2001 ,2620 ,3314 ,3985 ,5195
광 진 구,746 ,767 ,1235 ,1581 ,1981
구 로 구,1875 ,2201 ,2741 ,3227 ,3843
금 천 구,769 ,905 ,1104 ,1634 ,2395
노 원 구,1342 ,1640 ,1750 ,1906 ,2336
도 봉 구,515 ,670 ,787 ,858 ,1007
동대문구,1437 ,1670 ,1806 ,2003 ,2222
동 작 구,993 ,1247 ,1525 ,1780 ,2134
마 포 구,1009 ,1368 ,1740 ,1935 ,2396
서대문구,1235 ,1512 ,1927 ,2121 ,2490
서 초 구,1840 ,2192 ,2439 ,2835 ,3259
성 동 구,1251 ,1452 ,2385 ,2679 ,3474
성 북 구,1687 ,2075 ,2360 ,3003 ,3632
송 파 구,974 ,1074 ,1190 ,1586 ,1883
양 천 구,1459 ,1808 ,1945 ,2775 ,3382
영등포구,1042 ,1331 ,1702 ,2495 ,3470
용 산 구,1841 ,1930 ,1990 ,2063 ,2153
은 평 구,2070 ,2366 ,2595 ,2962 ,3315
종 로 구,941 ,1089 ,1370 ,1471 ,1747
중     구,629 ,899 ,1216 ,1544 ,2196
중 랑 구,872 ,993 ,1059 ,1068 ,1160
