소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
서울특별시 동대문구 전농동 35,서울특별시 동대문구 답십리1동 268-4,어린이보호,3,2006-01
서울특별시 동대문구 천호대로69나길 23,서울특별시 동대문구 답십리1동 294-129,어린이보호,3,2006-01
서울특별시 동대문구 천호대로 281,서울특별시 동대문구 답십리1동 495-3,생활방범,3,2006-01
서울특별시 동대문구 사가정로2길 9,서울특별시 동대문구 답십리동 714,생활방범,3,2007-01
서울특별시 동대문구 답십리로38길 25,서울특별시 동대문구 답십리1동 470-3,생활방범,3,2007-01
서울특별시 동대문구 답십리로40길 5,서울특별시 동대문구 답십리1동 467-69,생활방범,3,2008-01
서울특별시 동대문구 사가정로2길 24,서울특별시 동대문구 답십리1동 482-102,생활방범,3,2008-01
서울특별시 동대문구 황물로 133-1,서울특별시 동대문구 답십리1동 485-73,어린이보호,3,2008-01
서울특별시 동대문구 전농로5길 10,서울특별시 동대문구 답십리동 253-23,생활방범,3,2009-01
서울특별시 동대문구 황물로 90,서울특별시 동대문구 답십리1동 530-4,생활방범,3,2009-01
서울특별시 동대문구 사가정로2길 121,서울특별시 동대문구 답십리1동 486-16,어린이보호,3,2009-01
서울특별시 동대문구 전농로3길 38,서울특별시 동대문구 답십리동 269-10,어린이보호,3,2010-01
,서울특별시 동대문구 답십리동 544-3,어린이보호,3,2010-01
서울특별시 동대문구 사가정로2길 59,서울특별시 동대문구 답십리동 320-20,생활방범,3,2016-10
서울특별시 동대문구 전농로 79-30,서울특별시 동대문구 답십리1동 248-14,생활방범,3,2010-01
서울특별시 동대문구 전농로 75,서울특별시 동대문구 답십리1동 250-13,생활방범,3,2010-01
서울특별시 동대문구 황물로 111,서울특별시 동대문구 답십리1동 483-26,생활방범,3,2010-01
서울특별시 동대문구 천호대로75길 38,서울특별시 동대문구 답십리1동 490-81,생활방범,3,2010-01
서울특별시 동대문구 고미술로 43,서울특별시 동대문구 답십리1동 530-10,생활방범,3,2010-01
서울특별시 동대문구 전농로 105-1,서울특별시 동대문구 답십리1동 99-22,생활방범,3,2010-01
서울특별시 동대문구 전농로 53-5,서울특별시 동대문구 답십리동 260,생활방범,3,2011-11
서울특별시 동대문구 서울시립대로4길 70,서울특별시 동대문구 답십리동 470-1,생활방범,3,2011-11
서울특별시 동대문구 황물로 65-13,서울특별시 동대문구 답십리1동 469-13,생활방범,3,2011-11
서울특별시 동대문구 천호대로 177,서울특별시 동대문구 답십리동 463-13,어린이보호,3,2012-01
서울특별시 동대문구 사가정로 30,서울특별시 동대문구 답십리1동 477-9,어린이보호,3,2012-01
서울특별시 동대문구 황물로 32,서울특별시 동대문구 답십리1동 557-1,어린이보호,3,2012-01
,서울특별시 동대문구 답십리동 645-7,어린이보호,3,2012-01
