소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월
,서울특별시 송파구 잠실본동 181-6,다목적,1,2020-01
,서울특별시 송파구 방이2동 70-1,다목적,1,2020-01
,서울특별시 송파구 방이2동 121,다목적,1,2020-01
,서울특별시 송파구 송파1동 9-9,다목적,1,2020-01
,서울특별시 송파구 송파1동 18-18,다목적,1,2020-01
,서울특별시 송파구 송파1동 26-7,다목적,1,2020-01
,서울특별시 송파구 송파1동 36-19,다목적,1,2020-01
,서울특별시 송파구 송파1동 41-1,다목적,1,2020-01
,서울특별시 송파구 송파1동 43-1,다목적,1,2020-01
,서울특별시 송파구 송파1동 54-9,다목적,1,2020-01
,서울특별시 송파구 송파1동 56-1,다목적,1,2020-01
,서울특별시 송파구 방이2동 139,다목적,1,2020-01
,서울특별시 송파구 잠실본동 220,다목적,1,2020-01
,서울특별시 송파구 잠실본동 230,다목적,1,2020-01
,서울특별시 송파구 거여1동 7,다목적,1,2020-01
,서울특별시 송파구 풍납2동 501-24,다목적,1,2020-01
,서울특별시 송파구 마천1동 307-6,다목적,1,2020-01
,서울특별시 송파구 마천2동 53,다목적,1,2020-01
,서울특별시 송파구 방이1동 220-4,다목적,1,2020-01
,서울특별시 송파구 풍납동 490-6,교통단속,1,2020-01
,서울특별시 송파구 거여1동 16,다목적,1,2020-01
,서울특별시 송파구 거여동 21-5,교통단속,1,2020-01
,서울특별시 송파구 거여동 36-6,교통단속,1,2020-01
,서울특별시 송파구 거여동 183-5,교통단속,1,2020-01
,서울특별시 송파구 문정동 145,다목적,1,2020-01
,서울특별시 송파구 석촌동 10-6,교통단속,1,2020-01
,서울특별시 송파구 석촌동 14-12,교통단속,1,2020-01
,서울특별시 송파구 삼전동 180-3,교통단속,1,2020-01
,서울특별시 송파구 삼전동 101-12,교통단속,1,2020-01
,서울특별시 송파구 삼전동 3-4,교통단속,1,2020-01
,서울특별시 송파구 송파2동 178,다목적,1,2020-01
,서울특별시 송파구 가락동 167-3,교통단속,1,2020-01
